leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,0,-2,-1,2,-1,2,2,-18,0,0,0
5,0,-5,-2,5,-2,5,4,-48,-2,-1,-1
6,0,-6,-3,6,-3,7,4,-66,-3,-2,-2
6,-1,-6,-3,6,-4,8,3,-77,-3,-3,-2
8,-1,-9,-4,8,-5,9,2,-84,-4,-4,-3
10,-1,-11,-4,11,-6,10,0,-88,-4,-4,-4
10,-2,-12,-3,11,-7,10,0,-90,-4,-4,-4
9,-3,-12,-3,11,-7,10,-1,-90,-3,-3,-4
10,-3,-14,-3,12,-8,10,-2,-91,-3,-4,-5
11,-3,-14,-4,13,-8,10,-3,-90,-3,-4,-5
11,-2,-13,-5,12,-7,10,-2,-89,-2,-4,-5
10,-2,-11,-5,11,-6,10,-1,-88,-1,-3,-5
9,-1,-10,-4,10,-5,10,0,-86,0,-2,-5
10,-1,-10,-5,10,-5,10,0,-85,1,-1,-4
11,-1,-12,-5,12,-6,10,-1,-84,2,0,-4
10,-2,-12,-4,11,-7,10,-2,-83,4,1,-3
8,-2,-10,-3,9,-6,10,-3,-82,5,2,-2
7,-2,-9,-3,8,-6,10,-5,-81,6,3,-1
6,-1,-7,-3,6,-4,10,-7,-79,7,5,-1
5,0,-5,-3,5,-3,10,-8,-77,9,6,0
6,0,-6,-4,6,-3,10,-10,-76,10,7,0
8,0,-8,-4,8,-3,10,-12,-75,10,7,0
9,0,-9,-4,9,-4,10,-14,-74,11,7,0
8,-1,-9,-3,8,-4,10,-15,-73,12,8,0
7,-1,-9,-3,8,-5,10,-15,-72,12,8,0
7,-1,-9,-3,8,-5,10,-16,-71,13,8,0
7,-1,-9,-3,8,-5,10,-16,-69,13,8,0
6,-1,-8,-3,7,-4,10,-16,-68,14,9,0
6,-1,-7,-3,6,-4,10,-16,-67,15,9,0
7,0,-7,-4,7,-4,11,-16,-67,15,10,0
8,0,-7,-4,8,-3,11,-16,-66,16,10,0
6,0,-6,-3,6,-3,11,-15,-65,17,11,0
3,-1,-4,-1,4,-2,11,-14,-63,18,11,1
2,-1,-3,0,3,-2,11,-13,-61,18,11,1
1,-1,-3,0,2,-2,11,-12,-58,18,11,1
2,-1,-4,0,3,-3,11,-11,-56,18,10,0
4,-1,-5,-1,4,-3,11,-11,-55,18,10,0
5,-1,-6,-2,5,-4,11,-12,-53,18,10,0
6,-1,-7,-2,6,-4,11,-11,-51,18,10,0
5,-1,-6,-1,5,-3,11,-10,-49,19,10,0
3,-1,-4,0,3,-3,11,-8,-46,19,10,0
3,-1,-4,0,3,-3,11,-6,-44,18,10,-1
4,-1,-5,-1,4,-3,11,-4,-42,18,9,-2
4,-1,-5,-2,4,-3,11,-3,-39,18,8,-2
3,-1,-4,-1,3,-2,11,-1,-37,18,8,-2
2,-1,-2,0,2,-1,11,0,-34,18,9,-1
2,-2,-2,0,2,-1,11,0,-32,17,9,-2
3,-2,-4,0,3,-2,11,1,-29,17,8,-2
4,-2,-6,-1,5,-3,11,2,-27,16,7,-3
5,-2,-7,-2,6,-4,11,2,-24,16,6,-3
6,-2,-8,-2,7,-4,12,3,-22,16,5,-4
5,-2,-6,-2,6,-4,12,5,-19,16,6,-3
3,-2,-4,-1,4,-3,12,7,-16,17,6,-2
2,-2,-3,0,3,-3,12,9,-14,18,6,-2
4,-2,-4,-1,4,-3,12,11,-13,17,6,-3
5,-1,-6,-2,6,-4,12,12,-12,17,5,-3
6,-1,-6,-3,6,-4,12,14,-12,17,5,-3
6,0,-6,-3,7,-3,12,16,-11,17,6,-3
5,0,-5,-2,5,-2,12,19,-9,18,6,-2
2,0,-2,-1,3,-1,12,22,-8,18,7,-2
1,0,-1,-1,1,-1,12,24,-7,18,7,-1
1,0,0,-1,1,-1,12,27,-6,18,7,-1
0,0,0,0,0,-1,12,29,-6,19,7,-1
0,-1,0,0,0,0,12,31,-6,19,7,0
-2,-1,2,1,-2,0,12,33,-6,20,8,1
-3,-1,2,2,-2,1,12,36,-6,20,9,1
-2,-1,2,1,-2,1,13,38,-6,20,8,1
-1,0,1,1,-1,1,13,41,-5,20,8,1
-1,0,1,0,-1,1,13,44,-4,19,7,1
