leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,0,0,0,1,-3
0,1,0,0,0,1,2,1,1,1,2,-7
1,1,0,-1,1,1,3,2,1,1,3,-9
1,1,0,-1,1,0,4,2,1,1,4,-11
1,1,0,-1,1,0,4,2,1,1,4,-12
1,1,0,-1,1,0,4,2,1,1,4,-12
1,1,0,-1,1,0,4,2,2,1,4,-12
1,0,0,0,1,0,4,3,2,1,4,-12
1,0,0,0,1,0,4,2,2,1,4,-12
1,0,0,0,1,0,4,2,2,0,4,-12
0,0,0,0,0,0,4,2,1,0,4,-12
0,0,0,0,0,0,4,2,1,0,4,-12
0,0,0,0,0,0,4,2,1,0,4,-12
0,0,-1,0,0,0,4,2,1,0,4,-12
0,0,-1,0,0,0,4,2,1,0,4,-12
0,0,0,0,0,0,4,1,0,0,4,-12
0,0,0,0,0,0,4,1,0,0,4,-11
0,0,0,0,0,0,4,1,0,0,4,-11
0,0,0,0,0,0,4,1,1,0,3,-11
0,0,-1,0,1,0,4,1,0,0,3,-11
0,0,-1,0,1,0,4,1,0,-1,2,-11
0,0,-1,0,1,0,4,1,0,-1,2,-11
0,0,0,0,0,0,4,0,0,-1,1,-11
0,0,0,0,0,0,4,0,0,-1,1,-11
0,0,0,0,0,0,4,0,0,-1,1,-11
0,0,-1,0,1,0,4,0,0,-2,1,-11
0,0,0,0,1,0,4,0,-1,-2,1,-11
0,0,0,0,1,0,4,0,-1,-2,1,-11
0,0,0,0,1,0,4,0,-1,-2,1,-10
0,-1,0,0,1,0,4,0,-1,-2,1,-10
0,-1,-1,0,1,-1,4,0,-1,-2,1,-10
0,-1,-1,1,1,-1,4,0,-1,-2,1,-10
0,-1,-1,1,1,-1,4,0,-1,-2,1,-10
0,-2,-1,1,1,-2,4,0,-1,-2,2,-10
0,-2,-2,1,1,-2,4,0,-1,-2,2,-10
0,-2,-2,1,1,-2,4,0,-1,-2,2,-10
0,-2,-1,1,1,-1,4,-1,-2,-3,2,-10
0,-1,-1,1,0,-1,4,-1,-2,-3,2,-10
0,-1,-1,1,0,-1,3,-1,-2,-4,3,-10
0,-2,-1,1,0,-1,3,-1,-2,-4,3,-10
0,-2,-1,1,0,-1,3,-1,-2,-4,4,-10
0,-2,-1,1,0,-1,3,-1,-2,-3,4,-9
0,-2,-1,1,0,-1,3,-1,-2,-3,4,-9
0,-2,-1,1,0,-2,3,-1,-2,-2,4,-9
-1,-2,-1,2,0,-2,3,-1,-2,-2,4,-8
-1,-2,-1,2,1,-2,3,-1,-2,-2,4,-8
0,-2,-1,1,1,-2,3,-2,-2,-2,4,-8
0,-2,-1,1,1,-2,3,-2,-2,-2,4,-8
-1,-2,-2,1,1,-2,3,-2,-2,-2,4,-8
-1,-2,-2,2,1,-2,3,-2,-2,-2,4,-8
-1,-2,-2,2,0,-2,3,-2,-2,-3,4,-8
