leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,2,0,-3,2,1,2,-2,-1,-3,-3,-4
8,6,-1,-7,5,2,5,-5,-4,-7,-7,-11
11,7,-2,-9,7,3,7,-7,-5,-10,-9,-15
14,8,-4,-11,9,3,8,-8,-6,-11,-10,-18
16,10,-5,-13,10,3,9,-8,-7,-12,-11,-19
17,11,-5,-14,11,4,9,-8,-7,-13,-12,-19
18,11,-6,-15,12,3,10,-8,-7,-13,-12,-20
18,10,-8,-14,13,2,10,-7,-6,-13,-13,-20
18,9,-9,-14,13,0,10,-7,-5,-13,-13,-20
18,9,-9,-13,14,0,10,-7,-5,-13,-14,-20
18,8,-10,-13,14,0,10,-7,-5,-13,-14,-20
18,8,-10,-12,14,0,10,-7,-5,-13,-14,-20
18,7,-10,-12,14,-1,10,-6,-5,-13,-14,-20
17,7,-10,-12,14,-1,10,-6,-5,-12,-14,-19
16,7,-10,-11,13,-1,10,-5,-4,-11,-14,-19
16,6,-10,-11,13,-1,10,-5,-4,-11,-14,-19
16,6,-10,-11,13,-1,10,-5,-5,-12,-14,-19
16,6,-9,-11,13,-1,10,-5,-5,-12,-14,-19
15,5,-8,-10,12,-1,9,-5,-5,-12,-14,-18
13,5,-7,-9,11,0,9,-5,-4,-12,-14,-18
11,5,-6,-8,9,0,10,-5,-4,-12,-14,-17
12,5,-7,-8,10,0,10,-5,-4,-12,-15,-17
14,4,-10,-9,13,-2,10,-5,-4,-12,-15,-17
15,4,-11,-9,13,-3,10,-5,-4,-11,-15,-17
14,5,-9,-9,12,-2,11,-5,-4,-11,-15,-16
14,5,-8,-9,11,-1,10,-5,-4,-11,-15,-17
13,4,-8,-9,11,-2,10,-5,-4,-11,-15,-17
13,4,-8,-9,11,-2,10,-5,-4,-11,-15,-17
13,4,-8,-9,11,-2,10,-5,-5,-11,-15,-17
13,4,-9,-9,11,-2,10,-5,-5,-11,-15,-17
13,4,-9,-9,11,-2,11,-4,-5,-11,-15,-16
13,3,-10,-8,11,-3,11,-4,-4,-11,-14,-16
14,3,-10,-8,12,-4,12,-4,-4,-11,-15,-16
14,3,-10,-8,12,-4,12,-4,-5,-12,-15,-16
14,3,-10,-8,11,-4,12,-3,-5,-12,-15,-16
13,3,-9,-7,10,-3,12,-3,-5,-11,-15,-16
12,3,-8,-7,10,-3,11,-3,-5,-11,-14,-16
12,3,-9,-7,10,-3,11,-3,-6,-11,-14,-16
12,2,-9,-7,10,-3,12,-3,-6,-11,-13,-15
12,1,-10,-6,11,-4,12,-2,-5,-10,-12,-14
13,1,-11,-6,12,-5,12,-2,-5,-10,-12,-14
13,0,-12,-6,12,-5,12,-2,-5,-10,-11,-13
13,0,-11,-6,12,-5,12,-1,-5,-9,-11,-13
12,0,-11,-6,12,-5,12,-1,-5,-9,-10,-13
12,0,-10,-6,12,-5,12,-1,-4,-8,-10,-13
11,1,-10,-6,11,-5,12,-1,-4,-8,-9,-13
11,1,-9,-6,11,-4,12,-1,-4,-8,-9,-13
11,1,-9,-6,10,-4,12,-1,-5,-8,-9,-13
10,1,-9,-6,10,-4,12,-1,-5,-8,-10,-13
9,1,-8,-5,8,-4,12,-1,-5,-8,-9,-12
9,1,-7,-4,8,-3,12,-1,-5,-7,-9,-12
9,0,-8,-4,8,-4,12,-1,-5,-7,-9,-11
9,0,-9,-4,9,-4,12,-1,-6,-7,-9,-11
9,0,-9,-4,9,-4,11,-1,-6,-7,-9,-11
9,0,-9,-4,9,-4,11,-1,-6,-7,-8,-11
9,0,-9,-4,9,-5,10,-2,-7,-7,-8,-11
8,0,-9,-4,9,-5,10,-3,-7,-7,-8,-11
8,0,-8,-4,8,-4,10,-3,-8,-7,-8,-11
8,0,-7,-4,7,-4,9,-3,-8,-7,-7,-11
8,0,-7,-3,7,-4,9,-3,-9,-7,-7,-10
7,0,-7,-3,7,-4,9,-3,-9,-7,-6,-10
7,-1,-7,-2,6,-5,9,-3,-9,-7,-6,-9
6,-1,-8,-2,6,-5,9,-3,-9,-7,-6,-9
6,-2,-8,-2,6,-5,8,-3,-9,-6,-6,-9
5,-2,-7,-1,6,-5,8,-3,-9,-6,-6,-9
5,-3,-8,-1,6,-6,7,-3,-9,-6,-6,-8
4,-4,-8,0,6,-6,6,-4,-10,-6,-6,-8
4,-4,-8,0,5,-6,6,-4,-11,-6,-6,-7
3,-5,-8,0,5,-6,5,-5,-11,-6,-6,-7
3,-6,-9,1,6,-7,5,-6,-12,-6,-6,-6
2,-6,-9,2,6,-7,4,-6,-12,-6,-6,-6
2,-6,-7,2,5,-6,4,-7,-12,-6,-5,-6
1,-6,-7,2,4,-6,3,-7,-12,-6,-5,-5
1,-7,-8,3,5,-7,3,-7,-12,-6,-5,-5
1,-8,-8,3,5,-8,3,-7,-13,-6,-5,-5
0,-8,-9,4,5,-9,3,-7,-13,-6,-4,-5
0,-9,-9,4,5,-9,2,-7,-13,-6,-4,-4
0,-10,-10,5,5,-10,2,-7,-13,-6,-4,-4
0,-10,-10,5,4,-10,1,-7,-13,-6,-3,-3
-1,-11,-9,6,4,-10,1,-7,-13,-5,-3,-3
-2,-11,-9,7,3,-10,1,-7,-13,-5,-3,-3
-3,-11,-7,7,2,-10,1,-7,-13,-5,-3,-2
-4,-12,-6,8,1,-9,1,-7,-13,-5,-2,-2
-5,-12,-6,9,1,-9,1,-7,-13,-4,-1,-1
-5,-13,-7,9,0,-10,1,-7,-13,-4,0,0
-6,-14,-7,10,0,-10,1,-6,-13,-4,0,0
-6,-14,-7,10,0,-10,1,-6,-13,-3,1,0
-6,-14,-7,10,0,-11,1,-6,-12,-3,1,0
-6,-15,-8,10,1,-11,1,-6,-12,-3,1,1
-6,-16,-8,11,1,-12,2,-6,-11,-2,1,1
-6,-16,-9,11,1,-13,2,-5,-11,-2,2,1
-6,-17,-9,11,1,-13,2,-5,-11,-2,2,1
-7,-17,-8,11,0,-13,2,-5,-11,-2,2,1
-8,-17,-8,12,0,-12,2,-4,-11,-2,1,1
-9,-17,-7,13,0,-12,2,-4,-11,-2,1,1
-9,-17,-7,14,0,-12,2,-4,-11,-2,1,0
-9,-17,-7,14,0,-12,2,-4,-11,-2,1,0
-9,-17,-7,14,0,-12,2,-4,-11,-2,2,1
-10,-17,-7,14,-1,-12,2,-3,-10,-2,2,1
-10,-17,-7,14,-1,-12,3,-2,-10,-1,3,2
-9,-17,-8,13,0,-13,3,-2,-10,-1,3,2
-9,-18,-8,13,0,-13,3,-2,-10,-1,4,3
-10,-19,-8,14,-1,-13,3,-2,-10,-1,4,3
-10,-19,-8,15,-1,-13,4,-2,-10,-1,4,3
-11,-19,-7,15,-1,-13,4,-2,-10,-1,4,3
-11,-18,-6,15,-2,-12,4,-2,-10,-1,4,3
-12,-18,-5,15,-3,-12,4,-2,-10,-1,4,3
-13,-18,-5,15,-4,-12,3,-2,-10,-1,4,3
-13,-18,-5,15,-4,-12,3,-2,-10,-1,4,3
-13,-18,-4,15,-4,-11,3,-2,-10,-1,4,4
-14,-18,-4,16,-4,-11,4,-2,-9,0,4,4
-13,-19,-4,16,-4,-12,4,-2,-9,0,5,5
-13,-19,-5,16,-3,-12,4,-2,-9,0,5,5
-13,-19,-5,16,-3,-12,3,-2,-10,0,4,4
-13,-18,-4,16,-4,-12,3,-3,-10,-1,4,4
-13,-18,-4,16,-4,-12,3,-3,-11,-1,3,3
-13,-18,-4,16,-4,-12,3,-3,-11,-1,3,3
-13,-18,-4,16,-4,-12,3,-3,-11,-1,3,3
-13,-19,-5,16,-4,-12,3,-3,-11,-2,3,3
-13,-19,-5,16,-4,-12,3,-3,-11,-2,3,2
-13,-19,-6,16,-4,-12,3,-3,-11,-2,2,2
-13,-19,-5,16,-4,-12,3,-3,-11,-2,2,2
-14,-19,-4,16,-5,-11,3,-3,-11,-2,2,2
-14,-19,-5,16,-5,-12,3,-3,-11,-2,2,2
-13,-20,-7,16,-3,-14,3,-3,-11,-2,2,3
-13,-20,-7,16,-3,-14,3,-3,-11,-2,2,3
-12,-19,-6,16,-3,-13,3,-3,-11,-2,1,3
-12,-18,-5,15,-4,-12,3,-3,-11,-3,1,3
-12,-17,-4,15,-4,-11,3,-3,-11,-3,1,3
-13,-17,-4,15,-4,-10,3,-3,-11,-3,1,3
-13,-18,-4,15,-4,-11,3,-3,-11,-3,1,3
-12,-18,-5,15,-4,-11,2,-3,-11,-4,1,3
-12,-17,-5,14,-4,-11,2,-3,-12,-4,0,2
-12,-17,-5,14,-4,-11,2,-3,-12,-4,0,3
-13,-16,-4,14,-4,-10,2,-3,-12,-4,0,3
-13,-15,-3,14,-5,-9,2,-3,-12,-4,0,3
-13,-15,-2,14,-5,-9,2,-3,-12,-4,0,3
-13,-15,-2,14,-5,-9,2,-3,-12,-4,0,3
-12,-15,-2,14,-5,-9,2,-3,-12,-4,0,3
-12,-15,-2,13,-5,-9,2,-3,-12,-5,0,3
-12,-15,-2,13,-5,-9,2,-3,-12,-5,0,3
-12,-14,-2,13,-5,-9,2,-3,-12,-5,0,3
-12,-14,-2,13,-5,-8,2,-4,-12,-5,0,3
-12,-14,-2,13,-5,-8,2,-4,-12,-5,0,3
-11,-14,-2,13,-5,-8,1,-4,-12,-5,0,3
-11,-13,-2,12,-4,-8,1,-4,-12,-5,0,3
-10,-13,-2,12,-4,-8,1,-4,-12,-5,0,3
-10,-13,-3,12,-4,-9,2,-3,-12,-4,0,4
-10,-14,-3,12,-4,-9,2,-3,-11,-4,0,4
-11,-14,-3,13,-4,-9,3,-2,-11,-4,0,5
-11,-15,-3,13,-4,-9,3,-2,-11,-4,0,5
-10,-15,-4,13,-3,-10,2,-2,-11,-5,-1,5
-10,-15,-4,13,-3,-10,2,-2,-11,-5,-1,5
-10,-15,-4,13,-3,-10,2,-2,-11,-4,-1,5
-10,-15,-4,13,-3,-10,1,-2,-11,-4,-1,5
