leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-4,-4,0,4,-1,-2,0,-3,-2,-1,-1,-6
-9,-10,-1,10,-4,-5,-1,-7,-5,-3,-2,-16
-12,-13,-2,13,-5,-7,-1,-8,-5,-4,-3,-22
-13,-16,-3,14,-5,-9,0,-8,-5,-4,-4,-26
-12,-17,-5,15,-4,-11,0,-7,-5,-4,-5,-28
-12,-18,-7,15,-3,-12,1,-6,-4,-4,-5,-30
-12,-19,-8,15,-2,-13,2,-4,-3,-4,-5,-31
-12,-19,-8,16,-2,-13,3,-2,-2,-4,-5,-31
-13,-20,-8,16,-3,-13,5,0,-1,-3,-5,-32
-14,-20,-7,17,-3,-13,6,2,0,-2,-5,-32
-14,-21,-7,17,-4,-13,7,4,1,-2,-5,-32
-14,-21,-7,17,-4,-13,8,5,2,-1,-5,-32
-14,-21,-7,17,-3,-13,8,6,2,-2,-5,-33
-13,-21,-8,17,-2,-14,8,5,2,-2,-5,-33
-12,-21,-9,17,-1,-15,8,5,2,-3,-5,-34
-12,-21,-10,17,-1,-15,8,5,2,-3,-5,-34
-13,-21,-9,17,-1,-15,9,7,3,-2,-5,-34
-13,-21,-9,17,-2,-15,9,8,4,-2,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-1,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-1,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-1,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-2,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-2,-5,-34
-13,-21,-8,16,-2,-15,10,9,5,-2,-6,-34
-13,-21,-8,16,-2,-15,10,9,5,-3,-6,-34
-13,-21,-8,16,-2,-15,10,10,5,-3,-6,-34
-13,-21,-9,16,-2,-15,10,10,5,-3,-6,-34
-13,-21,-9,16,-2,-15,10,10,5,-3,-6,-34
-13,-21,-9,16,-2,-15,10,10,5,-3,-6,-34
-12,-21,-9,16,-2,-15,10,10,4,-3,-6,-35
-12,-21,-9,15,-1,-15,10,10,4,-3,-6,-35
-11,-20,-9,15,-1,-15,10,10,4,-3,-6,-35
-11,-20,-9,15,-1,-15,10,10,4,-3,-6,-36
-11,-20,-9,15,-1,-15,10,10,4,-3,-6,-36
-11,-20,-9,15,-1,-15,10,11,4,-3,-6,-37
-11,-20,-9,15,-1,-15,10,11,4,-3,-6,-37
-11,-20,-9,15,-1,-15,10,10,4,-3,-6,-38
-11,-20,-10,15,0,-15,10,10,4,-3,-6,-39
-11,-20,-9,15,0,-15,10,10,4,-3,-6,-40
-11,-20,-9,15,0,-15,10,10,4,-3,-6,-40
-11,-20,-9,15,-1,-15,10,10,4,-3,-6,-41
-11,-20,-8,15,-1,-15,10,10,4,-3,-6,-41
-12,-20,-8,15,-1,-15,10,10,4,-3,-5,-42
-12,-20,-8,15,-1,-15,10,11,4,-2,-5,-42
-12,-20,-8,15,-1,-14,10,11,4,-2,-5,-43
-12,-20,-8,15,-1,-14,10,11,4,-2,-4,-43
-12,-19,-8,15,-1,-14,10,11,4,-2,-4,-43
-12,-19,-8,14,-1,-14,10,11,4,-2,-4,-44
-11,-19,-8,14,-1,-14,10,11,4,-2,-4,-44
-11,-19,-8,14,-1,-14,10,11,4,-2,-4,-45
-11,-19,-8,14,-1,-14,10,11,4,-2,-4,-45
-10,-19,-8,14,-1,-14,10,11,4,-2,-5,-46
-10,-18,-8,14,0,-14,10,11,4,-2,-5,-46
-9,-18,-8,13,0,-14,10,11,4,-2,-5,-47
-9,-18,-9,13,0,-14,9,11,4,-2,-5,-48
-8,-18,-9,12,1,-14,9,11,4,-2,-6,-48
-8,-18,-9,12,1,-14,9,11,4,-2,-6,-49
-9,-18,-8,13,0,-13,9,11,5,-2,-6,-49
-10,-18,-7,13,0,-13,9,12,5,-1,-6,-49
-11,-18,-7,13,-1,-12,9,12,5,-1,-5,-49
-10,-17,-7,13,-1,-12,9,12,5,-1,-5,-49
-10,-17,-7,12,-1,-12,9,12,5,-1,-5,-49
-10,-17,-7,12,-2,-12,9,12,5,-1,-5,-48
-10,-17,-7,13,-2,-12,10,12,5,-1,-5,-48
-10,-17,-7,13,-2,-12,10,12,5,-1,-5,-48
-10,-17,-7,13,-1,-12,10,12,5,-1,-5,-49
-9,-17,-7,13,-1,-12,10,12,5,-1,-5,-49
-9,-17,-8,13,-1,-12,10,12,5,-1,-6,-49
-9,-17,-8,13,-1,-12,10,12,5,-1,-6,-49
-9,-17,-8,12,0,-13,9,12,5,-2,-6,-50
-9,-17,-8,12,0,-13,9,12,5,-2,-6,-50
-9,-17,-7,12,0,-12,9,12,5,-2,-6,-50
-9,-16,-7,12,0,-12,9,12,5,-2,-6,-51
-9,-16,-7,12,0,-12,9,12,5,-2,-6,-51
-9,-16,-7,12,0,-12,9,12,5,-2,-6,-51
-9,-16,-7,12,0,-12,9,12,5,-2,-6,-51
-9,-16,-6,12,0,-11,9,12,5,-2,-6,-51
-9,-15,-6,12,-1,-11,9,12,5,-2,-6,-51
-10,-15,-5,12,-1,-11,9,12,5,-1,-6,-51
-10,-15,-5,12,-2,-11,9,12,5,-1,-6,-51
-10,-15,-5,12,-2,-11,9,12,6,-1,-6,-51
-9,-14,-5,12,-2,-10,9,12,6,-1,-6,-51
-9,-14,-5,12,-2,-10,9,13,6,-1,-6,-51
-9,-14,-5,12,-2,-9,9,13,6,-1,-6,-52
-9,-14,-5,12,-2,-9,9,13,6,-1,-6,-52
-10,-14,-4,12,-2,-9,9,13,6,-1,-6,-52
-10,-14,-4,12,-3,-8,9,13,6,-1,-6,-52
-10,-14,-4,11,-3,-8,9,13,6,-1,-6,-53
-10,-13,-4,11,-2,-8,9,13,6,-1,-6,-53
-9,-13,-4,11,-2,-8,9,13,6,-1,-6,-53
-9,-13,-4,11,-1,-8,9,14,6,-1,-6,-53
-9,-13,-4,11,-1,-8,9,14,6,-1,-6,-53
-10,-13,-3,11,-2,-8,9,15,6,0,-6,-53
-10,-13,-3,11,-3,-8,9,15,6,0,-6,-53
-10,-13,-3,10,-3,-8,9,15,6,0,-6,-54
-10,-12,-2,10,-3,-8,9,15,6,0,-6,-54
-10,-12,-1,10,-4,-7,9,15,7,0,-5,-54
-10,-11,0,11,-4,-6,9,16,7,0,-5,-54
-11,-11,0,11,-5,-6,9,16,7,0,-4,-55
-11,-11,0,10,-5,-5,9,17,7,0,-4,-55
-11,-11,0,10,-5,-5,9,17,8,0,-4,-56
-11,-11,0,10,-5,-5,9,17,8,0,-4,-56
-10,-10,0,9,-5,-5,9,17,9,0,-4,-56
-10,-10,0,9,-5,-5,9,18,9,0,-4,-56
-10,-9,0,9,-5,-5,9,18,10,1,-4,-56
-10,-9,1,9,-5,-4,9,19,10,1,-4,-56
-10,-8,1,9,-5,-4,9,19,10,1,-4,-56
-9,-8,1,9,-5,-3,9,20,10,2,-4,-56
-9,-8,1,8,-5,-3,9,20,10,2,-4,-56
-9,-8,1,8,-5,-3,9,21,11,2,-3,-56
-10,-8,2,8,-6,-2,9,21,11,2,-3,-56
-10,-7,2,8,-6,-2,9,22,12,3,-3,-56
-10,-7,3,8,-6,-2,9,22,13,3,-3,-56
-10,-6,3,7,-6,-1,9,22,13,3,-2,-56
-10,-6,4,7,-6,-1,9,22,14,3,-2,-56
-10,-5,4,7,-7,0,9,23,14,3,-2,-55
-10,-4,5,7,-7,1,9,23,14,4,-1,-55
-10,-3,6,6,-7,1,8,23,14,4,-1,-55
-9,-2,6,6,-7,2,8,23,14,4,-1,-55
-9,-2,7,5,-8,2,8,23,15,5,0,-55
-10,-1,8,5,-9,3,8,24,16,5,0,-55
-10,0,9,4,-9,4,8,24,17,6,1,-54
-10,1,10,4,-10,5,8,25,17,6,1,-53
-10,2,11,3,-10,6,7,25,17,7,2,-52
-10,2,12,3,-11,7,7,25,17,7,2,-52
-10,3,13,3,-11,8,7,25,18,8,3,-51
-10,4,13,2,-12,9,7,25,18,8,4,-51
-9,5,14,1,-12,10,6,25,19,9,5,-50
-8,6,14,0,-11,10,6,24,19,9,6,-50
-8,7,14,0,-11,10,5,24,19,10,7,-49
-8,8,16,-1,-12,12,5,24,19,11,7,-48
-8,9,17,-1,-12,13,5,24,20,12,8,-47
-8,10,18,-2,-12,14,5,24,20,13,9,-46
-7,11,19,-2,-12,15,5,24,21,13,10,-45
-7,12,19,-3,-13,16,5,24,21,14,11,-45
-7,13,19,-3,-13,16,4,24,21,15,12,-44
-7,14,20,-4,-13,17,4,24,22,15,13,-43
-7,15,21,-5,-14,17,4,24,22,16,14,-42
-6,16,22,-6,-14,18,4,24,23,17,15,-41
-5,17,22,-6,-14,19,4,23,23,18,16,-40
-5,18,23,-7,-13,20,4,23,24,19,17,-39
-4,19,23,-7,-13,21,3,23,24,19,18,-39
-4,20,24,-8,-14,22,3,23,24,20,19,-38
-3,20,24,-8,-14,22,3,23,24,20,19,-37
-3,21,24,-9,-14,22,2,22,24,21,20,-37
-2,21,24,-10,-14,22,2,22,25,21,21,-36
-2,22,24,-10,-14,22,2,21,25,22,22,-36
-2,22,24,-10,-14,23,2,21,26,23,23,-35
-2,22,25,-10,-14,23,2,21,26,24,24,-34
-2,22,25,-10,-13,23,2,20,27,24,25,-34
-2,22,24,-11,-13,23,1,20,27,25,25,-34
-1,22,24,-11,-12,23,1,19,27,25,26,-34
-1,22,23,-11,-12,23,1,19,27,26,27,-34
-1,22,23,-11,-12,22,1,18,28,26,28,-33
0,22,22,-11,-11,21,0,18,28,27,28,-33
0,21,21,-11,-10,21,0,18,28,27,29,-33
0,21,20,-11,-9,20,0,17,28,27,29,-33
0,20,18,-11,-8,19,0,17,28,27,29,-33
1,19,17,-11,-7,18,0,16,29,28,29,-33
1,18,17,-10,-7,18,0,16,29,28,30,-33
1,17,17,-10,-7,17,0,16,30,29,30,-33
0,16,16,-9,-7,16,0,16,30,29,30,-33
0,15,15,-8,-7,15,0,16,30,30,30,-34
0,14,13,-8,-6,13,1,15,30,30,29,-34
0,12,11,-7,-6,12,1,15,29,29,29,-35
0,11,9,-6,-5,10,1,14,29,29,29,-35
0,9,8,-5,-4,9,1,14,29,29,28,-36
0,8,7,-4,-4,8,1,14,28,29,28,-38
0,6,6,-3,-3,6,1,13,28,28,27,-39
0,5,5,-2,-2,5,1,13,27,27,26,-41
0,3,4,-2,-2,4,1,12,26,26,25,-42
0,2,3,-1,-1,3,1,12,25,25,24,-44
0,1,2,-1,-1,2,1,12,24,24,23,-45
0,0,1,0,-1,1,1,12,23,23,22,-46
