leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
6,4,-2,-5,4,1,1,1,1,1,0,1
16,11,-5,-14,11,3,3,3,4,2,0,4
22,15,-6,-18,14,4,4,5,6,3,0,5
23,17,-6,-20,15,5,4,5,7,4,0,6
23,17,-6,-20,15,6,4,5,7,4,-1,5
24,17,-7,-20,15,5,3,3,5,2,-3,3
23,16,-8,-19,15,4,1,2,4,1,-4,1
22,15,-8,-18,14,4,1,1,3,0,-5,0
22,15,-8,-19,15,4,1,1,3,0,-5,0
21,14,-7,-18,14,4,2,2,4,1,-4,1
15,11,-4,-13,9,4,3,3,5,3,-4,2
13,10,-3,-11,7,3,4,4,6,4,-4,3
19,14,-6,-16,12,4,5,4,7,4,-4,3
28,19,-9,-23,18,5,5,4,7,4,-4,3
30,21,-9,-25,19,6,5,4,6,4,-4,3
28,21,-7,-25,17,7,5,5,6,4,-4,3
26,20,-6,-23,16,7,5,5,6,4,-4,3
23,18,-5,-21,14,6,5,5,6,4,-5,3
22,17,-4,-20,13,6,5,5,6,4,-5,4
22,17,-5,-19,14,5,5,5,6,4,-5,4
22,15,-7,-18,14,4,5,4,6,4,-6,3
21,14,-7,-17,14,3,4,4,5,3,-7,2
19,12,-7,-15,13,2,3,3,4,2,-8,1
16,8,-7,-12,12,0,1,1,2,0,-10,0
12,6,-6,-9,9,0,0,1,1,0,-11,-1
14,10,-5,-12,10,2,1,2,3,1,-9,0
19,14,-5,-17,12,4,3,4,5,2,-8,2
18,11,-7,-15,12,2,2,3,4,2,-9,2
12,5,-8,-9,10,-1,0,1,3,0,-10,0
9,0,-9,-5,9,-4,-1,0,2,-1,-11,0
8,-1,-9,-3,9,-5,-1,0,1,-1,-12,-1
9,1,-7,-5,8,-3,0,1,2,0,-10,0
17,10,-7,-13,12,1,2,4,5,3,-8,3
28,19,-10,-24,19,4,4,6,7,5,-6,4
32,21,-11,-26,22,5,4,6,7,5,-6,5
27,17,-10,-22,19,3,3,6,6,5,-7,4
23,13,-9,-18,16,2,2,5,5,4,-8,2
17,10,-6,-13,11,2,2,4,4,3,-9,2
10,8,-2,-9,6,4,3,4,4,3,-9,2
12,9,-2,-10,7,4,2,3,4,3,-9,1
17,11,-5,-14,11,3,1,2,3,2,-10,1
20,13,-7,-17,13,3,1,2,2,2,-10,1
23,15,-7,-19,15,4,2,3,3,3,-9,2
23,16,-8,-19,15,4,2,4,3,3,-9,2
21,14,-8,-17,14,3,3,4,3,3,-9,3
19,12,-7,-15,13,3,3,4,3,3,-9,3
18,12,-6,-14,12,4,4,5,4,4,-8,4
16,12,-4,-14,10,5,4,6,4,4,-8,5
14,11,-4,-12,9,4,3,5,3,3,-8,4
15,10,-5,-12,10,3,2,4,2,2,-9,3
18,10,-7,-13,12,1,2,3,1,2,-10,2
18,10,-8,-14,13,0,2,3,1,1,-11,2
16,9,-8,-13,12,0,2,3,1,1,-11,2
13,6,-7,-10,10,0,2,3,1,1,-11,2
11,3,-8,-8,10,-2,2,3,0,1,-11,1
13,4,-9,-9,11,-2,2,3,0,1,-11,1
17,6,-9,-12,13,-1,2,3,0,1,-11,1
18,8,-9,-13,14,0,2,3,0,1,-11,0
16,8,-6,-12,11,0,2,3,0,1,-10,1
13,8,-4,-10,8,1,3,4,0,2,-10,1
12,7,-5,-9,8,0,3,4,0,1,-10,1
12,7,-6,-9,9,0,3,3,0,1,-10,0
11,6,-6,-8,9,0,3,3,-1,0,-10,0
12,6,-7,-8,9,0,3,2,-1,0,-11,0
12,6,-6,-9,9,0,2,2,-1,0,-11,0
8,3,-5,-6,7,0,1,0,-2,-1,-12,-1
6,1,-5,-4,6,-2,0,-1,-4,-3,-14,-3
10,3,-6,-7,8,-2,0,-1,-4,-3,-14,-2
14,8,-6,-11,10,0,1,0,-3,-2,-12,-1
15,10,-5,-12,10,1,2,1,-2,-1,-12,0
13,8,-6,-10,10,0,2,1,-3,-2,-12,0
11,4,-7,-7,9,-1,1,0,-4,-4,-14,-2
11,2,-8,-6,10,-2,0,-1,-5,-5,-15,-3
13,3,-9,-9,11,-2,0,-1,-5,-5,-14,-3
13,5,-7,-9,10,0,1,0,-4,-4,-14,-2
11,4,-5,-8,8,0,1,0,-4,-4,-14,-2
7,1,-6,-4,7,-2,0,-2,-6,-5,-15,-4
4,-2,-7,-1,5,-4,-1,-3,-7,-7,-16,-5
7,0,-7,-3,7,-3,0,-2,-7,-6,-15,-4
12,4,-8,-7,10,-1,1,0,-6,-5,-13,-3
14,6,-8,-10,11,0,1,0,-5,-4,-12,-2
13,6,-6,-10,10,0,2,0,-5,-4,-11,-2
12,6,-4,-10,8,1,2,0,-5,-4,-11,-2
12,7,-4,-10,8,1,3,0,-5,-4,-11,-2
12,8,-5,-10,8,1,3,0,-6,-5,-11,-2
14,9,-5,-12,9,2,3,0,-6,-5,-11,-2
16,10,-6,-13,11,2,3,0,-5,-5,-11,-2
16,10,-6,-12,11,3,4,0,-5,-5,-11,-2
12,8,-4,-10,8,3,4,1,-4,-4,-11,-3
10,4,-4,-7,7,0,3,0,-5,-5,-12,-4
10,2,-7,-6,8,-2,2,-2,-7,-7,-15,-6
11,4,-6,-8,9,-1,2,-1,-6,-7,-14,-6
13,7,-5,-10,9,0,4,0,-4,-5,-13,-4
15,8,-6,-11,10,0,4,0,-5,-5,-12,-4
15,7,-7,-11,11,0,5,0,-5,-5,-12,-4
14,6,-7,-10,10,0,5,0,-6,-6,-12,-4
12,4,-7,-8,9,0,5,0,-6,-6,-12,-5
11,3,-6,-7,9,-1,4,0,-6,-7,-12,-5
10,2,-7,-6,9,-2,4,-1,-7,-8,-13,-6
8,0,-6,-5,7,-2,3,-2,-8,-8,-13,-7
4,0,-3,-2,4,-2,3,-2,-8,-8,-13,-7
0,-2,-2,0,1,-2,3,-2,-8,-9,-14,-8
-2,-4,-2,3,0,-4,2,-3,-9,-10,-15,-9
-1,-4,-3,3,1,-4,2,-3,-10,-10,-15,-9
6,0,-5,-3,6,-3,3,-2,-9,-9,-14,-7
13,6,-7,-9,10,0,5,0,-7,-8,-13,-6
16,7,-8,-11,12,0,5,0,-7,-8,-13,-5
13,5,-8,-9,11,-1,4,-1,-7,-8,-14,-6
7,1,-6,-4,7,-2,4,-1,-7,-9,-14,-6
2,-2,-4,0,3,-3,3,-1,-7,-9,-14,-7
1,-2,-4,0,2,-3,4,-1,-7,-9,-13,-7
2,-1,-4,0,3,-3,4,-1,-8,-9,-12,-7
1,-4,-5,1,3,-5,3,-2,-9,-10,-13,-8
1,-5,-5,2,3,-5,3,-2,-9,-10,-13,-9
3,-3,-4,0,4,-3,4,-1,-7,-9,-11,-7
3,-2,-4,-1,4,-3,4,-1,-7,-8,-11,-7
2,-4,-5,1,3,-5,3,-2,-8,-9,-12,-9
2,-4,-6,1,3,-5,3,-2,-9,-9,-12,-9
3,-1,-5,-1,4,-3,4,-1,-8,-8,-11,-8
4,0,-5,-2,4,-2,4,-1,-8,-8,-10,-8
5,-1,-7,-1,6,-4,3,-2,-9,-10,-11,-9
3,-5,-8,1,6,-6,2,-3,-11,-12,-13,-11
1,-7,-7,3,4,-6,2,-3,-11,-12,-13,-11
2,-4,-5,1,4,-5,3,-2,-9,-11,-12,-10
4,-2,-6,-1,5,-4,4,-1,-9,-10,-12,-9
5,-1,-7,-1,6,-4,4,-1,-9,-10,-12,-9
5,0,-7,-2,6,-4,4,-1,-9,-10,-11,-9
5,0,-7,-2,5,-3,4,-1,-9,-10,-11,-9
3,-2,-6,0,4,-3,4,-2,-9,-10,-12,-9
3,-1,-5,-1,4,-2,5,-1,-9,-10,-12,-9
3,0,-3,-1,3,0,6,0,-8,-9,-11,-8
3,-1,-3,0,3,-2,5,0,-8,-9,-11,-8
3,-4,-6,0,5,-5,3,-2,-10,-11,-13,-10
4,-6,-9,1,6,-7,2,-4,-11,-12,-14,-11
2,-7,-9,2,5,-8,1,-4,-12,-13,-15,-12
-2,-8,-6,5,1,-7,2,-4,-11,-12,-15,-12
-3,-7,-4,5,0,-5,3,-2,-10,-10,-13,-11
3,-2,-5,0,4,-3,4,-1,-9,-9,-12,-10
8,0,-8,-3,9,-3,4,-1,-9,-9,-12,-10
7,-1,-7,-2,8,-3,4,-1,-9,-9,-12,-10
4,-2,-4,-1,5,-2,5,0,-8,-9,-11,-9
2,-1,-2,-1,2,0,7,1,-7,-7,-10,-7
2,0,-1,-1,1,0,8,2,-6,-7,-10,-7
1,0,-2,-1,1,0,8,1,-6,-7,-10,-7
0,-1,-2,0,1,-1,7,0,-7,-8,-10,-8
0,-3,-4,1,2,-3,6,0,-8,-9,-12,-9
1,-5,-6,1,4,-5,5,-1,-9,-11,-13,-10
2,-5,-7,1,5,-6,4,-2,-10,-11,-14,-10
3,-4,-7,0,5,-6,4,-2,-9,-11,-14,-10
3,-4,-7,0,5,-6,4,-2,-9,-11,-14,-10
3,-4,-7,0,4,-5,4,-2,-9,-11,-14,-10
5,-2,-7,-2,5,-4,5,-1,-8,-10,-13,-9
6,-1,-7,-2,6,-4,5,-1,-8,-10,-12,-9
2,-4,-6,1,4,-5,4,-2,-9,-11,-13,-10
1,-4,-5,2,3,-4,5,-1,-9,-11,-12,-10
1,-3,-4,1,3,-3,5,-1,-8,-10,-12,-9
0,-4,-3,2,2,-3,5,-1,-8,-10,-12,-9
1,-2,-3,0,3,-2,5,-1,-8,-10,-12,-9
6,1,-5,-4,5,-1,6,0,-7,-9,-12,-9
8,1,-6,-5,7,-2,5,-1,-8,-10,-12,-10
6,-1,-7,-3,6,-4,4,-2,-9,-11,-13,-11
4,-2,-6,-1,5,-4,4,-2,-9,-10,-13,-11
2,-1,-3,0,2,-2,5,-1,-8,-10,-12,-10
-1,-2,0,2,0,-1,5,-1,-8,-9,-12,-10
-3,-5,0,4,-1,-2,4,-1,-8,-10,-13,-11
-4,-8,-4,6,0,-6,2,-3,-10,-12,-15,-13
-8,-13,-5,10,-1,-9,1,-5,-11,-14,-18,-14
-7,-12,-6,9,-1,-9,1,-5,-11,-14,-18,-14
-1,-6,-7,3,2,-7,2,-3,-10,-12,-17,-13
1,-4,-6,2,3,-6,3,-2,-9,-11,-17,-12
0,-6,-5,4,2,-6,3,-2,-9,-11,-18,-11
1,-3,-4,1,3,-4,5,-1,-8,-10,-17,-10
6,1,-4,-3,5,-1,7,1,-6,-8,-16,-7
6,2,-4,-4,5,-1,7,1,-6,-8,-16,-7
4,0,-3,-2,4,-2,6,0,-7,-9,-17,-7
1,-1,-3,0,2,-2,6,0,-7,-9,-18,-8
1,-1,-4,0,3,-3,6,0,-7,-10,-19,-8
6,0,-6,-3,6,-3,6,0,-7,-10,-19,-8
7,0,-7,-3,7,-3,5,-1,-7,-10,-19,-8
6,-1,-7,-2,7,-4,5,-1,-7,-10,-20,-9
4,-2,-5,-1,5,-3,5,0,-7,-9,-20,-9
1,-3,-3,1,2,-2,5,0,-6,-9,-19,-8
-2,-3,-1,2,0,-2,5,0,-5,-8,-19,-8
-2,-3,-1,2,0,-2,4,0,-5,-8,-19,-8
0,-2,-2,1,0,-2,4,0,-5,-8,-19,-8
0,-1,-1,1,0,-1,4,0,-5,-8,-19,-8
-2,-2,0,2,-2,-1,3,0,-4,-8,-19,-8
1,-3,-2,1,1,-2,2,0,-5,-9,-20,-9
1,-2,-2,0,1,-2,2,0,-5,-8,-19,-8
-3,-3,1,2,-2,0,3,0,-4,-7,-18,-7
-1,-3,-1,1,0,-1,2,0,-4,-7,-18,-8
1,-2,-3,0,1,-3,2,0,-4,-7,-18,-8
0,-3,-3,1,0,-3,2,1,-4,-7,-17,-8
-1,-2,-1,2,-1,-2,4,2,-3,-5,-16,-6
