leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,8,3,-7,1,6,-5,2,12,15,13,14
14,22,8,-18,2,15,-17,2,31,40,34,37
18,30,11,-24,3,21,-27,-4,40,53,46,50
20,36,15,-28,2,26,-36,-17,42,59,53,58
20,41,20,-30,0,30,-43,-33,39,59,53,60
18,39,21,-29,-1,30,-48,-47,29,50,44,53
14,30,16,-22,-1,23,-51,-60,11,30,23,35
9,17,9,-13,0,13,-48,-70,-11,5,-3,12
3,4,3,-3,0,3,-43,-79,-35,-23,-31,-12
-5,-7,-1,7,-2,-4,-38,-88,-62,-54,-61,-37
-15,-18,-2,16,-6,-10,-30,-96,-89,-85,-89,-60
-23,-25,-2,24,-10,-14,-21,-98,-111,-108,-109,-78
-28,-31,-3,30,-12,-17,-12,-94,-122,-120,-119,-88
-29,-36,-7,33,-11,-21,-6,-87,-126,-125,-125,-95
-28,-40,-12,34,-8,-26,-4,-80,-127,-129,-130,-100
-27,-43,-16,35,-6,-29,-3,-72,-126,-130,-133,-103
-28,-45,-17,36,-5,-31,0,-64,-122,-128,-133,-104
-29,-47,-18,38,-5,-32,2,-56,-117,-126,-132,-105
-29,-48,-19,39,-5,-34,5,-50,-112,-123,-131,-105
-29,-49,-20,39,-5,-34,10,-42,-106,-118,-126,-102
-29,-47,-19,39,-5,-33,17,-32,-97,-110,-118,-96
-28,-46,-18,37,-5,-31,23,-24,-89,-102,-111,-92
-28,-46,-18,37,-4,-31,28,-18,-83,-96,-106,-89
-28,-47,-19,37,-4,-33,31,-14,-79,-93,-104,-87
-28,-50,-21,38,-3,-35,32,-11,-76,-92,-103,-86
-28,-51,-23,39,-3,-37,33,-9,-74,-90,-103,-86
-28,-52,-23,39,-2,-38,35,-7,-72,-88,-101,-85
-28,-51,-23,39,-2,-37,37,-4,-69,-86,-98,-83
-28,-50,-22,39,-3,-36,38,-1,-67,-84,-96,-82
-27,-49,-22,38,-2,-36,39,0,-65,-82,-94,-81
-26,-48,-22,37,-2,-35,41,2,-64,-81,-92,-80
-26,-48,-22,37,-2,-35,42,3,-63,-80,-91,-79
-27,-48,-21,37,-3,-35,42,3,-63,-81,-92,-80
-27,-49,-21,38,-4,-35,41,3,-63,-81,-92,-80
-26,-50,-23,38,-3,-36,40,2,-63,-81,-93,-80
-25,-51,-26,38,0,-39,38,1,-64,-83,-95,-82
-26,-54,-28,40,1,-41,36,0,-65,-84,-96,-83
-26,-54,-28,40,1,-41,37,1,-64,-83,-95,-82
-26,-52,-26,39,1,-39,39,3,-61,-80,-91,-79
-27,-50,-23,39,-1,-37,41,4,-60,-77,-88,-77
-28,-51,-22,40,-2,-36,40,4,-60,-77,-89,-77
-27,-51,-24,39,-2,-37,39,3,-60,-78,-91,-78
-25,-51,-25,38,0,-38,38,2,-61,-79,-91,-78
-23,-49,-25,36,0,-37,39,3,-60,-77,-90,-76
-22,-46,-24,35,0,-35,41,6,-57,-74,-86,-74
-23,-46,-23,35,0,-33,42,7,-55,-72,-85,-73
-23,-46,-24,35,0,-34,41,6,-55,-72,-85,-74
-21,-46,-25,34,2,-35,41,6,-56,-73,-85,-74
-21,-46,-25,33,2,-36,40,6,-56,-73,-85,-74
-22,-47,-25,34,1,-36,39,5,-56,-74,-86,-74
-23,-48,-25,35,0,-36,39,5,-56,-74,-87,-74
-23,-48,-25,35,0,-37,38,5,-56,-74,-86,-74
-22,-47,-25,35,0,-36,38,5,-55,-74,-85,-74
-22,-47,-24,35,1,-36,38,5,-54,-73,-84,-73
-23,-47,-24,35,1,-36,39,6,-54,-73,-83,-73
-24,-48,-23,36,0,-36,39,6,-53,-72,-82,-72
-25,-47,-22,36,-1,-35,40,7,-52,-70,-80,-71
-24,-46,-22,35,-1,-34,41,8,-51,-69,-79,-70
-24,-45,-21,34,-1,-34,40,7,-52,-70,-80,-70
-24,-46,-22,35,-2,-35,38,6,-53,-72,-83,-72
-24,-48,-24,36,-1,-37,36,5,-53,-74,-85,-73
-21,-47,-26,34,2,-37,35,5,-53,-74,-84,-72
-18,-44,-26,31,4,-35,37,7,-51,-72,-81,-70
-20,-43,-23,31,2,-33,38,8,-49,-70,-78,-69
-22,-43,-21,32,0,-32,38,9,-49,-69,-77,-68
-21,-42,-21,32,0,-32,38,9,-49,-69,-77,-68
-20,-41,-21,31,0,-31,38,9,-49,-69,-76,-68
-20,-41,-22,31,0,-31,38,9,-48,-69,-77,-68
-20,-41,-21,31,0,-31,38,10,-47,-68,-76,-67
-20,-40,-20,30,0,-30,40,11,-46,-66,-74,-65
-19,-40,-20,30,0,-30,40,11,-45,-66,-74,-65
-20,-42,-22,31,1,-32,38,10,-46,-67,-75,-67
-22,-44,-22,33,0,-33,37,10,-46,-68,-76,-67
-24,-45,-21,34,-1,-32,37,10,-46,-67,-75,-66
-24,-44,-21,34,-2,-32,37,11,-45,-66,-74,-66
