leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,1,-1,7,0
1,0,-1,0,1,-1,1,1,4,-2,18,0
1,0,-1,-1,2,-1,2,1,6,-2,25,0
2,0,-2,-1,2,-1,3,0,6,-3,26,-1
3,0,-2,-2,3,-1,3,-2,4,-6,22,-3
4,0,-3,-2,3,-1,3,-3,3,-10,18,-4
3,-1,-3,-1,2,-2,3,-4,1,-14,14,-6
2,-2,-4,0,2,-3,3,-4,0,-15,14,-6
3,-1,-4,0,3,-3,4,-3,0,-14,19,-5
4,-1,-5,-1,4,-3,5,-2,2,-11,24,-4
4,-1,-5,-1,4,-4,5,-1,3,-9,28,-3
3,-1,-5,-1,4,-4,6,-1,3,-9,27,-3
3,-1,-5,-1,4,-3,6,-3,2,-11,23,-4
3,-2,-6,-1,4,-4,6,-4,0,-14,17,-6
3,-3,-7,0,5,-5,6,-6,-1,-17,12,-7
3,-2,-6,0,4,-4,7,-5,-2,-18,11,-8
3,-1,-5,-1,4,-3,8,-4,-1,-16,15,-7
3,-1,-5,0,4,-3,8,-2,0,-14,19,-5
3,-1,-6,0,4,-4,8,-2,1,-11,23,-4
4,-2,-7,-1,5,-4,7,-2,1,-10,23,-4
5,-3,-8,0,6,-5,6,-3,0,-11,19,-4
4,-3,-8,0,6,-5,6,-5,-1,-13,14,-4
4,-2,-7,0,5,-5,6,-6,-2,-15,9,-5
5,-1,-6,-2,5,-4,6,-6,-3,-16,6,-5
5,-1,-6,-2,6,-4,5,-6,-4,-15,6,-5
4,-2,-6,-1,5,-5,5,-5,-3,-14,9,-5
3,-3,-6,0,4,-5,5,-5,-3,-12,12,-5
2,-3,-5,0,3,-4,6,-5,-3,-11,13,-5
1,-2,-4,0,2,-3,6,-6,-3,-11,11,-5
1,-2,-4,0,2,-3,6,-7,-5,-12,6,-6
1,-2,-3,0,2,-3,5,-8,-6,-14,0,-6
2,0,-2,-1,2,-2,5,-9,-7,-15,-3,-6
3,1,-2,-2,2,-1,5,-9,-7,-14,-3,-6
3,2,-2,-2,2,0,5,-9,-7,-13,-1,-5
3,2,-1,-2,2,0,5,-9,-7,-12,1,-5
3,2,-1,-2,1,0,5,-10,-7,-10,2,-5
2,1,-1,-1,1,0,4,-10,-8,-9,1,-5
2,0,-1,-1,1,0,4,-11,-9,-10,-4,-5
3,0,-3,-1,3,-1,3,-13,-11,-12,-10,-6
4,1,-3,-2,4,-2,3,-14,-12,-13,-16,-6
3,1,-2,-2,3,-1,4,-14,-13,-13,-19,-5
4,1,-3,-3,3,-1,5,-13,-13,-12,-19,-5
6,1,-5,-4,5,-2,5,-13,-14,-11,-19,-6
7,0,-7,-3,6,-4,5,-14,-15,-10,-19,-6
7,-1,-8,-3,7,-5,5,-15,-18,-10,-22,-6
8,-2,-10,-3,9,-6,5,-19,-22,-12,-27,-6
9,-3,-13,-3,11,-8,5,-23,-26,-15,-35,-7
9,-5,-14,-2,12,-10,5,-27,-30,-18,-41,-7
7,-6,-13,0,10,-10,5,-30,-34,-20,-46,-6
5,-7,-12,0,9,-10,4,-33,-39,-21,-47,-4
8,-6,-14,-1,11,-10,3,-36,-43,-22,-46,-2
14,-3,-18,-6,16,-10,0,-38,-47,-22,-42,3
23,-1,-24,-11,24,-12,-2,-38,-50,-21,-37,12
34,2,-32,-18,33,-14,-6,-37,-52,-20,-33,23
45,6,-37,-25,41,-15,-9,-36,-56,-20,-30,36
53,11,-40,-32,47,-14,-13,-36,-61,-20,-27,49
60,17,-43,-39,52,-13,-16,-36,-65,-20,-23,62
67,23,-44,-46,56,-11,-20,-35,-69,-20,-18,75
72,30,-42,-51,57,-7,-22,-33,-71,-19,-13,86
71,37,-35,-54,52,0,-22,-28,-69,-16,-10,93
63,43,-20,-53,41,11,-17,-20,-61,-12,-12,92
49,50,1,-50,24,26,-9,-10,-50,-6,-19,86
33,60,27,-46,3,44,1,-1,-36,0,-32,75
15,70,55,-43,-20,63,11,9,-20,10,-47,61
-1,79,81,-39,-41,80,21,20,0,24,-60,47
-13,83,97,-35,-55,89,31,33,20,39,-70,32
-20,80,101,-30,-61,90,42,48,43,58,-76,16
-25,73,99,-24,-62,86,52,65,67,77,-81,0
-30,67,97,-18,-64,82,61,78,89,93,-86,-14
-33,63,96,-15,-65,80,68,88,107,106,-91,-24
-34,60,94,-13,-64,77,74,97,121,115,-97,-31
-35,55,91,-10,-63,73,77,106,133,121,-106,-37
-36,49,86,-6,-62,67,80,115,144,127,-114,-43
-38,42,80,-2,-60,61,82,123,154,131,-122,-49
-40,35,76,2,-59,55,87,129,161,131,-127,-54
-40,31,71,4,-57,51,92,135,168,131,-128,-58
-39,28,66,6,-54,47,96,139,173,131,-127,-59
-39,24,62,8,-51,43,99,143,178,131,-125,-58
-37,21,58,9,-48,40,102,145,183,132,-124,-55
-34,20,54,8,-44,37,104,143,183,130,-124,-52
-31,18,50,7,-40,34,104,136,179,125,-125,-49
-31,15,46,8,-38,30,103,127,171,119,-126,-46
-31,10,41,10,-36,25,102,116,162,113,-125,-45
-30,7,37,11,-34,22,100,99,152,109,-123,-43
-27,7,35,10,-32,21,99,77,141,104,-121,-42
-27,8,35,9,-31,21,97,52,130,98,-119,-40
-28,8,35,10,-31,21,96,28,118,90,-121,-40
-28,6,34,11,-31,20,93,5,106,79,-127,-40
