leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,0,0,0,0,0,5,0,0,0
1,2,1,-1,0,1,-1,0,14,1,1,-1
2,3,1,-2,0,2,-2,0,20,0,1,-2
2,3,1,-2,0,2,-3,0,23,0,1,-3
1,3,1,-2,0,2,-2,-1,25,1,2,-2
2,3,1,-2,0,2,-1,-1,26,3,3,-1
3,3,1,-3,1,1,0,0,27,4,3,-1
3,3,0,-3,1,1,0,0,28,5,4,0
2,3,0,-3,1,1,0,0,28,5,4,0
1,2,1,-2,0,1,0,0,28,4,3,-1
0,2,2,-1,-2,2,0,0,28,3,2,-1
0,2,2,-1,-2,2,0,0,28,3,2,-1
0,1,1,-1,-1,1,0,0,29,2,1,-1
0,0,0,0,0,0,0,-1,29,2,1,-1
0,-1,-1,0,0,-1,0,-1,29,2,1,-1
0,-1,-1,0,0,-1,1,-1,29,2,1,0
1,0,-1,0,0,-1,1,-2,29,2,0,0
1,0,-2,0,0,-2,1,-2,29,0,0,-1
0,0,-1,0,0,-1,2,-2,29,0,-1,-1
-1,0,0,1,-1,-1,2,-2,29,-1,-2,-1
-2,0,0,1,-2,-1,3,-2,30,-1,-2,-1
-2,-1,0,2,-2,-1,3,-2,30,-1,-2,-1
-3,-2,0,3,-2,-2,4,-2,30,-2,-3,-1
-4,-3,0,4,-2,-2,4,-3,30,-2,-3,-2
-5,-4,0,5,-3,-3,4,-3,30,-2,-3,-2
-5,-4,1,5,-3,-2,4,-4,30,-2,-4,-2
-5,-4,1,5,-3,-2,4,-4,30,-3,-4,-2
-5,-4,0,5,-3,-2,3,-4,30,-3,-5,-3
-4,-3,0,4,-3,-2,3,-4,31,-4,-5,-3
-4,-3,0,4,-2,-2,3,-4,31,-4,-5,-2
-4,-3,0,4,-2,-2,3,-4,31,-4,-5,-2
-4,-3,0,4,-2,-2,4,-4,31,-4,-5,-2
-4,-3,0,4,-2,-2,4,-4,31,-4,-6,-2
-5,-5,0,5,-3,-2,4,-4,31,-4,-6,-2
-6,-6,0,5,-3,-3,4,-4,31,-4,-6,-2
-5,-5,0,5,-3,-3,4,-4,31,-4,-6,-1
-5,-5,0,4,-3,-2,4,-4,32,-4,-6,-1
-5,-4,0,4,-3,-2,4,-4,32,-4,-6,-1
-4,-4,0,4,-3,-2,4,-4,32,-4,-6,-1
-4,-4,0,4,-3,-2,4,-4,32,-4,-6,-1
-4,-5,0,5,-3,-3,4,-4,32,-4,-6,-1
-4,-5,0,5,-3,-3,3,-4,32,-3,-6,-1
-4,-5,0,5,-3,-3,3,-4,32,-3,-5,0
-5,-5,0,5,-3,-3,3,-4,32,-2,-5,0
-5,-5,0,5,-3,-3,3,-4,33,-2,-5,0
-4,-4,0,5,-2,-3,3,-4,33,-2,-5,0
-4,-4,0,5,-3,-3,3,-4,33,-2,-5,1
-5,-4,0,5,-3,-2,4,-4,33,-2,-5,1
-4,-4,0,5,-3,-2,4,-4,33,-1,-5,1
-4,-4,0,4,-3,-2,4,-3,33,-1,-4,2
-4,-4,0,4,-3,-2,4,-3,33,0,-4,2
-4,-4,0,4,-2,-2,4,-3,33,0,-5,2
-4,-4,-1,4,-2,-2,4,-3,34,0,-5,2
-4,-5,-1,5,-3,-2,3,-4,34,0,-5,2
-4,-4,0,4,-3,-2,3,-4,34,0,-5,2
-4,-3,0,4,-3,-1,3,-4,34,0,-4,2
-5,-3,0,4,-3,-2,3,-4,34,1,-4,2
-5,-4,0,4,-2,-2,3,-4,34,1,-4,2
-4,-4,0,4,-2,-2,3,-4,34,1,-4,2
-4,-4,0,4,-3,-2,3,-4,35,1,-3,2
-4,-3,0,4,-3,-2,3,-4,35,2,-3,2
-3,-3,0,3,-2,-2,3,-4,35,2,-4,2
-3,-3,0,3,-2,-2,3,-4,35,2,-4,2
-3,-3,0,4,-2,-2,2,-4,35,1,-4,2
-3,-3,0,4,-2,-2,2,-4,35,1,-4,2
-3,-3,0,3,-2,-1,2,-4,36,2,-4,2
-3,-2,0,3,-2,-1,2,-4,36,2,-4,2
-3,-2,0,3,-2,-1,2,-4,36,2,-3,2
-3,-1,1,2,-2,-1,3,-4,36,2,-3,3
-3,-1,2,2,-3,0,3,-4,36,3,-3,3
-3,-1,2,2,-3,0,2,-4,36,3,-3,3
-3,-1,2,2,-3,1,2,-4,36,3,-3,3
-2,-1,1,1,-3,0,2,-5,37,2,-3,3
-1,0,1,1,-2,0,1,-5,37,2,-3,3
-2,0,1,1,-3,1,1,-5,37,2,-3,3
-3,0,2,2,-4,1,1,-5,37,2,-3,3
-3,0,3,2,-4,1,1,-6,37,2,-3,3
-2,0,2,1,-3,1,1,-6,37,2,-3,3
-2,0,2,1,-2,1,1,-6,38,2,-3,3
-2,0,2,1,-3,1,1,-5,38,3,-3,3
-2,1,3,1,-3,2,1,-5,38,3,-2,4
-2,2,4,0,-3,3,1,-5,38,3,-2,4
-2,2,3,0,-3,3,0,-5,38,3,-2,4
-1,2,3,0,-2,3,-1,-6,38,3,-2,4
-1,3,4,0,-2,3,-2,-6,38,4,-2,5
-1,3,4,0,-3,3,-2,-6,39,4,-2,5
-1,3,4,0,-3,3,-3,-6,39,4,-2,5
-1,3,4,-1,-3,4,-3,-6,39,4,-2,5
0,4,4,-2,-3,4,-3,-7,39,4,-2,5
1,5,4,-3,-2,5,-4,-8,39,3,-2,5
1,6,4,-4,-2,5,-4,-8,39,3,-2,5
2,7,4,-5,-1,6,-4,-9,40,3,-2,5
3,8,4,-5,-1,6,-4,-9,40,3,-2,5
3,8,5,-5,-2,6,-4,-9,40,3,-2,5
2,8,5,-5,-2,6,-4,-9,40,3,-2,6
2,8,6,-5,-2,6,-4,-9,40,3,-2,6
2,8,6,-5,-2,6,-4,-10,40,3,-2,6
3,8,5,-5,-2,6,-4,-10,41,2,-2,6
2,8,5,-4,-2,6,-4,-10,41,2,-2,5
1,6,5,-3,-2,5,-4,-10,41,1,-3,5
0,3,4,-1,-2,3,-4,-10,41,1,-4,4
0,2,2,-1,-1,2,-4,-10,41,0,-4,4
2,2,1,-2,0,1,-3,-9,41,0,-4,4
2,2,0,-2,0,1,-1,-8,41,0,-4,4
1,0,0,-1,0,0,0,-7,42,0,-4,4
0,0,0,0,0,-1,0,-7,42,0,-4,3
0,-2,-1,1,0,-1,0,-7,42,0,-5,2
-1,-3,-1,2,0,-2,0,-7,42,0,-5,2
-3,-5,-1,4,0,-3,1,-7,42,0,-6,1
-3,-5,-2,4,0,-4,1,-7,43,0,-6,1
-2,-5,-2,3,0,-4,2,-8,43,-1,-7,1
-3,-5,-1,4,-1,-4,2,-8,43,-2,-8,0
-5,-6,-1,5,-3,-4,3,-9,43,-3,-9,0
-5,-6,0,5,-3,-4,3,-9,43,-3,-9,-1
-4,-5,0,5,-2,-4,4,-9,43,-3,-9,-1
-3,-4,-1,4,-1,-4,4,-8,44,-3,-9,-1
-4,-5,-1,5,-2,-4,4,-8,44,-3,-10,-1
-6,-6,0,6,-3,-4,5,-8,44,-3,-10,-2
-7,-7,0,7,-4,-4,5,-8,44,-3,-10,-2
-7,-8,-1,8,-4,-5,5,-9,44,-4,-11,-2
-7,-8,-1,8,-4,-5,5,-9,45,-4,-11,-2
-7,-8,-1,8,-4,-5,6,-9,45,-4,-10,-2
-8,-8,0,8,-5,-4,6,-9,45,-4,-10,-2
-8,-8,0,7,-4,-4,6,-8,45,-4,-10,-2
-7,-7,0,7,-3,-4,6,-8,45,-4,-10,-2
-6,-7,-1,6,-3,-4,6,-8,46,-4,-10,-2
-6,-8,-2,6,-2,-5,6,-8,46,-4,-10,-2
-5,-8,-3,6,-2,-5,6,-8,46,-4,-10,-2
