leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,4,3,-2,-1,3,1,5,-183,-2,0,0
2,10,8,-6,-3,9,0,8,-542,-7,-3,-1
2,12,11,-7,-4,12,-5,0,-41,-10,-5,-4
-1,9,10,-4,-5,9,-8,-14,977,-11,-6,-6
-5,-2,3,3,-4,0,-9,-31,1467,-7,-4,-6
-10,-22,-10,16,0,-16,-3,-44,1680,3,2,-1
-15,-41,-25,28,4,-34,8,-44,1782,13,12,8
-14,-45,-29,29,7,-37,18,-26,1821,15,18,16
-9,-30,-20,19,5,-25,19,-5,1781,8,15,17
-5,-12,-6,8,1,-9,11,2,1682,-2,6,9
-3,-1,2,2,-2,0,1,-4,1573,-9,-2,0
-3,3,7,0,-4,5,-5,-16,1466,-11,-6,-5
-5,0,5,2,-4,2,-8,-32,1346,-10,-6,-7
-10,-16,-5,12,-2,-11,-6,-47,1234,-3,-3,-6
-16,-36,-19,26,1,-28,2,-52,1179,7,5,1
-18,-46,-26,31,3,-37,14,-39,1176,13,13,11
-14,-37,-21,25,2,-29,18,-18,1149,8,13,15
-10,-19,-8,14,-1,-14,13,-5,1137,-1,5,9
-8,-6,2,7,-4,-2,5,-6,973,-9,-2,1
-7,0,8,3,-6,3,0,-13,943,-13,-7,-5
-7,0,8,3,-6,3,-1,-23,1084,-15,-10,-9
-9,-10,0,10,-4,-5,-1,-35,1162,-11,-10,-11
-14,-30,-13,22,-1,-22,5,-45,1530,-1,-4,-7
-18,-44,-24,31,1,-35,15,-42,1751,7,6,3
-18,-42,-23,30,1,-33,22,-26,1898,8,10,10
-14,-27,-12,20,-1,-20,20,-12,2161,1,5,8
-11,-11,-1,11,-4,-6,12,-9,2029,-7,-2,0
-9,-2,5,6,-6,1,6,-14,1959,-13,-8,-7
-8,0,7,4,-6,3,4,-22,2035,-16,-11,-11
-8,-5,2,6,-4,-2,3,-32,2056,-14,-12,-13
-11,-22,-9,16,-1,-16,7,-43,2215,-6,-7,-10
-17,-40,-20,28,0,-31,17,-44,2053,4,3,0
-19,-45,-23,32,0,-35,25,-31,1265,9,10,8
-15,-32,-15,24,-1,-24,26,-14,328,4,9,9
-12,-14,-3,13,-4,-9,19,-6,459,-4,2,3
-11,-4,5,7,-6,0,13,-9,809,-10,-4,-4
-11,0,9,6,-8,4,9,-16,914,-13,-8,-9
-12,-5,7,8,-8,0,6,-26,1440,-14,-11,-12
-14,-18,-2,16,-5,-11,8,-37,1072,-9,-9,-12
-17,-36,-16,26,-1,-27,16,-41,168,1,0,-4
-18,-45,-24,31,1,-35,27,-29,-301,8,8,5
-16,-38,-20,27,0,-30,32,-8,-334,6,9,8
-13,-22,-8,18,-2,-16,27,5,69,-2,3,3
-10,-8,1,9,-4,-4,19,4,423,-8,-3,-3
-9,0,6,4,-4,2,14,-4,198,-10,-5,-7
-8,0,7,4,-5,3,10,-17,6,-11,-7,-9
-10,-9,1,9,-4,-4,9,-31,411,-7,-5,-10
-14,-27,-11,20,-2,-19,14,-40,689,2,1,-4
-17,-42,-22,29,0,-32,24,-33,503,11,9,5
-16,-40,-23,28,1,-32,31,-12,754,12,14,11
-12,-25,-12,19,-1,-19,29,5,1067,6,11,9
-10,-9,-1,10,-3,-5,21,8,1281,0,5,3
-9,0,6,5,-4,3,14,1,1411,-3,1,-1
-8,2,8,3,-5,5,10,-10,664,-5,0,-4
-9,-3,5,6,-5,1,7,-23,155,-4,-1,-5
-11,-18,-5,14,-3,-12,10,-35,629,3,3,-2
-15,-36,-18,25,-1,-27,19,-34,968,12,12,5
-16,-42,-22,29,0,-32,27,-17,1021,16,18,13
-13,-29,-15,22,-1,-22,29,3,1314,13,18,14
-7,-11,-4,10,-1,-8,24,12,1592,6,13,9
-4,0,2,2,-1,1,17,8,1883,2,8,3
-3,5,5,-1,-1,5,12,-2,1336,0,5,0
-3,3,5,0,-2,3,9,-15,260,0,4,-2
-6,-9,-2,7,-1,-6,10,-28,-304,5,6,-1
-9,-28,-15,18,0,-21,17,-33,-529,14,13,5
-11,-38,-23,24,2,-31,26,-22,-543,20,21,14
-8,-31,-20,19,3,-26,31,-1,-480,19,24,18
-5,-15,-9,10,1,-12,27,12,-417,13,19,15
-4,-3,-1,3,0,-2,20,12,-351,8,13,8
-3,3,3,0,0,3,15,3,-275,5,11,5
-2,4,4,-1,0,4,11,-8,-211,3,9,3
-3,-4,-1,3,0,-2,9,-21,-165,5,9,1
-7,-21,-12,14,1,-16,13,-30,-97,12,13,4
-10,-36,-22,23,3,-29,22,-25,18,20,21,12
-9,-36,-23,22,4,-30,28,-6,134,21,25,17
-5,-21,-15,13,3,-18,27,11,198,16,23,16
-3,-6,-5,5,2,-5,21,15,233,10,18,11
