leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
5,4,0,-5,2,2,-2,2,-4,-4,14,-4
12,12,-1,-12,6,5,-5,6,-11,-10,37,-11
17,16,-1,-17,9,7,-7,9,-15,-13,49,-15
21,20,-1,-20,11,9,-8,10,-18,-15,56,-17
23,22,-1,-23,12,10,-9,10,-19,-17,60,-18
25,24,-1,-25,13,10,-10,10,-20,-17,62,-19
27,25,-2,-26,14,11,-10,10,-21,-17,64,-18
28,26,-2,-27,15,11,-10,11,-21,-17,65,-18
29,27,-2,-28,15,12,-10,12,-20,-17,66,-16
29,27,-2,-28,15,13,-9,12,-20,-16,66,-15
28,27,-2,-27,15,13,-9,12,-20,-16,65,-15
28,26,-2,-27,15,12,-9,12,-20,-16,64,-14
28,27,-1,-27,15,12,-9,12,-20,-16,63,-14
28,27,-1,-28,15,12,-9,12,-20,-16,62,-13
29,27,-1,-28,15,12,-9,12,-20,-16,62,-13
29,28,-2,-29,16,12,-9,12,-20,-15,62,-12
30,28,-2,-29,16,13,-9,12,-20,-14,63,-10
31,29,-2,-30,17,13,-9,13,-19,-13,63,-9
32,30,-2,-31,17,14,-9,13,-19,-13,63,-8
33,30,-3,-32,18,14,-9,14,-19,-13,63,-7
34,31,-3,-32,18,14,-9,14,-19,-13,63,-6
34,31,-3,-32,18,14,-9,13,-19,-13,62,-6
34,31,-3,-32,18,14,-9,13,-19,-13,62,-6
33,30,-3,-31,18,13,-9,12,-19,-13,62,-6
33,30,-3,-31,18,13,-10,12,-19,-13,62,-5
33,30,-3,-31,18,13,-10,12,-19,-12,62,-5
33,30,-3,-31,18,13,-10,12,-19,-12,62,-4
33,30,-3,-31,18,13,-10,12,-20,-13,61,-4
33,30,-2,-31,18,13,-10,12,-20,-13,61,-4
33,30,-2,-32,18,14,-9,12,-20,-13,61,-4
34,32,-1,-33,18,15,-9,12,-20,-13,61,-4
35,33,-1,-34,19,16,-9,12,-20,-13,61,-4
36,34,-1,-35,19,16,-9,12,-20,-13,61,-4
37,35,-2,-36,20,16,-9,11,-20,-13,61,-4
37,35,-2,-36,20,16,-9,10,-20,-13,60,-4
37,34,-2,-35,20,16,-10,10,-20,-13,60,-4
36,34,-2,-35,20,16,-10,9,-21,-14,59,-4
36,34,-2,-35,20,16,-10,9,-21,-14,59,-4
36,34,-2,-35,20,16,-11,8,-21,-15,58,-4
36,33,-3,-35,20,15,-11,8,-22,-15,58,-4
36,33,-3,-34,20,15,-12,7,-22,-16,57,-5
36,33,-3,-34,20,15,-12,7,-22,-16,57,-5
36,33,-3,-34,20,15,-11,6,-23,-16,57,-5
36,33,-3,-34,19,15,-11,6,-23,-16,56,-5
36,33,-3,-34,19,15,-10,6,-23,-16,56,-5
36,33,-3,-34,20,15,-10,6,-24,-17,55,-6
36,32,-3,-34,20,15,-10,5,-24,-17,54,-6
35,32,-3,-33,19,15,-10,5,-24,-17,54,-7
34,31,-3,-32,18,14,-10,4,-24,-17,54,-7
34,31,-2,-32,18,14,-10,4,-24,-17,54,-8
33,30,-2,-32,18,14,-10,4,-24,-18,53,-8
33,30,-3,-31,18,13,-10,4,-24,-18,53,-9
33,29,-3,-31,18,13,-10,4,-24,-18,52,-10
32,28,-3,-30,18,12,-9,4,-23,-18,51,-10
31,28,-2,-29,17,12,-8,4,-23,-18,50,-11
29,27,-2,-28,16,12,-8,3,-22,-18,50,-11
28,26,-1,-27,15,12,-7,3,-22,-18,50,-12
26,25,-1,-26,14,12,-6,3,-22,-18,50,-12
25,24,-1,-25,13,12,-6,3,-22,-18,49,-13
24,23,0,-24,12,12,-5,3,-22,-18,49,-14
23,23,0,-23,11,12,-5,3,-21,-17,48,-14
22,22,1,-22,10,12,-4,4,-21,-16,48,-15
21,22,2,-21,9,12,-3,4,-20,-16,47,-15
20,22,3,-21,8,12,-2,4,-19,-16,47,-15
19,22,3,-20,8,12,-1,4,-18,-16,47,-15
19,21,2,-20,7,12,0,4,-18,-16,46,-16
18,20,2,-19,7,11,0,4,-18,-16,46,-17
17,19,2,-18,6,11,0,4,-18,-16,45,-18
16,19,3,-18,6,11,0,4,-18,-16,44,-18
15,18,3,-17,6,11,1,4,-18,-16,43,-19
14,17,3,-16,5,11,1,4,-19,-16,42,-19
13,16,3,-15,5,10,1,4,-19,-16,42,-20
12,16,4,-14,4,10,1,4,-19,-16,41,-20
11,16,4,-13,3,10,1,4,-19,-16,41,-20
10,15,5,-13,2,10,1,4,-19,-15,41,-20
9,15,5,-12,1,10,1,3,-19,-15,41,-20
8,14,5,-11,1,10,1,3,-19,-15,40,-21
7,13,6,-11,0,10,2,3,-19,-15,40,-21
6,13,6,-10,0,10,2,3,-19,-15,40,-21
6,12,6,-10,0,9,3,3,-19,-15,40,-21
5,12,6,-9,0,9,3,3,-19,-15,39,-21
5,12,6,-9,0,9,3,3,-19,-15,39,-22
5,11,6,-8,-1,9,3,3,-19,-15,38,-22
4,11,6,-8,-1,9,3,2,-19,-15,37,-23
4,10,6,-7,-1,9,2,2,-19,-15,36,-23
4,10,6,-7,-1,9,2,1,-20,-15,35,-23
5,10,6,-8,0,9,2,1,-20,-15,34,-23
5,10,5,-8,0,9,2,0,-20,-15,33,-23
5,10,5,-8,0,8,2,0,-20,-15,32,-23
5,9,4,-7,0,8,2,0,-20,-15,31,-23
4,9,4,-7,0,7,2,0,-20,-15,31,-23
4,9,4,-7,-1,7,2,0,-20,-15,31,-23
4,9,4,-6,-1,7,2,0,-20,-15,31,-23
4,8,4,-6,-1,6,2,0,-20,-15,30,-23
3,8,4,-6,-1,6,2,0,-19,-14,30,-23
2,7,5,-5,-1,6,2,0,-19,-14,29,-23
2,7,5,-5,-1,5,2,-1,-19,-14,28,-23
2,7,4,-5,-1,5,2,-1,-19,-14,28,-24
3,7,3,-5,0,5,3,-1,-19,-14,28,-24
3,7,3,-5,0,5,3,-1,-19,-14,28,-24
2,6,4,-4,-1,6,3,-1,-19,-14,28,-24
1,6,5,-4,-2,6,3,-1,-19,-14,28,-24
1,6,5,-4,-2,6,3,-1,-19,-14,29,-23
1,6,5,-4,-2,5,4,-1,-19,-13,29,-23
1,6,5,-4,-2,5,4,-1,-19,-13,29,-22
1,6,5,-4,-2,5,4,-1,-19,-12,30,-22
1,6,5,-4,-2,5,4,-1,-19,-12,30,-21
0,6,5,-4,-2,5,4,-1,-18,-12,30,-21
0,5,5,-3,-2,5,4,-1,-18,-12,30,-21
0,5,5,-3,-2,5,4,-1,-18,-12,30,-21
0,5,5,-3,-2,5,3,-1,-18,-12,29,-22
0,5,5,-3,-2,5,3,-1,-18,-12,29,-22
0,5,5,-3,-2,5,3,-1,-18,-12,28,-22
0,5,5,-3,-2,5,3,-1,-18,-12,28,-22
0,5,5,-3,-2,5,3,-1,-18,-13,28,-22
0,5,5,-3,-2,5,3,-1,-18,-13,28,-22
0,5,4,-3,-2,5,3,-1,-18,-13,28,-23
0,5,4,-3,-1,5,2,-2,-18,-13,27,-23
0,5,3,-3,-1,4,2,-2,-18,-13,27,-23
0,5,4,-3,-1,4,2,-2,-18,-13,27,-23
0,5,5,-2,-2,4,2,-2,-18,-13,27,-23
-1,4,5,-1,-3,4,2,-2,-18,-13,27,-23
-2,4,5,-1,-4,4,2,-2,-17,-13,27,-23
-2,3,5,-1,-4,4,2,-1,-17,-13,27,-23
-2,3,5,-1,-3,4,2,-1,-17,-13,27,-23
-1,3,4,-1,-3,4,2,-1,-17,-13,28,-22
-1,3,4,-1,-3,4,2,-1,-17,-12,28,-22
-1,3,4,-1,-3,4,2,0,-17,-12,28,-22
-1,3,4,-1,-3,4,1,0,-16,-12,28,-21
-1,3,4,-1,-3,4,1,0,-16,-12,28,-21
-2,3,4,-1,-3,3,1,0,-16,-12,28,-21
-2,2,4,0,-3,3,1,0,-16,-12,27,-21
-2,2,4,0,-3,3,1,0,-16,-12,27,-21
-2,1,4,0,-3,3,1,0,-16,-12,27,-21
-3,1,4,0,-3,3,0,0,-16,-12,27,-21
-3,1,4,0,-3,2,0,0,-16,-12,27,-21
-3,1,4,0,-3,2,0,0,-16,-12,27,-21
-3,0,3,1,-3,1,0,0,-15,-12,27,-21
-3,0,3,1,-3,1,0,0,-15,-11,27,-21
-3,0,4,1,-3,1,0,1,-14,-11,27,-21
-4,0,4,2,-4,2,0,1,-14,-11,27,-21
-4,0,4,2,-4,2,0,1,-14,-11,27,-21
-4,-1,4,2,-4,2,0,1,-14,-11,26,-21
-4,-1,4,2,-4,2,0,1,-13,-11,26,-21
-5,-1,4,2,-4,2,0,1,-13,-10,26,-21
-5,-1,4,2,-5,2,0,1,-12,-10,26,-21
-5,-1,4,3,-5,1,0,1,-12,-10,25,-21
-5,-2,4,3,-5,1,0,0,-12,-10,25,-22
-5,-2,3,3,-5,0,0,0,-12,-10,24,-22
-5,-2,3,3,-4,0,0,0,-12,-10,24,-23
-5,-2,3,3,-4,0,0,0,-12,-10,23,-23
-5,-2,3,4,-4,0,0,0,-12,-10,23,-23
-6,-2,3,4,-4,0,0,0,-12,-10,22,-23
-6,-2,3,4,-4,0,-1,0,-12,-10,22,-23
-6,-2,3,4,-4,0,-1,0,-12,-10,22,-23
-6,-2,3,4,-4,0,-1,0,-12,-10,22,-23
-6,-2,3,4,-4,0,-1,0,-12,-10,22,-23
-6,-2,4,4,-5,0,-1,0,-12,-10,22,-23
-6,-2,4,4,-5,1,-1,0,-11,-10,22,-22
-6,-2,4,4,-5,1,-1,0,-11,-10,22,-22
-6,-2,4,4,-5,1,-1,0,-10,-10,22,-21
-5,-2,4,4,-4,1,-1,0,-10,-10,22,-21
-6,-2,3,4,-4,0,-2,0,-10,-10,22,-22
-6,-3,3,4,-4,0,-2,0,-10,-10,21,-22
-6,-3,2,4,-4,0,-2,0,-10,-10,21,-22
-6,-3,2,4,-4,0,-2,0,-10,-10,21,-22
-7,-3,3,5,-5,0,-2,0,-10,-10,21,-21
-7,-3,3,5,-5,0,-2,0,-10,-11,21,-21
-8,-4,3,6,-5,0,-2,0,-10,-11,21,-21
-8,-4,3,6,-5,0,-2,0,-10,-11,20,-21
-9,-4,3,7,-5,0,-2,0,-10,-11,20,-21
-9,-5,3,7,-5,-1,-2,0,-10,-11,20,-21
-9,-5,3,7,-5,-1,-2,0,-10,-11,19,-20
-9,-6,3,8,-6,-1,-2,0,-10,-12,19,-20
-10,-6,3,8,-6,-1,-2,0,-11,-12,19,-19
-10,-6,3,8,-6,-2,-2,0,-11,-12,18,-19
-10,-6,3,8,-6,-2,-2,0,-11,-12,18,-19
-10,-6,3,8,-6,-2,-2,0,-10,-11,18,-19
-10,-6,3,8,-6,-1,-2,0,-10,-11,18,-18
-10,-6,3,8,-6,-1,-2,0,-9,-11,17,-18
-11,-6,3,9,-7,-1,-2,0,-9,-11,17,-18
-11,-7,3,9,-7,-2,-2,0,-9,-11,17,-18
-12,-8,3,10,-7,-2,-2,0,-9,-11,16,-18
-12,-8,3,10,-7,-3,-2,0,-9,-11,16,-18
-11,-8,3,10,-7,-3,-2,-1,-10,-11,15,-18
-11,-9,3,10,-7,-3,-2,-1,-10,-11,15,-18
-13,-10,3,11,-8,-4,-3,-2,-10,-11,14,-18
-14,-10,3,12,-8,-4,-3,-2,-11,-11,14,-18
-14,-11,2,13,-8,-4,-3,-3,-11,-11,13,-19
-14,-11,2,13,-8,-4,-3,-3,-11,-11,13,-19
-14,-10,2,12,-8,-4,-3,-3,-10,-11,13,-18
-14,-10,3,12,-9,-4,-3,-3,-10,-11,13,-18
-14,-11,3,12,-9,-4,-3,-3,-10,-11,13,-18
-14,-11,3,13,-9,-4,-3,-3,-10,-11,13,-18
-14,-12,3,13,-9,-4,-3,-3,-10,-11,13,-17
-15,-12,2,14,-9,-4,-3,-3,-10,-11,12,-17
-15,-12,2,14,-9,-4,-3,-4,-11,-11,12,-16
-15,-12,2,13,-8,-4,-3,-4,-11,-11,12,-16
-15,-12,2,13,-8,-4,-3,-4,-11,-11,12,-16
-15,-12,2,14,-9,-5,-3,-4,-11,-11,12,-17
-16,-13,2,15,-9,-6,-3,-4,-10,-11,12,-17
