leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,0,0,-2,0
-1,-1,0,1,-1,0,1,-2,0,-2,-5,-1
-1,-1,0,1,-1,0,1,-3,-1,-3,-7,-1
-2,-2,0,2,-2,-1,1,-3,-2,-3,-8,-2
-3,-3,0,3,-2,-1,1,-3,-2,-4,-9,-2
-4,-4,0,4,-2,-2,2,-3,-3,-4,-9,-2
-4,-4,0,4,-2,-2,2,-3,-3,-4,-9,-2
-4,-4,0,5,-2,-2,2,-3,-3,-4,-9,-2
-5,-5,0,5,-3,-2,2,-3,-3,-4,-9,-2
-5,-5,0,5,-3,-2,2,-3,-3,-4,-9,-3
-4,-5,0,4,-3,-2,2,-3,-2,-4,-8,-3
-3,-3,0,3,-2,-2,2,-2,-2,-4,-8,-2
-2,-2,0,2,-1,-1,2,-2,-1,-3,-7,-2
-2,-1,0,2,-1,-1,2,-2,-1,-3,-7,-2
-3,-2,1,3,-3,0,2,-1,0,-2,-6,-2
-4,-3,1,4,-3,0,2,-1,0,-2,-6,-2
-3,-3,0,4,-2,-1,2,-1,-1,-2,-6,-2
-3,-3,-1,3,-1,-2,2,-1,-1,-2,-6,-3
-2,-3,-1,3,-1,-1,2,-1,-1,-2,-6,-3
-2,-3,0,3,-2,-1,2,-1,-1,-2,-6,-3
-4,-4,0,4,-3,-1,1,-1,-1,-2,-6,-3
-5,-5,0,5,-3,-2,1,-1,-1,-2,-6,-3
-4,-4,0,4,-2,-2,1,0,-1,-2,-6,-3
-4,-3,0,4,-2,-1,1,0,0,-1,-6,-3
-4,-3,0,4,-3,-1,1,0,0,-1,-6,-3
-4,-4,0,4,-3,-1,1,0,0,-1,-6,-3
-4,-4,0,4,-3,-1,1,0,0,-1,-6,-3
-3,-3,0,3,-3,-1,2,1,0,-1,-5,-2
-2,-2,0,2,-2,0,2,2,0,-1,-5,-2
-1,-1,0,1,-1,0,2,2,0,-1,-5,-2
-1,-1,0,1,-1,0,2,2,0,-1,-5,-2
-2,-2,0,3,-2,0,2,2,0,-1,-5,-2
-3,-2,1,3,-3,0,2,2,0,-1,-5,-2
-3,-1,1,2,-2,0,2,2,0,0,-4,-1
-2,-1,0,1,-2,0,2,3,0,0,-4,-1
-1,0,0,1,-1,0,2,3,0,0,-4,-1
-1,0,0,0,-1,0,2,3,0,0,-5,-2
-1,0,0,0,-1,0,2,3,0,0,-5,-2
-2,0,1,1,-2,0,2,3,0,0,-5,-2
-3,-1,1,2,-3,0,2,4,1,0,-5,-2
-4,-2,1,2,-3,0,2,5,1,0,-5,-2
-4,-1,1,2,-3,0,2,5,2,1,-5,-2
-5,-2,2,3,-4,0,2,6,2,1,-5,-2
-6,-3,2,4,-4,0,1,6,1,1,-5,-2
-5,-3,2,4,-4,-1,1,6,1,1,-5,-2
-4,-3,1,4,-3,-1,1,6,1,1,-6,-2
-3,-2,1,3,-3,0,1,7,1,1,-6,-2
-3,-1,1,2,-2,0,1,7,2,1,-5,-2
-4,-1,2,3,-3,0,1,7,2,1,-5,-1
-4,-2,2,3,-3,0,1,8,3,1,-5,-1
-4,-2,2,3,-3,0,1,8,3,2,-5,-1
-4,-2,2,3,-4,1,2,9,4,3,-4,-1
-3,0,3,2,-4,2,2,11,5,4,-3,0
-2,1,3,0,-3,2,2,12,6,4,-3,0
-2,1,3,0,-2,2,2,13,6,4,-2,1
-2,1,3,0,-2,2,2,13,7,4,-2,1
-2,0,3,1,-2,2,1,13,7,4,-3,1
-3,0,3,1,-3,2,1,14,7,4,-3,1
-5,0,4,2,-4,2,1,14,7,4,-3,1
-7,-2,4,4,-6,2,1,14,7,4,-3,0
-7,-2,4,4,-6,1,0,14,7,4,-3,0
-5,-1,3,3,-6,2,1,15,7,5,-2,0
-5,0,4,3,-6,2,1,16,8,6,-2,0
-3,1,4,1,-5,3,1,17,9,6,-2,0
-1,3,4,0,-4,3,1,18,11,7,-1,1
0,4,4,-1,-4,4,1,19,12,8,-1,1
0,5,4,-2,-3,5,2,20,13,9,0,2
1,5,4,-3,-3,5,2,21,13,9,1,2
1,6,4,-3,-2,5,2,21,13,9,1,2
2,7,5,-4,-2,6,2,22,14,10,2,3
2,7,6,-4,-3,6,2,23,14,10,2,3
1,6,6,-3,-3,6,1,24,15,10,2,3
0,5,6,-2,-4,5,0,24,15,10,1,3
-1,5,6,-2,-4,5,0,25,15,11,2,3
-1,5,7,-2,-5,6,0,25,16,11,2,3
-2,6,7,-2,-5,6,1,26,16,12,3,3
-1,7,7,-3,-5,7,1,26,17,12,3,3
-1,7,7,-3,-5,7,1,27,17,13,4,4
-2,7,8,-3,-6,7,0,28,17,13,4,4
-3,6,8,-2,-6,7,0,28,18,13,3,4
-3,6,9,-2,-7,8,0,29,18,13,3,5
-3,6,9,-2,-7,8,0,30,19,14,4,5
-3,7,8,-2,-6,8,0,30,19,14,4,6
-1,7,7,-3,-5,8,0,31,19,14,4,6
0,8,7,-4,-5,8,0,31,20,15,5,6
1,9,7,-4,-4,9,0,31,20,15,5,7
1,9,7,-4,-4,9,0,31,20,15,5,7
1,9,7,-4,-4,8,-1,31,21,15,5,7
2,9,7,-5,-3,8,-1,32,21,16,6,7
2,10,7,-6,-2,9,-1,32,21,16,6,8
1,10,7,-6,-3,9,-2,32,21,16,6,9
2,11,8,-6,-3,10,-2,33,22,17,7,9
3,12,8,-8,-2,10,-2,33,23,17,7,9
4,12,8,-8,-2,10,-2,33,23,18,7,10
4,11,7,-7,-2,10,-2,33,23,18,7,10
4,11,7,-7,-2,9,-2,33,23,18,8,10
5,12,7,-8,-2,10,-1,33,23,18,8,10
5,12,7,-9,-2,10,-1,33,23,18,8,10
5,12,6,-9,-1,10,-2,33,23,18,8,10
6,12,5,-9,0,9,-2,32,22,17,7,10
7,13,4,-10,0,8,-3,31,21,17,7,10
8,13,4,-11,1,9,-3,31,21,17,7,10
8,13,4,-11,1,9,-3,30,21,17,7,10
8,13,4,-10,1,9,-3,29,21,17,7,10
8,12,4,-10,1,9,-4,29,21,17,7,10
9,13,4,-11,2,9,-4,28,21,17,7,10
9,13,3,-11,2,9,-4,28,21,17,7,10
9,12,3,-11,2,8,-4,27,21,17,7,11
8,12,3,-10,1,8,-3,26,21,18,8,11
8,11,3,-10,1,7,-3,25,20,18,8,11
8,10,1,-9,2,6,-4,23,19,17,8,11
9,10,0,-9,3,5,-4,22,18,17,8,11
9,9,-1,-9,4,5,-4,21,17,16,8,11
9,9,-2,-9,5,4,-4,20,16,16,9,11
10,8,-3,-9,5,3,-5,18,16,15,8,11
10,8,-3,-9,5,3,-5,16,15,15,8,11
10,7,-3,-9,5,3,-5,14,14,15,8,11
9,7,-3,-8,5,2,-5,12,13,14,8,11
8,6,-3,-7,5,2,-5,11,12,14,8,10
7,5,-3,-6,5,2,-5,10,11,13,8,10
7,5,-3,-6,5,2,-4,9,11,13,8,10
8,6,-3,-7,5,2,-4,9,11,13,7,10
7,5,-3,-6,5,1,-4,8,10,12,6,9
6,3,-3,-5,4,0,-5,7,8,10,5,8
5,2,-3,-4,3,0,-5,6,7,9,5,7
5,2,-3,-4,3,0,-5,5,7,9,4,7
4,1,-3,-3,3,0,-5,3,6,8,4,6
3,0,-3,-2,2,-1,-5,2,5,7,3,6
2,0,-3,-1,2,-1,-5,1,4,6,2,5
1,0,-2,0,1,-1,-4,0,3,5,1,4
0,-1,-2,0,1,-1,-4,-1,2,4,0,3
1,-1,-3,0,1,-2,-4,-1,1,4,0,2
1,-1,-3,-1,1,-1,-4,-2,1,3,0,2
1,-1,-3,0,1,-1,-3,-2,0,3,0,2
0,-1,-3,0,0,-1,-2,-3,0,3,-1,1
1,-1,-3,0,1,-1,-2,-3,0,2,-1,1
1,-1,-3,0,1,-1,-1,-3,0,2,-2,0
1,-1,-3,0,1,-2,-1,-4,0,1,-2,0
0,-2,-3,1,1,-2,-1,-4,-1,1,-3,-1
-1,-3,-3,2,0,-2,-1,-5,-2,0,-3,-1
-2,-5,-3,3,0,-3,-1,-6,-3,0,-4,-2
-4,-6,-3,5,-1,-3,-1,-7,-4,-1,-5,-2
-4,-7,-3,5,-1,-4,-1,-7,-4,-2,-5,-3
-4,-7,-3,6,-1,-4,-1,-8,-5,-2,-6,-3
-3,-6,-3,5,-1,-4,-1,-8,-5,-2,-6,-3
-3,-5,-3,5,-1,-4,-1,-8,-5,-2,-6,-3
-3,-4,-2,4,-1,-3,0,-8,-5,-2,-6,-3
-2,-3,-2,3,-1,-2,0,-8,-5,-2,-6,-3
-2,-2,-2,2,-1,-1,1,-8,-5,-3,-6,-3
-3,-3,-1,3,-1,-2,1,-8,-5,-3,-6,-4
