leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-5,-4,4,1,-5,2,0,1,1,1,0
-4,-12,-10,9,3,-11,3,-1,2,1,0,0
-4,-15,-13,11,4,-14,0,-2,1,0,0,0
-4,-16,-14,11,5,-15,0,-3,1,0,0,1
-5,-19,-16,13,5,-17,2,-4,1,0,0,1
-5,-21,-18,14,6,-20,2,-5,1,-1,0,0
-5,-18,-16,13,5,-17,3,-3,2,0,1,2
-6,-15,-10,12,2,-13,3,-1,4,2,2,4
-2,-14,-13,10,5,-14,1,-1,3,0,-1,2
0,-16,-17,10,9,-17,0,-2,1,-2,-4,-2
-2,-16,-15,11,6,-16,2,-1,2,0,-4,-4
-3,-14,-13,10,5,-14,3,0,4,1,-1,-3
-2,-14,-13,10,5,-14,3,-1,4,1,0,0
-2,-14,-13,10,5,-14,2,-2,3,0,1,1
-4,-14,-12,11,3,-14,1,-2,2,-1,2,3
-3,-14,-13,11,4,-14,1,-2,2,0,4,6
1,-14,-17,9,8,-16,1,-2,3,0,4,6
5,-15,-22,7,13,-19,0,-2,2,-1,1,4
6,-17,-24,7,15,-21,-2,-4,0,-3,-3,2
3,-17,-22,9,12,-20,-3,-5,-1,-5,-5,-1
-3,-17,-16,12,6,-17,-1,-3,0,-3,-5,-1
-9,-15,-8,13,-1,-12,2,-2,3,-1,-3,2
-4,-13,-11,9,3,-12,1,-3,1,-2,-5,3
1,-11,-15,6,7,-13,0,-4,0,-4,-5,4
-6,-12,-8,11,0,-10,2,-1,3,-1,1,10
-11,-15,-5,16,-4,-9,4,1,5,1,5,11
-10,-16,-7,16,-2,-11,2,0,4,0,3,9
-10,-15,-6,14,-2,-11,1,-1,3,-1,1,8
-9,-13,-6,13,-2,-10,1,0,3,0,4,10
-8,-12,-6,11,-1,-9,1,1,5,1,6,11
-5,-12,-8,9,1,-10,0,0,5,2,7,11
-4,-11,-8,9,1,-10,0,0,4,1,5,8
-5,-10,-6,9,0,-8,0,0,4,0,2,5
-2,-10,-8,8,2,-8,0,0,4,-1,1,4
-4,-11,-9,10,2,-10,0,1,4,0,3,8
-9,-13,-6,13,-2,-10,0,2,5,1,8,16
-9,-14,-7,13,-1,-11,-1,2,5,1,9,19
-7,-14,-9,12,0,-11,-1,2,6,2,8,19
-7,-13,-8,11,0,-11,0,5,9,3,10,20
-7,-13,-7,11,-1,-10,2,7,10,5,11,21
-6,-12,-7,10,-1,-9,1,6,8,4,11,21
1,-11,-13,7,6,-12,-2,4,5,1,9,19
8,-9,-18,2,12,-13,-3,4,4,0,8,19
3,-5,-9,2,6,-7,-1,8,9,5,13,24
