leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-6,-6,3,3,-6,3,2,2,2,2,2
-1,-17,-16,9,7,-16,7,6,5,5,6,5
-1,-23,-21,12,9,-22,10,8,6,6,8,7
-2,-26,-24,14,10,-25,11,9,8,7,10,8
-2,-28,-25,15,11,-27,12,10,9,8,11,9
-1,-28,-27,15,12,-28,13,11,10,9,12,10
-1,-29,-27,15,13,-28,13,11,11,10,13,11
-2,-29,-27,16,12,-28,13,12,11,10,13,11
-3,-29,-27,16,12,-28,13,12,11,11,14,11
-2,-29,-27,16,12,-28,13,12,11,11,14,11
-2,-29,-27,16,12,-28,13,11,11,11,13,11
-3,-29,-26,16,11,-28,13,11,11,11,13,11
-3,-29,-26,16,11,-28,13,11,11,11,13,11
-1,-28,-26,14,12,-27,13,11,11,11,13,11
0,-27,-28,13,14,-27,13,11,11,11,13,11
1,-26,-28,12,14,-27,14,11,11,11,14,11
0,-26,-26,12,13,-26,15,12,12,12,14,12
0,-26,-25,13,12,-25,15,12,12,12,15,12
0,-26,-25,13,12,-25,15,12,12,12,15,12
0,-26,-26,13,12,-26,15,12,11,11,15,12
0,-25,-26,12,12,-26,15,12,11,12,15,12
0,-24,-25,12,11,-25,15,13,12,12,15,12
-1,-24,-24,12,11,-25,15,13,12,13,16,13
0,-24,-24,12,12,-25,15,12,12,13,16,13
0,-24,-25,12,12,-25,15,12,12,13,16,13
0,-24,-24,12,11,-24,15,12,13,13,16,13
0,-22,-22,11,10,-22,15,13,14,14,17,14
0,-21,-22,10,11,-22,15,13,14,14,17,14
1,-22,-23,10,12,-23,14,13,14,13,17,13
1,-23,-24,11,12,-24,13,12,14,13,16,13
0,-25,-25,13,12,-26,12,12,14,14,17,13
1,-26,-26,13,13,-26,12,12,14,14,17,14
2,-24,-25,11,13,-25,12,12,14,14,17,14
3,-23,-25,10,14,-25,11,12,13,14,17,13
3,-23,-27,10,15,-25,10,11,13,13,17,13
3,-23,-27,10,15,-25,8,10,12,13,17,13
3,-22,-26,9,14,-24,7,11,13,14,17,13
3,-21,-24,9,13,-23,7,11,13,14,17,14
2,-21,-24,9,13,-23,6,11,12,14,17,13
2,-21,-23,10,12,-22,6,10,11,13,16,13
2,-20,-23,9,13,-22,6,10,11,13,16,14
3,-20,-24,8,14,-23,6,11,11,13,16,14
4,-21,-26,8,14,-23,6,11,11,13,16,14
4,-22,-27,8,15,-24,6,10,11,13,16,14
5,-22,-28,7,16,-25,6,10,11,13,16,14
6,-22,-29,7,18,-26,7,10,11,13,15,14
6,-23,-30,8,18,-27,7,10,10,13,14,13
4,-24,-29,10,17,-27,7,10,10,12,14,13
4,-23,-28,10,17,-27,8,10,10,12,14,13
5,-23,-29,9,17,-27,8,9,9,12,14,13
5,-24,-29,9,17,-27,8,8,8,11,13,13
5,-24,-29,9,17,-27,9,8,7,10,13,13
5,-24,-29,9,17,-27,10,9,7,10,13,13
6,-25,-31,9,18,-28,10,9,7,11,13,14
5,-27,-32,10,19,-30,10,9,7,11,12,13
4,-28,-32,12,18,-30,10,8,6,10,11,13
2,-28,-31,13,16,-29,9,8,6,10,11,12
1,-28,-30,13,15,-29,9,7,6,10,11,12
1,-26,-28,12,14,-26,8,7,5,9,10,12
1,-23,-25,11,13,-24,8,7,5,9,10,11
1,-22,-23,10,12,-22,8,7,5,9,9,11
0,-21,-22,10,11,-21,8,7,5,8,9,11
-1,-21,-21,10,10,-21,8,7,4,7,8,10
-1,-22,-21,11,9,-22,9,6,3,6,6,9
-3,-24,-21,13,9,-23,9,5,2,6,5,8
-5,-26,-21,15,8,-24,9,5,2,5,5,7
-5,-27,-22,16,8,-24,10,5,1,5,4,7
-5,-28,-23,17,9,-25,10,5,1,4,3,6
-6,-29,-23,18,8,-26,10,4,0,3,2,6
-6,-29,-23,18,7,-26,10,4,0,3,1,5
-6,-29,-23,18,7,-27,10,4,0,2,0,5
-7,-30,-24,18,7,-28,9,3,-1,1,-1,4
-5,-30,-25,18,9,-28,8,3,-2,1,-2,3
-3,-28,-25,16,10,-27,8,3,-1,1,-2,3
-4,-28,-25,16,10,-27,9,4,0,1,-1,4
-5,-29,-24,17,9,-26,9,4,0,1,-1,4
-5,-28,-25,17,10,-26,9,3,0,1,-1,4
-4,-28,-25,16,10,-26,9,3,-1,0,-1,4
-6,-28,-24,17,8,-26,8,3,-1,0,-1,4
-7,-27,-21,17,7,-24,8,3,0,1,-1,4
-6,-26,-20,16,6,-23,9,4,0,2,0,4
-7,-27,-20,17,6,-24,8,3,0,2,0,4
-8,-29,-21,19,6,-26,7,2,-1,1,0,3
-9,-31,-22,20,7,-27,6,2,-1,1,0,3
-8,-31,-23,19,7,-27,6,1,-1,1,0,3
-8,-29,-22,18,7,-26,6,2,-1,1,0,3
-7,-28,-21,17,7,-25,7,2,-1,1,1,4
-5,-27,-22,16,8,-25,7,2,-1,1,1,4
-5,-27,-22,17,8,-25,7,2,-1,1,1,4
-6,-29,-22,18,8,-26,7,2,-1,1,1,3
-6,-29,-22,18,8,-26,7,2,-1,1,1,3
-5,-27,-21,17,8,-25,7,2,-1,1,2,3
-6,-27,-21,17,7,-24,7,3,-1,1,3,3
-8,-29,-21,19,6,-25,7,3,-1,1,3,2
-11,-31,-21,21,4,-25,6,3,-1,0,3,2
-13,-32,-20,22,3,-25,5,3,-1,0,3,2
-13,-31,-19,22,3,-25,5,3,-1,0,3,2
-11,-29,-19,20,4,-25,6,3,-1,0,3,2
-8,-28,-19,18,5,-24,6,3,0,0,4,2
-8,-29,-20,18,6,-25,7,3,0,0,5,2
-8,-31,-23,19,7,-27,8,3,0,0,5,2
-8,-32,-25,20,8,-29,8,3,1,0,6,2
-7,-32,-25,20,9,-28,8,3,1,0,6,2
-7,-29,-23,18,8,-26,7,3,0,-1,5,2
-7,-27,-21,17,6,-23,5,3,0,-1,4,2
-7,-26,-19,17,6,-23,4,3,0,-1,4,2
-8,-26,-19,17,5,-23,4,3,0,-1,3,1
-7,-26,-19,17,6,-23,5,3,0,-2,3,1
-6,-25,-19,15,6,-22,6,3,0,-2,3,1
-7,-26,-19,16,5,-22,6,3,0,-2,2,1
-8,-27,-18,17,4,-22,6,3,0,-2,2,1
-8,-26,-18,17,4,-22,7,3,0,-1,1,1
-8,-25,-18,16,4,-21,8,3,1,-1,1,2
-8,-25,-17,16,4,-21,8,4,1,0,1,3
-8,-25,-17,17,4,-21,8,4,1,0,0,3
-9,-26,-17,18,3,-22,8,3,0,-1,0,2
-12,-28,-16,20,2,-22,7,3,0,-2,-1,1
-13,-29,-16,21,1,-23,7,2,-1,-2,-2,0
