leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,1,-3,-2,4,-1,-4,-7,2,6,7,7
10,3,-8,-7,9,-2,-13,-23,2,13,16,19
14,3,-10,-9,12,-3,-21,-38,-4,11,15,23
15,0,-15,-7,15,-7,-25,-50,-12,1,3,18
14,-8,-22,-3,18,-15,-27,-58,-22,-13,-14,6
11,-17,-28,3,19,-22,-27,-67,-35,-29,-33,-6
6,-24,-31,9,18,-27,-27,-78,-54,-47,-51,-18
1,-30,-31,14,16,-30,-29,-92,-77,-66,-67,-29
-7,-35,-28,21,10,-31,-29,-107,-104,-86,-83,-40
-18,-41,-23,29,2,-31,-28,-121,-131,-106,-99,-51
-27,-45,-18,36,-4,-32,-27,-130,-151,-124,-112,-61
-34,-50,-15,41,-9,-32,-26,-130,-161,-135,-122,-69
-40,-53,-13,46,-13,-33,-24,-125,-163,-140,-127,-76
-44,-55,-11,49,-16,-33,-21,-116,-158,-140,-129,-80
-46,-55,-9,50,-18,-32,-18,-106,-150,-136,-126,-81
-47,-54,-6,50,-20,-30,-13,-93,-139,-129,-122,-81
-48,-52,-4,50,-21,-28,-8,-80,-127,-120,-116,-79
-49,-50,-1,49,-23,-26,-3,-66,-114,-111,-110,-77
-49,-49,0,49,-24,-24,1,-52,-102,-102,-103,-75
-49,-46,2,47,-25,-22,4,-39,-89,-93,-97,-72
-48,-44,4,46,-25,-20,8,-26,-77,-84,-90,-69
-46,-41,5,44,-25,-18,13,-14,-66,-75,-84,-66
-45,-39,5,42,-25,-16,17,-4,-57,-68,-79,-63
-44,-38,6,40,-25,-15,20,3,-49,-62,-74,-61
-43,-36,7,39,-25,-14,23,10,-42,-56,-70,-59
-43,-35,8,39,-26,-13,26,16,-36,-51,-66,-57
-43,-33,9,38,-26,-12,28,21,-31,-47,-63,-55
-43,-32,11,38,-27,-10,30,24,-27,-43,-60,-54
-43,-31,12,37,-28,-9,32,26,-24,-41,-58,-52
