leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,1,0,-1,0,-1,-1
1,-1,-1,0,1,-1,2,-2,-4,0,-2,-2
1,-2,-2,0,1,-2,3,-3,-5,0,-4,-3
1,-2,-3,0,2,-2,3,-3,-6,0,-5,-4
1,-2,-3,0,2,-3,4,-4,-7,0,-5,-4
2,-2,-4,0,3,-3,4,-4,-8,0,-5,-4
3,-1,-4,-1,3,-3,4,-4,-8,0,-5,-3
3,-1,-4,-1,4,-3,4,-4,-8,0,-5,-3
3,-1,-4,-1,4,-3,4,-4,-8,-1,-5,-3
2,-2,-4,0,3,-4,4,-4,-8,-1,-5,-3
2,-2,-4,0,3,-3,4,-3,-7,-1,-5,-3
3,-1,-4,-1,4,-3,4,-3,-7,-1,-4,-2
3,-1,-4,-2,4,-2,4,-3,-7,-1,-4,-2
3,-1,-4,-1,4,-2,4,-3,-7,-1,-4,-2
3,-1,-5,-1,4,-3,4,-3,-7,-1,-4,-3
3,-1,-5,-1,4,-3,4,-3,-7,-1,-4,-3
3,-1,-4,-1,4,-3,4,-3,-7,-1,-4,-3
1,-2,-3,0,3,-3,3,-3,-7,-1,-5,-3
0,-2,-2,0,2,-3,3,-3,-7,-1,-5,-3
0,-2,-2,0,1,-3,3,-3,-7,-1,-5,-3
0,-2,-3,0,1,-3,3,-3,-7,-1,-5,-3
0,-2,-3,1,1,-3,3,-3,-7,-1,-5,-3
0,-3,-3,1,1,-3,3,-3,-7,-1,-5,-3
0,-3,-3,1,1,-3,3,-2,-7,-1,-5,-3
0,-2,-3,0,2,-3,3,-2,-7,-1,-5,-3
1,-2,-3,0,2,-3,3,-1,-6,-2,-5,-3
2,-2,-4,0,3,-3,3,0,-6,-2,-5,-3
3,-2,-5,-1,4,-3,4,3,-4,-2,-5,-3
4,-2,-7,-1,5,-4,5,8,-1,-1,-4,-3
6,-3,-9,-1,7,-6,7,16,3,0,-3,-2
9,-3,-13,-2,11,-8,9,24,9,3,-1,-1
12,-4,-16,-3,14,-9,12,33,16,7,0,0
14,-3,-17,-5,16,-10,15,43,23,12,3,2
17,0,-17,-8,17,-8,17,52,32,18,8,6
19,3,-16,-11,18,-6,16,60,40,26,14,11
23,7,-16,-16,20,-4,14,65,48,34,21,18
28,13,-15,-21,21,-1,11,69,56,43,29,25
32,21,-12,-27,22,4,7,70,65,53,38,33
36,31,-6,-34,21,12,2,68,73,64,48,41
38,43,4,-41,17,23,-5,61,79,75,58,50
37,55,17,-46,10,36,-13,50,82,86,68,58
36,66,29,-51,4,48,-21,38,86,98,78,67
36,74,38,-55,0,56,-28,28,92,111,88,75
36,78,41,-57,-2,60,-32,21,98,122,96,80
35,75,40,-56,-2,57,-32,14,99,126,97,80
32,66,33,-50,-1,49,-30,9,93,119,90,74
28,53,24,-41,1,38,-26,4,81,103,76,63
23,40,16,-32,3,28,-21,-4,61,79,58,48
15,26,10,-21,2,18,-14,-15,34,51,37,30
7,14,6,-10,0,10,-8,-25,7,24,17,14
1,4,3,-2,-1,3,-3,-31,-11,6,3,3
-3,-3,0,3,-1,-1,0,-33,-20,-4,-5,-4
-5,-7,-2,6,-1,-4,1,-32,-24,-10,-9,-8
-7,-10,-3,8,-2,-7,1,-32,-26,-14,-12,-11
-9,-13,-5,10,-2,-9,0,-31,-27,-16,-14,-13
-9,-15,-6,12,-2,-10,0,-29,-27,-17,-15,-14
-8,-15,-7,12,-1,-11,-1,-26,-25,-17,-15,-14
-6,-15,-9,11,1,-12,-1,-23,-24,-16,-15,-13
-4,-16,-11,10,3,-14,-2,-21,-22,-15,-14,-12
-2,-16,-13,9,5,-15,-2,-19,-21,-14,-13,-12
-1,-15,-13,8,6,-14,-1,-17,-19,-13,-12,-11
-1,-14,-13,7,6,-14,0,-15,-18,-12,-11,-10
-2,-14,-12,7,5,-13,0,-14,-16,-11,-10,-10
-3,-13,-11,7,4,-12,1,-12,-15,-10,-9,-10
-3,-12,-10,7,3,-11,1,-10,-13,-9,-9,-9
