leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,-38,1,1,0,0,0
-1,-1,1,1,-1,0,-99,2,1,0,0,0
-3,-2,1,3,-2,0,-137,1,1,0,0,-1
-4,-2,2,3,-3,0,-160,1,0,0,-1,-1
-5,-2,3,3,-3,0,-174,0,0,-1,-1,-1
-5,-1,3,3,-3,1,-182,-1,-1,-1,-1,-1
-4,0,4,2,-3,1,-188,-2,-1,-1,-1,-1
-3,0,4,1,-2,1,-192,-3,-2,-1,-1,-1
-3,0,4,1,-2,1,-195,-4,-2,-1,-1,-1
-3,0,4,2,-3,1,-197,-5,-4,-2,-2,-2
-4,0,5,2,-4,1,-199,-7,-5,-3,-2,-2
-5,0,5,3,-4,1,-201,-8,-6,-4,-3,-3
-5,-1,5,3,-4,1,-203,-9,-7,-4,-3,-3
-5,-1,4,3,-4,1,-204,-10,-7,-4,-3,-4
-5,-2,3,3,-3,0,-206,-10,-7,-4,-3,-4
-5,-2,2,3,-3,-1,-207,-11,-7,-4,-3,-4
-5,-3,2,4,-3,-1,-209,-11,-7,-4,-4,-4
-6,-4,2,6,-3,-2,-210,-11,-8,-4,-4,-4
-7,-5,2,6,-4,-2,-211,-11,-9,-5,-4,-4
-7,-5,2,7,-4,-2,-211,-12,-10,-5,-4,-4
-7,-6,2,7,-4,-2,-212,-13,-10,-6,-4,-4
-7,-6,1,6,-4,-3,-212,-14,-10,-6,-4,-4
-6,-5,2,5,-4,-2,-212,-14,-10,-6,-4,-4
-5,-4,2,4,-4,-2,-212,-14,-10,-6,-4,-4
-4,-2,3,3,-3,-1,-212,-14,-10,-6,-4,-4
-4,-1,3,3,-3,0,-213,-14,-10,-6,-4,-3
-3,-1,2,3,-3,0,-214,-14,-10,-6,-4,-3
-3,-3,1,3,-2,-1,-216,-14,-10,-6,-4,-3
-4,-4,1,4,-2,-2,-217,-14,-10,-5,-4,-3
-4,-5,1,4,-3,-2,-218,-14,-10,-5,-4,-3
-5,-4,2,4,-3,-2,-219,-14,-10,-6,-4,-4
-6,-4,3,4,-4,-1,-220,-14,-10,-6,-5,-4
-6,-3,3,4,-4,-1,-221,-15,-10,-6,-5,-4
-6,-2,4,4,-4,0,-222,-15,-10,-6,-5,-4
-6,-3,3,4,-4,0,-224,-16,-10,-7,-6,-5
-6,-4,2,5,-4,-2,-225,-16,-10,-7,-6,-5
-6,-5,1,5,-3,-3,-225,-15,-10,-6,-5,-4
-5,-5,1,4,-3,-2,-226,-15,-9,-6,-5,-4
-6,-5,2,5,-3,-2,-227,-15,-9,-6,-5,-4
-7,-6,2,6,-4,-3,-228,-15,-9,-6,-5,-4
-8,-7,2,7,-4,-3,-229,-15,-9,-7,-5,-4
-8,-6,2,7,-4,-3,-230,-15,-9,-7,-5,-4
-7,-6,2,7,-4,-3,-231,-15,-9,-6,-5,-3
-7,-6,1,7,-5,-3,-233,-15,-9,-6,-5,-4
-8,-7,1,7,-5,-3,-235,-15,-9,-6,-5,-4
-8,-7,1,7,-5,-3,-236,-15,-9,-6,-5,-4
-7,-6,1,6,-4,-3,-236,-14,-9,-6,-5,-4
-6,-4,2,5,-4,-2,-237,-14,-8,-6,-5,-4
-5,-3,2,4,-3,-2,-237,-14,-8,-6,-5,-4
-5,-3,2,4,-3,-2,-238,-14,-8,-6,-5,-4
-5,-2,2,4,-3,-1,-238,-14,-8,-6,-5,-4
-4,-1,2,3,-3,0,-239,-14,-8,-5,-4,-4
-3,-1,2,2,-3,0,-239,-14,-7,-5,-4,-3
-4,-2,2,3,-3,0,-239,-14,-7,-5,-4,-3
-4,-3,1,4,-3,-2,-240,-14,-7,-5,-4,-3
-4,-4,0,4,-2,-3,-241,-13,-7,-5,-4,-3
-4,-4,0,4,-2,-3,-241,-13,-7,-5,-3,-3
-4,-4,0,4,-2,-3,-242,-13,-7,-5,-3,-3
-5,-4,0,5,-2,-3,-243,-13,-7,-5,-3,-3
-5,-4,0,5,-3,-3,-245,-13,-8,-5,-4,-3
-5,-4,0,5,-3,-3,-246,-13,-8,-5,-4,-3
-4,-4,0,5,-3,-3,-248,-13,-8,-5,-4,-3
-4,-4,1,4,-3,-2,-249,-14,-7,-5,-4,-3
-4,-4,1,4,-3,-2,-250,-14,-7,-5,-4,-3
-5,-4,2,5,-4,-2,-252,-15,-8,-6,-4,-4
-5,-3,2,4,-4,-1,-253,-15,-8,-6,-4,-4
-4,-2,3,3,-3,0,-255,-15,-8,-5,-4,-4
-4,-1,3,2,-3,0,-256,-14,-7,-5,-3,-4
-3,-1,3,2,-3,0,-257,-14,-7,-5,-3,-4
-3,-1,2,2,-3,0,-257,-14,-7,-5,-3,-3
-4,-2,2,3,-3,-1,-258,-14,-7,-5,-3,-3
-4,-3,2,4,-3,-1,-259,-15,-8,-5,-4,-4
-5,-4,2,5,-3,-1,-260,-15,-8,-6,-4,-4
-6,-4,2,5,-3,-2,-261,-15,-8,-6,-4,-4
-6,-4,2,5,-3,-2,-262,-15,-8,-6,-4,-4
-6,-4,2,5,-3,-2,-263,-15,-9,-6,-4,-4
-5,-4,1,5,-3,-2,-265,-15,-9,-6,-4,-4
-5,-4,1,5,-3,-2,-266,-15,-9,-6,-5,-4
-5,-5,1,5,-3,-3,-267,-15,-9,-6,-5,-4
-5,-4,1,5,-3,-2,-268,-15,-9,-6,-4,-4
-5,-3,2,5,-3,-1,-269,-15,-9,-5,-4,-4
-5,-3,1,5,-3,-2,-271,-15,-9,-5,-4,-4
-6,-5,0,6,-3,-3,-272,-15,-9,-6,-4,-4
-6,-6,0,6,-3,-4,-273,-15,-9,-6,-4,-3
-6,-6,0,6,-3,-4,-275,-15,-9,-5,-4,-3
-6,-5,0,6,-3,-3,-277,-15,-8,-5,-3,-3
-5,-4,0,5,-2,-3,-278,-14,-8,-5,-3,-3
-4,-3,0,4,-2,-2,-279,-14,-8,-5,-3,-3
-5,-3,1,4,-2,-2,-280,-15,-8,-6,-4,-3
-6,-3,2,4,-3,-1,-281,-15,-9,-6,-4,-3
-6,-3,2,4,-4,-1,-282,-15,-9,-6,-4,-3
-6,-3,2,4,-4,-1,-283,-15,-9,-6,-4,-3
-7,-4,2,5,-4,-1,-284,-15,-9,-6,-4,-3
-7,-5,2,6,-4,-2,-285,-16,-9,-6,-4,-4
-7,-5,3,5,-4,-1,-286,-16,-10,-6,-5,-4
-6,-3,3,4,-4,0,-286,-17,-10,-6,-5,-4
-5,-2,2,4,-4,0,-286,-17,-10,-6,-5,-4
-5,-2,2,4,-4,-1,-287,-17,-10,-6,-4,-4
-4,-3,1,4,-3,-1,-288,-16,-10,-6,-4,-4
-4,-3,1,4,-3,-1,-289,-16,-10,-6,-4,-4
