leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,1,1,-9,5,-4
1,2,0,-1,0,1,0,4,3,-22,13,-10
5,7,2,-6,1,5,0,6,5,-29,18,-12
7,11,4,-9,1,8,0,8,6,-34,20,-14
5,10,5,-8,0,8,0,9,7,-36,20,-14
2,8,5,-5,-1,7,0,10,7,-38,18,-15
0,6,5,-3,-2,6,-1,10,7,-39,17,-15
1,4,4,-2,-1,4,-2,9,7,-40,15,-16
0,2,2,-1,0,2,-3,7,6,-42,14,-16
0,0,1,0,0,1,-3,7,5,-42,15,-16
1,0,-1,0,1,0,-3,6,4,-42,15,-16
4,0,-3,-2,4,-1,-4,6,4,-42,14,-16
8,2,-5,-5,6,-1,-4,5,4,-42,13,-16
10,4,-6,-7,8,-1,-4,5,3,-43,10,-16
11,4,-6,-8,8,-1,-3,5,3,-43,9,-15
9,3,-6,-6,8,-2,-3,6,4,-43,8,-15
5,0,-5,-3,6,-3,-3,5,4,-43,8,-16
-1,-2,-1,1,1,-2,-2,6,4,-43,9,-16
-4,0,3,2,-4,1,0,7,6,-41,10,-15
-3,2,5,0,-4,4,1,9,8,-40,11,-14
-1,4,5,-1,-3,4,1,9,8,-39,10,-14
1,4,3,-2,-1,3,1,9,7,-39,8,-15
2,1,0,-1,1,0,0,8,5,-40,6,-16
2,-1,-4,0,3,-3,-3,7,2,-42,4,-18
3,-3,-6,0,5,-5,-5,6,1,-42,3,-18
4,-3,-7,0,6,-6,-6,5,0,-43,4,-19
6,-3,-9,-1,9,-6,-7,4,0,-44,4,-20
10,-2,-12,-3,12,-7,-7,3,-1,-44,3,-21
11,0,-11,-5,12,-6,-6,5,0,-43,4,-20
8,2,-6,-4,7,-2,-2,8,2,-41,5,-17
5,1,-4,-2,4,-2,0,10,3,-40,4,-17
4,-2,-6,-1,5,-4,-1,8,1,-41,3,-18
5,-5,-10,0,8,-7,-3,6,0,-44,1,-20
4,-7,-12,1,8,-9,-4,5,-1,-45,1,-21
3,-8,-13,2,8,-10,-4,4,-2,-46,2,-21
5,-9,-15,2,10,-12,-4,3,-3,-46,2,-22
7,-10,-16,2,11,-13,-4,2,-4,-47,1,-23
5,-10,-15,3,10,-13,-3,2,-4,-46,1,-23
2,-11,-13,5,7,-12,-1,2,-3,-45,0,-23
0,-11,-10,6,4,-11,0,3,-1,-44,0,-22
-2,-9,-7,6,2,-8,1,4,0,-43,1,-21
-3,-9,-6,6,1,-8,2,5,0,-42,2,-20
-3,-11,-7,7,2,-9,2,6,0,-42,2,-21
-4,-11,-6,8,1,-8,2,6,0,-42,2,-23
-6,-9,-3,8,-1,-6,3,6,0,-41,2,-22
-5,-7,-1,6,-2,-5,3,7,1,-39,3,-21
-2,-5,-2,4,0,-4,3,8,1,-38,2,-21
-1,-6,-4,3,0,-5,2,7,0,-38,0,-22
-1,-7,-5,4,1,-6,1,7,0,-39,0,-22
-1,-7,-6,4,2,-7,1,7,0,-39,-1,-22
-1,-8,-7,4,3,-8,0,7,0,-39,-2,-23
-3,-10,-8,6,2,-9,0,6,0,-39,-2,-24
-4,-10,-7,6,2,-9,0,6,0,-39,-3,-25
2,-3,-6,0,4,-5,2,6,1,-38,-2,-23
7,2,-6,-5,6,-2,3,7,2,-36,-2,-22
7,1,-6,-4,7,-3,3,6,1,-37,-4,-22
5,-3,-7,-1,6,-5,1,4,0,-38,-6,-24
1,-6,-7,2,4,-7,0,2,-2,-39,-8,-26
0,-7,-8,3,4,-7,-2,2,-3,-39,-9,-26
4,-7,-11,1,8,-9,-3,1,-3,-39,-10,-26
3,-9,-13,3,8,-10,-3,1,-4,-39,-10,-26
-2,-11,-9,7,3,-10,-1,3,-3,-38,-10,-25
-6,-12,-6,9,0,-8,0,5,-2,-36,-9,-23
-7,-11,-4,9,-2,-7,1,5,-1,-35,-9,-22
-9,-10,-1,10,-4,-6,1,5,-1,-35,-11,-22
-12,-12,0,11,-6,-6,0,4,-1,-35,-12,-22
-10,-12,-1,10,-4,-7,0,4,-1,-35,-13,-23
-5,-11,-5,7,0,-8,0,4,-1,-36,-15,-23
-3,-11,-7,6,2,-9,0,4,-1,-37,-16,-25
-1,-9,-8,5,4,-9,0,3,-2,-38,-17,-26
-1,-8,-8,4,4,-8,0,3,-2,-38,-18,-26
-2,-8,-6,5,2,-7,1,3,-1,-38,-19,-26
-1,-6,-5,3,2,-6,2,5,1,-36,-20,-26
1,-4,-5,1,4,-6,5,9,4,-34,-20,-24
1,-4,-5,1,4,-5,7,15,7,-31,-20,-23
0,-6,-6,3,3,-6,8,21,9,-28,-19,-23
0,-10,-9,5,5,-9,8,26,12,-25,-19,-23
3,-9,-13,3,9,-11,8,33,17,-20,-16,-21
12,-3,-16,-4,15,-9,8,41,24,-11,-11,-17
21,1,-20,-11,21,-9,7,48,31,-2,-5,-13
29,3,-27,-16,28,-12,5,53,37,6,0,-10
36,6,-30,-21,33,-13,4,59,44,16,8,-5
39,8,-31,-23,35,-12,3,66,53,30,20,2
44,10,-35,-26,39,-12,0,71,61,45,33,10
52,11,-41,-31,46,-14,-6,75,69,59,46,18
59,13,-45,-36,52,-15,-10,78,74,69,57,25
67,17,-49,-42,58,-15,-14,76,73,73,63,29
74,19,-54,-46,64,-17,-18,68,64,65,60,29
76,17,-59,-47,68,-21,-24,52,47,49,50,25
76,16,-59,-46,68,-22,-31,31,28,30,38,20
72,17,-56,-44,64,-20,-39,6,8,11,25,17
69,18,-51,-43,60,-16,-50,-24,-12,-8,12,15
64,20,-43,-42,54,-11,-64,-57,-32,-27,-1,13
56,23,-32,-39,45,-3,-77,-91,-51,-45,-13,12
48,24,-22,-36,36,2,-89,-123,-69,-63,-26,9
41,24,-16,-32,29,5,-98,-150,-86,-79,-39,4
32,22,-9,-27,21,6,-103,-169,-98,-93,-52,-1
21,19,-1,-20,11,8,-104,-178,-104,-101,-61,-5
10,14,3,-12,3,7,-103,-181,-108,-107,-70,-11
3,5,1,-3,0,2,-102,-181,-110,-112,-78,-18
-2,0,1,1,-2,0,-97,-176,-109,-114,-83,-23
-5,-2,2,3,-3,0,-91,-167,-106,-113,-86,-27
-4,-4,0,4,-1,-2,-86,-156,-103,-112,-88,-31
-1,-5,-3,3,2,-4,-80,-143,-98,-109,-87,-34
0,-4,-4,2,2,-4,-72,-128,-90,-103,-85,-34
-3,-5,-3,4,0,-4,-64,-113,-81,-97,-81,-34
-6,-6,-2,6,-1,-5,-56,-99,-73,-90,-78,-34
-5,-5,-1,5,-1,-4,-48,-86,-64,-83,-74,-33
-1,-2,-1,2,0,-2,-41,-75,-56,-77,-69,-31
2,0,-2,-1,3,-1,-35,-64,-49,-72,-65,-29
4,-1,-5,-1,5,-3,-31,-55,-44,-69,-62,-29
4,-4,-8,0,6,-5,-27,-47,-40,-65,-59,-29
0,-6,-6,2,4,-6,-22,-38,-34,-61,-55,-28
-5,-7,-2,6,-1,-5,-17,-29,-28,-56,-52,-28
-8,-7,1,8,-4,-4,-13,-22,-23,-51,-48,-27
-9,-6,2,8,-5,-3,-10,-16,-18,-47,-44,-25
-7,-5,1,7,-4,-3,-8,-12,-14,-44,-41,-24
-8,-4,4,7,-5,-1,-6,-8,-12,-41,-38,-23
-13,-5,8,9,-10,1,-3,-4,-9,-39,-34,-21
-14,-6,8,10,-11,1,-1,-1,-6,-37,-31,-20
-9,-6,3,7,-6,0,0,1,-5,-35,-30,-20
-4,-6,-2,5,-1,-3,1,3,-4,-34,-29,-20
-1,-6,-5,4,2,-5,1,5,-4,-34,-29,-21
0,-5,-5,3,2,-5,1,6,-2,-32,-28,-21
0,-5,-4,3,2,-4,2,8,0,-31,-26,-21
0,-5,-4,3,2,-4,3,8,0,-29,-25,-20
-2,-5,-2,4,0,-4,4,9,1,-28,-24,-19
-6,-7,0,7,-2,-4,5,10,1,-28,-23,-19
-9,-8,1,8,-4,-3,6,11,2,-27,-22,-18
-10,-6,2,7,-6,-2,8,13,4,-25,-21,-17
-11,-6,4,8,-7,-1,9,16,5,-24,-20,-17
-12,-8,3,10,-8,-3,8,17,6,-23,-20,-18
-11,-11,0,11,-5,-6,8,16,5,-24,-21,-19
-6,-12,-5,9,0,-9,7,15,5,-24,-22,-20
-3,-10,-6,7,1,-8,7,15,5,-24,-22,-20
-3,-10,-5,7,0,-7,7,14,5,-24,-22,-20
-3,-9,-5,6,1,-7,6,14,4,-24,-23,-21
-2,-8,-6,5,2,-7,5,14,4,-25,-24,-22
-2,-7,-6,5,2,-7,4,14,4,-25,-24,-22
-1,-5,-4,4,1,-5,5,15,5,-23,-24,-21
-3,-4,-1,4,-1,-2,6,16,7,-20,-23,-18
-5,-3,2,5,-4,0,6,18,9,-18,-22,-16
-7,-4,4,6,-5,0,6,18,10,-17,-22,-16
-7,-6,1,6,-4,-2,6,17,9,-18,-22,-16
-6,-7,-1,6,-2,-4,5,15,7,-20,-23,-17
-6,-7,-2,6,-1,-4,5,14,6,-21,-24,-18
-3,-5,-4,4,1,-4,5,14,6,-21,-25,-17
1,-2,-5,1,3,-4,6,15,6,-20,-25,-16
2,-2,-5,1,3,-3,7,16,7,-19,-25,-15
0,-4,-4,3,2,-4,7,15,6,-18,-25,-15
-1,-5,-3,3,1,-4,6,15,6,-18,-26,-15
-1,-6,-4,3,2,-5,6,15,5,-18,-26,-15
-1,-6,-5,3,2,-5,6,16,5,-17,-26,-15
0,-4,-5,2,2,-4,7,17,7,-17,-26,-15
0,-4,-4,3,2,-4,8,19,8,-16,-26,-15
-1,-5,-5,4,2,-6,8,19,8,-15,-26,-15
-1,-6,-5,5,2,-6,7,19,8,-16,-27,-15
-2,-6,-4,5,1,-5,6,19,7,-16,-27,-15
-3,-5,-1,4,-1,-3,6,19,8,-14,-27,-15
-5,-4,0,5,-3,-1,6,20,8,-14,-26,-14
-7,-6,1,6,-4,-2,5,20,8,-14,-26,-15
-8,-8,0,8,-4,-3,5,20,7,-14,-25,-15
-9,-9,-1,9,-4,-4,5,20,7,-14,-25,-14
-8,-8,0,8,-4,-4,5,21,8,-13,-24,-14
-5,-6,-1,6,-2,-3,4,20,7,-13,-23,-14
-1,-5,-3,4,1,-4,3,19,6,-14,-23,-15
2,-4,-5,1,4,-4,3,19,6,-13,-22,-15
4,-3,-6,0,5,-4,3,18,6,-13,-21,-14
5,-3,-7,0,6,-4,3,17,5,-14,-20,-14
4,-3,-7,0,6,-5,3,14,5,-15,-19,-15
2,-4,-6,1,4,-4,4,14,5,-15,-18,-14
-3,-4,-2,3,0,-2,6,15,7,-13,-15,-12
-7,-5,1,6,-4,-2,8,16,7,-12,-13,-11
-7,-8,0,7,-4,-3,6,17,6,-12,-12,-12
-6,-8,0,7,-3,-4,4,18,6,-11,-10,-12
-5,-5,1,5,-3,-2,4,20,7,-10,-7,-10
-6,-4,3,6,-5,0,5,21,8,-9,-5,-9
-9,-5,4,7,-7,0,5,22,9,-8,-3,-8
-8,-4,3,7,-5,0,5,21,9,-9,-2,-8
-3,-2,0,3,-1,-1,6,20,9,-9,-2,-8
3,0,-3,-1,3,-2,7,20,8,-10,-1,-9
6,0,-6,-2,5,-3,7,19,8,-11,-1,-11
7,-1,-7,-2,6,-4,7,18,7,-11,-1,-12
6,-1,-7,-2,6,-4,7,19,7,-11,0,-12
1,-1,-3,0,2,-2,8,20,8,-11,1,-11
-5,-1,3,3,-4,1,9,21,9,-10,3,-10
-9,0,7,4,-8,3,9,22,9,-10,5,-9
-10,0,8,5,-9,3,8,23,10,-10,6,-9
-10,-1,8,5,-9,3,7,23,10,-9,7,-8
-8,0,8,4,-8,4,8,25,11,-8,9,-8
-8,-1,7,4,-7,3,8,25,11,-7,9,-8
-9,-4,6,6,-7,1,6,24,10,-8,9,-10
-9,-6,4,7,-6,-1,5,23,9,-9,9,-11
-7,-4,3,5,-5,-1,5,23,9,-9,10,-11
-4,-1,1,2,-3,0,4,22,9,-9,10,-10
-2,1,1,0,-1,1,4,21,9,-9,11,-10
-2,1,1,0,-1,1,5,21,9,-9,12,-9
-3,-1,1,1,-2,0,5,21,9,-8,12,-8
-4,-2,2,3,-3,0,5,22,9,-8,9,-8
-4,-2,3,3,-4,0,6,22,9,-8,5,-8
-3,-1,3,2,-3,1,7,23,9,-8,1,-7
-1,0,2,1,-2,1,8,24,9,-8,-3,-6
-3,0,2,2,-3,1,8,24,9,-8,-8,-6
-5,0,4,3,-5,1,9,24,8,-9,-12,-6
-6,1,6,2,-6,3,10,24,9,-8,-15,-6
-7,2,7,2,-7,4,10,24,10,-7,-15,-6
-7,1,8,3,-8,5,10,24,10,-6,-15,-6
-7,2,9,3,-8,5,10,25,11,-5,-14,-5
-7,2,10,2,-9,6,10,25,11,-5,-13,-4
-6,2,9,2,-8,5,8,22,9,-7,-13,-6
-7,0,6,4,-7,2,6,19,6,-9,-15,-8
-8,-2,5,5,-7,1,5,18,5,-10,-15,-9
-7,-1,4,4,-5,0,5,18,5,-11,-15,-9
-2,0,1,2,-1,0,5,18,5,-11,-16,-10
0,-2,-2,1,1,-3,4,17,4,-12,-19,-12
0,-5,-4,2,1,-4,3,16,2,-13,-22,-13
-1,-5,-2,3,0,-3,3,15,2,-13,-24,-13
-4,-4,2,4,-3,-1,5,15,3,-12,-25,-11
-6,-3,3,4,-4,0,5,15,3,-11,-26,-11
-5,-3,2,4,-3,-1,4,15,3,-11,-28,-11
-7,-3,3,4,-5,0,4,15,4,-11,-29,-10
-9,0,7,4,-8,3,5,15,5,-10,-29,-8
-9,0,9,4,-8,4,5,15,5,-10,-30,-7
-8,0,8,4,-7,3,5,14,3,-11,-32,-6
-6,0,7,3,-6,3,4,13,2,-11,-33,-6
-4,0,6,2,-5,3,4,12,0,-12,-34,-6
-6,0,6,3,-6,3,4,11,0,-13,-35,-7
-10,0,9,5,-10,4,4,10,0,-13,-35,-7
-13,0,12,6,-13,6,3,9,0,-13,-36,-8
-13,0,12,6,-13,6,3,9,0,-14,-38,-9
-13,0,11,7,-12,5,2,8,-1,-14,-40,-8
-12,0,11,7,-12,5,2,8,-1,-14,-41,-8
-9,0,9,5,-9,4,1,6,-3,-14,-43,-8
-5,0,5,4,-5,2,0,4,-5,-16,-46,-9
-3,-1,2,3,-3,0,-2,1,-7,-17,-48,-10
-4,1,5,2,-4,3,-1,0,-7,-17,-48,-9
-5,4,8,1,-6,5,-1,0,-7,-16,-49,-8
-6,4,8,1,-7,5,-1,0,-7,-16,-50,-7
-7,2,9,3,-8,5,-2,-2,-7,-17,-51,-7
-10,0,10,6,-10,4,-1,-3,-8,-18,-52,-7
-12,-1,11,7,-11,4,0,-3,-7,-17,-52,-6
-10,0,11,6,-11,5,0,-4,-7,-16,-51,-4
-8,2,10,4,-9,6,0,-5,-7,-16,-50,-4
-8,1,10,4,-9,5,0,-6,-9,-16,-50,-4
-13,-2,10,7,-12,4,-2,-7,-10,-17,-51,-5
-17,-4,12,10,-15,4,-3,-8,-11,-17,-51,-6
-18,-3,13,10,-16,5,-4,-8,-11,-17,-51,-6
-15,-2,12,8,-14,5,-5,-9,-12,-18,-50,-7
-12,-1,11,6,-11,5,-5,-10,-13,-18,-50,-8
-10,0,11,5,-10,5,-5,-11,-13,-18,-48,-8
-10,-2,9,6,-10,4,-5,-13,-13,-18,-46,-9
-12,-6,7,9,-10,0,-7,-16,-16,-19,-46,-11
-13,-8,6,10,-10,-1,-8,-18,-17,-20,-48,-12
-9,-4,5,6,-7,0,-8,-19,-18,-20,-49,-12
-2,1,3,0,-2,2,-7,-19,-17,-20,-51,-10
2,2,0,-2,1,1,-7,-18,-16,-19,-53,-9
4,2,-2,-3,3,0,-8,-19,-16,-19,-56,-9
5,3,-2,-4,4,0,-9,-19,-16,-19,-60,-9
5,4,0,-4,2,2,-9,-19,-15,-17,-62,-9
3,4,2,-4,0,3,-9,-18,-14,-16,-64,-7
-2,2,5,0,-4,4,-9,-17,-13,-15,-65,-6
-8,-1,7,4,-8,3,-10,-17,-15,-16,-66,-6
-12,-3,8,8,-10,2,-10,-18,-16,-16,-68,-7
-16,-3,11,10,-13,3,-9,-18,-16,-16,-69,-7
-15,0,14,8,-15,7,-6,-15,-13,-13,-69,-4
-14,2,16,6,-15,8,-4,-14,-12,-11,-69,-3
-15,-1,14,9,-15,6,-4,-14,-13,-12,-71,-4
-14,-4,10,10,-13,3,-6,-16,-15,-13,-74,-5
-10,-4,6,8,-9,1,-7,-17,-17,-13,-76,-6
-5,-2,3,4,-5,0,-7,-16,-17,-13,-77,-5
-2,-1,1,2,-2,0,-6,-15,-16,-13,-79,-5
-1,0,0,1,0,-1,-6,-14,-15,-13,-81,-5
1,1,0,-1,0,0,-5,-15,-15,-13,-84,-6
2,3,1,-2,0,2,-5,-15,-14,-13,-86,-6
2,3,1,-2,0,2,-6,-16,-14,-12,-88,-7
2,1,0,-1,0,1,-7,-18,-15,-12,-91,-9
0,0,0,0,0,0,-8,-20,-15,-13,-92,-10
0,0,0,0,-1,0,-8,-20,-14,-12,-93,-9
0,1,1,0,-1,1,-7,-18,-12,-10,-93,-8
0,1,2,0,-1,1,-7,-17,-12,-9,-93,-7
0,0,1,0,0,0,-8,-16,-13,-10,-95,-7
0,0,0,0,0,0,-9,-16,-14,-10,-97,-6
2,3,1,-2,0,1,-7,-14,-12,-9,-97,-4
1,4,3,-2,-2,3,-5,-11,-10,-6,-96,-2
-3,3,6,0,-5,5,-4,-10,-8,-5,-96,-2
-5,3,8,1,-7,6,-4,-10,-7,-4,-96,-2
-5,3,8,1,-7,6,-3,-10,-6,-2,-96,-2
-4,3,6,0,-5,4,-3,-10,-6,-2,-96,-3
-5,1,5,2,-5,3,-3,-11,-6,-3,-98,-4
-7,0,5,4,-6,2,-3,-10,-6,-3,-100,-4
-7,-1,4,4,-5,1,-3,-10,-5,-3,-101,-5
-6,-3,3,5,-4,0,-3,-9,-4,-3,-101,-5
-5,-3,2,4,-3,0,-2,-9,-4,-2,-101,-4
0,-1,-1,1,0,-1,-2,-8,-3,-2,-101,-4
4,0,-3,-2,4,-1,-3,-8,-3,-1,-102,-5
6,2,-3,-4,5,0,-3,-8,-2,-1,-102,-5
3,2,-1,-3,3,0,-3,-8,-2,-1,-102,-5
0,1,1,0,-1,1,-3,-7,-1,-1,-102,-5
-1,1,2,0,-1,1,-2,-5,0,0,-101,-4
