leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,2,3,0,-2,2,0,2,6,1,10,45
-1,7,8,-2,-5,8,1,6,17,2,29,118
0,14,14,-7,-7,14,2,11,27,3,46,161
2,22,19,-12,-8,21,2,15,36,3,62,187
4,29,24,-16,-10,27,2,17,43,3,76,203
5,35,30,-20,-13,33,0,18,48,3,89,213
6,42,35,-24,-15,39,0,18,51,3,100,219
6,46,39,-26,-16,43,0,19,54,3,108,223
5,49,43,-27,-19,46,1,21,57,3,114,226
3,51,49,-27,-23,50,3,22,58,3,119,228
-3,52,55,-24,-29,54,7,23,58,3,119,230
-14,47,61,-16,-37,54,13,25,55,3,110,231
-26,36,62,-5,-44,49,21,30,51,3,90,232
-37,23,60,7,-49,41,31,37,45,3,64,233
-47,9,56,18,-51,32,39,43,40,3,37,234
-54,-2,51,28,-52,24,45,47,34,3,14,235
-58,-10,48,34,-53,19,48,48,26,3,-2,236
-59,-14,45,36,-52,15,50,48,19,3,-14,237
-59,-17,42,38,-51,12,50,48,14,3,-20,238
-59,-20,38,39,-49,8,50,49,12,3,-24,239
-58,-22,34,40,-46,5,51,51,13,3,-25,240
-57,-24,32,40,-44,3,52,54,15,3,-25,241
-55,-23,30,39,-42,3,53,57,18,3,-23,242
-53,-22,30,37,-41,4,54,60,21,3,-20,243
-51,-21,30,35,-40,5,55,62,23,3,-18,244
-50,-20,29,34,-39,5,56,64,24,3,-18,245
-49,-20,28,34,-39,4,57,66,23,3,-18,246
-49,-21,27,35,-38,3,59,69,22,3,-18,247
-48,-22,26,35,-37,2,61,71,21,3,-19,248
-48,-22,25,35,-36,1,62,72,21,3,-20,249
-48,-23,24,36,-36,0,64,73,20,3,-21,250
-49,-25,23,37,-36,-1,65,74,18,3,-22,251
-49,-26,24,38,-36,0,67,75,17,3,-22,252
-48,-24,25,36,-37,1,68,76,17,3,-21,253
-47,-22,26,34,-37,2,69,74,16,3,-20,254
-47,-21,26,34,-37,3,70,70,14,3,-19,255
-48,-21,27,34,-38,3,70,64,11,3,-19,256
-48,-20,27,34,-37,3,68,55,7,3,-18,257
-47,-20,27,33,-37,3,66,44,1,3,-17,258
-47,-20,26,34,-36,3,62,33,-4,3,-16,259
-47,-22,25,34,-36,1,59,24,-8,3,-16,260
-46,-22,24,34,-35,1,56,18,-12,3,-15,261
-45,-22,24,34,-35,1,55,14,-14,3,-15,262
-45,-22,23,34,-35,0,53,11,-16,3,-15,263
-45,-23,23,34,-34,0,52,9,-18,3,-14,264
-46,-23,23,34,-34,0,51,7,-20,3,-13,265
-47,-23,24,35,-35,0,50,6,-21,3,-12,267
-48,-23,25,35,-37,1,48,4,-22,3,-12,268
-48,-22,25,35,-37,1,44,1,-23,3,-11,269
-47,-21,26,34,-37,2,39,-2,-24,3,-10,290
-45,-19,26,32,-36,4,34,-5,-25,3,-7,251
-44,-18,26,31,-35,4,28,-8,-25,3,-5,101
-42,-17,25,29,-33,3,23,-10,-25,3,-2,-305
-38,-15,23,27,-31,3,18,-11,-25,3,0,-410
-34,-12,21,24,-28,4,14,-12,-23,3,3,-452
-32,-11,21,22,-26,5,11,-12,-22,3,5,-359
-30,-10,20,20,-25,5,8,-12,-21,3,6,-14
-28,-9,19,19,-23,5,6,-12,-20,3,7,-216
-26,-8,18,17,-22,5,4,-12,-19,3,8,121
-24,-7,17,16,-21,4,2,-11,-19,3,8,828
-23,-7,16,15,-20,4,1,-11,-18,3,7,959
