leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-1,1,25,1
0,1,1,-1,0,1,1,0,-2,3,91,3
0,1,1,-1,-1,1,2,1,-2,5,117,4
0,1,2,-1,-1,2,3,1,-1,6,53,5
0,2,2,-2,0,2,4,2,-1,7,-28,5
1,3,2,-3,0,3,5,2,-1,8,-72,6
1,4,2,-3,0,3,5,2,-1,9,-78,6
2,5,2,-4,0,3,5,2,-1,9,-74,6
3,6,3,-5,0,4,5,2,-1,10,-85,6
4,6,2,-6,1,4,6,3,-1,10,-94,6
5,6,0,-6,3,3,7,4,0,11,-86,6
5,5,-1,-6,3,2,7,4,0,12,-78,6
5,3,-2,-5,4,0,7,5,0,13,-79,6
6,3,-3,-5,4,0,7,5,0,13,-91,6
7,5,-2,-6,5,1,7,5,0,14,-111,6
7,6,-1,-7,5,2,7,5,0,14,-125,6
6,6,0,-6,4,2,7,5,-1,13,-136,6
4,4,0,-5,3,2,6,5,-1,13,-135,6
4,3,-1,-4,3,1,6,5,-2,12,-111,6
4,3,-2,-4,3,0,5,5,-1,13,-86,6
4,3,-2,-4,3,0,5,5,-1,13,-72,6
4,2,-2,-3,3,0,4,5,0,14,-64,6
5,2,-3,-4,4,0,2,5,-1,13,-60,6
6,3,-3,-5,5,0,0,4,-1,13,-58,6
8,4,-3,-6,6,0,-1,3,-2,12,-57,6
10,5,-5,-8,8,-1,-2,2,-2,12,-61,6
12,4,-8,-8,11,-2,-3,0,-2,11,-69,6
12,3,-9,-8,12,-4,-3,-1,-2,11,-72,6
10,1,-9,-6,11,-4,-3,-2,-2,10,-68,6
8,0,-9,-4,9,-5,-2,-3,-2,10,-72,6
7,0,-9,-3,8,-5,-2,-4,-2,9,-109,6
6,0,-7,-3,7,-4,-2,-5,-3,8,-144,6
6,0,-6,-2,6,-3,-1,-6,-3,8,-136,6
6,0,-5,-3,6,-3,-1,-7,-3,8,-120,6
7,0,-6,-4,7,-3,-1,-8,-3,7,-118,6
8,0,-8,-4,8,-4,-1,-9,-3,7,-116,7
9,-1,-10,-4,10,-6,-1,-9,-3,6,-107,7
9,-2,-11,-3,10,-7,-1,-10,-3,6,-97,7
9,-2,-12,-3,10,-7,-2,-11,-3,5,-89,7
9,-2,-11,-3,10,-7,-2,-12,-4,4,-83,7
8,-2,-11,-3,10,-6,-2,-13,-5,3,-79,7
8,-2,-10,-2,9,-6,-2,-13,-5,2,-75,7
6,-2,-9,-2,8,-6,-2,-14,-5,2,-70,7
4,-2,-7,-1,6,-5,-2,-14,-6,2,-66,7
2,-2,-5,0,4,-4,-2,-15,-6,0,-67,7
1,-2,-5,0,3,-3,-2,-15,-7,0,-71,7
1,-2,-5,0,3,-3,-2,-14,-8,-1,-71,7
1,-1,-4,0,3,-2,-2,-12,-8,-1,-73,7
1,0,-3,0,3,-1,-1,-11,-8,0,-73,7
1,0,-2,0,2,0,-1,-10,-8,-1,-71,7
1,0,-2,0,2,0,-1,-9,-8,-1,-80,7
0,0,-1,0,1,0,-1,-9,-8,-2,-91,7
-1,-1,0,1,0,0,-1,-9,-8,-2,-110,7
-2,-1,0,1,0,-1,-1,-9,-9,-3,-141,7
-2,-2,-1,2,0,-2,-1,-9,-10,-3,-144,7
-2,-3,-2,2,0,-2,-1,-9,-11,-4,-114,7
-1,-2,-1,2,0,-2,-1,-8,-11,-4,-90,7
-2,-2,0,2,0,-1,-1,-7,-11,-5,-76,7
-2,-2,1,2,-1,0,-1,-6,-11,-5,-64,7
-2,-1,1,2,-1,0,-1,-6,-11,-5,-54,7
-1,0,1,0,0,0,-1,-5,-11,-5,-47,7
0,0,0,0,0,0,-1,-4,-11,-5,-42,7
