leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
6,14,9,-10,-1,12,-2,12,-2,-12,-4,-6
15,29,16,-22,0,23,-4,18,0,-19,-3,-7
16,18,4,-16,6,11,1,0,11,-4,7,5
8,-13,-20,3,14,-16,11,-20,25,11,19,16
-4,-49,-43,27,19,-46,22,-29,33,17,24,19
-14,-69,-52,41,19,-60,28,-20,32,10,20,11
-17,-63,-43,39,13,-52,26,0,23,-5,9,-2
-11,-33,-20,22,5,-26,17,22,10,-22,-3,-14
0,2,4,-2,0,4,5,33,0,-30,-10,-19
11,24,14,-18,0,20,-1,27,0,-24,-8,-13
16,22,7,-19,5,15,0,8,8,-8,2,-1
11,-3,-13,-4,12,-7,7,-12,22,8,14,11
0,-39,-38,20,18,-38,19,-24,32,17,21,16
-11,-66,-52,37,20,-58,27,-21,35,15,20,12
-15,-67,-49,40,17,-57,28,-5,29,1,11,0
-13,-45,-30,29,9,-37,20,15,16,-16,-2,-13
-4,-11,-5,8,1,-7,8,29,4,-28,-11,-21
6,16,10,-10,0,14,0,30,1,-26,-12,-19
12,22,10,-17,2,17,-1,16,6,-14,-4,-8
12,5,-6,-8,9,0,4,-4,18,3,7,5
3,-29,-31,13,16,-29,15,-20,29,16,17,13
-8,-61,-49,34,19,-55,24,-23,35,18,19,13
-16,-72,-52,43,16,-61,27,-11,31,8,12,4
-16,-57,-38,36,11,-47,23,10,21,-7,2,-8
-7,-24,-15,16,4,-19,14,28,9,-21,-8,-17
4,8,4,-6,2,7,4,34,2,-24,-11,-19
12,22,9,-17,3,17,1,25,5,-15,-6,-11
14,13,0,-13,8,7,4,6,14,0,4,1
7,-16,-22,5,14,-18,13,-12,26,15,13,11
-5,-51,-43,28,16,-46,22,-20,33,20,17,14
-14,-70,-51,41,16,-60,26,-14,32,14,14,8
-16,-65,-45,40,13,-54,24,3,23,0,5,-2
-12,-39,-23,25,6,-30,16,23,11,-15,-5,-13
-3,-4,-1,3,2,-1,6,32,3,-22,-10,-17
6,17,10,-11,1,14,0,28,2,-17,-8,-12
9,16,6,-13,3,12,0,10,9,-3,0,0
7,-4,-11,-2,9,-6,6,-9,19,12,11,11
-1,-36,-33,18,14,-34,15,-19,28,22,18,17
-10,-58,-44,33,15,-51,20,-18,31,22,19,16
-13,-59,-40,36,12,-50,20,-5,26,10,13,7
-11,-39,-23,25,6,-30,14,14,15,-5,3,-4
-3,-4,0,4,1,-1,4,28,6,-14,-3,-9
6,23,16,-14,0,20,-2,28,3,-13,-4,-7
10,29,16,-19,0,23,-4,15,7,-3,1,2
10,14,2,-12,6,9,0,-3,17,12,12,14
3,-17,-20,6,11,-18,8,-17,26,24,20,21
-6,-46,-36,25,12,-40,14,-20,30,26,22,21
-11,-55,-38,32,11,-46,16,-11,27,18,18,15
-10,-41,-27,26,8,-33,12,7,18,3,8,4
-3,-10,-5,7,3,-7,4,23,7,-8,1,-2
7,20,12,-13,2,18,-4,27,1,-11,-1,-3
13,34,18,-23,2,27,-6,19,1,-5,2,2
14,26,10,-19,4,18,-5,1,8,9,11,13
9,-2,-10,-3,9,-6,1,-15,18,21,19,21
0,-36,-31,18,12,-33,9,-21,23,25,22,23
-7,-53,-40,29,13,-46,11,-17,22,20,20,19
-8,-49,-35,28,11,-41,11,-1,16,6,13,9
-4,-23,-16,13,6,-19,5,17,5,-7,3,1
6,11,5,-9,4,9,-2,26,-1,-11,0,-1
15,32,14,-23,4,24,-6,23,-2,-8,2,2
17,31,10,-24,7,21,-6,8,1,4,8,11
15,9,-7,-13,11,2,-1,-9,11,17,17,21
7,-24,-28,7,14,-25,7,-19,19,24,22,25
1,-46,-41,22,16,-43,12,-18,21,23,23,23
0,-49,-41,24,16,-44,13,-6,18,12,17,15
1,-31,-27,15,13,-28,9,11,8,-2,7,5
7,1,-5,-5,10,-1,0,23,0,-11,1,0
16,25,6,-20,10,16,-3,24,-2,-12,0,0
18,28,5,-23,11,17,-4,14,0,-4,3,5
18,12,-8,-16,15,3,-1,-2,8,8,11,14
12,-19,-29,3,17,-23,6,-15,15,17,16,19
2,-47,-43,21,18,-45,11,-19,17,19,17,19
-2,-58,-46,29,17,-52,13,-12,16,12,14,14
-4,-49,-37,26,13,-42,12,4,9,-2,6,4
-2,-21,-15,11,9,-17,6,19,0,-13,-2,-2
5,8,1,-6,8,5,2,24,-2,-16,-5,-4
9,18,4,-13,8,11,2,20,0,-12,-3,-1
9,10,-4,-10,10,3,4,7,7,0,3,7
5,-17,-22,5,12,-19,11,-6,17,11,10,13
-5,-48,-39,26,11,-43,17,-12,21,14,12,15
-11,-65,-46,37,12,-55,20,-9,21,10,11,12
-11,-62,-42,37,12,-51,21,4,16,-1,5,3
-9,-38,-24,25,9,-30,17,20,7,-13,-3,-4
-2,-7,-4,6,7,-5,10,27,1,-18,-5,-7
3,9,2,-4,7,6,8,25,0,-16,-5,-5
4,9,-1,-6,8,4,7,14,3,-6,-1,1
3,-11,-16,3,10,-12,10,-1,11,6,5,8
-3,-43,-36,22,11,-39,16,-11,16,11,8,11
-10,-65,-47,36,11,-55,19,-12,17,10,8,10
-11,-69,-47,39,12,-57,20,-2,15,1,4,4
-11,-51,-33,31,10,-42,18,14,7,-11,-3,-4
-4,-19,-12,12,9,-15,13,25,0,-18,-6,-7
3,5,-1,-3,9,2,11,27,0,-17,-6,-7
5,10,-1,-6,9,4,10,20,1,-10,-4,-2
4,-3,-11,-1,10,-6,11,4,7,2,2,6
0,-32,-30,16,10,-30,16,-7,13,10,6,9
-7,-58,-44,32,11,-51,21,-10,15,11,7,9
-9,-69,-48,37,12,-57,21,-5,15,6,6,6
-9,-60,-41,34,12,-50,20,9,9,-5,-1,-2
-6,-32,-22,19,11,-26,16,22,1,-14,-6,-6
0,-3,-6,2,10,-3,12,26,0,-15,-6,-7
2,8,-1,-5,9,4,12,23,0,-11,-6,-4
2,3,-6,-3,9,0,12,10,4,0,0,3
1,-21,-23,9,10,-22,16,-3,11,9,5,8
-6,-51,-39,28,10,-45,20,-9,13,10,5,8
-9,-66,-45,37,10,-55,20,-9,13,8,5,7
-10,-64,-42,37,9,-52,19,0,8,0,2,1
-10,-41,-24,26,7,-32,15,13,-1,-9,-3,-3
-4,-9,-5,7,7,-6,10,19,-4,-12,-3,-4
1,8,1,-3,8,5,8,19,-4,-10,-3,-3
2,8,-2,-5,9,3,8,10,-1,-1,0,3
4,-10,-17,2,11,-13,11,-2,9,9,5,8
2,-41,-39,19,14,-39,16,-8,16,12,6,9
-2,-61,-49,30,15,-54,18,-10,17,13,6,9
-2,-64,-48,33,15,-55,17,-6,13,7,6,6
-4,-48,-35,27,14,-41,13,3,0,-2,3,2
0,-15,-12,9,12,-13,5,7,-13,-4,4,3
6,13,2,-9,11,8,-2,4,-25,0,9,9
9,26,8,-17,9,18,-10,-6,-40,10,15,18
11,24,6,-18,6,15,-16,-26,-48,24,25,30
8,3,-5,-6,2,0,-17,-41,-55,34,33,38
3,-15,-11,5,0,-13,-19,-49,-64,39,38,44
4,-21,-12,7,0,-15,-22,-51,-70,37,41,45
6,-11,-5,3,1,-7,-26,-41,-81,27,39,40
8,14,12,-10,1,14,-32,-32,-90,19,34,36
13,37,20,-24,3,29,-35,-27,-90,13,29,31
15,43,20,-28,5,32,-35,-27,-87,12,25,30
12,39,18,-26,2,29,-35,-35,-79,21,28,35
9,13,2,-12,1,9,-29,-43,-63,27,29,37
3,-19,-16,6,3,-16,-21,-43,-50,23,25,32
2,-37,-25,16,6,-30,-13,-37,-37,18,21,27
1,-40,-28,19,8,-33,-6,-23,-28,7,15,17
0,-24,-16,13,8,-19,-2,-5,-25,-3,8,10
2,2,-1,-1,7,1,0,5,-21,-7,5,7
4,15,3,-8,8,10,3,11,-16,-7,3,5
4,15,1,-9,9,9,5,8,-11,0,5,9
5,-1,-11,-3,10,-5,8,0,-2,10,9,13
2,-30,-30,13,11,-29,11,-6,3,13,11,14
0,-49,-38,23,12,-43,11,-9,5,14,12,14
0,-53,-40,25,12,-46,11,-6,7,8,10,11
0,-43,-31,22,12,-36,11,5,3,-1,6,5
1,-16,-15,7,12,-14,9,14,1,-6,3,3
4,3,-7,-3,13,-1,10,20,2,-7,3,3
4,8,-6,-5,13,1,11,20,3,-4,3,4
4,0,-13,-3,13,-6,11,11,9,4,5,7
3,-27,-30,10,13,-27,13,3,14,7,6,8
