leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
3,3,0,-3,2,1,-2,-5,-6,-1,0,2
5,7,2,-7,1,5,-5,-16,-20,-7,-2,5
0,9,9,-5,-4,9,-5,-28,-36,-17,-7,4
-6,10,17,-2,-12,13,-4,-38,-51,-27,-14,2
-13,10,23,1,-18,16,-3,-45,-62,-35,-20,-2
-17,9,26,4,-22,17,-1,-48,-68,-42,-25,-5
-21,8,30,6,-25,19,0,-48,-70,-45,-28,-8
-25,9,35,7,-30,22,3,-45,-66,-44,-27,-8
-29,10,40,9,-35,26,6,-40,-57,-39,-24,-8
-33,11,44,10,-38,28,9,-35,-48,-34,-22,-9
-34,10,46,11,-40,28,11,-30,-38,-28,-19,-9
-35,9,45,12,-40,27,13,-24,-29,-23,-16,-9
-35,7,43,13,-39,25,16,-18,-19,-17,-14,-10
-35,5,41,14,-37,23,18,-12,-10,-12,-11,-10
-34,3,37,15,-35,20,21,-6,-2,-7,-9,-10
-33,0,34,16,-33,17,23,-1,4,-3,-7,-11
-31,-1,30,16,-30,14,25,2,9,0,-6,-12
-29,-2,27,15,-27,12,26,5,14,2,-5,-12
-28,-3,25,15,-26,11,28,8,19,6,-3,-12
-28,-4,24,16,-26,10,29,12,24,10,0,-11
-28,-4,23,16,-25,9,31,16,29,14,2,-9
-26,-5,21,16,-24,7,32,19,34,17,4,-8
-24,-5,18,15,-21,6,32,21,37,19,5,-8
-22,-6,16,14,-19,4,33,22,40,21,7,-7
-21,-7,14,14,-17,4,34,24,42,23,8,-6
-21,-7,14,14,-17,3,34,24,43,23,8,-6
-20,-8,13,14,-16,2,34,25,43,23,8,-7
-18,-8,11,13,-14,2,34,25,44,24,8,-7
-17,-8,10,13,-13,1,34,25,45,24,9,-7
-17,-8,10,13,-13,1,35,26,46,25,10,-6
-18,-8,10,13,-14,1,35,27,47,26,11,-6
-18,-8,11,13,-14,1,35,28,48,27,11,-6
-18,-8,10,13,-14,0,35,28,48,27,10,-6
-18,-8,9,13,-13,0,34,28,48,27,10,-7
-18,-9,9,14,-13,0,34,28,48,27,10,-7
-17,-10,8,14,-13,-1,34,28,48,27,10,-6
-16,-9,7,13,-12,-1,34,28,49,27,10,-6
