leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,2,0,-3,-1
-1,-2,-1,1,0,-1,1,2,5,-1,-8,-2
-1,-3,-2,2,0,-2,2,2,6,-2,-11,-3
-1,-3,-2,2,0,-3,2,3,7,-2,-12,-3
-1,-3,-2,2,0,-3,2,3,7,-3,-13,-4
-1,-3,-2,2,0,-3,2,3,7,-3,-14,-4
-1,-3,-2,2,0,-4,2,3,6,-4,-15,-4
-1,-3,-2,2,0,-4,2,3,6,-4,-15,-4
-1,-3,-2,2,0,-4,2,3,6,-4,-15,-4
-1,-3,-3,2,0,-4,2,3,6,-4,-15,-4
0,-3,-3,2,0,-4,2,3,6,-4,-15,-4
-1,-3,-2,2,0,-3,3,3,7,-4,-15,-3
-1,-3,-2,2,0,-3,3,3,7,-4,-15,-3
-1,-3,-1,2,0,-3,3,3,7,-4,-15,-3
-1,-3,-2,2,0,-3,3,3,7,-4,-15,-3
-1,-3,-2,2,0,-3,2,3,7,-4,-15,-3
-1,-3,-3,2,1,-3,2,3,7,-4,-15,-3
-1,-3,-3,2,0,-3,2,3,7,-4,-15,-3
-1,-3,-3,2,0,-3,1,3,7,-3,-15,-3
0,-2,-2,2,0,-3,1,3,7,-2,-14,-1
0,0,-1,0,0,-2,0,1,7,0,-11,2
2,2,-1,-2,1,0,-2,0,6,4,-6,7
5,5,0,-5,3,1,-4,-2,5,10,0,14
9,9,0,-9,5,3,-7,-3,6,18,9,23
15,14,-1,-14,8,5,-11,-4,9,29,20,35
22,19,-3,-21,13,7,-15,-6,13,43,34,48
31,26,-5,-28,18,10,-21,-8,16,57,48,63
40,32,-8,-36,24,11,-27,-11,17,71,62,77
50,38,-12,-44,30,12,-32,-13,19,82,75,89
59,43,-16,-51,37,13,-37,-14,20,91,85,100
67,49,-18,-58,42,15,-41,-16,19,95,92,107
71,54,-17,-62,44,17,-44,-18,14,95,94,110
70,55,-15,-63,43,20,-46,-21,7,90,91,107
65,53,-12,-59,39,20,-45,-22,-1,77,79,95
56,45,-11,-50,34,16,-41,-21,-9,55,57,73
44,34,-10,-39,28,11,-35,-19,-20,28,30,46
32,22,-10,-27,21,6,-28,-18,-31,1,4,20
21,12,-9,-17,16,1,-21,-16,-41,-20,-16,0
12,5,-8,-9,10,-1,-16,-14,-44,-35,-29,-12
4,0,-5,-2,4,-2,-11,-11,-41,-43,-37,-20
-2,-4,-2,3,0,-3,-6,-7,-34,-47,-43,-25
-6,-7,-1,7,-2,-5,-2,-2,-24,-49,-46,-28
-7,-8,-1,8,-3,-6,0,1,-13,-47,-46,-29
-7,-9,-2,8,-2,-6,1,4,-4,-43,-43,-27
-5,-9,-3,7,-1,-7,2,5,2,-37,-40,-24
-3,-8,-4,6,0,-7,2,6,7,-32,-37,-22
-2,-8,-5,5,1,-7,1,5,10,-28,-34,-20
-3,-7,-4,5,0,-6,1,5,11,-23,-30,-17
-5,-7,-2,6,-2,-5,1,5,11,-18,-26,-14
-6,-5,0,5,-3,-3,1,5,12,-14,-22,-11
-5,-4,0,4,-3,-2,1,5,12,-11,-20,-9
-4,-3,0,4,-2,-2,0,5,12,-9,-18,-8
-4,-3,0,4,-1,-2,0,5,12,-8,-17,-7
