leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,0,-2,-4,0,-1,0
-1,-2,0,1,-1,-1,-1,-5,-11,0,-2,1
-1,-2,-1,1,0,-1,-1,-6,-14,0,-3,2
-2,-3,-1,2,-1,-1,0,-7,-16,0,-3,3
-3,-3,0,3,-2,-1,0,-7,-17,1,-3,4
-5,-4,0,4,-3,-2,1,-7,-18,1,-2,5
-6,-5,0,5,-3,-2,1,-7,-19,1,-1,6
-6,-5,0,5,-3,-2,1,-7,-20,1,-1,6
-6,-5,0,5,-3,-2,1,-7,-21,1,-1,6
-7,-5,1,6,-4,-1,1,-6,-20,1,-1,6
-7,-6,2,6,-5,-1,0,-7,-20,1,-2,5
-7,-6,1,7,-4,-2,-1,-8,-21,0,-4,3
-6,-6,0,6,-3,-3,-2,-9,-22,-1,-5,2
-4,-5,-1,5,-2,-3,-1,-8,-21,-1,-5,2
-4,-5,-1,5,-1,-3,0,-7,-21,0,-4,3
-4,-5,-1,5,-1,-3,1,-7,-20,0,-3,4
-5,-6,-1,5,-2,-3,1,-6,-20,0,-3,5
-5,-5,0,5,-2,-2,1,-6,-20,0,-3,5
-5,-4,0,4,-2,-1,2,-5,-20,0,-3,5
-5,-4,0,4,-2,-1,2,-5,-19,0,-3,5
-7,-6,1,6,-3,-2,1,-6,-20,-1,-5,4
-9,-9,0,9,-4,-4,0,-7,-20,-3,-6,2
-10,-11,0,11,-4,-6,0,-7,-21,-3,-6,2
-9,-11,-1,10,-3,-5,1,-6,-20,-2,-5,3
-7,-9,-1,8,-3,-4,2,-5,-19,-1,-3,4
-6,-7,-1,6,-2,-4,2,-4,-19,-1,-3,4
-6,-6,-1,6,-2,-3,1,-5,-19,-1,-4,4
-6,-6,0,6,-3,-3,1,-5,-18,-1,-4,4
-6,-6,1,6,-3,-2,1,-5,-17,-1,-4,4
-7,-6,1,7,-4,-2,1,-5,-17,-1,-3,4
