leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,-2,2,2,-3,0,-1,0,0,0,0,0
-8,-4,4,6,-7,0,-3,1,0,0,0,-1
-10,-4,6,7,-8,0,-3,2,0,1,0,-1
-10,-3,7,6,-8,2,-3,3,0,2,2,0
-11,-3,8,7,-9,2,-3,4,1,3,3,0
-12,-5,7,8,-9,0,-4,4,0,2,2,-1
-14,-8,7,11,-10,-1,-4,4,0,1,0,-2
-16,-10,7,13,-11,-2,-4,4,0,0,-1,-4
-17,-12,6,14,-11,-3,-4,4,0,0,-1,-4
-17,-12,4,15,-11,-4,-5,4,0,0,-1,-4
-17,-12,4,15,-10,-4,-5,4,0,0,-1,-4
-16,-11,4,14,-10,-3,-5,4,0,0,-1,-4
-15,-10,5,12,-10,-2,-4,4,0,1,0,-3
-15,-8,6,11,-10,-1,-4,4,0,2,0,-2
-14,-7,7,11,-11,0,-5,4,0,3,1,-1
-14,-6,7,10,-11,0,-5,4,0,3,2,0
-13,-6,6,10,-10,0,-5,4,0,3,1,-1
-12,-7,5,10,-9,-1,-5,4,-1,2,0,-2
-11,-7,4,9,-8,-1,-4,5,-1,1,-1,-3
-7,-3,3,5,-6,0,-3,6,0,2,0,-2
-8,-3,4,5,-6,0,-2,6,0,3,0,-2
-13,-8,4,10,-9,-2,-3,5,0,2,0,-2
-17,-12,4,14,-10,-4,-4,4,0,2,0,-2
-17,-12,4,14,-10,-4,-4,4,-1,2,0,-2
-15,-11,4,13,-9,-4,-4,4,-1,2,1,-1
-13,-10,4,12,-8,-3,-4,4,-2,2,0,-2
-11,-8,3,10,-7,-3,-4,4,-2,1,0,-3
-9,-7,3,9,-6,-3,-4,5,-2,1,-1,-3
-10,-7,3,9,-7,-3,-3,5,-2,1,-1,-3
-12,-9,3,11,-8,-3,-4,5,-2,2,0,-3
-12,-8,4,10,-8,-3,-5,5,-1,3,1,-2
-10,-4,5,7,-7,0,-5,6,-1,4,3,0
-9,-2,6,5,-7,1,-5,6,-1,5,4,1
-10,-4,6,7,-8,0,-5,5,-1,4,3,0
-10,-5,5,7,-7,0,-5,5,-1,3,2,-1
-8,-4,4,6,-6,-1,-5,5,-1,3,2,-1
-8,-4,3,6,-5,-1,-5,5,-2,2,1,-1
-7,-5,3,6,-5,-2,-5,5,-3,1,0,-2
-6,-5,1,5,-4,-3,-4,6,-2,1,0,-3
-4,-4,0,4,-2,-3,-4,7,-1,2,0,-2
-4,-3,0,3,-2,-2,-3,7,0,4,2,-1
-5,-4,1,4,-3,-2,-4,7,-1,4,3,0
-6,-5,1,6,-4,-2,-5,6,-1,4,3,0
-5,-3,2,5,-4,-1,-5,6,-1,5,4,0
-3,0,3,2,-3,0,-5,6,-1,5,5,1
-1,2,3,-1,-2,2,-4,6,-1,5,5,1
0,2,2,-1,-1,1,-4,6,-2,4,4,0
-4,-2,2,2,-3,-1,-5,5,-3,3,2,-1
-7,-6,1,6,-4,-3,-5,5,-4,2,1,-2
-6,-5,0,5,-3,-3,-5,6,-3,3,2,-2
-3,-2,1,2,-2,-1,-4,7,-1,5,4,0
-4,0,3,1,-3,1,-4,7,-1,7,6,2
-5,-1,3,3,-4,0,-5,6,-1,7,6,2
-3,0,3,1,-3,0,-5,6,-1,7,6,2
-2,0,1,0,-1,0,-4,7,-1,6,5,1
-3,-2,0,2,-1,-2,-4,6,-2,4,3,-1
-5,-6,0,4,-1,-3,-3,6,-3,2,1,-3
-6,-7,-1,6,-1,-4,-3,6,-3,1,0,-4
-6,-8,-1,7,-1,-4,-3,6,-3,1,0,-4
-6,-8,-1,7,-1,-4,-4,6,-3,2,0,-4
-6,-6,0,6,-2,-3,-4,7,-2,4,2,-2
-5,-2,2,4,-3,0,-5,8,-1,6,5,0
-4,1,4,2,-4,2,-5,8,0,7,7,3
-3,3,6,0,-4,4,-5,8,0,8,8,4
-3,3,6,1,-5,4,-5,8,0,8,8,4
-4,1,5,2,-4,3,-4,8,0,8,7,3
-2,1,4,1,-3,2,-3,9,1,8,7,3
-1,1,3,0,-2,2,-2,10,1,7,6,2
-3,0,3,2,-3,1,-2,10,1,7,5,1
-4,0,3,2,-4,1,-2,10,1,7,6,1
-3,1,3,0,-3,2,-1,11,3,9,8,3
-3,3,4,0,-4,3,-2,11,3,10,9,4
-5,2,6,1,-6,4,-3,10,3,10,9,4
-6,1,7,2,-6,4,-4,10,3,10,8,4
-4,1,6,2,-5,4,-4,11,3,9,8,3
-2,0,3,1,-3,2,-3,12,3,9,7,3
-1,-1,1,2,-1,0,-3,12,3,8,6,2
-2,-2,0,3,-1,-1,-3,13,4,8,6,2
-2,-2,0,2,-1,-1,-2,14,5,9,7,2
0,1,0,-1,0,0,-2,16,6,11,8,4
1,3,2,-2,0,2,-2,16,7,12,9,5
1,5,4,-3,-1,4,-2,17,8,13,10,6
3,7,5,-5,0,6,-1,18,9,13,11,6
5,8,4,-6,0,6,-1,18,9,14,11,7
6,8,3,-7,2,5,-1,19,9,14,11,7
7,9,2,-8,3,5,-1,19,9,14,12,7
5,8,2,-6,1,4,-1,20,10,14,12,7
2,5,2,-3,0,3,-1,20,10,14,12,7
1,4,1,-2,0,2,-1,21,12,15,12,7
3,4,0,-4,1,2,-1,22,13,16,13,8
4,5,1,-5,1,3,-2,22,14,16,14,8
5,7,3,-6,1,5,-2,22,14,16,15,9
5,10,5,-7,0,7,-3,23,14,17,16,10
4,12,8,-8,-1,10,-3,23,15,19,18,12
5,14,9,-9,-2,11,-3,24,16,21,19,14
7,15,7,-11,0,11,-3,24,17,21,20,14
8,14,5,-11,1,9,-3,24,17,21,19,14
8,12,3,-10,2,7,-3,24,16,20,18,13
11,13,2,-12,4,7,-2,25,17,20,18,13
15,16,2,-16,6,9,-1,26,19,22,19,14
14,16,3,-16,5,9,-2,26,19,22,20,14
13,16,3,-15,5,9,-3,25,18,22,20,14
12,15,3,-14,4,9,-4,24,17,21,19,14
10,13,2,-12,4,7,-5,23,16,20,18,13
9,12,2,-11,3,7,-6,22,15,19,18,13
10,14,3,-12,3,8,-6,22,15,19,18,13
12,16,4,-14,3,10,-6,21,15,20,19,14
13,18,5,-15,3,11,-6,21,15,21,20,15
14,19,5,-16,3,12,-6,21,15,21,21,16
14,19,5,-16,4,12,-6,20,14,21,21,17
13,18,5,-16,4,11,-7,20,14,20,21,16
13,18,5,-15,4,10,-7,19,14,20,20,15
14,17,4,-15,5,10,-7,19,13,20,20,16
14,16,3,-15,6,9,-7,18,12,20,20,16
15,16,2,-16,6,9,-7,17,12,19,20,16
16,18,2,-17,7,9,-7,17,12,20,20,16
16,18,2,-17,6,10,-8,16,11,20,21,16
14,17,3,-15,5,10,-9,14,9,19,20,16
13,17,4,-15,4,10,-10,12,8,19,20,16
14,19,5,-16,4,12,-10,11,7,18,19,16
14,19,4,-17,5,12,-10,11,5,17,18,16
12,15,3,-13,4,9,-10,9,3,14,16,14
10,12,2,-11,4,7,-10,8,2,13,14,12
14,15,2,-15,6,8,-9,8,3,14,15,12
16,17,2,-17,7,9,-9,7,3,15,16,13
12,14,2,-14,5,8,-11,6,2,15,16,13
9,12,2,-10,3,7,-11,4,0,13,15,12
7,11,2,-9,2,6,-11,3,-1,12,14,11
8,11,2,-9,3,6,-10,3,-2,11,13,11
9,11,1,-10,4,6,-10,3,-2,11,13,11
8,10,2,-9,3,5,-11,2,-2,11,12,11
8,9,2,-9,2,5,-12,1,-4,10,11,10
8,8,1,-8,3,4,-12,0,-6,8,9,8
8,7,-1,-7,4,2,-12,-1,-7,6,7,6
8,6,-2,-7,5,2,-11,-1,-7,6,7,5
9,8,-2,-8,6,3,-11,0,-6,8,9,6
10,10,0,-10,5,5,-10,0,-5,10,11,8
