leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,-6,-4,4,1,-5,4,4,0,-184,-11,-4
-6,-15,-9,11,1,-12,10,10,0,-428,-27,-11
-8,-19,-10,14,1,-15,14,14,0,-483,-35,-12
-10,-21,-11,16,0,-16,17,16,0,-447,-38,-12
-11,-23,-12,17,0,-18,18,17,-1,-373,-40,-12
-11,-24,-13,18,1,-19,19,17,-3,-275,-41,-11
-12,-25,-14,19,1,-20,20,18,-5,-161,-41,-11
-12,-26,-14,19,1,-21,21,18,-8,-40,-42,-11
-13,-27,-14,20,1,-21,22,18,-12,77,-42,-10
-14,-28,-14,21,0,-21,24,18,-16,175,-43,-10
-15,-29,-13,22,0,-22,26,18,-21,259,-44,-10
-16,-30,-14,23,0,-23,27,17,-26,334,-45,-10
-16,-32,-15,24,0,-24,29,17,-30,401,-45,-10
-17,-33,-16,25,0,-25,31,17,-32,462,-45,-9
-17,-34,-17,26,0,-25,33,16,-33,517,-45,-9
-18,-35,-16,26,-1,-25,35,15,-35,564,-45,-8
-19,-34,-15,27,-2,-25,37,14,-36,603,-45,-8
-20,-34,-15,27,-2,-25,38,14,-35,636,-44,-7
-19,-34,-15,27,-2,-25,40,16,-33,657,-41,-5
-19,-34,-15,27,-1,-25,42,18,-31,654,-38,-3
-19,-35,-15,28,-2,-25,44,19,-28,640,-34,-2
-20,-35,-15,28,-3,-24,47,20,-26,652,-31,0
-21,-36,-14,29,-3,-24,49,21,-25,699,-29,0
-21,-36,-15,29,-3,-25,50,21,-23,750,-27,1
-21,-37,-15,29,-3,-26,51,21,-21,783,-25,2
-20,-37,-16,29,-2,-26,50,19,-20,802,-23,3
-19,-36,-16,28,-1,-26,48,17,-19,813,-20,4
-18,-35,-15,27,-1,-26,46,14,-18,820,-17,6
-17,-34,-16,26,-1,-25,43,11,-17,826,-14,8
-16,-33,-17,25,0,-25,39,8,-16,830,-11,10
-14,-31,-17,23,1,-25,34,6,-14,833,-8,13
-11,-29,-18,21,2,-24,29,3,-11,835,-5,15
-9,-27,-18,18,4,-23,23,1,-8,835,-2,17
-6,-25,-18,16,5,-21,17,0,-5,835,1,20
-4,-23,-18,13,7,-20,12,-2,-2,834,5,22
-1,-20,-18,11,8,-19,7,-3,0,834,9,24
1,-19,-18,9,10,-19,3,-4,3,833,12,27
3,-18,-20,7,11,-19,0,-5,5,831,14,29
5,-16,-21,6,13,-19,-2,-5,8,829,17,30
7,-15,-21,4,14,-18,-5,-5,10,826,18,32
8,-14,-22,3,15,-18,-7,-4,13,821,20,33
10,-13,-23,1,17,-18,-8,-4,14,817,21,33
11,-13,-23,1,17,-18,-9,-3,15,813,22,34
12,-12,-24,0,17,-18,-10,-3,16,809,23,34
11,-12,-23,0,17,-17,-10,-3,17,804,25,35
11,-12,-23,0,16,-17,-10,-2,18,802,26,35
11,-12,-23,0,16,-17,-10,-2,18,814,26,35
11,-12,-23,0,16,-17,-10,-3,18,709,26,35
11,-12,-22,0,16,-17,-10,-3,19,490,27,35
10,-12,-22,0,16,-17,-10,-3,19,476,27,35
