leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,2,1,-2,0,2,0,0,0,0,1,1
1,5,4,-3,-1,4,1,0,0,1,2,3
-1,5,5,-2,-3,5,1,0,-1,0,1,3
-6,2,8,2,-7,5,0,-2,-3,-2,-1,1
-13,0,13,7,-13,6,-2,-4,-6,-5,-4,-1
-18,-1,16,9,-18,7,-2,-5,-7,-7,-6,-2
-19,0,19,10,-20,8,-2,-5,-7,-8,-6,-3
-17,2,19,7,-18,10,-1,-5,-6,-7,-4,-2
-10,6,16,2,-13,10,0,-3,-4,-4,-2,0
-5,7,13,-1,-9,9,1,-2,-3,-1,0,2
-4,6,10,-1,-7,8,1,-2,-3,0,1,3
-6,3,9,1,-7,6,1,-3,-3,-1,0,3
-12,0,11,6,-11,5,0,-4,-4,-3,-1,1
-18,-2,15,10,-16,6,0,-4,-5,-4,-3,0
-19,-1,17,10,-18,8,0,-5,-5,-5,-3,0
-18,2,19,8,-19,10,0,-4,-4,-5,-2,0
-13,5,17,3,-16,11,1,-3,-3,-3,0,2
-7,7,15,0,-11,11,1,-3,-3,-1,2,4
-4,7,12,-2,-8,10,1,-2,-2,0,3,5
-5,5,10,0,-7,8,1,-2,-2,0,3,5
-9,2,12,3,-10,7,1,-2,-2,0,2,4
-15,1,16,6,-15,8,0,-3,-3,-2,0,2
-18,0,18,8,-18,9,0,-3,-3,-3,-1,1
-18,1,19,8,-19,9,0,-3,-3,-3,-1,1
-14,4,18,4,-16,10,1,-1,-2,-2,0,2
-7,7,15,0,-11,10,2,0,0,0,2,4
-3,8,12,-2,-8,10,2,1,0,2,4,5
-2,7,11,-2,-6,9,2,1,1,2,4,6
-5,5,10,0,-7,8,1,1,0,1,3,5
-10,2,12,4,-11,7,0,1,0,0,2,4
-14,1,15,6,-14,8,0,1,0,-1,1,3
-14,2,16,6,-15,8,-1,1,0,-1,1,3
