leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,0,1,-1,0,2,0,0,2,1,2
-2,0,1,1,-1,0,5,1,0,4,2,5
0,1,0,0,0,0,7,2,0,5,3,6
2,2,0,-2,1,1,9,3,0,6,4,8
2,2,0,-2,1,1,10,3,0,7,5,9
1,1,0,-1,1,0,11,3,0,7,6,9
1,0,0,-1,1,0,12,3,0,7,6,9
0,1,0,-1,0,0,13,4,0,8,6,10
0,1,1,-1,0,1,14,4,0,8,6,11
-1,2,2,-1,-1,2,15,5,0,8,6,11
1,3,1,-2,0,2,16,6,0,8,7,12
5,4,-1,-5,3,2,17,6,0,8,7,12
7,4,-3,-6,5,1,16,6,0,8,7,12
5,3,-2,-4,4,1,16,6,0,8,7,12
1,2,1,-2,0,2,17,7,0,8,7,13
-2,2,4,0,-3,3,17,7,0,8,8,13
-3,1,3,1,-3,2,18,7,0,8,8,14
-5,-2,1,3,-3,0,18,7,-1,7,7,13
-5,-4,0,5,-2,-2,17,6,-1,6,6,13
-3,-3,-1,3,-1,-2,17,6,-2,5,6,12
-1,-2,-1,2,0,-1,17,6,-1,5,6,12
-2,-1,0,1,-1,0,18,7,-1,6,7,13
-2,1,3,0,-3,3,19,8,0,6,8,14
0,4,4,-2,-3,5,20,8,0,6,8,15
0,4,4,-2,-2,5,20,8,0,6,8,14
0,4,3,-2,-1,4,20,7,0,5,7,14
2,4,2,-3,0,3,20,7,-1,5,6,13
2,3,0,-2,1,2,20,6,-1,5,6,13
2,0,-1,-1,1,0,20,6,-1,5,6,13
0,0,0,0,0,0,20,6,-1,5,6,13
-1,0,1,0,-1,1,20,6,-2,5,6,13
-1,0,1,0,-1,1,20,6,-2,4,5,12
0,1,1,-1,0,1,21,6,-1,4,6,13
0,3,3,-1,-1,3,22,7,0,5,7,15
-1,3,4,-1,-2,3,23,7,0,6,8,16
0,3,3,-2,-1,3,23,7,0,6,8,16
0,3,2,-2,-1,3,22,7,0,5,7,16
0,2,2,-1,-1,2,21,6,-1,4,6,15
-1,1,2,0,-1,1,20,5,-2,3,5,13
-1,0,2,0,-1,1,19,5,-2,2,5,12
-1,0,1,0,0,0,19,4,-3,2,4,12
0,0,0,0,0,0,18,3,-3,2,4,13
0,1,1,0,0,1,19,4,-2,1,4,13
0,2,1,-1,0,1,19,4,-2,1,5,13
2,2,0,-1,1,1,19,4,-2,1,5,13
3,3,0,-2,1,2,20,5,-2,2,6,14
2,4,2,-3,0,3,20,5,-1,2,6,15
0,3,3,-2,-1,4,20,5,-1,2,6,16
0,3,4,-1,-2,4,21,5,-1,2,6,16
0,4,4,-3,-2,4,23,6,0,3,6,17
1,5,4,-3,-2,5,24,6,0,3,7,17
0,5,6,-2,-4,6,25,6,0,3,7,18
-1,6,7,-2,-5,7,26,7,1,4,7,18
0,7,7,-3,-4,7,26,7,1,4,7,19
1,8,6,-4,-2,6,26,6,0,3,7,19
2,8,6,-5,-2,7,26,6,0,3,7,19
1,8,6,-5,-2,7,27,6,0,3,7,19
1,7,5,-4,-1,6,27,6,0,3,7,19
1,6,4,-3,-1,5,26,5,0,2,7,19
1,6,5,-3,-2,5,26,5,0,2,7,19
1,6,5,-3,-2,5,26,5,-1,1,7,19
1,5,4,-2,-2,4,26,5,-1,1,6,19
1,6,5,-3,-2,5,26,5,0,1,5,19
0,7,8,-3,-4,7,26,6,0,2,5,19
-2,7,10,-2,-6,9,26,7,0,2,5,19
-3,7,11,-2,-6,9,26,6,0,2,5,19
-3,7,11,-2,-6,9,26,7,1,2,5,20
-1,7,9,-3,-5,8,26,7,1,3,6,21
1,7,6,-4,-2,7,24,7,1,2,6,21
2,8,5,-4,-1,6,23,6,1,2,6,21
3,9,6,-5,-1,7,22,6,1,2,7,22
5,10,5,-7,0,8,21,6,1,2,7,22
7,12,5,-9,1,9,21,5,1,2,7,23
8,13,5,-10,1,9,20,5,1,2,7,23
8,12,4,-10,2,8,19,3,0,0,6,22
8,10,2,-9,2,7,17,1,-2,-1,5,21
6,9,3,-8,1,6,15,0,-3,-2,4,20
5,9,4,-7,0,7,14,-1,-4,-3,3,20
5,9,3,-7,0,6,14,-2,-5,-4,2,19
6,9,3,-7,1,6,14,-2,-5,-4,2,19
5,8,3,-6,0,6,14,-1,-5,-3,2,20
