leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-11,0,11,6,-11,5,3,0,0,0,0,2
-30,-1,29,16,-30,14,9,1,2,3,2,6
-43,-2,41,23,-42,20,15,6,7,7,6,11
-51,-3,48,28,-50,22,19,13,13,12,10,14
-55,-5,50,30,-53,23,22,18,18,16,13,17
-57,-6,51,32,-55,23,24,22,21,18,15,18
-58,-5,52,32,-56,23,25,25,23,20,17,20
-56,-4,51,31,-54,24,24,26,24,20,17,20
-52,-2,49,27,-50,23,22,26,23,18,15,19
-49,-1,48,25,-49,24,21,26,23,18,15,18
-50,-1,49,25,-49,24,22,27,24,19,15,19
-50,-1,49,26,-50,24,22,29,26,20,16,19
-51,-2,49,27,-50,23,23,30,27,21,17,20
-53,-3,49,28,-51,22,23,32,28,22,18,21
-54,-3,50,28,-52,23,24,33,29,23,19,22
-53,-2,49,27,-51,23,23,33,28,22,18,21
-50,-1,47,25,-49,23,22,32,27,21,17,20
-47,0,45,23,-46,23,21,31,27,20,16,19
-46,0,45,23,-45,22,20,31,27,20,16,19
-46,-1,45,24,-46,22,20,32,27,20,16,19
-47,-2,45,25,-46,22,21,33,28,21,17,20
-48,-2,44,25,-46,21,21,34,29,21,17,20
-47,-2,44,25,-46,21,21,35,29,21,17,20
-46,-1,43,23,-45,21,21,35,30,21,17,20
-44,0,42,22,-43,21,21,35,29,21,17,20
-42,0,42,21,-42,21,20,35,29,20,16,19
-41,0,41,21,-42,21,20,36,29,20,16,19
-41,0,41,21,-41,21,20,37,29,21,16,19
-42,0,42,21,-42,21,20,38,30,22,17,20
-43,0,42,22,-42,21,21,39,31,23,18,20
-44,0,41,22,-42,21,21,40,32,23,18,20
-44,-1,41,23,-42,20,20,40,32,23,17,20
-43,-2,40,22,-41,19,20,40,31,23,17,19
-41,-1,39,21,-40,19,19,40,31,22,16,19
-39,-1,38,20,-39,19,19,40,32,22,16,19
-38,-1,37,19,-38,18,19,41,32,22,16,19
-38,-1,36,19,-37,18,19,42,32,23,16,19
-38,-1,35,20,-36,17,19,43,33,23,16,19
-38,-1,35,20,-36,17,19,44,33,23,16,19
-38,-1,36,19,-36,17,19,45,34,23,17,19
-37,0,35,18,-36,17,19,46,34,24,17,20
-36,0,35,17,-35,18,19,47,35,24,17,20
-35,1,36,16,-35,19,19,48,35,25,18,20
-34,2,36,16,-35,19,19,49,36,25,18,20
-32,2,35,15,-33,19,18,50,36,25,18,20
-32,2,34,15,-32,18,18,51,37,26,18,20
-32,2,33,15,-32,18,18,52,38,26,18,21
-32,3,33,14,-32,18,18,53,38,26,19,21
-31,3,33,13,-31,18,18,54,38,26,19,21
-29,4,32,12,-30,18,17,55,38,26,19,21
-28,5,32,11,-29,18,17,55,39,27,19,21
-26,5,31,10,-28,18,16,56,39,27,19,22
-26,6,31,10,-28,18,16,56,39,27,19,22
-25,6,31,9,-28,19,16,56,39,27,19,22
-25,7,31,9,-28,19,15,56,39,28,20,23
-25,7,31,9,-28,20,15,56,40,28,20,23
-24,8,31,8,-27,19,15,56,40,28,21,23
-22,8,30,6,-26,19,14,55,39,28,21,23
-21,9,29,5,-25,20,13,55,39,28,21,23
-19,10,29,4,-24,20,12,54,39,29,21,24
-16,11,28,3,-22,20,11,52,38,29,21,24
-16,11,28,2,-22,20,11,51,37,29,22,25
-17,12,28,2,-22,20,10,50,37,29,22,25
-16,12,26,2,-21,19,10,49,36,28,22,25
-15,12,25,1,-20,19,9,48,35,28,23,25
-16,12,27,2,-22,20,9,47,36,28,24,26
-16,12,28,2,-22,21,9,46,36,29,24,27
-12,13,25,0,-18,19,8,44,34,28,23,26
-7,13,21,-2,-14,18,6,41,33,27,23,26
-6,14,20,-3,-13,18,6,40,32,27,23,26
-5,15,20,-4,-13,18,6,39,32,27,24,26
-6,16,21,-4,-14,19,6,38,32,27,24,27
-9,15,23,-2,-16,19,6,38,32,27,25,27
-10,15,23,-2,-16,19,5,37,31,27,25,27
-6,16,20,-5,-13,18,4,35,30,26,24,26
-3,15,18,-6,-11,17,3,33,29,25,24,26
-3,14,18,-5,-10,16,2,32,29,25,24,25
-3,13,16,-5,-9,15,1,30,28,24,23,25
-3,12,15,-4,-8,14,1,28,27,23,23,24
-3,12,14,-4,-8,13,0,27,26,22,22,24
-3,11,13,-4,-7,12,0,26,25,21,21,23
-3,11,12,-4,-7,11,-1,25,23,20,20,22
-1,11,11,-4,-6,11,-2,24,22,19,19,21
-1,10,10,-4,-6,10,-2,22,22,18,18,20
-2,9,11,-3,-7,10,-2,21,21,18,18,20
-2,8,10,-3,-7,9,-2,20,21,18,18,19
-1,6,7,-3,-5,7,-3,18,19,16,17,18
0,5,5,-3,-4,6,-3,17,18,15,16,17
0,5,4,-3,-2,5,-3,16,17,14,15,16
1,5,2,-3,-1,4,-3,15,17,13,14,15
2,5,1,-3,0,3,-4,14,16,12,13,14
3,5,0,-4,1,3,-4,14,15,11,13,13
4,5,0,-4,2,2,-5,13,15,11,13,13
6,5,-1,-5,3,2,-5,13,14,10,13,13
7,5,-2,-6,3,1,-5,12,14,10,13,13
7,4,-3,-6,4,1,-5,12,13,10,12,12
7,4,-4,-6,5,0,-6,11,13,9,12,11
8,4,-5,-6,7,0,-6,10,12,8,11,10
8,4,-5,-6,7,-1,-6,10,11,7,10,9
9,5,-6,-6,8,-1,-5,10,11,7,9,9
11,5,-7,-7,9,-1,-5,10,11,7,9,8
12,5,-8,-8,9,-1,-5,10,11,7,9,8
12,5,-8,-8,10,-1,-4,10,11,7,9,8
13,5,-8,-8,10,-1,-4,10,11,7,9,8
13,5,-9,-9,10,-1,-3,11,11,7,9,8
14,5,-9,-9,11,-2,-3,11,11,7,9,8
14,5,-10,-10,12,-2,-2,12,11,7,9,8
15,5,-10,-10,13,-2,-1,12,11,7,9,8
15,5,-10,-10,13,-2,0,12,11,7,9,8
15,5,-9,-10,12,-1,0,13,12,8,10,8
15,5,-10,-10,12,-2,1,14,12,8,9,8
16,4,-12,-10,13,-3,1,14,12,8,9,8
16,3,-12,-10,14,-4,1,14,12,8,9,7
16,3,-13,-10,15,-4,1,14,12,7,9,7
17,3,-15,-10,16,-5,0,13,11,7,8,6
18,3,-16,-11,17,-6,0,13,11,6,8,6
19,4,-16,-11,17,-5,0,13,12,7,8,6
20,5,-15,-12,17,-4,-1,14,12,7,9,7
20,6,-14,-12,17,-4,-2,13,12,7,9,7
20,6,-14,-13,17,-3,-3,13,12,7,9,6
21,6,-15,-13,17,-3,-5,11,11,7,8,6
21,7,-15,-14,18,-3,-7,10,10,6,8,5
21,7,-14,-13,17,-3,-9,8,9,6,8,5
21,7,-15,-13,18,-3,-11,6,8,5,7,5
22,7,-16,-13,19,-4,-12,4,6,4,6,4
23,6,-17,-13,20,-5,-13,3,5,3,6,3
23,5,-18,-13,21,-6,-14,2,4,2,5,3
23,4,-19,-13,21,-7,-14,1,4,2,5,2
24,4,-20,-13,22,-8,-15,1,3,1,5,2
23,3,-20,-13,22,-8,-15,1,3,1,5,2
23,3,-21,-13,22,-9,-15,0,2,1,4,1
24,2,-23,-13,24,-10,-16,0,1,0,3,0
24,1,-24,-12,24,-11,-16,-1,0,-1,2,0
23,0,-24,-10,24,-12,-15,-2,0,-1,2,0
24,-1,-26,-10,25,-13,-15,-3,-1,-2,1,-1
25,-2,-28,-10,26,-15,-15,-3,-2,-3,0,-2
25,-3,-28,-10,26,-16,-14,-3,-2,-3,0,-3
24,-3,-28,-10,26,-16,-13,-2,-2,-3,0,-3
24,-3,-28,-10,25,-15,-12,-2,-1,-3,0,-4
24,-3,-28,-10,26,-16,-11,-2,-2,-4,0,-4
25,-4,-30,-10,27,-17,-11,-2,-2,-4,-1,-5
25,-4,-30,-9,27,-17,-10,-3,-3,-5,-2,-6
24,-5,-30,-9,27,-17,-10,-3,-3,-5,-2,-6
24,-5,-30,-8,27,-17,-10,-3,-3,-5,-3,-6
23,-6,-30,-8,26,-17,-9,-2,-2,-5,-3,-6
22,-6,-29,-8,25,-17,-8,-2,-2,-4,-2,-6
22,-6,-29,-8,25,-17,-8,-2,-2,-4,-2,-6
23,-5,-30,-9,26,-17,-8,-2,-2,-5,-2,-6
22,-5,-29,-8,25,-16,-7,-2,-2,-4,-2,-6
22,-5,-28,-7,25,-16,-6,-2,-2,-4,-2,-6
22,-5,-29,-7,25,-16,-7,-3,-3,-5,-2,-6
22,-6,-29,-7,25,-16,-7,-3,-3,-6,-3,-6
22,-6,-28,-7,25,-16,-7,-3,-3,-6,-3,-6
22,-6,-29,-8,25,-17,-7,-4,-4,-6,-3,-7
23,-6,-30,-8,26,-18,-7,-4,-4,-6,-3,-7
23,-6,-30,-8,26,-18,-7,-4,-4,-6,-3,-7
23,-6,-30,-8,26,-18,-7,-4,-5,-6,-3,-7
22,-6,-29,-7,26,-17,-7,-5,-5,-6,-3,-6
22,-5,-28,-7,25,-16,-7,-5,-5,-6,-3,-6
23,-5,-29,-8,26,-17,-7,-5,-5,-7,-3,-6
24,-5,-30,-8,27,-17,-7,-5,-5,-7,-4,-6
23,-6,-29,-8,25,-17,-7,-5,-5,-7,-4,-6
22,-6,-29,-7,25,-17,-7,-5,-5,-7,-3,-6
22,-7,-30,-7,26,-18,-7,-6,-5,-8,-4,-6
23,-7,-30,-7,26,-18,-7,-6,-5,-8,-4,-6
23,-7,-30,-7,26,-17,-7,-6,-5,-8,-4,-6
23,-7,-30,-7,26,-17,-7,-6,-5,-8,-5,-7
22,-7,-29,-7,25,-17,-7,-6,-5,-8,-5,-7
22,-7,-28,-7,25,-17,-7,-6,-5,-8,-5,-7
23,-6,-30,-8,26,-18,-8,-6,-6,-8,-5,-7
23,-6,-30,-8,26,-18,-8,-6,-6,-8,-5,-7
23,-6,-30,-8,26,-18,-7,-6,-6,-8,-5,-7
22,-6,-29,-7,25,-17,-7,-6,-6,-8,-4,-7
19,-6,-26,-6,22,-16,-6,-6,-5,-7,-3,-6
17,-6,-24,-5,21,-15,-5,-5,-4,-7,-3,-6
20,-6,-27,-6,23,-16,-6,-5,-5,-8,-4,-6
23,-6,-29,-7,26,-17,-6,-5,-5,-8,-4,-7
23,-6,-30,-8,26,-17,-6,-2,-3,-7,-3,-6
21,-6,-28,-7,24,-17,-4,3,1,-4,-1,-6
18,-6,-25,-5,21,-15,-3,13,8,1,2,-4
20,-5,-25,-7,22,-14,-2,23,15,6,7,-1
25,-2,-28,-11,26,-14,-3,36,24,12,12,1
30,1,-29,-15,29,-13,-2,54,37,21,19,6
35,6,-30,-20,32,-11,-2,75,52,33,30,12
43,11,-32,-27,37,-10,-2,94,69,46,42,20
