leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,-1,0,0,-1,1,-9,-1,-1,-2,0
0,-2,-2,1,1,-2,2,-24,-3,-4,-5,-1
0,-4,-4,2,1,-4,4,-33,-4,-5,-6,-2
0,-5,-6,2,2,-6,5,-38,-4,-5,-7,-1
0,-6,-7,3,3,-7,5,-41,-3,-4,-7,-1
0,-6,-7,3,3,-7,5,-44,-3,-4,-7,-1
0,-5,-6,2,3,-6,5,-45,-2,-4,-7,-1
0,-4,-5,2,2,-5,6,-44,-1,-4,-7,0
0,-4,-5,2,2,-5,6,-42,0,-3,-7,0
0,-4,-5,2,2,-5,7,-40,1,-2,-7,0
0,-4,-4,2,2,-5,7,-39,2,-1,-7,0
0,-3,-4,1,2,-4,7,-38,3,-1,-6,0
0,-3,-4,1,2,-4,7,-38,4,0,-6,0
0,-3,-4,1,2,-4,7,-38,5,1,-5,0
0,-3,-4,1,2,-4,7,-37,7,2,-4,0
0,-2,-4,1,2,-3,7,-36,8,3,-3,0
0,-2,-3,1,1,-3,8,-34,10,4,-3,1
0,-1,-2,0,1,-2,8,-31,12,5,-2,1
0,0,-1,0,1,-1,9,-29,14,6,-2,2
1,0,-1,0,1,-1,9,-28,15,7,-1,2
1,0,-2,-1,1,-1,10,-27,17,9,0,2
2,0,-2,-1,2,-1,10,-26,18,10,0,3
2,1,-2,-2,2,-1,11,-25,20,12,1,3
3,1,-2,-2,2,-1,11,-24,22,13,2,4
3,1,-2,-2,2,-1,11,-22,24,15,3,5
3,2,-2,-2,2,-1,11,-20,26,16,4,5
3,2,-1,-3,2,0,11,-18,28,18,6,6
3,3,-1,-3,1,0,11,-16,29,20,7,7
3,3,0,-3,1,1,11,-15,31,21,8,8
3,3,0,-3,1,1,11,-15,33,23,9,9
3,4,0,-3,1,2,12,-14,35,25,11,9
4,5,1,-4,1,2,12,-13,37,27,12,10
4,5,1,-4,0,3,13,-12,39,28,13,11
4,6,2,-5,0,3,13,-10,41,30,15,12
5,7,2,-5,1,4,13,-9,42,32,16,13
5,8,2,-6,1,4,13,-8,44,34,17,14
5,8,2,-6,1,4,13,-7,45,36,19,15
5,8,2,-6,1,4,13,-7,46,37,20,16
4,8,3,-6,0,4,13,-7,48,39,21,16
4,9,3,-7,0,5,13,-7,49,40,22,17
4,9,4,-7,0,6,13,-7,50,42,23,18
5,10,4,-8,0,7,13,-6,51,43,24,19
5,11,5,-8,0,7,13,-6,52,44,24,19
5,11,5,-9,0,8,13,-6,53,45,25,19
5,12,6,-9,0,8,12,-6,54,46,26,19
6,13,6,-10,0,9,12,-7,54,47,26,20
6,14,7,-10,0,9,11,-7,55,48,27,21
6,14,7,-11,0,10,11,-8,55,49,29,22
6,14,7,-11,-1,10,11,-9,56,50,30,23
6,15,7,-11,-1,10,11,-10,56,50,30,23
6,15,7,-11,-1,11,10,-11,56,51,31,23
7,16,7,-11,-1,11,10,-12,56,51,31,24
7,16,8,-11,-1,11,10,-13,56,51,31,24
6,16,9,-11,-1,12,9,-15,56,52,31,24
6,16,9,-11,-2,12,9,-17,56,52,31,24
5,16,10,-11,-2,12,8,-19,55,52,31,24
5,16,10,-10,-2,13,7,-21,54,52,31,24
4,16,11,-10,-3,13,7,-23,53,52,31,24
4,16,11,-10,-3,13,6,-25,52,51,31,24
4,17,11,-11,-4,13,6,-27,51,50,31,24
4,17,11,-11,-4,13,5,-30,49,49,31,24
4,17,11,-11,-4,13,5,-33,48,48,31,24
4,17,11,-11,-4,13,4,-35,46,47,30,24
4,17,11,-11,-3,13,3,-38,44,46,30,24
4,17,11,-10,-3,13,2,-41,42,44,29,23
4,16,11,-10,-3,13,2,-44,40,43,28,22
4,16,11,-9,-3,13,1,-46,37,42,26,21
3,15,10,-9,-3,12,1,-49,35,40,25,20
3,14,10,-8,-3,11,0,-51,32,38,24,19
2,13,9,-8,-3,11,0,-54,30,36,23,19
2,12,9,-7,-3,10,-1,-56,28,33,22,18
2,12,8,-7,-3,9,-2,-59,26,32,21,17
1,11,8,-6,-3,9,-2,-61,24,30,21,17
1,11,8,-6,-3,8,-2,-63,22,29,20,16
1,10,7,-5,-3,8,-3,-65,20,27,19,16
1,10,7,-5,-2,7,-3,-67,18,26,18,15
1,9,6,-5,-2,7,-3,-69,16,24,17,15
1,8,5,-5,-2,7,-3,-71,14,22,16,14
1,7,5,-4,-2,6,-4,-73,12,20,15,13
1,6,4,-4,-2,5,-4,-74,10,18,14,13
1,6,3,-3,-2,4,-4,-76,9,17,13,12
1,5,3,-3,-2,4,-4,-78,7,15,12,12
1,4,2,-3,-1,3,-5,-79,6,14,11,11
0,3,2,-2,-1,2,-5,-80,4,13,10,10
0,3,1,-2,0,2,-5,-81,3,11,9,10
0,2,0,-1,0,1,-5,-82,1,10,9,9
0,2,0,-1,0,1,-5,-83,0,8,8,9
0,1,0,0,0,0,-5,-84,-1,7,7,8
0,1,0,0,0,0,-6,-85,-2,6,7,8
0,0,-1,0,0,0,-6,-86,-3,6,6,7
0,0,-1,0,0,-1,-6,-87,-4,5,5,7
0,0,-1,0,0,-1,-6,-87,-4,5,5,6
0,0,-2,0,0,-1,-6,-88,-5,4,4,6
0,0,-2,0,1,-1,-6,-88,-6,3,4,6
0,0,-3,0,1,-1,-6,-89,-6,2,4,6
0,0,-3,0,1,-1,-6,-89,-7,1,3,5
0,0,-3,0,1,-2,-6,-90,-7,0,3,5
0,0,-3,0,1,-2,-6,-90,-8,0,2,4
0,-1,-3,0,1,-2,-6,-91,-8,0,2,4
0,-1,-3,0,1,-2,-6,-91,-9,-1,1,3
0,-2,-3,0,1,-2,-6,-91,-9,-1,0,3
0,-2,-3,1,1,-2,-6,-92,-10,-2,0,2
0,-2,-3,1,1,-2,-6,-92,-10,-2,0,2
0,-2,-3,1,1,-3,-6,-93,-10,-3,0,2
0,-2,-4,1,2,-3,-6,-93,-10,-3,0,2
0,-2,-4,1,2,-3,-6,-93,-10,-3,0,2
0,-2,-5,1,2,-4,-6,-93,-10,-3,0,2
0,-2,-5,1,2,-4,-6,-94,-10,-3,0,2
0,-2,-4,1,2,-4,-6,-94,-10,-3,0,2
0,-2,-4,1,2,-4,-6,-94,-11,-4,0,2
0,-2,-4,1,2,-4,-6,-94,-11,-4,0,1
0,-2,-4,1,2,-4,-5,-95,-11,-5,-1,1
0,-2,-4,1,2,-4,-5,-95,-11,-5,-1,1
0,-2,-4,1,2,-4,-5,-95,-12,-6,-1,1
0,-3,-4,1,2,-4,-5,-95,-12,-6,-1,0
0,-3,-4,1,2,-4,-5,-96,-12,-6,-1,0
0,-3,-4,2,1,-4,-5,-96,-12,-6,-2,0
-1,-3,-4,2,1,-4,-5,-96,-12,-6,-2,0
-1,-3,-4,2,1,-4,-5,-96,-13,-6,-2,0
-1,-3,-4,2,1,-4,-5,-97,-13,-6,-2,0
-1,-3,-3,2,0,-4,-5,-97,-13,-7,-2,0
-1,-3,-3,2,0,-3,-4,-97,-13,-7,-2,0
-1,-3,-3,2,0,-3,-4,-98,-13,-7,-3,-1
-1,-3,-3,2,0,-3,-4,-98,-13,-7,-3,-1
-1,-3,-3,2,0,-3,-4,-99,-13,-7,-3,-1
-1,-3,-3,2,0,-3,-4,-99,-13,-7,-3,-1
-1,-3,-3,2,0,-4,-4,-99,-14,-8,-3,-1
-1,-3,-4,2,1,-4,-3,-99,-14,-8,-3,-1
-1,-4,-4,2,1,-5,-3,-100,-14,-9,-3,-1
-1,-4,-4,3,1,-5,-3,-100,-14,-9,-3,-1
-2,-4,-4,3,1,-5,-3,-100,-14,-9,-3,-1
-2,-4,-4,3,1,-5,-3,-100,-14,-9,-3,-1
-2,-4,-4,3,0,-5,-3,-101,-14,-9,-4,-1
-2,-4,-4,3,0,-5,-3,-101,-14,-9,-4,-2
-2,-4,-4,4,0,-5,-3,-101,-14,-10,-4,-2
-2,-4,-4,4,0,-5,-3,-101,-14,-10,-4,-3
-2,-4,-4,4,0,-5,-3,-101,-14,-10,-4,-3
-2,-4,-4,4,0,-4,-3,-101,-15,-10,-4,-3
-2,-4,-3,4,0,-4,-3,-101,-15,-10,-4,-3
-2,-4,-3,3,0,-4,-3,-102,-15,-10,-5,-3
-2,-4,-3,3,0,-4,-3,-102,-15,-11,-5,-3
-2,-4,-3,3,0,-4,-3,-103,-15,-11,-5,-3
-3,-4,-2,4,0,-4,-3,-103,-15,-12,-5,-3
-3,-4,-2,4,0,-4,-3,-104,-15,-12,-5,-3
-3,-4,-2,4,0,-4,-3,-104,-15,-12,-5,-3
-2,-4,-3,3,0,-4,-3,-104,-15,-12,-5,-3
-2,-4,-3,3,0,-4,-3,-104,-15,-12,-5,-3
-3,-4,-2,4,-1,-4,-3,-105,-15,-12,-5,-3
-3,-4,-2,4,-1,-4,-3,-105,-15,-12,-6,-3
-3,-4,-2,4,-1,-4,-3,-106,-15,-12,-6,-3
-3,-4,-2,4,-1,-4,-3,-106,-15,-12,-6,-3
-3,-4,-2,4,-1,-4,-3,-106,-15,-12,-6,-3
-3,-4,-2,4,-1,-4,-3,-106,-15,-12,-6,-3
