leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,1,0,0,0,-5,2,1,-24,0,0
-1,0,2,0,-2,1,-13,7,4,-14,0,-1
-2,1,3,0,-2,2,-17,9,5,80,0,-1
-2,0,3,1,-3,2,-20,11,6,32,-1,-1
-2,0,3,1,-3,1,-22,11,7,-246,-1,-2
-2,0,3,1,-3,1,-23,12,7,-435,-2,-2
-3,0,4,1,-3,1,-24,12,7,-395,-2,-2
-3,0,4,2,-4,1,-25,12,7,-272,-2,-2
-4,0,4,2,-4,1,-26,12,7,-114,-2,-2
-3,0,4,2,-3,1,-27,12,6,31,-2,-2
-3,0,4,2,-3,1,-28,12,6,79,-2,-2
-3,0,4,2,-3,1,-29,12,6,49,-2,-2
-3,0,3,2,-3,1,-30,12,6,-7,-2,-2
-3,-1,3,2,-3,1,-31,12,6,-61,-2,-2
-3,-1,3,2,-3,1,-32,12,6,-114,-2,-2
-3,-1,2,2,-3,0,-32,12,6,-174,-2,-2
-3,-1,2,2,-3,0,-33,12,6,-238,-1,-2
-2,0,3,1,-2,1,-33,12,6,-306,-1,-2
-3,0,3,2,-2,1,-34,11,6,-361,-1,-2
-5,-2,2,4,-3,0,-36,10,5,-375,-1,-3
-5,-3,2,4,-3,0,-36,10,5,-355,-1,-3
-4,-2,2,3,-3,0,-36,11,5,-340,-1,-3
-3,-1,2,2,-2,1,-36,11,6,-336,0,-3
-3,-1,2,2,-2,0,-37,11,6,-289,0,-3
-3,-2,2,2,-2,0,-37,10,6,-159,-1,-3
-3,-2,2,2,-2,0,-38,10,5,38,-1,-3
-2,-2,2,2,-2,0,-39,10,5,231,-1,-3
-1,-1,2,1,-1,0,-40,10,5,392,0,-2
-1,0,3,0,-2,1,-41,11,6,604,0,-2
-2,0,3,1,-3,1,-42,10,5,867,0,-2
-3,-1,3,2,-3,1,-43,10,5,1167,0,-2
-3,-1,3,2,-3,1,-44,10,5,745,0,-2
-3,-1,3,1,-2,1,-46,10,5,482,0,-1
-2,-1,3,1,-2,1,-49,10,5,621,0,-1
-2,-1,3,1,-2,1,-53,10,5,216,0,-1
-2,-1,3,1,-2,1,-57,10,6,-174,0,-1
-2,-1,3,1,-2,1,-61,10,6,-528,0,-1
-2,-1,2,1,-2,1,-64,10,6,-820,0,-1
-2,-1,2,1,-2,1,-66,10,6,-1008,0,-1
-2,-1,2,1,-2,1,-67,10,6,-1100,0,-1
-2,-1,2,1,-2,1,-67,10,6,-1101,0,-1
-2,-1,2,1,-2,1,-66,10,6,-1064,0,-1
-2,-1,3,1,-2,1,-67,10,6,-976,1,-1
-2,-1,3,1,-2,1,-68,9,5,-712,1,-1
-3,-1,2,2,-2,0,-70,9,5,-327,0,-1
-3,-1,2,2,-2,0,-71,9,5,-47,0,-1
-2,-1,3,1,-2,1,-71,9,5,113,1,-1
-2,0,3,1,-2,1,-71,9,5,277,1,-1
-2,-1,2,1,-2,1,-70,9,5,490,1,-1
-2,-1,2,1,-2,1,-70,9,5,728,1,-1
-2,-1,2,2,-2,0,-71,9,5,981,1,-1
-2,-1,2,1,-2,0,-73,9,5,1252,1,-1
-1,0,2,1,-1,0,-75,9,5,1513,2,-1
-1,0,2,0,-1,0,-77,9,5,888,2,-1
-1,0,2,0,-1,0,-79,9,4,522,2,-1
-1,-1,2,1,-1,0,-80,9,4,1122,1,-2
-2,-2,2,1,-1,0,-82,8,3,1473,1,-2
-2,-2,2,1,-1,0,-84,8,3,1662,1,-2
-2,-2,2,1,-1,0,-86,8,3,1726,1,-2
-2,-2,2,1,-2,0,-89,8,3,1750,2,-2
-2,-1,3,1,-2,0,-92,8,3,1112,2,-2
-2,-1,3,1,-2,0,-95,8,3,182,2,-2
-2,-1,2,1,-2,0,-98,8,3,-146,2,-2
-3,-2,2,2,-2,0,-102,8,3,-104,2,-2
-3,-2,3,3,-3,0,-106,8,3,152,2,-2
-3,-1,3,2,-2,1,-109,8,3,470,2,-1
-2,0,3,1,-2,1,-112,8,3,781,2,-1
-1,0,3,0,-1,1,-115,8,3,1080,2,-1
-1,0,3,0,-1,0,-118,8,3,1356,2,-1
-1,0,3,1,-1,0,-122,8,3,777,2,-1
-2,-1,3,1,-1,0,-125,8,2,-280,2,-2
-3,-2,3,2,-2,0,-128,7,2,-719,2,-2
-3,-2,3,3,-2,0,-131,7,2,-764,2,-2
