leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,2,0,-1,1,1,1,1,1,1,1
-4,0,5,2,-4,2,3,3,3,3,2,2
-6,0,7,3,-6,3,4,4,3,4,3,2
-6,1,8,2,-7,4,5,4,4,4,4,3
-6,2,9,2,-8,5,5,4,4,4,4,3
-7,2,10,3,-9,5,5,4,4,4,4,3
-8,2,11,3,-9,6,5,4,4,4,4,3
-8,2,11,3,-9,6,5,4,4,4,4,3
-8,2,11,3,-9,6,5,4,4,4,4,3
-9,1,10,4,-10,5,5,4,3,4,3,3
-8,1,10,4,-9,5,5,4,3,4,3,3
-7,1,10,3,-9,5,5,4,3,4,4,3
-8,1,10,4,-9,5,5,3,3,4,4,3
-8,0,10,4,-9,4,5,3,3,4,4,3
-8,1,10,3,-9,5,6,3,3,4,4,3
-6,4,10,1,-8,6,6,4,3,4,5,4
-6,4,10,1,-8,6,6,4,3,4,5,4
-7,3,10,2,-8,5,5,4,3,4,4,4
-7,2,10,2,-8,5,5,3,3,4,4,3
-7,2,10,2,-8,5,5,3,3,4,4,3
-8,1,9,3,-8,5,5,3,3,3,4,3
-8,1,9,4,-9,4,4,2,2,3,3,3
-8,1,9,3,-9,5,4,2,2,3,3,3
-9,1,9,4,-9,5,4,2,1,2,3,3
-10,0,9,4,-10,4,4,1,1,2,3,2
-9,1,9,4,-9,4,4,1,2,2,3,2
-6,2,9,2,-8,5,5,2,3,3,3,3
-6,2,9,2,-8,5,5,2,3,3,3,3
-9,-1,9,5,-9,4,4,2,2,2,2,2
-10,-1,9,6,-9,3,5,2,2,2,2,2
-8,0,9,4,-9,4,5,2,2,3,2,2
-8,0,9,4,-9,4,6,2,2,3,3,2
-8,1,9,3,-9,5,6,2,2,3,3,3
-7,2,10,2,-9,5,6,2,2,3,3,3
-7,2,10,3,-9,5,6,2,2,3,3,3
-8,2,11,3,-9,5,6,3,3,3,3,3
-7,3,11,2,-10,6,6,3,4,4,4,4
-6,4,12,1,-10,8,7,4,5,5,5,4
-7,4,13,2,-11,8,7,4,5,5,5,4
-10,2,13,4,-12,7,7,3,4,5,4,4
-9,3,13,3,-12,8,7,4,5,5,5,4
-8,5,14,1,-11,9,8,5,6,6,5,5
-7,7,14,0,-11,10,8,6,6,6,6,5
-6,7,15,0,-11,10,9,6,7,6,6,6
-5,8,15,-1,-11,11,10,6,7,7,7,6
-5,8,15,-1,-11,11,10,6,7,7,7,7
-4,10,16,-2,-10,12,10,6,8,8,8,7
-5,10,16,-2,-10,13,9,6,8,8,8,8
-6,9,16,-1,-11,12,8,6,7,7,7,7
-7,9,16,-1,-11,12,6,5,7,7,7,7
-5,11,16,-3,-10,14,4,4,7,8,8,8
-3,13,17,-5,-9,15,3,4,8,8,9,9
-2,14,17,-5,-10,15,3,3,7,8,9,9
-2,14,17,-6,-10,15,2,2,7,8,9,9
0,16,17,-8,-9,16,3,2,8,9,9,10
0,16,17,-8,-8,16,2,2,8,9,10,10
-1,15,16,-7,-8,15,1,2,7,9,10,10
-2,13,15,-6,-8,14,0,2,7,8,9,9
-2,12,15,-5,-8,13,0,2,7,8,9,9
-2,11,14,-4,-8,12,0,1,6,8,9,9
-3,9,13,-3,-8,11,0,1,5,7,8,8
-3,8,12,-3,-7,10,0,0,4,6,7,8
-3,7,11,-2,-7,9,0,0,3,5,7,7
-3,6,10,-2,-6,8,0,0,3,5,6,7
-3,5,9,-1,-6,7,0,0,2,4,6,6
-4,3,8,0,-5,6,0,0,2,4,5,6
-2,4,7,-1,-4,6,0,0,2,4,5,6
-1,4,6,-2,-3,5,0,1,2,4,5,6
-2,2,5,0,-3,3,0,0,1,3,4,5
-4,0,4,2,-4,1,0,0,0,1,3,3
-5,-1,5,3,-5,1,1,0,0,1,2,3
-5,-1,5,3,-5,1,2,1,0,1,2,2
-4,0,5,2,-5,2,3,1,0,1,2,2
