leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,-2,0,3,-1,-1,0,-4,-5,-5,-6,-2
-7,-6,0,7,-4,-2,0,-11,-12,-14,-17,-4
-9,-8,0,8,-5,-3,1,-15,-17,-19,-23,-5
-8,-7,0,7,-4,-3,1,-17,-20,-22,-27,-6
-6,-5,0,6,-3,-2,2,-18,-21,-24,-29,-6
-5,-4,0,5,-2,-2,2,-19,-22,-25,-30,-7
-4,-4,0,4,-1,-2,2,-20,-24,-26,-32,-9
-3,-4,-1,3,0,-3,2,-20,-25,-28,-34,-10
-2,-4,-3,3,0,-4,2,-20,-25,-29,-35,-10
-3,-6,-4,4,1,-5,3,-19,-25,-29,-36,-10
-4,-7,-4,5,0,-5,2,-19,-25,-29,-36,-8
-4,-7,-4,6,0,-5,2,-18,-24,-28,-35,-6
-3,-6,-4,4,0,-5,3,-16,-22,-26,-33,-5
-1,-5,-3,3,1,-4,2,-16,-21,-25,-33,-5
-1,-3,-2,2,0,-2,1,-17,-21,-25,-32,-4
-1,-1,0,1,-1,0,0,-16,-19,-22,-30,-2
-2,0,2,1,-3,1,0,-14,-16,-18,-26,1
-2,1,4,0,-4,3,0,-11,-11,-13,-20,4
-2,3,5,0,-4,5,0,-9,-7,-7,-14,8
-1,5,7,-2,-4,7,0,-7,-3,0,-7,13
0,9,8,-5,-4,9,0,-5,2,9,2,19
4,16,11,-10,-3,13,-1,-3,9,19,13,26
9,24,14,-17,-3,19,-3,0,17,30,24,34
14,31,16,-23,-1,24,-6,2,25,41,35,41
17,37,19,-27,-1,28,-10,1,30,50,44,48
18,42,23,-30,-2,33,-13,-2,32,56,50,50
21,47,26,-34,-2,37,-16,-6,32,59,52,50
23,51,28,-36,-2,40,-18,-10,32,60,51,47
21,49,28,-35,-3,39,-20,-14,30,58,48,43
17,44,27,-31,-4,36,-24,-18,27,55,43,39
15,37,23,-26,-4,30,-27,-21,22,49,37,34
13,29,17,-21,-2,22,-31,-24,17,44,30,30
11,21,10,-15,0,15,-34,-26,14,39,24,26
8,12,4,-10,1,7,-35,-25,14,36,20,22
5,2,-3,-3,3,0,-36,-23,14,34,18,20
3,-5,-8,1,5,-6,-37,-23,14,32,15,16
1,-8,-9,3,5,-9,-40,-23,12,30,12,12
0,-10,-10,5,5,-10,-42,-23,10,27,10,8
0,-12,-12,6,6,-12,-44,-22,10,26,9,6
