leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,0,0,0,0,0,0,0,-2,0,0,0
-1,-1,-1,1,0,-1,1,-1,-6,0,1,-1
-1,-2,-1,1,0,-2,1,-2,-8,0,1,-2
-1,-2,-2,1,0,-2,1,-2,-9,0,1,-2
-1,-3,-2,2,0,-3,1,-3,-10,0,1,-2
-1,-3,-2,2,0,-3,1,-3,-11,0,1,-2
-1,-3,-2,2,0,-3,1,-3,-11,0,1,-3
-1,-3,-2,2,0,-3,2,-3,-11,0,1,-3
-1,-3,-2,2,0,-3,2,-3,-11,0,1,-3
-1,-3,-2,2,0,-3,2,-3,-11,0,1,-3
-1,-3,-2,2,0,-3,2,-3,-11,0,1,-3
-1,-3,-2,2,0,-3,2,-3,-11,0,1,-4
-1,-3,-1,2,0,-2,2,-3,-11,0,1,-4
-2,-3,-1,2,0,-2,2,-4,-11,0,1,-4
-2,-2,-1,2,-1,-2,2,-4,-11,-1,1,-4
-1,-2,-1,1,-1,-2,2,-4,-11,-1,1,-4
-1,-2,0,1,-1,-2,2,-4,-11,-1,0,-4
-2,-2,0,2,-1,-2,2,-4,-11,-1,0,-4
-2,-2,0,2,-1,-2,2,-4,-11,-1,0,-4
-2,-2,-1,2,-1,-2,2,-4,-11,-1,-1,-5
-2,-2,-1,2,0,-2,2,-4,-11,-1,-2,-5
-2,-2,-1,2,0,-2,2,-4,-11,-1,-3,-5
-1,-2,-1,2,0,-2,2,-4,-11,-1,-4,-5
-1,-2,-1,2,0,-2,2,-4,-12,-1,-4,-5
-2,-3,-1,2,0,-3,2,-4,-12,-1,-5,-5
-2,-3,-1,2,0,-3,2,-4,-12,-2,-5,-6
-1,-3,-1,2,0,-3,2,-4,-12,-2,-6,-6
-1,-3,-1,2,0,-2,2,-5,-12,-2,-6,-6
-2,-2,-1,2,-1,-2,2,-5,-12,-2,-6,-6
-2,-2,0,2,-1,-2,2,-5,-12,-2,-7,-6
-2,-3,0,2,-1,-2,2,-5,-12,-2,-7,-6
-2,-3,-1,2,-1,-3,2,-4,-12,-2,-7,-6
-3,-4,-1,3,-1,-3,2,-4,-11,-2,-7,-6
-3,-3,0,3,-1,-2,2,-4,-11,-2,-8,-6
-3,-3,0,2,-1,-2,2,-5,-11,-2,-8,-6
-2,-2,0,2,-1,-2,2,-5,-11,-2,-8,-6
-2,-2,0,2,-1,-2,2,-5,-10,-2,-8,-6
-2,-2,0,2,-1,-2,2,-5,-10,-2,-8,-6
-1,-2,0,1,-1,-1,2,-5,-10,-2,-8,-6
-1,-1,0,1,-1,-1,2,-5,-10,-1,-8,-6
0,0,1,0,-1,0,2,-4,-10,-1,-8,-6
0,0,2,0,-1,1,2,-4,-9,-1,-8,-6
0,1,2,0,-1,1,3,-3,-9,0,-7,-6
-1,1,2,0,-2,2,3,-2,-8,0,-7,-6
-1,2,3,0,-2,2,3,-2,-8,0,-6,-6
-1,2,3,0,-2,2,3,-2,-8,0,-6,-6
-1,1,3,0,-2,1,3,-2,-8,1,-6,-6
0,1,2,-1,-1,1,3,-2,-8,1,-6,-6
0,2,2,-1,-1,2,3,-1,-7,1,-6,-5
0,2,3,-1,-1,2,3,-1,-7,1,-6,-5
0,3,3,-1,-1,3,3,0,-7,1,-6,-5
0,3,3,-2,-1,3,3,0,-7,1,-6,-5
1,4,3,-3,0,3,3,0,-6,1,-6,-4
2,4,3,-3,0,3,3,1,-6,2,-6,-4
3,6,3,-4,0,4,3,1,-5,3,-6,-3
3,7,4,-5,0,5,3,1,-4,4,-5,-3
3,8,5,-5,0,5,3,2,-3,5,-5,-2
4,8,4,-6,0,6,3,3,-2,5,-4,-1
4,9,4,-6,0,6,3,3,-2,6,-3,0
4,9,4,-6,0,6,3,3,-1,6,-2,0
4,9,4,-6,0,6,3,3,-1,6,-2,0
4,9,4,-6,0,7,2,3,-1,6,-2,0
5,9,4,-7,0,7,2,3,-1,6,-1,0
5,9,4,-7,0,6,1,2,-2,6,-1,0
4,9,4,-6,0,6,0,2,-3,5,-1,-1
4,9,4,-6,0,6,0,1,-3,4,-2,-1
4,9,4,-6,0,6,-1,0,-4,4,-2,-2
4,9,4,-6,0,6,-2,-1,-5,3,-3,-2
4,8,3,-6,0,5,-3,-1,-5,3,-3,-2
5,8,2,-6,1,5,-3,-2,-6,3,-3,-2
5,7,1,-6,1,4,-4,-2,-6,2,-3,-2
5,5,0,-5,2,2,-4,-3,-7,2,-3,-3
5,4,0,-5,2,1,-4,-3,-7,2,-3,-3
5,4,-1,-5,2,1,-4,-3,-7,2,-3,-3
5,3,-1,-4,3,0,-4,-3,-7,2,-3,-3
5,3,-2,-4,3,0,-4,-3,-6,2,-2,-3
5,3,-2,-4,3,0,-3,-3,-6,2,-1,-3
4,2,-2,-3,3,0,-2,-2,-6,3,0,-3
3,2,-2,-2,3,0,-1,-2,-5,3,0,-2
3,1,-3,-2,3,-1,-1,-2,-5,3,0,-2
3,0,-3,-1,3,-1,-1,-2,-5,3,0,-2
2,0,-3,-1,2,-1,0,-2,-5,3,0,-3
1,0,-2,0,1,-1,0,-2,-6,3,0,-3
1,0,-1,0,0,-1,0,-3,-7,2,0,-4
0,-1,-1,1,0,-2,0,-3,-8,1,0,-5
-1,-2,-1,2,0,-2,0,-4,-9,0,-1,-7
-2,-3,-1,2,0,-2,0,-5,-11,-2,-2,-8
-2,-3,-1,3,-1,-2,0,-6,-12,-3,-3,-9
-3,-4,-1,3,-1,-2,0,-7,-12,-3,-4,-10
-3,-4,-1,4,-1,-3,0,-7,-13,-4,-4,-10
-3,-5,-1,4,-1,-3,0,-7,-13,-4,-5,-11
-3,-5,-1,4,-1,-3,0,-7,-13,-4,-5,-11
-4,-5,-1,4,-1,-3,0,-7,-13,-4,-6,-11
-4,-5,-1,4,-1,-3,0,-7,-13,-4,-6,-11
-4,-6,-1,5,-1,-3,0,-8,-13,-4,-7,-11
-4,-6,-1,5,-1,-4,0,-8,-13,-4,-8,-11
-4,-6,-1,5,-1,-4,0,-8,-13,-4,-8,-11
-5,-6,-1,5,-2,-4,0,-8,-13,-4,-9,-11
-5,-6,0,5,-2,-4,0,-7,-13,-4,-9,-11
-6,-6,0,5,-2,-4,0,-7,-13,-4,-10,-11
-6,-6,0,5,-2,-3,0,-8,-13,-4,-10,-11
-6,-5,0,5,-2,-3,0,-8,-14,-4,-11,-11
