leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-14,-9,4,12,-9,-1,4,9,12,7,3,3
-33,-17,15,25,-22,1,11,25,34,20,10,9
-37,-10,25,24,-30,10,14,39,50,33,20,17
-35,-2,31,19,-32,17,14,48,63,45,29,24
-30,3,32,13,-29,20,12,54,74,55,37,31
-26,6,31,10,-27,20,8,62,85,63,44,37
-23,8,30,7,-25,20,4,69,88,63,47,40
-23,7,30,8,-25,20,-2,62,76,51,42,39
-29,1,30,14,-28,18,-13,34,47,31,31,34
-35,-6,29,21,-31,13,-27,-8,9,5,18,29
-38,-10,27,25,-31,10,-43,-53,-31,-20,5,23
-38,-12,25,25,-30,9,-55,-91,-63,-39,-4,19
-43,-12,29,28,-35,10,-57,-106,-77,-47,-7,19
-51,-13,36,32,-43,13,-50,-102,-77,-47,-5,20
-51,-14,35,32,-42,11,-44,-93,-75,-46,-6,18
-46,-17,27,32,-35,5,-41,-83,-72,-46,-9,15
-45,-22,21,34,-32,1,-39,-72,-67,-45,-11,11
-46,-27,17,36,-30,-2,-35,-62,-62,-44,-13,7
-47,-32,13,40,-29,-6,-29,-53,-58,-43,-15,4
-48,-36,12,42,-29,-9,-24,-44,-53,-42,-16,1
-46,-36,8,41,-26,-11,-17,-36,-49,-39,-17,0
-42,-37,3,39,-21,-16,-11,-30,-45,-38,-17,-2
-40,-38,0,39,-18,-18,-5,-24,-41,-36,-17,-3
-40,-38,-1,39,-18,-19,-1,-19,-37,-32,-16,-3
-41,-37,1,39,-20,-17,1,-16,-34,-30,-15,-3
-43,-35,6,39,-23,-13,2,-15,-32,-28,-15,-3
-43,-34,8,39,-25,-10,4,-16,-31,-28,-16,-4
-43,-34,9,39,-26,-9,5,-18,-32,-29,-17,-5
-44,-34,9,39,-25,-9,5,-18,-33,-30,-18,-6
-42,-34,7,38,-24,-11,5,-17,-34,-32,-18,-8
-45,-33,8,39,-25,-10,6,-16,-34,-32,-18,-8
-48,-34,10,41,-28,-10,8,-15,-34,-31,-18,-8
-47,-36,8,42,-26,-12,5,-16,-35,-32,-18,-8
-43,-36,5,40,-23,-13,-1,-17,-35,-32,-19,-8
-41,-34,5,38,-22,-12,-6,-19,-34,-31,-18,-7
-41,-34,6,38,-23,-11,-7,-20,-33,-29,-17,-6
-44,-36,8,40,-25,-11,-5,-20,-33,-29,-17,-6
-44,-37,5,41,-24,-13,-2,-19,-34,-29,-17,-6
-42,-38,1,40,-20,-16,0,-18,-34,-30,-17,-6
-42,-39,0,40,-19,-18,2,-18,-34,-30,-17,-6
-43,-40,0,42,-20,-19,3,-18,-33,-29,-16,-5
-45,-40,2,43,-22,-16,3,-17,-32,-29,-16,-5
-46,-39,6,43,-25,-13,2,-16,-32,-29,-17,-5
-45,-38,6,42,-25,-12,1,-17,-33,-29,-17,-6
-43,-38,4,41,-23,-13,1,-19,-33,-29,-17,-6
-42,-38,2,41,-21,-15,1,-21,-33,-29,-17,-6
-43,-40,0,42,-20,-18,1,-21,-33,-29,-17,-7
-42,-40,-1,42,-19,-19,1,-20,-33,-28,-17,-7
-41,-37,-1,40,-19,-18,3,-19,-32,-27,-16,-6
-41,-37,0,40,-19,-17,4,-17,-32,-27,-16,-6
-41,-40,-2,41,-18,-19,3,-17,-32,-28,-16,-7
-42,-39,0,41,-20,-17,4,-15,-30,-27,-15,-6
-44,-38,4,41,-23,-14,5,-14,-28,-26,-14,-4
-43,-40,2,41,-21,-16,4,-16,-29,-27,-14,-5
-42,-40,0,41,-20,-18,3,-16,-30,-27,-14,-5
-42,-37,2,40,-20,-16,3,-16,-29,-27,-13,-4
-45,-37,4,42,-23,-15,3,-17,-29,-27,-13,-4
-48,-38,6,44,-26,-14,3,-16,-28,-27,-13,-3
-49,-39,6,45,-27,-14,1,-16,-28,-27,-13,-3
-50,-43,5,47,-27,-16,1,-16,-28,-28,-14,-3
-48,-43,3,46,-25,-17,1,-14,-27,-28,-13,-1
-44,-38,5,41,-24,-13,3,-10,-25,-26,-10,3
-43,-34,7,39,-24,-11,4,-8,-23,-24,-9,4
-46,-34,9,40,-26,-10,5,-8,-22,-24,-8,6
-48,-32,11,41,-28,-9,6,-7,-21,-21,-6,9
-43,-32,5,39,-22,-11,5,-8,-22,-22,-7,9
-37,-33,0,36,-16,-15,4,-11,-23,-24,-8,9
-36,-34,0,36,-17,-15,4,-12,-23,-24,-8,9
-36,-34,0,36,-17,-15,4,-11,-23,-24,-9,9
-35,-35,-1,36,-16,-16,3,-9,-23,-25,-9,9
-42,-38,2,40,-21,-16,4,-5,-22,-24,-7,10
-50,-38,8,44,-27,-13,8,-2,-19,-20,-5,13
