leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,0,-1,1,1,-2,-1,0,2,1
-1,4,5,-1,-4,5,1,-8,-4,-2,5,1
1,9,8,-5,-4,9,-1,-14,-8,-6,5,-1
4,13,8,-9,-2,11,-4,-19,-13,-9,2,-4
6,12,5,-9,0,9,-6,-23,-17,-10,0,-5
6,7,1,-7,2,4,-5,-24,-19,-9,0,-4
4,1,-2,-3,2,0,-2,-22,-18,-5,1,-1
1,-2,-3,0,1,-2,1,-19,-16,-2,5,3
-1,-2,0,1,-1,-1,3,-16,-13,0,9,5
-1,2,4,0,-3,3,2,-16,-11,0,10,5
1,9,8,-5,-4,8,-1,-18,-11,-3,9,3
4,14,9,-9,-3,12,-5,-21,-13,-7,6,0
6,14,7,-10,-1,11,-8,-24,-17,-9,2,-3
6,10,3,-8,1,7,-9,-26,-20,-10,0,-4
4,4,0,-4,2,2,-7,-26,-21,-8,0,-3
1,-1,-2,0,1,-1,-5,-24,-19,-6,1,-1
-1,-2,0,1,-1,-1,-2,-22,-17,-4,4,1
-2,1,4,0,-3,3,-2,-20,-15,-4,6,2
-1,8,9,-3,-5,8,-3,-21,-14,-6,7,2
1,13,11,-7,-5,12,-6,-23,-15,-8,5,0
4,16,10,-10,-3,13,-8,-25,-17,-9,3,-2
6,14,7,-10,0,11,-8,-26,-18,-8,2,-2
6,8,3,-7,1,6,-7,-25,-18,-6,2,0
3,2,0,-3,1,1,-4,-22,-16,-3,5,3
1,-1,-1,0,0,-1,-1,-19,-13,0,8,5
0,0,1,1,-1,0,0,-17,-11,0,10,6
0,3,4,-1,-2,3,-1,-17,-11,-1,10,5
1,7,6,-4,-2,6,-3,-19,-12,-4,8,2
3,9,6,-5,-1,7,-6,-22,-15,-6,5,-1
4,7,3,-5,0,5,-8,-25,-18,-8,2,-3
4,2,-2,-2,2,0,-8,-26,-20,-9,0,-3
2,-4,-5,1,2,-4,-6,-26,-21,-8,0,-2
0,-9,-7,5,2,-7,-4,-24,-20,-7,2,-1
-3,-10,-5,6,0,-8,-3,-23,-19,-6,3,0
-4,-7,-2,5,0,-5,-3,-23,-18,-7,3,0
-2,-1,1,2,-1,-1,-4,-24,-19,-9,2,-2
0,2,2,0,0,1,-6,-26,-20,-11,0,-5
1,2,0,-1,0,1,-7,-28,-22,-13,-2,-7
2,-1,-3,0,2,-2,-7,-29,-23,-13,-3,-7
1,-6,-6,2,3,-6,-6,-28,-23,-12,-3,-6
-1,-9,-7,5,3,-8,-4,-26,-22,-10,-2,-5
-2,-11,-7,6,2,-9,-3,-25,-21,-9,0,-4
-3,-9,-4,6,1,-6,-2,-24,-20,-9,1,-3
-2,-4,-1,3,0,-2,-3,-24,-20,-11,1,-4
0,0,0,1,0,0,-5,-26,-21,-12,-1,-6
0,2,0,0,1,0,-7,-28,-23,-14,-3,-8
1,0,-2,0,1,-1,-7,-29,-24,-14,-4,-8
1,-5,-5,2,2,-5,-7,-29,-24,-13,-4,-7
0,-9,-7,5,2,-8,-5,-28,-24,-12,-3,-6
-2,-12,-7,7,1,-10,-4,-26,-22,-11,-2,-5
-3,-11,-5,7,1,-9,-3,-25,-22,-10,0,-4
-3,-7,-3,5,1,-5,-3,-25,-21,-10,0,-4
-1,-3,-1,2,1,-2,-5,-26,-22,-11,0,-5
0,0,0,1,1,0,-6,-27,-23,-12,-2,-6
0,0,-2,0,1,-1,-7,-28,-24,-13,-3,-7
0,-4,-5,2,1,-4,-7,-29,-24,-13,-4,-7
0,-9,-7,4,2,-8,-6,-28,-24,-12,-3,-6
-1,-11,-8,6,2,-10,-5,-27,-23,-11,-2,-5
-2,-12,-7,7,2,-10,-4,-27,-22,-10,-1,-4
-3,-9,-5,6,2,-7,-4,-26,-22,-10,0,-4
-2,-5,-3,4,2,-5,-5,-26,-22,-11,0,-5
-1,-2,-2,3,1,-3,-6,-27,-22,-12,-1,-6
-1,-2,-3,2,1,-3,-7,-28,-23,-12,-2,-7
-1,-4,-5,2,1,-5,-7,-29,-24,-13,-3,-7
-1,-9,-7,4,1,-8,-7,-29,-24,-12,-3,-6
-2,-11,-7,6,1,-9,-6,-29,-24,-12,-2,-5
-2,-12,-7,7,1,-9,-6,-28,-23,-12,-1,-5
-2,-10,-5,7,1,-7,-5,-28,-23,-12,-1,-5
-2,-6,-3,5,1,-5,-6,-28,-23,-12,-1,-5
-1,-3,-2,3,1,-3,-6,-29,-24,-13,-2,-6
-1,-1,-2,2,1,-2,-6,-30,-24,-13,-3,-7
0,-2,-4,1,1,-3,-7,-31,-25,-14,-3,-7
0,-5,-5,2,1,-5,-7,-32,-25,-14,-4,-7
-2,-7,-4,4,0,-6,-6,-33,-26,-14,-3,-7
-3,-8,-3,5,-1,-5,-6,-35,-27,-15,-3,-7
-3,-6,0,4,-2,-3,-7,-39,-29,-15,-2,-6
-4,-1,4,3,-3,1,-8,-44,-33,-17,-2,-6
-4,2,6,1,-4,4,-9,-50,-37,-19,-3,-6
-4,3,7,1,-4,5,-9,-55,-40,-21,-4,-6
-4,2,5,1,-4,4,-8,-59,-43,-22,-4,-6
-4,-1,2,2,-4,0,-6,-61,-44,-22,-4,-6
-4,-5,0,4,-3,-2,-5,-61,-44,-20,-2,-4
-3,-6,-1,4,-2,-3,-6,-61,-42,-17,2,-1
-1,-6,-1,3,-1,-4,-8,-62,-40,-13,6,3
1,-3,-1,1,1,-2,-13,-62,-39,-9,11,8
4,1,-2,-2,3,-1,-18,-63,-38,-6,15,12
7,5,-2,-5,5,1,-25,-66,-38,-4,19,16
9,9,-2,-9,6,3,-32,-69,-38,-2,22,20
12,11,-2,-12,7,4,-39,-73,-39,-1,25,24
15,10,-4,-13,8,3,-46,-74,-39,0,27,26
17,7,-8,-13,11,0,-50,-73,-40,-1,26,26
19,4,-12,-13,15,-4,-52,-71,-41,-3,24,24
21,2,-16,-12,19,-7,-54,-70,-43,-7,19,20
22,0,-21,-12,22,-10,-56,-70,-49,-14,12,13
22,-2,-25,-9,24,-13,-58,-71,-56,-26,0,3
19,-6,-27,-6,24,-16,-59,-72,-62,-37,-11,-8
16,-12,-29,-2,23,-20,-59,-71,-66,-45,-21,-18
11,-18,-29,3,20,-24,-59,-69,-66,-49,-28,-25
6,-22,-27,7,16,-24,-57,-64,-62,-50,-33,-30
0,-24,-22,11,10,-23,-53,-57,-56,-48,-35,-34
-4,-23,-15,13,5,-19,-48,-48,-48,-45,-36,-37
-7,-18,-9,12,2,-14,-42,-39,-40,-41,-36,-38
-8,-13,-5,11,0,-9,-37,-29,-32,-36,-34,-37
-8,-9,-2,9,-2,-5,-33,-21,-25,-30,-31,-35
-8,-7,0,8,-3,-3,-30,-14,-18,-25,-27,-33
-7,-7,-1,7,-3,-4,-26,-8,-12,-20,-24,-30
-7,-8,-1,7,-3,-5,-21,-1,-6,-15,-20,-27
-6,-8,0,6,-3,-4,-16,5,0,-10,-17,-24
-5,-7,0,5,-3,-3,-12,11,5,-6,-13,-21
-5,-4,2,4,-3,0,-7,17,11,-1,-10,-18
-4,-1,2,3,-3,1,-2,23,16,3,-7,-16
-3,0,2,2,-2,2,1,28,21,6,-4,-14
-2,2,2,0,-1,2,5,33,25,10,-2,-12
0,1,0,0,0,0,7,37,28,12,0,-10
0,-1,-1,1,0,-2,9,39,30,14,1,-9
0,-3,-2,1,0,-3,11,40,32,16,3,-7
0,-5,-3,2,1,-5,12,41,34,18,5,-6
0,-6,-4,2,2,-5,14,43,35,19,5,-5
0,-5,-4,2,3,-5,16,45,36,20,6,-5
1,-5,-6,2,4,-6,17,47,37,21,6,-5
2,-5,-8,2,5,-7,18,49,38,22,6,-5
