leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,0,2,1,-2,0,2,6,2,2,0,0
-5,0,5,3,-5,1,6,15,6,6,1,-2
-7,0,7,4,-7,2,8,21,9,6,2,-3
-8,0,8,4,-9,3,9,25,10,4,2,-4
-9,0,9,4,-9,3,10,28,12,1,2,-4
-8,0,9,4,-9,4,10,30,13,0,2,-5
-8,0,9,4,-9,4,11,32,14,2,2,-5
-8,0,9,4,-9,4,11,33,15,4,1,-5
-9,0,9,4,-9,3,12,35,16,7,1,-6
-9,0,9,4,-9,3,12,36,17,9,1,-6
-9,0,9,4,-9,3,13,38,19,9,1,-6
-9,0,9,5,-9,3,14,39,20,7,1,-6
-9,-1,9,5,-9,2,14,40,20,4,0,-7
-10,-1,9,6,-9,2,14,41,21,3,0,-7
-10,-2,9,6,-10,2,14,42,21,3,0,-8
-11,-2,9,7,-10,2,15,43,22,4,0,-8
-11,-2,9,7,-10,2,15,44,23,7,0,-8
-10,-2,9,6,-10,2,15,45,24,8,0,-8
-10,-1,9,6,-10,2,15,46,25,9,0,-8
-9,-1,8,5,-9,2,15,47,26,8,0,-9
-8,0,8,4,-8,3,16,49,27,6,0,-9
-8,0,8,4,-8,3,17,50,28,5,0,-9
-9,-1,8,5,-9,3,17,50,29,4,0,-9
-9,-2,8,6,-9,2,17,51,29,5,0,-10
-9,-2,7,6,-8,1,18,51,30,7,0,-10
-9,-2,7,6,-8,1,18,52,30,9,0,-10
-9,-3,7,6,-8,0,18,52,31,9,0,-10
-10,-5,6,7,-8,0,17,52,31,8,-1,-10
-10,-5,5,8,-8,-1,17,52,31,6,-1,-11
-8,-4,4,7,-6,-1,17,52,32,5,-1,-11
-6,-3,3,5,-5,-1,17,53,33,5,-1,-10
-5,-3,3,4,-4,-1,16,53,33,5,-1,-10
-5,-3,2,4,-4,-1,16,52,33,7,-1,-10
-5,-3,2,5,-3,-2,15,52,33,8,0,-11
-5,-4,1,5,-3,-2,15,52,33,8,0,-11
-4,-4,0,4,-2,-3,15,51,33,8,0,-11
-4,-6,-1,5,-1,-4,15,51,33,7,0,-11
-4,-7,-2,6,-1,-5,14,49,33,5,0,-11
-4,-8,-3,6,-1,-6,13,48,32,3,-1,-11
-3,-8,-4,6,0,-6,12,46,32,3,-1,-11
-2,-7,-4,4,1,-6,12,45,32,4,-1,-11
0,-5,-4,2,2,-5,12,45,32,6,0,-10
0,-4,-4,2,2,-5,11,44,31,7,0,-9
1,-5,-5,2,3,-6,10,42,30,7,0,-9
1,-6,-6,2,3,-7,9,40,30,6,0,-9
1,-7,-7,3,4,-8,8,38,29,5,0,-9
1,-8,-8,3,4,-8,7,36,28,4,0,-8
1,-8,-8,3,4,-9,6,34,27,4,0,-8
2,-7,-9,2,5,-9,6,33,26,4,1,-8
3,-6,-9,1,6,-9,5,31,25,5,1,-7
3,-6,-10,1,7,-9,4,29,24,6,1,-7
3,-7,-10,2,7,-10,3,27,22,6,1,-7
4,-7,-11,2,8,-10,2,25,21,6,2,-7
5,-7,-12,1,9,-10,1,24,21,6,2,-5
7,-6,-13,0,10,-10,1,22,20,5,3,-4
7,-7,-13,0,10,-11,0,20,18,5,3,-4
7,-7,-13,0,10,-11,-1,18,17,5,3,-4
8,-6,-14,0,11,-11,-1,16,16,6,3,-3
8,-7,-15,0,11,-12,-2,15,14,6,3,-3
8,-8,-15,0,11,-12,-2,13,13,6,3,-3
8,-8,-15,0,11,-12,-3,12,12,6,3,-2
9,-7,-15,-1,12,-11,-3,10,11,6,3,-1
10,-6,-15,-2,12,-11,-4,8,10,6,3,-1
10,-6,-15,-2,12,-11,-4,6,8,6,3,-1
9,-6,-15,-2,11,-11,-5,5,7,6,3,-1
7,-6,-13,-1,10,-11,-5,3,6,6,3,0
6,-6,-13,0,10,-10,-5,2,5,7,3,0
6,-6,-13,-1,10,-10,-5,2,4,8,4,0
7,-6,-13,-1,10,-10,-6,1,4,8,4,1
7,-6,-13,-1,10,-10,-6,0,3,8,4,2
8,-5,-13,-2,10,-10,-6,-1,2,8,5,2
8,-5,-12,-1,10,-9,-6,-2,2,8,5,2
8,-5,-12,-1,9,-9,-7,-3,1,8,5,2
8,-5,-11,-1,9,-8,-7,-4,0,8,5,2
8,-4,-11,-2,10,-8,-7,-5,-1,8,5,2
7,-4,-11,-2,10,-8,-7,-5,-1,8,5,3
7,-4,-10,-2,9,-8,-7,-6,-2,8,5,3
7,-4,-10,-1,9,-8,-8,-6,-2,8,4,3
6,-4,-9,-1,8,-7,-8,-7,-3,8,4,3
6,-3,-9,-1,7,-7,-7,-7,-3,9,4,3
7,-3,-9,-1,8,-7,-7,-8,-3,9,4,3
7,-4,-10,-1,8,-7,-7,-8,-4,9,4,3
6,-4,-10,-1,8,-7,-7,-9,-4,9,4,3
6,-3,-9,-1,8,-7,-7,-9,-5,9,4,4
6,-2,-7,-1,7,-6,-7,-9,-5,10,5,4
6,-1,-6,-2,6,-5,-7,-9,-5,10,5,5
7,-1,-6,-3,7,-5,-7,-9,-5,10,5,5
6,-2,-7,-2,7,-5,-7,-9,-5,10,5,5
6,-2,-7,-2,6,-5,-6,-9,-5,10,5,5
6,-2,-7,-2,6,-5,-6,-9,-5,10,5,5
6,-2,-7,-2,6,-5,-6,-9,-5,10,5,5
6,-2,-7,-1,6,-5,-6,-9,-5,10,4,5
