leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,2,3,0,-2,2,0,-4,-2,0,0,2
-4,4,7,0,-5,5,1,-9,-5,-1,1,6
-5,3,8,1,-6,5,4,-8,-6,-1,1,8
-5,2,7,2,-5,5,7,-4,-5,0,2,10
-5,2,6,2,-4,4,11,0,-3,1,3,11
-5,1,5,2,-4,3,14,5,-1,3,4,12
-5,1,5,2,-4,3,16,9,1,5,5,13
-5,0,4,2,-3,2,19,13,3,7,6,14
-5,0,3,3,-3,1,21,17,5,9,7,15
-4,-1,2,3,-2,0,23,20,7,10,8,15
-4,-2,0,3,-1,-1,25,22,9,12,9,16
-4,-4,-1,4,0,-2,26,24,10,13,10,16
-4,-5,-2,5,0,-4,27,26,11,14,10,16
-4,-6,-3,5,0,-4,28,28,12,15,10,17
-3,-6,-4,5,1,-5,29,29,12,15,11,17
-3,-7,-4,6,1,-6,30,30,13,16,11,17
-3,-8,-5,6,1,-6,31,31,13,16,10,17
-3,-8,-5,6,2,-7,31,31,13,16,10,17
-2,-8,-6,5,2,-7,32,32,13,16,10,17
-2,-8,-6,5,2,-7,32,32,13,16,10,17
-2,-7,-6,5,3,-7,32,32,13,16,10,17
-2,-7,-6,4,3,-7,32,32,13,16,10,17
-2,-7,-6,4,3,-7,32,33,13,16,10,17
-3,-9,-7,5,3,-7,33,33,13,16,10,17
-2,-9,-7,5,3,-7,33,33,13,16,10,17
-1,-7,-7,4,4,-7,34,34,14,16,10,18
0,-7,-7,3,4,-7,34,34,14,16,11,18
-1,-7,-7,3,4,-7,34,34,14,16,11,18
-2,-7,-7,4,3,-7,34,33,14,16,11,18
-2,-7,-7,4,3,-7,34,33,14,16,11,18
-2,-7,-6,5,2,-6,34,33,14,16,11,18
-2,-7,-6,5,2,-6,35,33,14,16,11,18
-2,-7,-6,5,2,-6,35,33,14,16,11,18
-3,-7,-6,5,2,-6,35,33,14,16,11,18
-3,-7,-6,5,2,-6,35,33,14,16,11,18
-3,-7,-6,5,2,-6,35,33,14,16,11,18
-3,-7,-6,5,2,-6,35,33,13,16,11,18
-3,-7,-6,5,1,-6,35,32,13,15,10,18
-3,-7,-5,5,1,-6,35,32,13,15,10,18
-3,-6,-5,5,1,-5,35,32,13,15,10,18
-2,-5,-5,4,1,-5,35,32,13,15,10,18
-2,-5,-5,3,1,-5,35,32,13,15,11,19
-2,-5,-4,3,1,-5,35,32,13,15,11,19
-2,-5,-4,3,1,-5,35,32,12,15,11,19
-2,-5,-4,3,1,-4,35,31,12,15,11,19
-2,-4,-3,3,1,-4,35,31,12,15,11,19
-1,-4,-3,2,1,-4,35,31,12,15,11,19
-1,-3,-3,2,1,-4,35,30,12,15,11,19
-1,-3,-3,2,1,-4,35,30,12,15,11,19
-1,-2,-3,2,1,-3,35,29,12,15,11,19
-1,-2,-2,2,1,-3,35,29,12,14,11,19
-1,-2,-2,2,1,-3,35,29,12,14,11,19
-1,-2,-1,2,0,-2,35,28,12,14,11,19
-2,-2,-1,2,0,-2,35,28,12,14,11,19
-2,-2,0,2,-1,-1,35,28,11,14,11,19
-3,-1,0,2,-1,-1,35,27,11,14,11,19
-3,0,0,1,-2,0,35,27,11,14,11,19
-3,0,1,1,-2,0,35,26,11,14,11,20
-3,0,1,1,-2,0,35,25,11,14,11,20
-3,1,2,1,-2,1,35,25,11,14,11,20
-3,1,2,1,-2,1,35,24,11,14,11,20
-3,1,3,0,-2,2,35,24,11,14,11,20
-3,2,3,0,-2,2,35,23,11,13,11,20
-3,2,4,0,-2,3,35,23,11,13,11,21
-3,3,4,0,-3,3,35,22,11,13,11,21
-3,4,5,0,-3,4,35,22,11,13,12,21
-3,4,5,0,-3,4,35,21,11,13,12,21
-3,4,6,0,-4,5,34,21,11,13,12,21
-4,4,6,0,-4,5,34,20,11,13,12,21
-5,3,7,0,-5,5,33,20,11,13,12,21
-4,4,7,0,-5,6,33,20,11,13,12,22
-3,7,8,-2,-5,8,34,20,11,13,13,22
-2,8,8,-3,-5,9,34,19,11,13,13,23
-3,8,9,-3,-6,9,33,18,11,13,13,23
-3,9,9,-3,-6,9,33,18,11,13,13,23
-3,9,10,-3,-7,9,33,17,11,13,14,23
-3,10,10,-3,-7,10,33,17,11,13,14,23
-3,10,11,-3,-7,11,33,17,11,13,14,23
-3,11,12,-3,-7,11,32,17,11,13,14,23
-3,11,12,-3,-7,12,32,17,11,13,14,23
-3,12,13,-3,-7,12,31,16,11,13,14,23
-4,12,14,-3,-8,13,31,16,11,13,15,24
-4,13,15,-4,-9,14,31,15,11,13,15,24
-3,14,16,-5,-9,15,31,15,11,13,16,25
-3,15,17,-5,-9,16,31,15,11,13,16,25
-3,16,17,-6,-9,17,31,15,11,13,17,25
-3,16,18,-6,-9,17,30,15,11,13,17,25
-3,17,19,-6,-10,18,30,15,11,13,17,26
-3,17,20,-7,-11,19,30,15,12,13,17,26
-3,18,20,-7,-11,19,30,14,12,13,18,26
-3,18,21,-7,-12,20,30,14,13,14,18,26
-3,20,22,-8,-12,20,30,14,13,14,19,26
-3,21,22,-9,-12,21,30,14,13,14,19,26
-3,22,23,-9,-12,22,29,14,13,14,20,27
-3,23,23,-9,-12,23,29,14,13,15,20,27
-3,23,24,-10,-13,23,29,14,14,15,21,28
-3,24,24,-10,-13,24,29,15,14,15,21,28
