leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,0,-3,-2,3,-1,0,2,1,-1,-2,-4
10,2,-8,-6,9,-3,0,6,3,-1,-5,-22
14,2,-11,-7,12,-4,0,8,6,0,-6,-47
15,1,-13,-7,14,-6,0,8,7,2,-6,-61
17,2,-15,-9,16,-7,0,8,8,4,-6,-52
20,4,-16,-12,18,-6,-1,8,10,7,-5,-22
23,6,-16,-14,20,-5,-2,8,12,10,-3,12
24,6,-17,-15,21,-6,-4,7,14,13,-2,34
24,7,-16,-15,20,-5,-6,5,14,14,-2,32
23,8,-15,-15,19,-4,-8,2,15,14,-2,7
23,7,-16,-14,20,-5,-10,0,16,15,-1,-25
24,4,-19,-14,22,-7,-11,-1,17,16,0,-49
24,3,-21,-13,23,-9,-10,-3,16,16,0,-50
24,2,-22,-13,23,-9,-6,-6,14,16,-1,-30
22,1,-22,-12,23,-10,-3,-8,12,16,-2,1
20,-2,-23,-9,22,-12,-1,-10,10,16,-2,26
19,-4,-22,-8,21,-13,-1,-12,9,15,-3,31
19,-3,-21,-8,20,-12,-1,-13,7,15,-4,12
20,-2,-21,-8,21,-12,-1,-15,6,14,-4,-20
20,-3,-22,-8,21,-13,-2,-16,4,13,-5,-48
20,-3,-23,-8,22,-13,-3,-17,3,13,-5,-58
21,-2,-23,-9,22,-12,-5,-18,2,12,-6,-44
22,0,-22,-11,22,-11,-7,-18,1,12,-6,-15
21,-1,-22,-10,22,-11,-10,-18,0,11,-7,13
20,-3,-23,-8,22,-13,-10,-19,0,11,-7,25
19,-6,-24,-6,22,-15,-9,-20,-1,10,-8,14
18,-8,-25,-4,22,-16,-7,-20,-2,9,-9,-15
17,-8,-24,-3,21,-16,-7,-21,-3,8,-10,-46
16,-8,-23,-3,20,-16,-7,-21,-5,7,-10,-64
15,-8,-23,-3,20,-16,-8,-22,-6,5,-11,-58
16,-8,-24,-3,20,-16,-7,-22,-7,4,-12,-33
16,-8,-23,-4,20,-16,-8,-22,-7,4,-12,-2
15,-9,-23,-3,20,-16,-10,-22,-7,3,-12,17
14,-10,-23,-1,19,-17,-11,-23,-8,3,-13,15
14,-10,-23,-2,19,-17,-11,-23,-8,4,-12,-8
16,-8,-23,-3,20,-16,-9,-23,-8,4,-12,-39
17,-8,-24,-4,21,-16,-8,-23,-8,4,-12,-61
16,-9,-24,-3,20,-16,-8,-24,-9,4,-12,-64
15,-9,-24,-3,19,-16,-8,-24,-10,4,-13,-45
15,-8,-23,-3,19,-15,-8,-24,-11,3,-13,-15
15,-7,-23,-3,19,-15,-8,-23,-12,3,-13,8
16,-7,-23,-3,20,-16,-8,-23,-11,3,-13,12
15,-9,-24,-2,20,-17,-10,-24,-11,3,-13,-5
14,-10,-24,-1,20,-18,-13,-24,-11,2,-13,-36
13,-11,-24,0,19,-18,-15,-24,-11,2,-13,-63
12,-11,-22,0,17,-17,-14,-24,-11,2,-13,-73
12,-11,-22,0,17,-16,-11,-24,-10,3,-13,-60
14,-11,-24,-1,19,-17,-7,-23,-10,4,-12,-31
15,-10,-26,-2,21,-18,-3,-23,-10,5,-12,-3
16,-10,-26,-3,22,-18,-2,-22,-10,5,-12,8
16,-9,-24,-3,21,-17,-2,-22,-10,5,-12,-1
16,-8,-23,-3,20,-16,-3,-22,-11,5,-12,-28
15,-9,-23,-2,20,-16,-4,-22,-11,5,-12,-57
14,-10,-23,-1,19,-17,-5,-23,-12,4,-13,-72
13,-10,-22,-1,18,-16,-6,-23,-12,3,-14,-67
13,-10,-22,-1,17,-16,-7,-23,-12,2,-14,-43
12,-11,-22,0,17,-16,-8,-23,-12,2,-15,-15
10,-12,-22,0,17,-17,-9,-23,-13,2,-15,1
10,-11,-21,0,16,-16,-9,-24,-13,2,-15,-2
11,-11,-21,0,16,-16,-11,-24,-13,2,-14,-25
11,-11,-22,0,17,-17,-11,-23,-13,2,-14,-56
11,-11,-23,0,17,-17,-8,-22,-12,3,-14,-77
13,-9,-23,-2,18,-16,-5,-22,-11,4,-13,-78
15,-8,-23,-3,18,-15,-2,-22,-11,4,-12,-60
13,-9,-22,-2,18,-16,-2,-23,-11,3,-13,-32
11,-10,-21,-1,16,-15,-3,-24,-12,2,-14,-12
11,-10,-20,0,16,-15,-3,-23,-13,1,-14,-8
11,-10,-21,0,16,-15,-3,-22,-12,1,-14,-25
13,-9,-21,-2,18,-15,-3,-21,-11,1,-13,-53
16,-7,-22,-4,19,-14,-3,-20,-11,1,-13,-77
15,-8,-22,-3,19,-15,-4,-19,-11,1,-13,-85
11,-11,-22,0,17,-17,-6,-20,-11,1,-14,-73
9,-13,-21,1,15,-17,-7,-20,-12,0,-15,-48
9,-11,-21,1,15,-16,-7,-21,-12,0,-15,-24
10,-10,-20,0,15,-15,-7,-21,-12,0,-15,-14
9,-10,-19,1,14,-14,-7,-21,-12,-1,-15,-24
9,-10,-19,1,14,-14,-6,-20,-12,0,-14,-50
9,-10,-19,1,14,-15,-6,-19,-12,0,-13,-77
10,-10,-19,0,15,-15,-6,-18,-13,0,-13,-91
8,-11,-19,1,13,-16,-6,-18,-13,0,-13,-86
6,-13,-18,3,12,-16,-6,-19,-13,-1,-14,-64
6,-13,-19,3,12,-16,-8,-20,-13,-2,-15,-39
8,-11,-19,1,13,-15,-9,-20,-13,-2,-16,-24
11,-8,-19,-1,15,-14,-8,-21,-12,-3,-16,-28
13,-7,-20,-2,17,-14,-7,-21,-13,-3,-16,-51
12,-8,-20,-2,16,-14,-7,-21,-14,-5,-16,-80
10,-9,-19,0,15,-15,-6,-21,-15,-6,-16,-99
