leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-2,-3,1,2,-2,-3,0,-1,0,-4,-3
2,-5,-8,2,5,-6,-8,0,-2,-1,-10,-7
4,-7,-11,2,7,-8,-11,-1,-4,-1,-13,-10
5,-7,-13,2,9,-10,-12,-1,-5,-1,-14,-11
6,-7,-14,1,10,-10,-13,-2,-5,-1,-14,-11
6,-7,-14,1,10,-11,-14,-2,-6,-1,-13,-11
6,-8,-15,1,11,-11,-14,-2,-7,-1,-12,-11
6,-8,-15,1,11,-11,-15,-3,-7,-2,-11,-10
6,-8,-15,1,11,-11,-15,-3,-8,-2,-10,-9
6,-7,-15,1,11,-10,-15,-4,-9,-2,-8,-9
6,-7,-15,1,10,-10,-15,-4,-10,-2,-7,-8
5,-8,-14,2,10,-10,-15,-5,-11,-2,-7,-8
4,-9,-14,3,9,-11,-15,-6,-12,-3,-6,-7
4,-9,-14,3,9,-12,-16,-7,-13,-4,-5,-7
5,-9,-15,3,10,-12,-16,-7,-14,-4,-4,-7
6,-8,-15,2,10,-12,-15,-7,-14,-4,-2,-6
6,-8,-15,2,10,-12,-15,-8,-15,-4,-1,-5
6,-9,-15,2,10,-12,-16,-8,-15,-5,0,-5
6,-9,-16,2,10,-12,-16,-8,-16,-4,1,-5
6,-9,-16,2,10,-12,-15,-8,-16,-4,2,-5
6,-9,-15,2,10,-12,-15,-8,-17,-4,3,-4
5,-9,-15,2,10,-12,-15,-8,-17,-4,4,-4
5,-9,-15,3,10,-12,-15,-8,-17,-4,5,-3
4,-9,-14,3,10,-12,-15,-8,-18,-4,6,-3
5,-9,-15,3,11,-12,-15,-9,-19,-5,7,-2
5,-9,-17,3,11,-13,-15,-10,-21,-5,8,-2
5,-10,-17,3,11,-14,-15,-11,-22,-6,8,-2
5,-10,-17,3,11,-14,-15,-11,-23,-6,9,-2
5,-10,-17,3,11,-13,-15,-12,-24,-6,10,-2
5,-11,-17,3,11,-14,-15,-12,-24,-6,10,-3
6,-10,-17,3,12,-14,-14,-12,-24,-7,11,-4
8,-9,-18,2,13,-14,-14,-12,-25,-8,11,-4
9,-9,-18,1,14,-14,-13,-12,-25,-8,12,-4
9,-9,-19,1,15,-14,-13,-12,-26,-8,12,-4
9,-9,-19,1,14,-14,-13,-12,-27,-8,12,-4
9,-10,-19,1,14,-14,-13,-12,-28,-8,12,-5
8,-10,-19,1,14,-14,-12,-12,-29,-8,13,-5
8,-10,-19,2,13,-14,-12,-12,-29,-8,14,-6
7,-10,-18,2,13,-14,-12,-12,-29,-8,14,-6
