leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,-1,0,0,1,-1,-3,-1
-1,-3,-1,2,0,-2,0,-1,2,-2,-9,-3
-2,-4,-2,3,0,-3,-1,-2,1,-3,-16,-5
-2,-3,-1,3,0,-2,-1,-4,0,-4,-25,-10
-1,-1,0,1,0,-1,-2,-7,-2,-5,-36,-17
1,2,0,-2,1,1,-2,-10,-3,-5,-44,-22
3,3,0,-3,2,1,-2,-11,-2,-5,-48,-23
3,3,0,-3,2,1,-2,-10,-1,-4,-47,-20
3,3,0,-3,2,1,-1,-8,1,-3,-43,-14
2,2,0,-2,2,1,-1,-6,2,-2,-38,-10
1,0,-1,0,1,0,0,-4,2,-2,-36,-8
0,-1,-1,1,1,-1,0,-5,0,-3,-37,-10
0,-1,-1,0,0,0,-1,-7,-2,-4,-39,-15
1,1,0,-1,0,1,-1,-9,-4,-6,-41,-20
1,2,0,-2,0,1,-2,-11,-5,-7,-40,-23
1,1,0,-1,0,0,-2,-11,-4,-7,-35,-21
1,1,-1,-1,1,0,-1,-8,-1,-7,-26,-16
2,1,-2,-2,2,0,0,-6,0,-7,-17,-11
3,0,-2,-1,2,0,0,-4,0,-7,-10,-8
2,-1,-3,0,3,-1,0,-4,0,-8,-6,-9
0,-3,-3,1,2,-2,-1,-5,-2,-10,-6,-13
-2,-4,-2,3,0,-2,-2,-8,-4,-12,-8,-18
-1,-2,-1,2,0,-1,-2,-9,-6,-14,-9,-22
0,0,0,0,0,0,-1,-9,-5,-14,-5,-22
1,1,0,-1,1,0,0,-8,-3,-14,1,-19
1,0,-1,0,1,0,0,-6,-2,-14,8,-14
0,-2,-2,1,1,-2,0,-5,-1,-15,12,-12
-1,-4,-2,2,1,-3,0,-4,-2,-15,13,-12
-1,-4,-2,2,1,-3,0,-5,-3,-16,11,-15
-1,-3,-2,2,1,-2,0,-6,-4,-16,6,-20
-1,-3,-2,2,1,-2,0,-8,-5,-17,0,-25
-1,-3,-2,2,1,-3,0,-9,-5,-17,-2,-27
-1,-4,-3,2,1,-4,0,-8,-4,-17,-2,-25
0,-4,-4,2,2,-4,0,-7,-3,-16,0,-21
0,-3,-3,1,1,-3,0,-6,-2,-16,0,-18
0,-3,-3,1,1,-3,0,-5,-2,-15,-2,-17
0,-3,-3,1,1,-3,0,-5,-2,-15,-7,-19
0,-3,-3,1,2,-4,0,-7,-3,-15,-15,-23
0,-3,-3,1,2,-3,0,-8,-4,-15,-23,-28
0,-3,-3,1,3,-3,0,-9,-5,-15,-29,-30
0,-3,-4,1,3,-4,0,-9,-4,-14,-32,-29
0,-2,-4,1,3,-4,0,-8,-3,-14,-32,-25
0,-2,-3,1,2,-3,0,-8,-2,-14,-32,-23
0,-2,-3,1,2,-3,0,-7,-2,-14,-33,-21
0,-2,-3,1,2,-3,0,-7,-2,-14,-37,-22
0,-2,-3,1,2,-3,1,-8,-3,-14,-42,-25
-1,-3,-3,2,2,-3,1,-10,-4,-15,-49,-30
-3,-4,-2,4,0,-3,0,-11,-5,-16,-54,-34
-4,-6,-2,5,0,-4,0,-12,-5,-17,-56,-35
-4,-7,-3,6,0,-5,0,-12,-4,-17,-53,-32
-4,-6,-3,5,0,-5,0,-11,-4,-17,-49,-28
-3,-6,-3,5,0,-5,-1,-11,-4,-17,-47,-25
-3,-7,-3,5,0,-6,-1,-10,-3,-18,-46,-24
-2,-6,-4,4,1,-6,-1,-10,-3,-18,-46,-25
0,-5,-5,3,2,-5,0,-10,-2,-17,-48,-27
1,-3,-5,1,3,-4,1,-10,-2,-17,-49,-29
1,-2,-4,0,3,-3,1,-11,-2,-18,-49,-30
0,-2,-4,1,3,-3,1,-10,-1,-18,-44,-28
-1,-4,-4,2,2,-4,1,-10,-1,-18,-39,-24
-2,-6,-4,3,2,-5,0,-10,-1,-19,-34,-22
-2,-6,-4,3,2,-5,0,-10,-2,-20,-31,-20
-2,-6,-5,4,2,-6,0,-10,-2,-21,-29,-21
-2,-7,-6,4,3,-6,0,-10,-2,-21,-30,-23
-2,-6,-6,4,3,-6,0,-10,-2,-21,-31,-25
-1,-6,-6,4,3,-6,0,-11,-2,-21,-31,-27
-1,-6,-6,4,3,-7,0,-10,-1,-21,-28,-26
-2,-8,-6,5,3,-7,0,-10,-1,-22,-24,-24
-3,-8,-5,5,2,-7,0,-10,-2,-23,-21,-22
-3,-8,-4,5,1,-6,-1,-11,-3,-24,-20,-22
-4,-7,-3,6,0,-6,-2,-11,-4,-24,-20,-22
-5,-8,-3,7,0,-6,-2,-11,-4,-25,-21,-24
-4,-8,-3,7,0,-7,-1,-11,-4,-24,-23,-26
-3,-6,-3,5,0,-5,-1,-11,-5,-24,-24,-28
-3,-4,-1,4,0,-3,-1,-11,-5,-25,-25,-28
-2,-3,-1,3,0,-2,-1,-11,-5,-24,-23,-26
0,-3,-3,2,2,-3,0,-9,-4,-23,-21,-23
2,-4,-5,1,4,-5,2,-8,-3,-21,-19,-21
2,-5,-7,2,5,-6,2,-7,-2,-20,-20,-19
1,-6,-7,3,4,-7,2,-7,-3,-20,-23,-20
0,-7,-7,4,3,-8,1,-8,-3,-20,-28,-23
-2,-9,-8,5,3,-9,1,-8,-4,-20,-33,-25
-3,-10,-8,6,3,-10,1,-8,-4,-20,-36,-26
-3,-10,-8,6,3,-10,1,-8,-4,-19,-38,-25
-2,-9,-7,6,3,-9,1,-8,-4,-19,-38,-23
-1,-9,-7,5,3,-8,1,-7,-4,-18,-38,-21
0,-8,-7,4,3,-8,1,-7,-4,-18,-40,-20
0,-6,-6,3,3,-7,1,-8,-4,-18,-43,-21
0,-6,-6,3,3,-7,1,-8,-4,-17,-47,-23
-2,-8,-7,4,3,-8,0,-8,-4,-17,-50,-24
-3,-9,-7,6,2,-9,0,-8,-4,-17,-52,-25
-3,-9,-7,6,2,-8,0,-8,-4,-17,-52,-25
-2,-8,-6,5,2,-8,0,-8,-3,-17,-50,-22
-1,-7,-6,5,2,-7,1,-8,-3,-15,-47,-20
-1,-7,-6,4,2,-6,1,-8,-3,-14,-46,-18
-2,-5,-5,4,1,-5,1,-8,-3,-13,-44,-17
-2,-3,-2,3,0,-2,0,-8,-2,-12,-45,-18
-2,0,2,1,-1,1,0,-8,-3,-12,-46,-19
-2,2,5,0,-3,4,-1,-9,-4,-12,-47,-20
-2,2,5,0,-3,3,-1,-9,-3,-12,-47,-20
