leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,2,4,3,2,1,5
-1,-2,0,2,0,-1,5,12,8,6,3,13
-2,-2,0,2,-1,-1,7,17,11,8,4,18
-3,-2,1,3,-2,-1,9,20,14,11,6,21
-5,-3,3,4,-4,0,10,24,17,13,7,24
-9,-3,6,6,-7,1,11,27,20,15,9,26
-12,-3,9,8,-10,2,12,29,22,16,10,27
-14,-4,10,9,-12,2,13,31,23,18,11,28
-14,-4,10,9,-12,3,13,32,25,19,12,29
-13,-3,10,8,-11,3,14,34,26,20,13,29
-12,-2,10,7,-11,4,14,35,28,22,14,30
-12,-1,11,7,-11,5,15,37,30,23,16,31
-12,0,12,7,-12,6,15,39,31,25,17,31
-12,0,12,7,-11,6,15,40,32,26,17,31
-11,0,11,6,-10,5,15,40,33,26,17,31
-10,0,10,6,-10,5,15,41,34,27,18,31
-10,1,11,5,-11,6,16,42,36,28,19,31
-11,2,13,5,-12,7,16,43,37,29,19,31
-11,2,13,5,-12,7,16,44,38,30,20,31
-10,2,13,4,-11,8,15,44,38,30,20,31
-10,2,13,4,-12,8,15,45,39,31,20,31
-13,2,16,6,-14,9,16,46,41,32,21,31
-15,2,18,7,-16,10,16,47,42,33,22,31
-15,3,18,6,-16,10,16,47,43,33,22,31
-15,4,18,6,-16,11,16,48,43,34,22,31
-16,5,20,6,-18,12,17,48,45,35,23,32
-16,6,22,6,-19,14,18,48,46,36,24,32
-15,7,23,5,-19,15,18,48,46,36,24,32
-14,8,22,4,-18,15,18,48,47,37,24,32
-13,8,22,3,-17,15,18,48,48,37,24,32
-12,8,21,3,-16,15,18,47,48,37,24,31
-12,8,21,3,-17,14,17,46,48,37,24,31
-14,9,22,3,-18,15,17,45,48,37,24,31
-15,9,24,3,-19,16,17,44,48,37,24,31
-15,9,25,3,-20,16,17,43,48,37,24,30
-17,9,27,4,-21,18,16,42,47,37,24,30
-18,9,29,5,-24,19,16,41,47,38,24,31
-20,9,30,6,-25,20,16,40,47,37,24,31
-20,10,31,6,-26,20,16,39,47,37,24,31
-19,10,30,5,-25,20,15,37,46,36,24,30
-18,11,29,4,-23,20,14,35,45,35,23,29
-16,12,28,2,-22,20,14,33,43,34,23,29
-15,13,28,1,-21,21,13,31,42,33,22,29
-15,13,29,1,-21,21,13,29,41,33,22,29
-15,13,28,1,-21,20,12,28,40,32,22,29
-16,13,30,2,-23,21,12,27,40,31,22,29
-18,14,33,2,-26,23,12,26,39,31,21,29
-18,14,32,2,-25,23,11,23,37,29,20,28
-15,13,28,1,-22,21,10,20,34,27,19,27
