leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,-8,-9,3,5,-8,-3,-9,-14,-13,-12,-9
3,-21,-25,8,14,-22,-7,-24,-36,-35,-32,-24
8,-28,-36,10,22,-32,-10,-32,-49,-47,-43,-32
13,-32,-45,9,29,-38,-11,-35,-55,-54,-49,-36
18,-34,-53,8,36,-43,-11,-36,-57,-56,-51,-38
22,-35,-57,6,40,-46,-12,-36,-57,-57,-51,-39
24,-36,-60,6,42,-48,-12,-35,-57,-57,-51,-39
24,-37,-61,7,43,-49,-13,-34,-56,-57,-51,-40
23,-39,-62,8,43,-51,-14,-34,-56,-57,-51,-41
23,-38,-62,8,43,-51,-16,-34,-55,-55,-50,-41
23,-37,-61,7,42,-49,-19,-34,-54,-53,-48,-40
23,-36,-59,6,42,-48,-21,-35,-53,-51,-46,-40
22,-35,-58,6,40,-47,-23,-35,-52,-49,-45,-39
21,-33,-55,6,38,-44,-23,-34,-49,-47,-43,-38
21,-30,-51,4,36,-40,-22,-31,-45,-43,-40,-36
20,-26,-46,3,33,-36,-18,-26,-39,-37,-35,-32
20,-22,-42,1,31,-32,-14,-20,-32,-30,-29,-28
21,-19,-39,0,30,-29,-10,-15,-25,-24,-24,-25
20,-17,-37,-1,28,-27,-7,-11,-20,-19,-20,-22
18,-15,-34,-1,26,-25,-4,-7,-15,-14,-16,-20
15,-13,-29,-1,22,-21,-2,-4,-9,-9,-12,-16
12,-11,-23,-1,18,-17,-1,-2,-4,-3,-7,-12
8,-9,-17,0,13,-14,-1,0,0,1,-2,-9
3,-8,-10,1,7,-9,-2,1,5,7,3,-5
0,-5,-4,2,1,-4,-2,3,11,12,8,0
0,2,2,-1,-1,2,-1,8,17,19,15,5
2,14,10,-8,-3,11,3,15,26,28,23,12
3,23,19,-13,-7,21,8,22,34,36,31,19
1,29,27,-15,-12,27,12,27,41,43,37,24
-2,31,33,-14,-17,31,14,30,46,48,41,27
-6,30,37,-12,-22,33,16,32,49,51,44,29
-8,31,40,-11,-25,35,17,33,51,52,45,31
-9,32,42,-12,-26,37,18,34,53,53,45,31
-9,33,43,-12,-26,38,18,35,54,54,46,32
-10,34,43,-12,-26,38,18,36,55,55,47,33
-10,33,43,-11,-26,37,18,37,56,56,49,34
-11,32,43,-10,-27,37,18,38,57,57,50,34
-12,30,43,-9,-27,36,17,38,57,57,51,34
-11,30,42,-10,-26,36,17,38,57,57,51,34
-8,31,41,-12,-24,36,18,39,58,56,50,34
-7,32,40,-13,-23,36,18,40,59,56,49,34
-7,33,41,-13,-24,37,19,41,60,57,50,36
-8,33,41,-12,-24,37,19,41,61,58,51,37
-10,32,41,-11,-25,37,19,41,61,58,52,37
-10,33,42,-11,-25,37,18,41,61,58,52,38
-7,36,43,-15,-24,39,19,42,62,59,53,39
-4,39,44,-18,-23,41,20,43,63,60,54,39
-5,37,44,-16,-24,40,20,42,63,60,53,39
-8,34,43,-13,-25,38,19,41,62,59,53,38
