leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,1,0,-1,0,0,-23,0,0,0,0,0
3,2,-1,-2,2,0,-57,-1,-1,0,0,0
4,2,-1,-3,2,0,-66,-2,-2,-1,-1,-1
4,1,-1,-2,2,0,-64,-2,-3,-2,-2,-2
5,3,-1,-4,3,0,-62,-2,-3,-2,-2,-2
7,5,-1,-6,4,1,-63,-1,-3,-2,-1,-1
6,3,-2,-5,4,0,-70,-1,-3,-2,-2,-2
2,-1,-2,-1,2,-2,-78,-2,-4,-4,-3,-3
1,-3,-3,0,2,-3,-72,-3,-5,-4,-4,-4
1,-3,-3,0,3,-4,-52,-3,-5,-5,-4,-4
2,-3,-4,0,3,-4,-34,-4,-6,-6,-5,-5
1,-4,-4,1,3,-5,-27,-5,-7,-7,-7,-6
0,-6,-5,3,2,-5,-27,-6,-9,-8,-8,-7
-2,-8,-5,5,1,-6,-25,-6,-10,-10,-9,-8
-4,-9,-5,7,0,-6,-20,-7,-11,-10,-10,-9
-5,-10,-5,7,0,-7,-14,-6,-11,-10,-10,-9
-5,-11,-5,8,0,-7,2,-6,-11,-10,-10,-9
-6,-12,-5,9,0,-8,27,-7,-11,-11,-10,-10
-7,-13,-5,10,-1,-9,60,-7,-12,-11,-11,-10
-8,-14,-5,11,-1,-9,76,-8,-12,-12,-11,-11
-8,-14,-5,11,-1,-9,28,-8,-12,-12,-12,-12
-6,-12,-5,9,0,-8,-19,-7,-12,-12,-11,-11
-4,-10,-5,7,0,-7,3,-6,-11,-11,-11,-11
-5,-11,-5,8,0,-8,22,-6,-12,-12,-11,-11
-7,-14,-6,10,-1,-10,15,-7,-12,-12,-12,-12
-8,-16,-6,12,-1,-11,37,-7,-13,-13,-13,-13
-6,-14,-6,10,0,-11,80,-7,-13,-12,-12,-12
-3,-12,-7,8,1,-9,105,-6,-12,-11,-12,-11
-3,-12,-7,8,1,-9,118,-6,-12,-11,-12,-12
-6,-14,-8,10,0,-10,139,-6,-13,-12,-13,-13
-7,-14,-8,11,0,-10,175,-6,-14,-13,-13,-13
-7,-15,-8,11,0,-10,216,-6,-14,-13,-13,-13
-9,-17,-8,13,0,-11,257,-7,-14,-14,-14,-14
-10,-18,-7,14,-1,-12,294,-8,-14,-14,-15,-14
-8,-16,-7,13,0,-12,333,-7,-14,-14,-14,-14
-6,-15,-7,11,0,-11,361,-7,-13,-13,-14,-13
-7,-16,-7,11,0,-12,369,-7,-14,-14,-14,-14
-9,-17,-7,13,-1,-12,376,-7,-14,-14,-14,-14
-10,-17,-7,14,-1,-12,399,-7,-15,-14,-15,-15
-9,-16,-7,13,-1,-12,449,-7,-14,-14,-14,-14
-8,-16,-7,12,0,-12,526,-6,-14,-14,-14,-14
-10,-17,-7,14,-1,-13,613,-7,-14,-14,-15,-15
-11,-19,-7,15,-1,-13,697,-7,-14,-14,-15,-15
-10,-19,-7,15,-1,-13,754,-7,-14,-14,-15,-15
-9,-18,-8,13,-1,-13,765,-7,-14,-14,-14,-14
-8,-17,-8,12,0,-12,757,-6,-13,-13,-14,-14
-7,-16,-8,11,0,-12,755,-6,-13,-13,-14,-14
-6,-15,-8,10,0,-11,758,-6,-13,-13,-14,-14
-6,-14,-7,10,1,-10,759,-6,-13,-13,-13,-14
-7,-15,-7,11,1,-11,764,-6,-13,-13,-13,-14
-8,-16,-7,12,0,-11,784,-7,-13,-13,-13,-14
-9,-16,-7,12,0,-12,824,-7,-14,-13,-14,-14
-9,-17,-8,13,0,-12,872,-7,-14,-14,-14,-14
-9,-18,-8,13,0,-13,921,-7,-14,-14,-15,-15
-8,-18,-8,13,0,-13,968,-6,-14,-15,-15,-15
-7,-17,-9,12,1,-14,1005,-4,-14,-15,-16,-16
-7,-18,-11,13,2,-15,1023,-2,-14,-16,-17,-17
-9,-22,-12,16,2,-17,1036,0,-14,-17,-18,-18
-12,-24,-12,18,0,-18,1061,2,-12,-17,-19,-19
-11,-22,-11,17,0,-16,1088,5,-9,-15,-17,-18
-8,-18,-10,13,1,-14,1102,9,-4,-11,-14,-16
-7,-16,-9,12,0,-13,1112,14,2,-7,-12,-14
-8,-16,-8,12,0,-12,1127,20,11,-1,-8,-12
-6,-13,-7,9,0,-10,1097,29,23,6,-3,-8
-1,-7,-7,4,2,-7,969,38,37,14,4,-3
3,-2,-5,0,3,-3,787,46,51,25,12,3
9,5,-4,-6,5,1,629,51,67,36,22,11
15,13,-2,-13,7,6,525,55,85,49,32,20
21,21,0,-21,10,11,501,57,103,62,43,29
29,31,2,-30,13,17,572,60,121,75,54,38
36,41,5,-39,15,23,703,61,138,86,64,46
41,50,9,-46,15,30,847,57,152,96,73,54
46,63,17,-54,14,40,968,48,165,107,83,64
50,77,28,-63,11,53,1044,33,176,118,94,75
50,90,40,-69,5,65,1069,10,180,128,105,86
48,100,52,-74,-1,76,1045,-18,172,130,111,93
46,105,59,-75,-6,82,994,-48,149,122,108,94
39,100,61,-69,-11,81,972,-79,110,101,95,87
27,84,58,-55,-16,71,1003,-112,56,69,73,71
13,63,50,-38,-18,57,1043,-141,-1,32,45,50
4,43,39,-23,-17,41,1025,-160,-47,0,19,30
-2,25,27,-11,-15,26,951,-165,-75,-21,1,14
-9,9,18,0,-14,14,908,-160,-88,-35,-12,2
-12,-1,10,7,-11,5,931,-147,-91,-42,-20,-7
-12,-7,5,9,-8,-1,982,-131,-88,-45,-26,-13
-12,-11,1,11,-7,-4,1037,-115,-84,-46,-29,-18
-12,-13,0,12,-6,-6,1086,-101,-78,-46,-31,-21
-13,-13,0,13,-7,-6,1124,-87,-71,-44,-31,-22
-14,-13,1,13,-8,-6,1153,-74,-64,-41,-30,-22
-15,-13,2,14,-8,-6,1169,-62,-58,-37,-29,-22
-15,-13,2,14,-8,-6,1162,-53,-52,-34,-27,-21
