leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-3,-4,-1,3,-1,-2,9,-1,-6,-6,-4,-3
-7,-9,-2,8,-2,-5,22,-2,-15,-16,-10,-9
-7,-10,-2,8,-2,-6,26,-3,-17,-19,-12,-11
-6,-9,-2,7,-2,-5,23,-2,-14,-17,-10,-11
-5,-7,-2,6,-2,-4,19,1,-8,-11,-7,-8
-3,-6,-3,4,0,-4,15,5,0,-4,-3,-5
0,-5,-4,2,1,-4,13,8,5,1,0,-3
1,-4,-4,1,2,-4,10,9,9,5,2,-2
1,-2,-3,0,2,-2,8,10,12,8,3,-1
2,1,0,-1,1,0,6,10,14,10,4,0
3,4,1,-3,1,3,5,10,15,12,5,0
4,6,2,-5,1,4,4,9,16,13,5,0
5,7,2,-6,1,4,3,9,17,14,6,0
4,5,1,-5,1,3,2,8,17,15,6,0
4,4,0,-4,1,2,2,8,18,16,6,1
4,3,0,-4,2,1,2,8,19,17,7,1
4,3,0,-4,2,1,1,8,19,18,7,1
4,4,1,-4,1,2,0,7,18,18,6,0
4,5,2,-4,1,3,-1,7,18,18,6,0
3,5,2,-4,0,4,-1,7,18,18,6,0
3,5,1,-4,0,4,-1,6,18,18,6,0
3,4,0,-4,1,3,-1,6,18,18,6,0
3,3,0,-3,1,2,-1,6,18,18,6,0
2,1,-1,-2,1,1,-1,6,18,18,6,0
2,0,-1,-1,1,0,-1,6,19,19,6,0
3,1,-1,-2,1,1,-1,6,19,19,7,0
4,3,0,-3,1,2,-1,6,19,19,7,0
3,5,1,-4,1,3,-1,6,19,19,7,0
3,6,2,-4,1,4,0,7,19,19,7,0
5,7,1,-6,2,4,0,8,20,20,7,1
7,7,0,-7,3,4,1,8,20,21,8,1
7,7,0,-7,3,4,1,8,21,21,8,2
8,7,0,-7,4,3,1,8,21,21,8,2
9,7,0,-8,4,4,1,8,21,21,8,2
10,9,0,-9,5,5,1,8,22,21,8,2
10,11,0,-10,5,5,1,8,22,21,8,2
8,11,1,-9,4,5,0,8,21,21,7,1
7,10,2,-8,3,5,0,8,21,21,7,1
7,8,1,-8,3,4,0,9,22,22,8,1
7,8,0,-8,3,4,0,9,22,22,8,2
6,7,1,-7,3,4,0,9,22,22,8,2
6,6,0,-6,3,3,0,8,21,22,8,1
6,6,-1,-6,4,2,-1,8,21,21,7,0
6,5,-1,-5,4,1,-2,7,20,20,6,0
5,4,-1,-4,3,1,-2,7,20,20,6,0
4,4,-1,-3,3,1,-2,7,20,20,5,-1
4,4,-1,-4,3,1,-2,7,20,21,6,0
5,4,-1,-5,3,1,-2,7,21,21,6,0
6,5,0,-5,3,2,-1,8,22,22,7,0
6,6,1,-6,2,3,0,8,23,22,7,1
6,6,1,-6,2,4,0,9,23,23,8,1
8,7,0,-7,3,4,0,9,24,23,8,2
9,9,0,-8,4,5,0,9,24,24,8,2
9,9,0,-9,4,5,0,10,25,24,9,2
9,9,0,-9,4,5,0,10,25,25,9,2
8,9,0,-8,4,5,0,10,25,25,9,2
8,8,0,-8,4,5,-1,10,25,25,9,2
8,7,0,-7,3,4,-1,10,25,25,9,2
6,6,0,-6,2,4,-2,9,25,25,9,2
5,5,0,-5,2,3,-3,9,25,25,8,1
5,4,0,-4,3,2,-3,8,25,25,8,1
4,4,-1,-4,3,2,-4,8,26,26,8,1
4,3,-1,-3,2,1,-4,8,26,26,8,1
3,2,-1,-3,2,1,-5,8,26,26,8,1
3,2,0,-2,2,1,-5,8,26,26,8,1
3,2,0,-2,2,1,-5,8,26,26,8,1
5,4,0,-4,3,2,-5,8,27,27,9,2
7,7,0,-7,3,3,-4,9,28,28,10,3
8,8,1,-8,3,4,-4,10,29,29,11,4
8,8,1,-8,3,5,-4,10,30,30,12,4
7,8,1,-8,3,5,-4,10,30,30,12,5
7,8,1,-8,3,5,-4,10,30,31,13,5
8,8,0,-8,4,5,-4,10,30,31,13,6
10,9,0,-10,5,5,-5,10,31,31,13,6
12,10,-1,-11,6,5,-5,10,31,32,14,7
13,10,-2,-12,7,4,-5,9,31,32,14,7
13,10,-2,-12,7,4,-6,8,31,31,13,6
13,10,-2,-12,7,4,-7,8,30,31,13,6
12,10,-2,-11,7,4,-8,8,30,31,14,6
11,8,-3,-10,7,3,-9,7,29,30,14,6
10,7,-3,-9,7,2,-10,6,28,29,13,6
8,5,-2,-7,6,2,-10,5,28,29,13,6
7,5,-2,-6,5,2,-11,5,28,29,13,6
7,5,-1,-6,5,2,-11,5,27,29,13,6
9,7,-1,-7,5,3,-10,5,27,28,13,7
11,9,-2,-10,6,3,-10,5,26,28,13,7
13,10,-2,-12,7,4,-9,5,26,28,14,7
