leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,6,2,-5,1,4,1,5,11,11,9,7
11,16,5,-14,3,11,2,12,29,30,24,18
15,22,7,-18,4,15,3,16,39,40,32,25
17,25,8,-22,5,17,3,18,44,45,36,28
19,26,8,-23,5,17,2,18,46,47,37,29
19,26,7,-23,6,16,2,18,46,47,37,29
19,25,6,-22,6,15,1,18,45,46,36,29
19,25,5,-22,7,15,1,17,44,44,35,28
18,23,5,-21,6,14,0,15,41,41,32,26
16,21,5,-19,5,13,0,13,38,37,29,23
13,18,4,-16,4,11,0,11,35,33,25,20
11,15,4,-14,4,10,0,10,31,28,22,17
10,14,4,-13,4,9,0,8,28,24,18,15
10,13,3,-12,4,8,0,7,24,20,15,12
9,11,2,-11,4,7,0,5,20,16,12,10
9,10,1,-10,4,5,0,3,16,11,8,8
8,9,0,-9,4,4,0,2,13,7,5,6
7,7,0,-7,3,3,1,0,9,3,1,3
5,5,-1,-5,3,2,1,-2,4,-2,-2,0
3,2,-1,-3,3,0,1,-4,0,-7,-6,-2
2,0,-2,-1,3,0,1,-6,-3,-11,-10,-5
2,-1,-2,0,2,-1,1,-7,-7,-15,-13,-8
1,-3,-3,0,2,-3,1,-8,-10,-19,-15,-10
0,-5,-4,2,2,-5,1,-10,-13,-23,-18,-12
-2,-8,-5,5,2,-7,1,-12,-17,-27,-21,-15
-4,-11,-6,7,1,-9,1,-13,-20,-30,-24,-17
-4,-12,-7,7,2,-10,1,-14,-22,-33,-27,-19
-4,-12,-8,7,2,-10,2,-15,-24,-35,-29,-20
-4,-12,-8,7,2,-11,3,-16,-26,-37,-31,-22
-4,-13,-8,8,2,-11,3,-17,-28,-40,-33,-23
-4,-14,-9,9,2,-12,3,-18,-30,-42,-34,-24
-5,-15,-9,9,2,-13,3,-19,-32,-44,-36,-25
-6,-16,-10,10,2,-14,3,-20,-34,-45,-37,-26
-7,-17,-11,11,2,-14,3,-20,-35,-47,-38,-27
-8,-19,-12,13,2,-15,3,-21,-36,-49,-40,-28
-8,-20,-12,14,2,-16,3,-22,-37,-50,-42,-29
-9,-21,-12,15,2,-17,3,-23,-38,-51,-42,-30
-10,-22,-12,16,1,-17,3,-24,-38,-52,-43,-31
-11,-23,-11,17,0,-17,3,-24,-38,-53,-43,-31
-12,-23,-11,17,0,-17,3,-24,-38,-53,-43,-31
-11,-23,-12,16,1,-17,3,-24,-38,-53,-43,-31
-9,-23,-13,15,2,-18,3,-24,-38,-54,-44,-31
-10,-23,-13,16,2,-18,3,-24,-38,-54,-44,-31
-11,-23,-12,16,1,-18,4,-24,-38,-54,-44,-31
-11,-23,-12,16,1,-18,4,-24,-38,-54,-44,-31
-10,-23,-12,16,1,-18,4,-24,-38,-54,-44,-31
-10,-23,-12,16,1,-18,4,-24,-38,-54,-44,-31
-9,-22,-12,15,1,-17,4,-24,-39,-54,-44,-31
-9,-22,-12,15,1,-17,4,-24,-39,-54,-44,-32
-9,-22,-12,15,1,-17,4,-24,-39,-54,-44,-32
-9,-22,-12,15,1,-17,4,-24,-39,-54,-44,-32
-9,-22,-12,15,1,-17,4,-24,-39,-55,-44,-33
-10,-23,-12,16,1,-18,3,-25,-39,-55,-45,-33
-11,-24,-12,17,0,-18,3,-25,-38,-55,-45,-33
-11,-24,-12,17,0,-18,3,-25,-37,-55,-45,-33
-11,-24,-13,17,1,-18,3,-24,-37,-54,-45,-33
-11,-24,-13,17,1,-18,3,-24,-36,-54,-44,-32
-11,-24,-13,17,1,-18,3,-24,-36,-54,-44,-32
-11,-25,-13,17,1,-19,3,-25,-36,-54,-44,-32
-12,-25,-12,18,1,-19,3,-25,-36,-54,-44,-32
-11,-24,-12,17,1,-18,3,-25,-36,-54,-44,-32
-10,-22,-12,15,1,-17,3,-24,-36,-54,-44,-32
-9,-22,-12,15,2,-17,3,-23,-35,-53,-43,-32
-8,-21,-12,15,2,-17,3,-23,-35,-53,-43,-32
-8,-21,-12,14,2,-17,3,-23,-34,-52,-42,-31
-7,-20,-12,13,2,-16,3,-23,-33,-52,-42,-31
-6,-19,-12,13,3,-16,3,-22,-32,-51,-41,-31
-6,-19,-12,12,3,-15,3,-22,-32,-50,-41,-31
-6,-19,-11,12,2,-15,3,-22,-32,-50,-41,-31
-7,-19,-11,12,2,-15,3,-22,-32,-50,-41,-31
-7,-20,-12,13,2,-15,3,-22,-32,-50,-41,-31
-8,-20,-12,13,2,-16,3,-22,-31,-50,-41,-31
-8,-20,-12,14,1,-16,3,-22,-31,-50,-41,-31
-8,-20,-12,14,1,-16,2,-22,-31,-50,-41,-31
-8,-20,-12,14,1,-16,2,-22,-31,-50,-41,-31
-8,-20,-12,14,2,-16,2,-22,-30,-50,-41,-30
-8,-20,-12,13,2,-16,2,-22,-30,-49,-41,-30
-8,-20,-12,13,2,-16,2,-22,-29,-49,-40,-30
-8,-20,-12,13,2,-16,2,-21,-29,-48,-40,-30
-8,-20,-11,14,1,-16,2,-21,-29,-48,-40,-30
-10,-22,-11,15,0,-16,2,-21,-29,-49,-40,-30
-12,-22,-10,16,0,-15,2,-21,-28,-49,-40,-30
-13,-23,-9,17,-1,-15,2,-21,-28,-49,-40,-30
-14,-24,-9,19,-2,-16,2,-21,-28,-49,-40,-30
-15,-25,-9,19,-2,-17,1,-21,-29,-49,-40,-30
-15,-26,-9,20,-2,-17,1,-21,-29,-49,-40,-30
-16,-26,-9,20,-3,-17,1,-21,-29,-49,-40,-30
-16,-26,-9,21,-3,-17,1,-21,-29,-49,-40,-30
-15,-26,-9,20,-3,-17,1,-21,-29,-49,-40,-30
-15,-26,-9,20,-3,-17,1,-21,-29,-48,-40,-30
-15,-26,-9,20,-3,-17,1,-21,-29,-48,-40,-30
-15,-25,-9,19,-2,-17,1,-21,-28,-48,-40,-30
-14,-24,-9,18,-2,-16,2,-20,-28,-47,-40,-29
-14,-24,-9,18,-2,-16,2,-20,-27,-46,-40,-29
-14,-24,-9,18,-2,-16,2,-20,-27,-46,-40,-29
-14,-24,-9,18,-2,-16,1,-20,-27,-46,-40,-29
-14,-24,-9,19,-2,-16,1,-20,-27,-46,-40,-29
-14,-24,-9,19,-2,-16,1,-19,-27,-46,-40,-29
-14,-24,-9,19,-2,-16,1,-19,-27,-46,-40,-29
-14,-25,-9,19,-2,-16,1,-19,-27,-46,-39,-29
-14,-25,-10,19,-2,-17,0,-19,-28,-46,-39,-29
-14,-24,-9,18,-2,-16,0,-19,-28,-46,-39,-29
-14,-24,-9,18,-2,-16,0,-19,-28,-45,-39,-29
-14,-23,-9,17,-2,-15,0,-18,-27,-44,-38,-28
-13,-21,-8,16,-2,-14,1,-18,-26,-44,-37,-27
-12,-20,-8,15,-2,-13,1,-17,-26,-44,-37,-27
-12,-21,-8,16,-2,-14,1,-17,-26,-44,-37,-27
-13,-22,-8,17,-2,-15,0,-17,-26,-44,-38,-27
-14,-23,-8,18,-2,-15,0,-17,-26,-44,-38,-27
-15,-24,-8,19,-3,-15,0,-17,-27,-44,-38,-27
-16,-24,-8,19,-3,-15,0,-17,-27,-44,-38,-28
-16,-24,-8,19,-3,-15,0,-17,-28,-44,-38,-28
-16,-24,-7,19,-3,-15,0,-17,-28,-44,-38,-27
