leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,0,0,-3,-1,0,9
-1,-2,-1,2,0,-2,-1,-1,-9,-2,0,28
-2,-3,-2,2,0,-2,-1,-1,-13,-3,1,41
-2,-4,-2,3,0,-2,-1,-1,-15,-4,1,39
-2,-4,-2,3,0,-2,-1,-1,-18,-5,0,20
-2,-4,-2,3,0,-2,-1,-1,-20,-6,-3,-6
-2,-4,-2,3,0,-2,-1,-1,-21,-7,-5,-26
-2,-4,-2,3,0,-3,-1,-1,-21,-6,-5,-30
-2,-4,-2,3,0,-3,-1,-1,-22,-6,-4,-15
-2,-4,-2,3,-1,-3,-1,-1,-21,-5,-1,10
-2,-4,-2,3,-1,-3,-1,-1,-20,-5,1,32
-2,-4,-2,3,0,-3,-1,-1,-20,-5,1,38
-2,-4,-2,3,0,-3,-1,-1,-20,-6,0,25
-2,-4,-3,3,0,-4,-1,-1,-20,-6,-1,0
-2,-4,-3,3,0,-4,-1,-1,-20,-6,-3,-22
-2,-4,-3,3,0,-4,-1,0,-19,-6,-4,-31
-2,-4,-2,3,0,-4,-1,0,-19,-6,-4,-22
-2,-4,-2,3,0,-4,-1,0,-18,-6,-2,1
-2,-4,-2,3,-1,-3,0,3,-16,-5,0,24
-2,-4,-2,3,-1,-3,2,8,-12,-3,2,36
-2,-4,-2,3,-2,-3,5,15,-7,0,3,29
-2,-4,-2,3,-2,-3,9,27,1,4,4,8
-2,-3,-2,3,-1,-3,14,46,14,11,5,-14
-1,-2,-2,2,-1,-2,21,70,34,21,10,-26
0,0,0,0,0,0,26,88,57,35,19,-17
1,5,3,-3,-1,4,29,92,78,51,32,11
3,12,8,-7,-3,10,29,80,96,68,48,46
4,20,15,-12,-5,17,28,58,109,85,64,75
6,27,20,-16,-7,23,25,24,115,98,78,86
9,35,25,-21,-9,30,19,-20,112,106,89,80
12,43,30,-27,-10,36,10,-68,104,111,97,66
16,51,34,-33,-10,43,-7,-119,86,107,102,56
