leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,-1,0,0,0,0,0,0,0
-4,-3,1,3,-2,-1,-1,-1,0,0,-1,-1
-2,-1,1,1,-1,0,0,-1,1,0,-1,-1
2,2,0,-3,1,2,1,0,3,2,0,0
5,5,0,-5,2,3,2,1,3,2,0,0
6,5,0,-5,3,2,2,0,3,2,0,0
5,4,0,-5,2,2,2,0,3,2,0,0
4,4,0,-4,2,2,2,0,3,2,0,0
2,1,0,-2,1,1,1,0,2,2,0,0
-3,-3,0,3,-1,-1,0,0,1,1,-1,-1
-6,-5,1,5,-4,-1,0,0,1,1,-1,-2
-2,0,2,1,-2,1,2,1,3,2,0,-1
2,4,2,-3,0,3,3,2,4,3,1,0
1,2,1,-1,0,2,1,0,3,1,-1,-1
2,1,0,-1,0,1,0,-1,1,0,-2,-2
4,3,0,-3,1,2,1,0,2,0,-1,-2
6,6,0,-6,3,3,1,0,3,1,0,-1
9,8,0,-9,5,4,2,0,3,2,0,-1
11,9,-1,-11,6,4,2,1,4,2,0,0
9,8,-1,-9,5,4,2,0,3,1,0,0
8,8,0,-8,4,4,2,0,3,1,0,0
7,8,1,-7,2,4,3,0,4,2,0,0
4,5,1,-5,1,3,2,0,3,1,0,0
3,3,1,-4,1,2,1,-1,2,1,0,0
3,4,2,-4,0,3,1,-1,3,1,0,0
0,5,4,-3,-2,5,2,0,3,2,0,0
-1,3,4,-1,-2,4,1,-1,2,1,0,0
0,0,1,0,-1,1,0,-2,1,0,-1,-1
0,-2,-2,0,0,-1,0,-2,1,-1,-2,-2
0,-2,-2,0,1,-2,0,-1,1,-1,-2,-2
3,1,-1,-3,2,0,1,0,2,0,-1,-1
7,6,0,-7,3,3,2,1,3,1,0,0
4,3,0,-4,1,2,1,-1,2,0,-1,-1
2,2,0,-2,0,1,0,-2,1,0,-2,-2
1,3,1,-2,0,2,0,-2,1,0,-1,-2
0,1,1,0,-1,1,0,-3,0,0,-1,-2
0,1,0,0,-1,1,0,-3,0,-1,-1,-2
3,3,0,-4,0,2,1,-1,1,0,0,-1
5,4,0,-5,1,3,1,-1,2,0,0,0
4,4,1,-5,1,3,1,-1,2,0,0,-1
4,4,1,-5,0,4,1,0,2,1,0,-1
2,4,2,-3,0,4,2,0,2,1,0,-1
2,6,3,-4,-1,5,2,0,3,2,1,0
6,10,4,-8,0,8,4,1,4,3,3,1
6,10,4,-8,0,8,4,2,5,3,3,3
1,5,3,-4,-1,5,3,0,4,2,2,2
1,4,2,-3,-1,4,4,0,4,2,2,1
3,5,3,-5,0,5,4,0,5,3,3,2
3,5,3,-5,0,5,4,0,5,3,3,3
3,5,3,-4,0,5,5,1,5,4,3,3
2,5,3,-3,-1,4,5,1,5,4,3,2
2,6,3,-4,-1,5,5,2,5,4,3,2
3,7,4,-5,-1,6,5,2,5,4,3,3
0,6,5,-4,-3,7,4,2,5,4,2,3
-4,4,8,0,-7,7,4,2,6,4,3,3
-7,2,10,2,-9,6,4,2,6,5,3,3
-6,1,7,2,-7,4,4,2,6,4,3,3
-3,0,4,1,-4,3,3,2,5,3,2,2
-2,0,3,0,-3,2,3,1,4,2,1,1
2,4,2,-3,-1,4,4,2,5,3,1,1
7,11,3,-9,1,8,6,4,7,5,3,3
