leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,0,1,1,-1,0,0,-1,-1,0,0,0
-3,0,2,1,-3,1,0,-3,-2,1,1,-1
-4,0,3,2,-4,1,0,-4,-3,2,1,-1
-5,-1,4,2,-4,1,0,-4,-4,3,2,0
-5,-1,4,3,-4,1,-1,-5,-4,3,2,0
-5,-2,4,3,-4,1,-1,-5,-4,3,3,0
-5,-1,4,3,-4,1,-1,-5,-4,4,4,1
-4,-1,4,2,-4,1,-1,-5,-4,4,4,1
-4,-1,4,2,-3,1,-2,-5,-4,4,5,2
-3,-1,3,1,-3,1,-2,-5,-4,4,5,2
-3,0,3,1,-2,1,-3,-4,-4,4,6,3
-3,0,3,1,-2,1,-3,-4,-4,4,6,3
-3,0,3,1,-2,1,-3,-4,-4,4,6,4
-2,0,3,1,-1,1,-3,-4,-3,4,6,4
-1,0,3,0,-1,1,-3,-4,-3,4,7,4
-1,0,3,0,-1,1,-4,-4,-3,4,7,5
-1,0,2,0,-1,0,-4,-3,-3,5,8,5
-1,0,2,0,-1,0,-4,-3,-3,5,8,5
-1,0,2,0,-1,0,-5,-3,-3,5,8,5
-2,-1,2,1,-1,0,-5,-3,-3,5,8,5
-1,0,2,0,-1,0,-6,-2,-2,5,8,6
0,1,2,-1,0,1,-6,-1,-2,6,8,6
0,1,2,-1,0,1,-6,0,-2,6,8,6
0,0,2,0,0,1,-7,0,-2,6,8,6
0,0,2,0,0,1,-7,0,-2,6,8,6
-1,0,2,0,0,1,-7,1,-2,6,8,6
-1,0,2,0,0,1,-7,1,-2,6,8,6
0,0,2,0,0,0,-7,2,-2,6,8,6
-1,0,2,0,-1,0,-7,2,-2,6,8,6
-1,0,2,1,-1,0,-7,2,-3,6,8,6
-1,0,2,0,0,0,-7,2,-3,6,8,6
0,1,2,-1,0,1,-7,2,-2,6,8,7
0,2,2,-1,0,1,-6,2,-2,6,8,7
1,2,2,-1,0,1,-6,3,-2,6,8,7
0,1,2,-1,0,1,-6,3,-2,6,7,6
0,1,2,0,0,1,-6,3,-2,6,7,6
0,1,2,-1,0,2,-5,3,-2,6,7,6
1,2,2,-1,0,2,-5,3,-1,6,7,6
1,2,2,-1,0,2,-4,3,-1,6,7,6
0,2,2,-1,0,2,-4,3,-1,5,7,6
0,2,2,-1,-1,2,-4,3,-1,5,6,5
0,2,3,-1,-1,2,-4,3,-1,5,6,5
0,3,3,-1,-1,2,-4,3,-1,5,6,5
0,3,3,-2,-1,2,-4,3,-1,5,6,5
0,2,3,-2,-1,2,-4,3,-1,4,5,5
0,2,3,-2,-1,2,-4,3,-1,4,5,5
0,2,3,-2,-1,2,-4,3,-1,4,5,5
0,2,3,-2,-1,2,-4,3,-1,4,5,4
0,2,3,-1,-1,2,-4,3,-1,4,5,4
0,2,3,-1,-1,2,-4,3,-1,4,5,4
0,2,3,-1,-1,2,-4,3,-1,4,4,4
-1,2,3,-1,-1,2,-4,3,-2,3,4,4
-1,2,3,-1,-1,2,-4,3,-2,3,4,4
0,3,3,-2,-1,3,-4,3,-1,3,4,4
0,3,3,-2,0,3,-4,3,-1,3,4,4
0,3,3,-2,-1,3,-4,3,-1,3,4,4
0,3,4,-2,-1,3,-4,3,-1,3,4,4
0,3,4,-2,-1,3,-4,3,-1,3,4,4
0,3,3,-2,-1,2,-4,3,-1,3,4,4
0,3,3,-2,-1,2,-4,3,-1,3,4,4
0,2,2,-1,-1,2,-4,3,-1,3,4,4
0,2,2,-1,-1,2,-4,3,-1,3,4,4
0,2,2,-1,-1,2,-4,2,-1,2,3,4
0,3,3,-2,-1,3,-4,2,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,4
1,4,3,-2,0,3,-4,3,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,4
1,4,3,-2,-1,3,-4,3,-1,2,3,5
1,4,3,-2,-1,3,-4,3,-1,2,3,5
1,4,3,-2,-1,3,-4,3,-1,2,3,5
1,4,3,-2,-1,3,-4,3,-1,2,3,5
1,4,3,-3,-1,3,-4,3,-1,2,4,5
2,4,2,-3,0,3,-5,3,-1,2,4,5
1,4,2,-2,0,2,-5,3,-1,2,4,5
1,4,3,-2,-1,3,-5,2,-1,2,4,6
1,4,3,-2,-1,3,-5,2,-1,3,4,6
1,4,3,-2,-1,3,-5,3,-1,3,4,7
1,3,3,-2,-1,3,-5,3,-1,3,4,7
0,3,3,-2,-1,2,-5,3,-1,3,4,7
0,3,3,-2,-1,2,-5,3,-1,3,4,7
1,4,3,-3,0,3,-5,3,-1,3,5,7
2,4,3,-3,0,3,-4,4,-1,3,5,8
2,4,2,-3,0,3,-4,4,-1,3,5,8
2,4,2,-3,0,3,-4,4,-1,3,5,8
1,4,2,-3,0,3,-4,4,-1,3,5,8
1,3,2,-2,0,3,-4,4,-1,3,5,8
2,4,2,-3,0,3,-4,4,0,4,6,8
3,5,2,-4,0,4,-4,4,0,4,6,9
2,4,2,-3,0,3,-5,4,0,4,6,9
1,3,2,-2,-1,3,-6,3,0,4,6,8
0,3,2,-2,-1,3,-7,3,0,4,6,8
1,3,2,-2,0,3,-7,4,0,4,6,9
2,4,2,-3,0,3,-6,4,0,4,6,9
3,5,2,-4,0,3,-6,5,1,4,6,9
3,5,2,-4,0,3,-6,5,1,4,6,9
3,5,2,-4,0,3,-6,5,1,4,7,9
3,6,2,-5,1,4,-5,5,2,5,7,9
4,6,2,-5,1,4,-5,5,2,5,8,10
3,6,2,-5,1,4,-5,5,2,5,8,10
3,5,2,-4,0,4,-5,5,2,5,8,10
3,5,2,-4,0,4,-5,5,3,5,8,10
4,5,2,-5,0,4,-4,5,3,5,8,10
4,5,2,-5,0,4,-4,5,4,6,8,11
4,5,2,-5,0,4,-4,5,4,6,8,11
4,5,2,-5,0,4,-4,5,4,6,8,11
4,5,2,-5,0,4,-5,5,4,7,8,11
4,6,2,-5,0,4,-5,5,5,7,9,12
4,6,2,-5,0,4,-5,5,5,7,9,12
4,6,2,-5,0,3,-5,5,5,7,9,12
3,6,2,-5,0,3,-5,5,5,7,9,12
3,6,2,-4,0,3,-5,5,6,7,9,12
3,6,2,-4,0,3,-5,5,6,7,9,12
3,6,2,-4,0,4,-5,5,6,7,9,12
3,6,2,-4,0,4,-4,6,7,7,9,12
3,6,3,-4,0,5,-4,6,7,7,9,12
2,6,3,-4,0,5,-4,6,7,7,9,12
2,6,3,-4,-1,5,-4,6,7,8,9,13
2,6,3,-5,-1,5,-4,7,8,8,10,13
3,7,4,-5,-1,6,-4,7,8,9,10,14
3,7,4,-5,-1,6,-4,7,9,9,11,14
2,7,4,-5,-2,6,-4,7,9,10,11,13
2,7,4,-4,-2,6,-3,8,9,10,10,13
2,8,5,-5,-2,7,-3,8,10,10,11,14
3,9,5,-7,-2,8,-2,9,10,11,11,14
3,10,6,-7,-2,8,-1,9,10,11,11,15
3,10,6,-7,-2,8,-1,9,10,11,11,15
3,10,6,-7,-2,8,-1,9,11,11,11,15
3,10,6,-7,-2,8,0,10,11,12,12,15
3,10,7,-7,-2,9,0,10,12,12,12,15
3,11,7,-7,-2,9,0,10,13,13,12,15
3,10,7,-7,-2,9,0,10,13,13,12,15
3,10,7,-7,-2,9,0,10,13,13,12,16
4,10,7,-7,-2,9,0,10,13,13,13,16
3,10,7,-7,-2,9,-1,9,13,13,13,16
3,9,7,-7,-2,8,-1,9,12,12,12,16
4,10,6,-7,-1,8,-1,8,12,12,12,16
5,10,6,-8,-1,8,-2,8,12,12,12,16
4,9,5,-7,0,7,-2,7,12,12,12,15
4,9,4,-7,0,6,-3,6,11,12,12,15
5,10,4,-7,0,7,-3,6,11,11,12,15
5,10,4,-7,0,8,-4,6,10,11,12,15
5,10,4,-7,0,7,-4,6,10,11,11,15
5,9,4,-7,0,7,-4,6,10,10,11,15
5,8,4,-7,0,6,-5,6,10,10,11,14
5,8,3,-7,0,6,-5,7,10,10,11,14
7,8,1,-7,2,5,-5,7,9,10,12,15
8,7,0,-8,3,5,-6,6,9,10,12,15
9,7,-2,-8,5,4,-6,6,9,10,12,15
10,6,-4,-8,6,3,-6,7,10,10,13,16
11,6,-5,-9,8,2,-6,7,11,11,14,17
12,6,-6,-10,9,1,-6,8,11,11,14,18
13,7,-6,-10,9,1,-7,8,11,12,15,18
13,6,-5,-10,9,1,-7,7,11,12,15,18
12,5,-5,-8,8,1,-7,7,11,11,14,18
12,6,-5,-8,8,1,-7,6,10,11,14,18
13,8,-5,-10,8,2,-7,6,11,12,14,19
13,9,-4,-11,8,3,-6,7,11,12,15,19
13,10,-4,-11,8,3,-6,7,12,12,15,20
13,10,-3,-11,7,4,-6,7,12,12,15,20
12,9,-2,-10,6,4,-5,8,13,13,16,20
11,9,-2,-10,6,4,-5,8,13,13,16,20
11,9,-1,-10,5,5,-4,9,14,14,16,20
9,8,0,-9,4,5,-3,9,14,14,16,19
8,7,0,-8,3,4,-3,9,14,13,15,18
7,7,0,-7,3,4,-3,8,13,12,14,17
6,6,0,-7,3,3,-3,8,13,12,13,17
6,6,0,-6,2,3,-3,8,13,11,13,16
5,5,0,-6,2,2,-3,7,13,11,12,16
5,5,0,-5,2,2,-3,7,13,10,12,15
5,5,0,-5,1,2,-3,7,13,10,12,15
5,4,0,-5,1,2,-3,7,13,10,12,15
4,4,0,-4,1,2,-3,7,13,10,12,15
4,4,0,-4,1,2,-3,7,13,11,12,15
4,4,0,-4,1,2,-3,7,13,11,12,15
3,4,0,-4,1,2,-3,7,13,11,12,15
3,4,0,-4,0,2,-3,7,13,11,12,15
4,5,0,-4,1,3,-2,8,14,11,12,15
5,5,0,-5,1,3,-2,8,14,11,13,15
4,5,0,-5,1,3,-1,8,14,11,13,15
5,6,1,-5,1,3,-1,9,14,12,13,16
4,7,3,-6,0,5,-1,9,16,14,15,18
6,1,-4,-3,4,-1,-1,7,10,5,6,10
8,-13,-21,3,14,-17,-2,3,-1,-14,-13,-6
5,-10,-14,2,9,-12,-1,5,2,-8,-7,-1
1,6,5,-4,-3,6,0,10,16,13,14,17
2,13,12,-7,-6,12,0,11,20,20,22,24
2,12,11,-7,-5,12,0,10,19,20,21,24
2,11,10,-7,-4,10,0,10,18,18,20,23
3,10,8,-7,-3,9,0,9,16,17,18,22
3,8,6,-6,-2,7,0,8,14,15,17,21
4,7,4,-6,-1,6,0,8,12,13,16,21
4,7,3,-6,0,5,0,8,11,13,16,21
3,7,4,-6,-1,6,0,8,12,14,17,22
3,7,5,-6,-2,6,1,9,13,15,19,23
3,7,5,-5,-2,6,1,9,13,17,21,25
3,5,3,-5,-1,4,1,9,12,17,23,27
4,4,1,-4,0,2,0,8,10,17,25,28
5,2,-2,-4,3,0,0,7,7,16,25,30
6,0,-6,-4,5,-3,-1,5,3,13,25,31
8,-1,-10,-3,8,-6,-2,3,-1,8,24,32
9,-4,-13,-2,10,-9,-4,-1,-8,1,21,32
10,-7,-17,-1,13,-12,-7,-6,-16,-7,17,31
12,-10,-21,-1,16,-16,-9,-11,-25,-17,12,30
14,-13,-26,0,19,-20,-10,-16,-34,-27,6,29
16,-17,-31,0,23,-24,-12,-20,-42,-35,3,29
17,-20,-37,1,26,-28,-13,-23,-49,-42,1,30
19,-22,-42,1,30,-32,-15,-26,-56,-48,0,31
21,-24,-47,1,33,-35,-16,-29,-62,-53,-1,32
24,-28,-52,2,37,-40,-18,-31,-67,-58,-3,32
26,-32,-59,4,42,-45,-19,-33,-71,-62,-4,32
28,-38,-66,5,46,-52,-21,-35,-76,-66,-6,32
30,-43,-73,6,51,-58,-23,-39,-82,-72,-8,32
34,-48,-81,6,57,-64,-24,-41,-87,-77,-11,32
38,-52,-89,6,62,-70,-26,-44,-93,-83,-15,30
40,-56,-96,7,68,-76,-28,-46,-98,-89,-19,28
43,-61,-104,8,73,-82,-29,-48,-104,-95,-24,24
45,-66,-112,9,78,-88,-29,-51,-110,-104,-32,19
47,-72,-119,12,82,-95,-30,-55,-118,-113,-39,13
49,-78,-127,14,87,-102,-32,-59,-125,-119,-44,10
54,-82,-135,13,93,-108,-32,-62,-130,-124,-48,7
57,-86,-143,13,99,-114,-31,-65,-134,-128,-51,3
59,-90,-149,15,103,-120,-31,-69,-140,-134,-57,-2
60,-94,-155,17,106,-124,-31,-74,-149,-145,-68,-10
61,-98,-159,18,109,-128,-31,-81,-159,-157,-80,-20
61,-100,-162,19,111,-131,-32,-89,-169,-169,-92,-29
62,-103,-165,20,112,-133,-34,-97,-177,-179,-103,-38
62,-105,-167,21,113,-136,-35,-104,-184,-187,-112,-47
61,-108,-169,23,114,-138,-37,-111,-190,-195,-123,-56
60,-112,-171,24,115,-141,-40,-118,-197,-204,-134,-66
59,-114,-171,26,114,-143,-43,-125,-203,-211,-145,-76
57,-113,-169,27,112,-141,-45,-131,-207,-217,-154,-85
54,-111,-165,28,109,-138,-45,-134,-208,-219,-160,-92
50,-109,-160,29,105,-135,-45,-134,-206,-218,-163,-98
48,-107,-156,30,101,-132,-45,-133,-201,-215,-164,-102
46,-106,-152,30,98,-129,-45,-129,-193,-209,-164,-104
44,-104,-147,30,95,-126,-43,-123,-183,-201,-162,-106
41,-102,-141,30,90,-122,-41,-115,-172,-192,-158,-107
38,-97,-134,29,85,-116,-38,-107,-159,-179,-152,-106
36,-91,-126,28,80,-109,-33,-98,-145,-166,-145,-104
32,-87,-119,28,74,-103,-28,-89,-130,-152,-136,-102
27,-84,-111,28,68,-97,-23,-79,-117,-139,-127,-98
23,-81,-104,28,63,-92,-19,-71,-105,-127,-118,-94
20,-78,-98,28,58,-88,-15,-63,-94,-116,-110,-89
17,-75,-91,28,54,-83,-11,-56,-84,-105,-103,-84
14,-72,-85,28,49,-78,-7,-50,-74,-95,-95,-79
12,-68,-78,28,44,-73,-4,-43,-63,-85,-88,-73
10,-62,-71,26,40,-67,-1,-35,-53,-75,-80,-68
9,-55,-64,23,35,-60,1,-28,-44,-65,-72,-62
6,-49,-56,21,30,-52,3,-22,-35,-56,-64,-57
5,-42,-48,19,26,-45,5,-16,-27,-47,-56,-50
4,-36,-40,16,22,-38,7,-12,-21,-40,-49,-44
3,-31,-34,14,18,-33,8,-8,-16,-35,-44,-39
3,-28,-30,12,15,-29,8,-6,-12,-30,-40,-35
2,-24,-25,11,12,-25,9,-4,-9,-26,-36,-31
1,-19,-19,9,9,-19,10,0,-4,-20,-30,-26
0,-13,-12,7,4,-12,11,4,3,-12,-23,-20
-1,-7,-5,5,0,-5,12,9,10,-3,-15,-14
-1,-1,0,1,-1,0,13,13,16,3,-8,-8
-1,2,3,0,-2,3,13,16,20,7,-4,-4
-2,3,4,-1,-3,4,13,17,21,9,-2,-2
-2,4,5,-1,-4,5,13,17,22,10,-1,0
-1,4,6,-2,-4,5,13,18,23,11,0,0
-1,5,8,-2,-5,6,13,19,24,12,0,1
-1,7,9,-3,-6,7,13,20,26,14,1,1
-1,8,10,-3,-6,8,12,22,27,15,2,2
-1,9,10,-3,-6,9,12,23,28,16,3,2
-2,8,10,-2,-7,9,12,23,29,16,3,3
-3,7,10,-1,-8,9,12,23,29,16,3,3
-2,8,11,-3,-8,10,13,24,29,17,3,3
0,10,11,-5,-7,11,13,25,30,18,4,4
0,10,12,-5,-7,11,14,25,30,18,5,5
-1,10,12,-5,-8,11,14,26,30,18,5,5
-2,10,12,-4,-9,11,14,26,30,18,4,4
-3,10,13,-4,-9,11,14,27,31,19,4,4
-2,11,13,-4,-8,12,14,27,31,19,4,4
-2,11,13,-4,-8,12,14,28,31,19,4,4
-2,11,13,-4,-8,12,14,28,31,19,5,5
-2,11,13,-4,-8,12,14,28,31,19,5,5
-2,10,13,-4,-8,12,14,28,31,20,5,5
-2,10,13,-4,-8,11,14,28,31,20,5,5
-2,10,13,-4,-9,12,14,28,32,19,4,5
-3,10,14,-3,-9,12,14,28,32,19,4,5
-3,11,14,-3,-9,12,14,29,32,19,4,5
-3,11,14,-4,-9,12,15,29,33,20,5,5
-3,11,14,-4,-9,12,15,29,33,20,5,5
-3,10,14,-4,-9,12,14,29,33,19,5,4
-3,10,14,-4,-9,12,14,29,33,19,5,4
-3,11,14,-4,-10,13,14,29,33,20,5,4
-3,11,15,-4,-10,13,14,29,33,20,5,4
-3,11,15,-4,-10,13,14,29,34,20,5,4
-3,11,15,-4,-10,13,14,29,34,20,5,4
-3,11,15,-4,-10,13,14,29,35,20,5,4
-4,11,15,-3,-10,13,14,29,35,20,5,4
-4,10,15,-3,-11,13,14,29,35,20,5,4
-5,9,15,-2,-11,13,14,29,35,19,4,3
-6,9,15,-2,-12,13,14,29,35,19,4,3
-4,10,15,-3,-11,13,14,29,35,19,5,4
-2,12,15,-5,-10,14,14,30,36,20,5,4
-2,13,16,-5,-11,14,15,30,36,20,5,5
-3,12,16,-4,-11,14,15,30,36,20,5,5
-4,12,16,-4,-11,14,15,30,37,20,5,5
-3,12,16,-4,-11,14,15,30,37,21,5,5
-3,12,16,-4,-11,14,15,30,37,21,5,4
-3,12,16,-4,-11,14,15,30,37,21,5,4
-3,12,16,-4,-11,14,14,30,37,21,5,4
-3,12,16,-4,-11,14,14,30,37,21,4,4
-4,11,16,-3,-11,14,14,30,37,21,4,3
-4,11,16,-3,-12,14,14,30,37,21,4,3
-5,11,16,-2,-12,14,13,30,37,21,4,3
