leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,-1,0,1,0,1,0,0,0,0
1,2,0,-2,0,1,0,2,1,0,-1,1
2,2,0,-3,1,1,0,3,1,0,-1,1
2,2,0,-3,1,1,0,4,1,0,-1,2
2,1,-1,-2,1,0,0,4,1,0,-1,3
2,-1,-3,-1,3,-2,-1,3,0,-1,-2,2
3,-3,-5,0,4,-4,-2,3,-1,-2,-2,2
4,-3,-7,0,6,-5,-3,2,-1,-2,-2,3
5,-4,-9,0,7,-6,-4,2,-1,-2,-1,4
2,-4,-7,1,4,-5,-4,2,-1,-2,-1,5
-1,-4,-4,3,1,-4,-6,2,-2,-2,-1,5
0,-4,-4,2,2,-4,-7,1,-3,-3,-1,5
4,-3,-8,0,6,-5,-7,0,-3,-3,0,6
8,-2,-10,-2,9,-6,-7,0,-3,-2,0,7
11,-1,-12,-4,11,-7,-7,0,-4,-2,0,8
13,-1,-14,-5,14,-8,-8,-1,-4,-3,0,8
15,-1,-16,-6,16,-9,-10,-2,-6,-4,0,8
17,0,-17,-8,17,-9,-11,-3,-7,-5,-1,8
18,1,-17,-9,17,-8,-11,-3,-7,-5,0,9
16,0,-16,-8,16,-8,-11,-3,-7,-5,0,10
14,-1,-15,-6,15,-8,-12,-3,-7,-5,1,11
13,-2,-16,-5,15,-9,-13,-5,-8,-6,0,11
13,-2,-16,-5,14,-9,-13,-5,-9,-5,1,11
14,0,-14,-6,14,-7,-12,-4,-8,-4,3,13
16,2,-14,-8,14,-6,-12,-4,-7,-3,4,14
17,2,-14,-9,15,-6,-13,-6,-8,-4,3,13
17,2,-15,-9,15,-6,-15,-7,-9,-5,2,13
17,2,-14,-9,15,-6,-16,-9,-10,-6,2,13
16,1,-14,-8,15,-6,-18,-10,-11,-7,1,13
16,0,-15,-8,15,-8,-19,-12,-12,-8,0,13
17,0,-16,-9,17,-8,-19,-12,-12,-8,1,13
17,1,-16,-9,17,-8,-18,-13,-12,-8,1,13
16,1,-13,-9,15,-6,-18,-13,-12,-8,1,13
15,2,-11,-8,13,-4,-18,-14,-12,-8,1,13
15,3,-10,-9,12,-3,-18,-13,-12,-7,1,14
16,5,-10,-10,12,-2,-17,-13,-11,-6,2,14
17,6,-9,-11,13,-1,-17,-13,-11,-6,2,14
