leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,5,5,-3,-2,5,-2,-5,-6,-5,-3,-6
0,13,13,-7,-6,13,-7,-12,-17,-13,-8,-16
0,17,18,-9,-9,18,-9,-17,-23,-18,-11,-22
0,19,20,-10,-10,20,-11,-20,-27,-20,-13,-26
0,21,21,-10,-11,21,-12,-22,-29,-22,-14,-29
0,21,22,-10,-11,22,-12,-23,-30,-22,-15,-30
-1,21,23,-10,-12,22,-12,-24,-31,-23,-16,-30
-1,21,23,-10,-12,22,-12,-24,-32,-23,-17,-30
-2,21,24,-10,-13,22,-13,-25,-32,-24,-18,-30
-2,21,24,-10,-13,22,-13,-25,-32,-25,-19,-30
-1,22,23,-11,-12,22,-13,-25,-32,-25,-19,-30
-1,22,23,-11,-12,22,-13,-24,-32,-25,-19,-30
-1,21,22,-10,-12,21,-13,-24,-32,-25,-19,-30
-1,21,22,-10,-11,20,-13,-24,-32,-24,-18,-30
-1,20,21,-10,-11,20,-13,-24,-32,-24,-18,-29
-2,19,21,-9,-11,20,-14,-25,-32,-25,-18,-29
-3,18,21,-7,-11,19,-15,-25,-32,-26,-18,-29
-3,17,20,-7,-11,19,-15,-25,-32,-26,-19,-29
-3,17,21,-7,-12,19,-14,-24,-32,-26,-18,-27
-3,18,22,-7,-12,20,-13,-23,-31,-25,-18,-26
-4,19,23,-7,-13,21,-13,-23,-30,-25,-19,-25
-3,19,23,-8,-13,21,-13,-23,-29,-26,-19,-24
-2,20,22,-9,-12,21,-12,-23,-29,-26,-18,-24
-2,20,22,-9,-12,21,-12,-23,-28,-25,-18,-24
-3,20,23,-9,-13,21,-11,-23,-28,-24,-17,-23
-3,20,24,-8,-14,21,-11,-22,-28,-24,-17,-22
-3,20,23,-8,-13,21,-10,-22,-28,-25,-18,-21
-2,20,22,-8,-12,21,-10,-22,-28,-25,-17,-21
-3,19,22,-7,-13,20,-10,-22,-29,-26,-17,-21
-3,17,21,-7,-13,19,-10,-22,-29,-26,-18,-22
-3,16,20,-7,-12,18,-10,-21,-30,-26,-18,-21
-3,16,20,-6,-12,18,-10,-20,-30,-26,-18,-21
-3,15,19,-6,-11,17,-10,-18,-29,-26,-19,-23
-3,16,19,-7,-11,17,-9,-15,-27,-25,-19,-24
-3,18,21,-7,-12,19,-8,-11,-23,-22,-18,-25
-5,20,25,-8,-14,23,-6,-5,-15,-16,-16,-23
-6,22,28,-8,-16,25,-4,0,-8,-10,-13,-20
-6,24,30,-9,-17,27,-4,3,-1,-4,-7,-16
-3,26,29,-11,-16,27,-5,7,6,4,1,-10
1,29,28,-16,-13,28,-5,13,17,16,12,-2
8,34,26,-21,-9,30,-6,22,32,33,27,9
14,38,24,-27,-5,31,-8,34,52,52,45,22
22,44,21,-33,0,32,-10,48,73,74,64,37
32,51,18,-42,7,34,-11,62,93,95,84,54
43,57,13,-50,15,35,-14,73,111,115,104,72
54,62,8,-58,24,35,-17,82,127,134,124,89
66,66,1,-66,33,34,-21,92,141,151,143,105
76,69,-6,-73,41,32,-24,99,152,165,160,119
85,72,-13,-79,49,30,-27,104,159,175,174,132
91,73,-18,-83,54,29,-29,105,162,182,184,142
94,74,-21,-84,58,27,-31,102,163,185,189,149
95,74,-22,-85,59,25,-33,93,160,182,188,150
94,73,-22,-84,59,25,-33,79,151,173,178,145
89,70,-19,-79,55,25,-30,59,135,156,160,133
75,65,-10,-70,44,26,-25,31,114,134,136,115
55,56,1,-56,27,28,-17,3,92,110,105,90
32,45,13,-39,9,29,-6,-17,72,85,68,56
8,34,25,-22,-9,30,5,-31,55,61,31,21
-10,25,34,-7,-23,30,13,-44,37,38,1,-6
-22,18,40,1,-31,30,16,-59,18,18,-19,-24
-29,15,43,7,-35,29,15,-75,0,1,-34,-36
-32,11,44,10,-37,27,11,-89,-19,-14,-44,-45
-34,6,41,14,-37,23,4,-100,-37,-27,-51,-50
-35,1,36,16,-35,18,-4,-109,-55,-38,-56,-53
-34,-2,31,17,-33,14,-11,-114,-69,-46,-59,-53
-33,-5,27,18,-30,11,-16,-114,-77,-50,-59,-52
-32,-7,23,18,-28,8,-18,-109,-80,-51,-57,-51
-30,-9,19,18,-24,5,-19,-100,-80,-51,-55,-49
-27,-10,15,18,-20,3,-18,-88,-78,-51,-52,-46
-23,-10,11,17,-16,0,-17,-76,-76,-52,-50,-43
-19,-11,8,15,-13,-1,-15,-65,-74,-52,-49,-40
-16,-10,6,14,-10,-2,-12,-53,-71,-52,-47,-36
-13,-9,4,11,-8,-2,-10,-42,-66,-51,-45,-32
-11,-7,3,8,-7,-2,-7,-33,-61,-50,-42,-28
-9,-5,3,7,-7,-1,-5,-24,-55,-47,-39,-25
-9,-3,4,5,-7,0,-3,-17,-49,-43,-36,-22
-9,-2,6,5,-7,2,-2,-12,-43,-39,-33,-19
-9,-1,7,5,-7,3,-3,-8,-39,-36,-31,-17
-9,-1,7,5,-7,3,-4,-6,-35,-33,-29,-15
-8,-1,7,5,-7,3,-4,-4,-33,-31,-27,-13
-7,0,7,4,-7,3,-4,-2,-31,-29,-26,-11
-6,1,7,2,-7,4,-4,-2,-30,-28,-25,-10
-6,2,8,2,-8,4,-4,-2,-29,-28,-25,-10
-7,2,9,2,-8,5,-4,-2,-28,-27,-24,-9
-8,3,10,2,-9,6,-4,-2,-28,-27,-23,-8
-7,3,10,1,-8,7,-4,-2,-27,-26,-23,-7
-6,4,10,0,-7,8,-4,-2,-27,-26,-23,-7
-5,5,10,0,-7,8,-5,-2,-26,-26,-23,-6
-3,6,10,-2,-6,8,-5,-2,-26,-25,-22,-6
-1,7,9,-3,-5,8,-5,-2,-26,-25,-22,-5
0,8,8,-4,-4,8,-5,-2,-26,-24,-21,-5
0,8,8,-4,-4,8,-4,-2,-25,-24,-21,-4
-2,7,9,-2,-6,8,-4,-2,-25,-23,-20,-2
-3,7,9,-2,-6,8,-4,-2,-24,-23,-20,0
-3,6,9,-2,-6,8,-5,-2,-24,-23,-20,1
-3,6,9,-1,-6,8,-5,-2,-25,-23,-20,2
-5,4,9,0,-7,7,-5,-2,-25,-23,-19,3
-6,3,9,1,-8,7,-5,-2,-26,-24,-19,2
-5,3,9,0,-7,7,-5,-2,-26,-24,-19,2
-4,5,9,-1,-7,7,-5,-1,-25,-24,-19,3
-4,6,10,-1,-7,8,-5,-1,-25,-24,-18,5
-4,6,9,-1,-6,7,-5,-2,-25,-24,-18,5
-4,5,9,0,-6,7,-5,-1,-24,-24,-18,6
-5,4,9,0,-6,7,-5,0,-23,-24,-18,6
-5,5,10,0,-7,7,-4,0,-22,-23,-18,7
-5,5,10,0,-7,7,-4,0,-22,-22,-18,7
-5,4,9,0,-7,6,-4,0,-22,-22,-18,7
-5,3,8,0,-7,6,-4,1,-22,-22,-18,7
-5,3,8,0,-7,6,-4,1,-22,-22,-17,8
-5,4,8,0,-7,6,-4,1,-22,-22,-17,8
-4,4,8,0,-7,6,-4,1,-22,-23,-17,8
-4,5,8,0,-6,6,-4,2,-22,-23,-17,8
-3,5,7,0,-5,6,-4,2,-21,-22,-17,8
-3,4,7,0,-5,6,-4,2,-21,-22,-17,8
-3,4,8,0,-5,6,-4,2,-21,-22,-17,7
-3,4,8,0,-6,6,-4,1,-21,-22,-17,7
-4,3,8,1,-6,5,-4,1,-21,-22,-16,7
-5,2,8,1,-6,5,-5,1,-21,-22,-16,7
-5,2,8,2,-6,5,-5,1,-21,-22,-17,7
-6,1,7,2,-7,4,-6,2,-21,-22,-18,7
-7,0,7,3,-7,4,-6,3,-21,-22,-19,6
-8,0,7,3,-8,4,-6,4,-21,-22,-19,6
-8,0,7,3,-8,4,-6,5,-20,-21,-18,6
-6,0,7,2,-7,4,-5,5,-20,-21,-18,7
-5,1,6,1,-6,4,-5,6,-19,-21,-18,7
-6,1,6,2,-6,4,-5,6,-19,-21,-18,7
-7,0,6,3,-7,3,-6,6,-19,-21,-19,7
-7,0,6,3,-7,3,-6,6,-19,-21,-19,8
-7,-1,6,4,-7,3,-6,7,-18,-20,-19,10
-7,-1,6,4,-7,3,-7,7,-18,-20,-19,10
-6,0,6,3,-6,3,-7,8,-17,-20,-19,11
-5,0,5,1,-5,3,-6,8,-16,-20,-19,11
-4,1,5,1,-4,3,-6,9,-16,-20,-19,12
-4,1,4,1,-4,2,-6,10,-15,-19,-19,12
-4,0,4,1,-3,2,-6,10,-15,-19,-18,12
-4,0,4,2,-3,2,-6,11,-15,-18,-18,12
-4,0,3,2,-3,2,-6,11,-15,-18,-18,12
