leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-1,0,1,0,0,2,0,4,0,0,0
-4,-3,0,4,-2,-1,3,-1,10,0,-2,-3
-8,-5,2,6,-5,-1,2,-3,11,-3,-5,-7
-11,-6,4,9,-8,-1,0,-5,11,-6,-9,-11
-13,-7,5,10,-9,-1,0,-6,14,-6,-11,-10
-11,-7,4,9,-7,-1,3,-5,20,-3,-9,-5
-6,-7,-1,6,-2,-3,8,-4,25,0,-4,1
-3,-8,-4,6,0,-6,11,-4,26,2,0,5
-5,-9,-4,7,0,-6,13,-2,25,4,2,6
-8,-9,-1,8,-3,-5,12,-2,20,3,-1,3
-11,-8,3,9,-7,-3,8,-3,13,0,-6,-2
-16,-8,7,11,-11,-1,4,-5,8,-4,-11,-6
-18,-9,8,13,-13,0,2,-6,7,-5,-14,-8
-15,-10,5,12,-10,-2,2,-7,10,-5,-15,-7
-10,-11,-1,11,-4,-6,4,-7,15,-3,-13,-5
-5,-12,-6,9,0,-8,6,-5,21,0,-10,-2
-2,-11,-8,7,2,-8,9,-2,25,4,-6,0
-1,-9,-7,6,3,-7,10,0,26,6,-3,0
-3,-7,-3,5,0,-4,10,3,24,6,-2,-1
-9,-6,3,7,-6,-2,9,4,21,5,-2,-2
-14,-8,6,11,-10,-2,6,5,18,4,-3,-3
-15,-10,5,12,-10,-3,6,7,20,5,-1,-1
-10,-10,0,10,-6,-5,7,10,25,9,3,4
-2,-9,-7,5,2,-7,9,14,29,13,8,9
7,-8,-15,1,10,-10,8,16,30,13,12,12
13,-6,-19,-3,15,-11,5,18,27,10,14,14
18,0,-18,-8,18,-8,0,21,20,5,14,16
22,7,-15,-14,18,-4,-5,24,11,-2,12,17
22,11,-11,-17,17,-1,-13,24,0,-11,8,18
21,13,-9,-18,16,0,-20,22,-9,-23,4,20
26,16,-10,-21,19,2,-25,18,-15,-33,0,26
33,21,-12,-27,23,4,-27,13,-19,-42,-3,31
37,26,-11,-31,25,7,-28,6,-21,-51,-8,31
36,29,-6,-31,21,12,-27,-3,-22,-59,-16,25
27,28,2,-27,12,16,-26,-15,-24,-66,-26,14
11,23,12,-17,0,18,-26,-28,-29,-74,-38,0
-4,17,20,-7,-12,19,-26,-40,-36,-81,-50,-13
-13,13,25,-1,-18,19,-26,-48,-40,-85,-58,-21
-16,11,25,1,-20,18,-22,-52,-38,-82,-60,-23
-16,9,25,3,-20,17,-17,-52,-33,-74,-55,-21
-13,10,24,1,-19,18,-12,-48,-26,-63,-46,-16
-9,12,23,-1,-16,18,-7,-41,-18,-51,-36,-11
-9,11,22,0,-15,17,-5,-36,-13,-42,-29,-10
-13,7,21,2,-16,14,-5,-32,-10,-37,-25,-12
-16,4,21,5,-18,12,-5,-29,-8,-33,-23,-14
-18,2,20,7,-18,11,-5,-25,-6,-29,-21,-14
-18,0,18,8,-17,9,-3,-21,-2,-25,-19,-12
-15,0,14,7,-14,7,0,-17,4,-18,-15,-7
-10,0,9,5,-9,4,2,-14,9,-12,-10,-3
-7,-2,6,5,-6,2,4,-12,13,-7,-5,-1
-7,-3,5,5,-6,1,4,-10,14,-5,-2,-2
-9,-3,6,6,-7,1,3,-9,13,-4,-1,-4
-13,-4,8,8,-10,1,2,-9,11,-4,-1,-6
-14,-3,10,8,-11,2,2,-8,10,-4,-2,-7
-13,-2,10,6,-10,3,3,-7,11,-3,-2,-7
-8,-2,6,5,-7,2,4,-7,13,-2,-2,-5
-4,-3,1,4,-3,0,6,-6,15,0,0,-2
-3,-4,0,4,-1,-1,7,-5,17,2,3,0
-5,-5,0,5,-2,-2,8,-3,18,4,5,1
-7,-5,1,6,-5,-1,8,-2,18,4,6,0
-11,-6,4,8,-7,-1,7,-2,16,2,5,-2
-13,-7,5,9,-9,-1,7,-3,14,1,3,-5
-14,-8,5,10,-10,-2,6,-4,12,0,1,-6
-11,-8,2,9,-7,-3,7,-4,13,1,1,-6
-6,-8,-1,7,-3,-4,9,-3,14,3,2,-4
-4,-7,-2,5,-2,-3,10,-2,15,5,4,-1
-4,-6,-1,5,-2,-2,11,-1,16,6,6,1
-6,-5,1,5,-4,-1,11,-1,16,7,7,3
-11,-5,6,7,-9,0,10,-1,15,7,7,1
-16,-6,10,10,-13,1,10,-1,13,6,5,-1
-16,-6,9,10,-13,1,9,-3,11,4,3,-3
-13,-6,5,9,-9,-1,9,-4,8,2,1,-5
-9,-7,1,8,-5,-2,10,-4,8,3,1,-3
-6,-6,0,7,-3,-2,11,-3,9,5,4,0
-5,-5,0,6,-3,-1,12,-3,9,7,6,2
-5,-5,1,6,-3,-1,11,-3,9,7,6,3
-8,-6,2,7,-5,-1,10,-3,7,6,5,1
-10,-6,4,8,-8,-1,9,-2,5,5,3,-1
-12,-5,7,8,-10,0,9,-2,5,4,2,-2
-12,-3,8,7,-11,2,10,-1,6,5,3,-2
-10,-2,7,6,-9,3,11,-1,7,6,4,-1
-8,-2,6,5,-8,3,12,-1,8,7,5,0
-7,-3,5,5,-7,2,11,-1,9,7,6,1
-5,-3,3,5,-5,1,10,-3,8,7,5,1
-6,-5,2,6,-4,-1,8,-5,6,5,3,-1
-9,-7,2,7,-5,-3,6,-6,3,2,1,-4
-12,-8,4,9,-7,-2,6,-5,1,2,0,-4
-13,-6,7,8,-9,0,7,-2,2,3,2,-2
-12,-4,8,7,-10,1,9,1,4,5,4,0
-10,-3,6,6,-8,1,11,2,6,7,5,3
-7,-3,5,5,-6,2,12,3,7,8,6,4
-7,-3,5,5,-6,2,12,4,7,8,6,5
-8,-3,6,5,-7,2,12,4,7,8,6,5
-10,-2,8,5,-9,3,10,3,6,7,5,3
-11,-1,10,5,-10,4,9,2,4,6,4,1
-12,-1,11,5,-11,4,8,2,2,5,3,0
-11,-1,10,5,-10,4,8,1,0,4,3,0
-10,-1,8,5,-9,4,8,0,-1,4,3,0
-9,-1,7,5,-8,4,8,0,-2,4,4,2
-8,-1,7,5,-8,4,9,0,-2,5,5,3
-8,-1,7,5,-7,4,8,0,-4,5,5,3
-8,-1,8,4,-8,4,8,-1,-8,5,5,2
-10,0,10,4,-9,5,8,-1,-11,5,5,2
-11,0,11,5,-10,5,7,0,-14,5,4,1
-12,-2,10,6,-10,3,6,0,-17,5,3,0
-11,-4,6,7,-8,1,6,0,-19,5,2,0
-7,-4,3,6,-5,0,6,0,-18,6,2,1
-6,-5,1,5,-3,-1,6,0,-14,6,2,1
-6,-5,1,6,-3,-1,5,0,-9,5,2,1
-7,-4,3,5,-5,0,6,1,-5,5,2,1
-4,1,6,1,-5,3,7,2,-1,7,3,2
-1,6,7,-3,-4,6,9,3,2,8,4,3
-4,4,9,-1,-6,6,9,3,4,7,3,3
-10,-1,9,5,-9,4,8,1,5,6,2,2
-13,-6,7,9,-10,1,8,1,6,6,2,2
-12,-7,5,9,-8,0,8,1,7,6,2,2
-9,-6,4,8,-6,0,7,2,8,6,2,2
-6,-3,3,5,-4,0,7,2,9,6,2,2
-4,0,5,2,-4,2,7,4,10,7,3,3
-5,4,10,0,-7,6,8,6,12,8,5,5
-8,4,12,1,-9,7,8,5,12,8,4,5
-9,0,9,4,-9,5,7,3,10,7,3,3
-9,-2,7,5,-8,3,5,1,9,6,2,3
-8,-2,6,5,-7,3,5,1,9,6,2,4
-8,-3,5,5,-6,2,5,0,10,6,2,4
-8,-3,5,5,-6,1,5,0,10,5,1,4
-6,-1,6,3,-6,2,5,1,10,5,2,4
-5,1,6,1,-6,2,5,2,9,5,2,4
-4,0,5,1,-5,2,4,1,8,4,1,3
-5,0,5,1,-5,1,3,1,7,4,0,2
-5,0,5,1,-5,3,4,2,9,5,2,3
-3,2,6,0,-4,5,5,4,12,7,4,5
-2,4,6,-1,-4,6,6,5,14,9,6,6
-2,4,6,-1,-4,6,6,5,14,8,6,6
-2,4,6,-1,-4,5,4,3,13,7,5,5
-6,2,8,1,-7,5,3,2,12,6,4,4
-8,0,9,3,-9,4,4,3,13,6,4,5
-8,1,9,2,-9,5,5,4,13,6,5,6
-6,2,9,1,-7,5,5,5,14,7,5,6
-4,2,8,0,-6,6,5,5,14,8,5,6
-4,2,7,1,-5,6,5,6,14,8,6,7
-4,1,6,1,-5,5,5,6,14,7,6,7
-5,1,6,2,-5,5,4,5,13,6,6,7
-5,1,7,2,-6,4,3,5,12,6,5,6
-5,1,7,1,-6,4,2,4,11,5,5,6
-5,2,7,0,-6,4,2,4,10,5,6,6
-4,3,7,0,-5,4,2,3,10,5,7,6
-4,2,7,0,-6,4,2,3,11,6,6,7
-7,1,9,2,-8,5,2,3,12,7,3,8
-7,2,10,2,-8,6,2,3,13,7,3,8
-5,4,10,0,-7,8,2,2,12,7,3,9
-3,6,10,-1,-7,9,2,2,12,6,3,9
-3,6,10,-2,-7,8,2,2,11,6,3,9
-3,6,9,-2,-6,8,2,3,11,6,3,9
-1,5,7,-2,-4,7,1,3,10,6,3,8
-1,5,6,-2,-3,6,2,4,11,7,3,7
-1,5,6,-2,-3,6,3,6,12,7,5,8
-1,5,6,-1,-3,6,3,7,13,8,6,8
0,5,6,-2,-3,6,3,7,13,7,6,9
-1,6,7,-3,-4,7,2,8,13,7,6,9
-3,6,9,-2,-6,8,2,9,13,8,7,10
-4,6,11,-2,-7,8,2,9,13,8,7,11
-4,7,11,-2,-7,8,3,10,13,9,7,11
-3,7,10,-2,-5,8,3,10,13,9,7,11
-1,6,7,-3,-3,6,1,9,11,8,7,11
1,5,5,-3,-1,5,0,8,10,8,7,10
1,6,5,-4,-1,6,1,7,10,8,7,11
1,8,8,-5,-3,8,3,7,11,8,8,12
0,8,9,-4,-4,9,3,7,11,8,7,12
-1,7,9,-3,-4,8,2,6,10,7,6,12
-1,7,8,-3,-4,7,1,5,9,6,5,11
-1,8,9,-4,-4,9,1,6,9,6,6,11
-1,9,10,-5,-5,10,2,7,10,7,7,11
0,9,10,-5,-5,10,2,7,10,8,8,12
0,9,10,-5,-5,10,2,7,9,8,8,12
-1,8,10,-4,-6,10,2,6,8,8,8,12
-2,8,11,-4,-7,10,2,6,8,7,8,12
-1,10,11,-5,-6,10,2,5,8,6,8,12
0,10,11,-5,-6,10,1,4,8,6,8,11
-1,10,11,-4,-6,10,1,5,9,6,8,11
0,10,11,-5,-5,10,2,6,9,7,9,12
1,9,10,-5,-4,9,2,5,9,7,8,12
1,9,9,-5,-4,9,1,5,10,7,7,11
1,10,9,-6,-3,9,2,6,11,8,8,12
1,10,9,-6,-3,10,3,7,11,8,8,12
0,9,9,-4,-4,9,3,7,11,8,8,12
-3,7,10,-2,-6,9,3,7,10,7,7,12
-4,6,10,-1,-7,8,3,7,11,7,6,12
-4,7,11,-1,-7,9,3,7,11,8,6,12
-2,8,10,-3,-6,9,2,7,11,8,6,12
1,8,7,-4,-3,7,1,6,11,7,5,11
3,7,4,-5,0,5,0,5,10,5,4,9
4,6,2,-5,0,4,0,4,10,5,4,9
2,6,4,-5,0,5,1,5,11,6,5,10
0,6,5,-4,-2,6,2,4,11,7,5,10
-1,4,5,-2,-3,5,2,3,11,7,5,9
-3,2,5,0,-4,3,1,2,10,6,4,7
-6,1,6,2,-6,4,2,1,10,6,4,8
-7,0,7,3,-8,4,2,1,10,6,4,7
-8,0,8,4,-8,4,1,1,9,6,3,7
-7,3,10,2,-9,7,3,3,9,7,4,7
