leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,0,0,1,0,1,3,4,4,2,-22
2,1,-1,-2,2,0,3,8,11,10,7,-58
3,3,0,-3,2,2,3,11,15,13,9,-79
4,6,1,-5,1,4,3,13,18,16,11,-91
4,8,3,-6,1,6,3,14,20,17,13,-97
4,8,3,-6,1,6,3,15,22,19,14,-101
5,8,2,-7,2,5,3,15,23,20,15,-102
6,7,0,-7,4,3,3,16,24,21,16,-102
7,6,-2,-7,5,2,3,16,25,22,17,-101
7,6,-1,-7,4,2,3,16,26,23,18,-100
7,8,0,-7,3,4,3,16,27,23,19,-99
7,9,1,-8,2,5,2,16,26,23,19,-98
9,10,1,-9,3,6,1,15,26,23,19,-98
10,11,0,-10,4,6,0,15,26,23,19,-97
11,10,-1,-10,6,5,-1,14,26,24,20,-96
13,10,-4,-11,8,3,-1,13,26,24,20,-95
13,9,-5,-11,9,2,-1,13,26,24,20,-93
12,9,-4,-11,8,3,-1,12,26,24,21,-92
10,10,0,-10,5,5,-1,12,26,25,22,-91
8,11,2,-9,3,7,-2,11,25,26,22,-90
8,11,3,-10,2,7,-2,10,25,25,22,-90
9,11,2,-10,3,7,-3,8,24,24,22,-90
9,11,1,-9,4,6,-3,7,23,24,22,-90
9,9,-1,-9,5,5,-4,5,21,23,21,-89
9,8,-2,-8,5,3,-4,4,20,22,21,-89
8,7,-2,-8,5,3,-5,2,18,21,20,-89
8,7,-2,-7,5,3,-5,0,16,19,18,-89
8,7,-1,-7,5,3,-5,-2,14,17,16,-90
8,7,-1,-7,4,3,-6,-5,11,15,15,-91
7,7,0,-6,3,3,-6,-7,9,14,13,-91
5,6,0,-5,3,3,-6,-8,7,12,12,-92
4,4,-1,-4,2,2,-6,-10,5,10,10,-93
3,3,-1,-3,2,1,-6,-11,4,9,8,-94
2,3,-1,-3,2,1,-5,-13,2,7,7,-95
1,2,-1,-2,1,1,-5,-14,0,5,5,-95
1,2,0,-1,1,1,-5,-16,-2,3,3,-96
1,1,0,-1,1,0,-6,-18,-4,1,1,-97
1,0,-1,0,1,0,-6,-20,-7,0,0,-98
0,0,-1,0,0,0,-5,-22,-8,-2,-1,-99
-1,-1,-1,2,0,0,-5,-23,-10,-3,-2,-99
-2,-2,-1,3,0,-1,-5,-24,-11,-5,-3,-100
-3,-3,-1,3,0,-1,-6,-25,-12,-6,-5,-100
-3,-3,-1,4,0,-2,-6,-26,-14,-8,-6,-101
-3,-4,-1,4,-1,-2,-7,-28,-16,-9,-8,-101
-3,-4,0,4,-1,-2,-7,-30,-18,-11,-9,-102
-4,-4,0,4,-2,-1,-7,-31,-19,-12,-11,-102
-5,-4,0,5,-2,-1,-7,-32,-21,-14,-12,-103
-6,-5,1,6,-3,-2,-6,-33,-21,-15,-13,-103
-7,-6,1,7,-3,-2,-6,-33,-22,-15,-13,-103
-7,-7,0,7,-3,-3,-5,-33,-22,-15,-13,-103
-8,-7,0,8,-3,-3,-5,-33,-23,-16,-14,-103
-8,-8,0,8,-3,-4,-4,-34,-24,-17,-15,-103
-8,-8,-1,8,-3,-4,-4,-35,-24,-17,-15,-103
-8,-9,-1,8,-3,-4,-4,-35,-25,-18,-16,-102
