leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-2,0,1,1,-2,0,0,-2,-1,-1,0,0
-4,0,4,3,-4,1,0,-4,-2,-2,-1,-1
-6,-1,5,4,-6,2,1,-3,-2,-2,-1,-2
-8,-1,7,4,-8,3,3,0,0,-2,-1,-3
-8,-1,7,5,-8,3,4,2,1,-1,0,-3
-9,-2,7,6,-9,2,6,4,3,0,0,-3
-10,-3,7,7,-9,2,7,6,4,1,0,-3
-10,-3,6,7,-8,1,8,7,5,2,0,-3
-10,-4,6,7,-8,1,8,8,6,2,1,-3
-11,-4,6,8,-9,1,9,9,7,3,1,-3
-11,-4,7,9,-9,1,9,10,7,3,2,-3
-11,-4,7,9,-10,1,9,10,7,3,2,-3
-12,-4,7,9,-10,1,10,11,8,3,2,-3
-13,-5,8,10,-11,1,11,12,9,4,2,-3
-14,-5,9,10,-11,1,12,12,10,4,3,-2
-14,-5,8,10,-11,1,12,13,10,4,3,-2
-14,-5,8,10,-11,1,12,13,10,4,3,-2
-13,-4,8,9,-10,1,12,13,10,4,3,-2
-12,-4,7,8,-9,1,12,13,10,3,2,-2
-11,-4,6,8,-9,1,12,13,9,3,2,-2
-11,-4,6,8,-9,0,11,13,9,3,1,-3
-11,-4,5,8,-9,0,11,13,9,3,1,-3
-11,-5,6,9,-9,0,11,14,9,4,1,-3
-12,-5,6,9,-9,0,12,14,10,4,2,-3
-13,-5,6,10,-10,0,12,14,10,5,2,-3
-13,-5,6,10,-9,0,12,14,10,5,2,-3
-13,-5,6,10,-9,0,12,14,10,5,2,-3
-13,-5,7,10,-10,0,12,15,10,5,2,-3
-13,-5,7,10,-10,0,12,15,10,5,2,-2
-13,-5,7,10,-10,0,12,15,10,5,2,-2
-12,-6,6,10,-9,-1,11,15,10,5,2,-3
-11,-6,5,9,-8,-1,11,15,10,5,2,-3
-11,-6,4,9,-8,-1,11,15,10,5,2,-4
-10,-6,4,8,-7,-1,11,15,9,5,1,-4
-11,-6,4,8,-8,-1,11,15,9,5,1,-4
-11,-6,5,8,-8,0,11,15,9,5,1,-3
-12,-5,5,8,-8,0,11,15,10,5,1,-3
-12,-5,5,9,-8,0,11,15,10,5,1,-2
-12,-6,5,9,-8,-1,12,15,10,6,2,-2
-12,-6,4,9,-8,-1,12,15,10,6,2,-2
-11,-6,4,9,-8,-1,11,15,10,7,2,-2
-11,-6,5,9,-8,-1,11,15,10,7,2,-2
-12,-6,6,9,-8,0,11,16,10,7,3,-1
-12,-6,6,9,-9,0,11,16,10,7,3,-1
-12,-6,6,9,-9,0,11,16,10,7,3,-1
-12,-5,6,9,-8,0,11,16,10,7,2,-1
-11,-5,5,8,-7,-1,11,16,10,6,2,-1
-10,-5,4,8,-7,-1,11,16,10,6,1,-2
-10,-5,4,8,-7,-1,11,16,10,6,1,-2
-10,-5,4,8,-7,-1,11,17,10,6,1,-2
-10,-5,4,8,-7,-1,11,17,9,6,1,-2
-10,-5,4,8,-7,-1,10,16,9,6,1,-2
-9,-5,4,8,-6,0,10,16,9,6,1,-2
-9,-4,4,7,-6,0,10,16,9,6,1,-1
-9,-4,4,7,-6,0,10,16,9,6,1,-1
-9,-4,4,7,-7,0,10,17,9,7,2,-1
-10,-4,5,7,-7,0,10,17,10,7,2,0
-10,-4,5,7,-7,0,10,17,10,8,3,0
-9,-4,4,6,-7,0,10,17,10,8,3,0
-8,-4,4,6,-6,0,10,18,10,8,3,0
-8,-4,4,6,-6,0,10,18,11,8,4,1
-8,-4,4,6,-6,0,9,18,11,8,4,1
-7,-3,4,6,-5,0,9,18,11,9,4,1
-7,-3,3,5,-5,0,9,18,11,9,4,2
-7,-3,3,5,-5,0,9,18,12,10,5,2
-6,-3,3,5,-4,0,8,19,12,10,5,2
-5,-2,2,4,-4,0,8,19,12,10,5,2
-5,-2,3,4,-4,0,7,19,12,10,5,2
-5,-1,4,4,-5,0,7,20,12,11,5,2
-5,-1,4,3,-4,1,7,20,13,12,6,3
-3,0,3,2,-3,1,7,20,13,13,7,4
-2,0,2,1,-2,0,6,20,14,14,7,4
-1,0,1,1,-1,0,6,20,14,14,8,5
0,0,1,0,0,0,6,20,14,15,9,6
0,0,1,0,0,0,6,20,15,16,10,6
0,1,1,0,0,0,5,21,15,17,11,7
1,1,0,0,1,0,5,21,16,18,12,8
2,1,-1,-1,2,0,4,21,16,19,12,8
2,2,0,-1,1,1,4,22,17,19,13,9
2,2,1,-1,0,1,4,22,17,20,14,10
3,3,0,-2,2,1,4,21,17,20,14,11
4,3,-1,-3,3,1,3,21,18,21,14,11
4,4,0,-3,2,1,2,22,18,21,15,11
4,4,0,-4,2,1,2,22,18,22,16,12
6,4,-1,-5,3,0,1,21,18,22,16,12
7,5,-3,-6,5,0,1,21,19,22,16,12
7,5,-3,-6,5,0,1,22,20,23,16,13
7,5,-2,-6,5,1,1,22,20,24,17,14
8,6,-2,-6,5,2,0,22,20,24,17,15
8,8,-1,-7,5,3,0,21,19,25,18,15
8,10,1,-8,4,5,-1,21,19,25,18,15
8,10,2,-8,3,5,-1,21,19,25,18,15
8,9,0,-8,4,4,-1,21,20,26,19,15
9,8,-1,-8,5,2,-1,21,21,27,20,16
9,7,-2,-7,6,1,-1,21,21,27,21,17
9,6,-3,-7,6,1,-1,21,22,28,21,17
9,6,-3,-7,6,1,-1,21,21,28,21,17
9,6,-3,-7,6,1,-2,21,21,28,20,17
9,7,-3,-7,6,1,-2,21,22,27,20,17
10,8,-3,-8,6,1,-2,20,22,27,20,17
10,9,-2,-9,5,2,-2,20,21,26,20,16
10,9,-1,-9,5,3,-2,19,21,26,20,16
10,9,-2,-9,6,3,-2,18,20,25,19,15
10,10,-1,-9,6,4,-2,17,20,25,18,15
10,10,-1,-9,5,4,-2,17,19,24,17,14
