leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
4,0,-3,-2,4,-1,3,4,0,1,0,-1
7,1,-6,-4,7,-2,5,8,2,2,1,-4
4,1,-3,-2,3,-1,-2,3,3,3,2,-6
-3,1,4,1,-4,3,-13,-8,6,5,5,-6
-11,1,13,5,-12,7,-20,-19,11,7,9,-4
-17,1,18,7,-17,10,-20,-24,14,9,13,0
-14,2,16,5,-15,9,-12,-21,15,10,14,3
-3,4,8,-1,-5,6,-1,-12,13,9,13,3
9,5,-3,-7,6,2,6,-2,9,7,9,1
15,5,-10,-10,12,-2,7,4,6,5,6,-2
11,2,-8,-6,9,-2,0,2,4,4,4,-4
0,0,0,0,0,0,-10,-7,4,3,4,-5
-11,-2,8,6,-10,3,-19,-18,7,3,6,-5
-18,-3,14,10,-16,4,-22,-26,9,3,8,-2
-16,-2,14,9,-15,5,-17,-26,10,4,9,0
-9,0,9,4,-9,5,-7,-17,10,4,9,1
1,1,1,-1,0,2,3,-6,8,3,7,0
9,2,-7,-5,8,-1,7,2,5,1,3,-3
12,2,-9,-7,10,-3,3,3,3,1,1,-6
6,1,-4,-4,5,-1,-5,-3,4,1,1,-8
-7,1,7,2,-7,4,-13,-12,7,3,4,-7
-20,0,20,9,-20,9,-17,-20,11,5,8,-3
-25,0,24,12,-25,11,-15,-23,13,5,10,0
-21,0,21,10,-21,9,-7,-18,13,5,10,2
-13,0,13,6,-13,6,2,-8,11,4,9,2
-5,0,6,3,-6,4,8,0,8,2,6,0
-2,0,3,1,-3,3,8,4,6,1,3,-3
-6,0,7,3,-7,5,1,0,5,1,2,-4
-15,-1,14,8,-15,7,-9,-10,6,1,3,-5
-26,-6,20,16,-24,6,-17,-21,6,0,3,-6
-32,-9,21,20,-28,5,-18,-27,7,0,3,-5
-28,-9,17,18,-23,3,-12,-25,7,0,3,-5
-17,-8,7,12,-12,0,-2,-16,6,-1,2,-5
-5,-7,-1,6,-2,-3,5,-7,4,-2,0,-7
1,-5,-4,2,2,-3,7,-1,3,-2,-1,-9
1,-2,0,1,0,0,3,0,3,-1,-1,-9
-7,-2,7,5,-8,3,-5,-8,4,0,0,-10
-19,-5,15,12,-18,4,-13,-19,5,0,1,-9
-26,-7,18,16,-23,4,-17,-26,6,-1,1,-9
-25,-7,17,15,-22,4,-13,-28,7,-1,1,-8
-20,-6,13,13,-17,3,-4,-21,6,-1,1,-7
-14,-7,7,11,-11,1,4,-11,5,-1,0,-7
-8,-9,1,9,-5,-2,8,-4,3,-2,-1,-7
-6,-10,-2,9,-3,-4,5,-4,1,-3,-2,-8
-11,-10,2,11,-7,-3,-3,-10,1,-3,-2,-8
-21,-10,11,15,-16,0,-10,-19,3,-2,0,-6
-30,-10,20,19,-25,3,-14,-26,5,-1,2,-3
-35,-9,24,21,-29,5,-12,-29,6,0,4,-1
-31,-9,20,19,-26,4,-5,-25,6,0,4,-1
-22,-9,12,15,-17,2,2,-17,5,-1,2,-1
-14,-9,6,12,-10,0,8,-9,4,-1,1,-2
-11,-8,4,11,-8,0,7,-5,3,-1,1,-3
-14,-8,8,12,-11,1,1,-8,3,0,1,-3
-22,-9,14,15,-19,3,-7,-16,4,0,2,-3
-28,-9,19,18,-24,3,-14,-25,4,0,2,-2
-29,-9,19,18,-24,3,-16,-31,4,-1,2,-2
-24,-8,14,15,-20,2,-12,-31,3,-2,2,-2
-15,-7,7,10,-12,1,-4,-23,2,-2,2,-2
-9,-5,4,7,-7,1,4,-13,3,-1,2,0
-10,-3,8,7,-9,4,8,-5,5,1,4,1
-16,-2,15,10,-16,8,7,-3,7,3,6,3
-24,-2,23,13,-24,11,0,-8,8,4,7,3
-31,-2,28,16,-30,12,-7,-16,9,5,8,3
-35,-2,31,17,-33,12,-10,-23,10,5,8,3
-33,-2,30,17,-32,12,-8,-24,11,6,9,4
-26,-1,24,13,-26,11,0,-17,12,7,9,5
-17,0,17,8,-18,10,8,-7,13,8,9,5
-10,0,12,5,-11,9,12,0,12,7,8,4
-6,1,10,3,-9,9,11,2,12,7,7,5
-9,5,15,2,-13,11,6,-1,13,8,8,7
-16,7,23,3,-20,14,0,-9,14,8,10,10
-24,4,27,8,-26,14,-5,-16,14,7,11,11
-28,2,28,12,-28,13,-5,-19,14,7,11,13
-24,2,25,10,-25,13,1,-15,15,8,12,15
-16,5,20,5,-18,14,9,-5,16,9,13,17
-8,6,15,1,-12,13,14,3,17,10,13,17
0,8,10,-2,-6,11,13,6,16,10,12,17
3,10,9,-6,-3,11,6,3,14,9,11,16
0,11,12,-5,-6,12,-3,-6,13,8,11,15
-8,11,18,-2,-13,13,-9,-14,13,9,11,16
-16,11,25,1,-20,16,-10,-17,14,10,12,17
-16,11,24,2,-20,15,-6,-16,15,11,13,19
-8,9,16,-1,-12,13,1,-9,14,11,12,19
1,8,7,-5,-3,10,6,-2,11,10,11,18
8,7,1,-7,3,7,6,1,8,7,9,16
8,5,-1,-6,5,4,1,0,5,5,7,15
5,3,-1,-3,4,1,-7,-7,3,3,5,13
2,2,0,-2,1,0,-12,-14,3,2,5,13
-3,1,3,0,-3,0,-13,-18,4,2,6,13
-9,0,7,3,-8,1,-9,-17,6,3,7,14
-9,0,8,4,-9,3,-1,-11,7,5,8,15
-5,0,5,3,-5,3,5,-3,7,5,8,14
-1,-1,2,2,-2,2,8,2,7,5,7,13
0,-2,0,2,0,1,6,3,6,4,7,11
-3,-3,1,4,-3,0,-2,-2,5,3,6,10
-12,-4,7,7,-10,1,-11,-13,6,3,7,10
-22,-4,16,12,-20,4,-17,-22,7,4,8,11
-33,-5,25,18,-29,8,-20,-31,9,4,10,13
-41,-7,31,23,-36,10,-21,-38,11,5,11,13
-45,-10,35,27,-40,12,-22,-42,13,5,12,14
-49,-12,38,31,-44,14,-23,-47,17,6,14,16
-52,-14,40,34,-46,15,-24,-52,20,8,17,19
-57,-15,44,37,-51,16,-27,-60,22,9,19,21
-65,-16,49,40,-58,17,-31,-70,23,10,21,23
-72,-16,55,43,-64,19,-31,-76,25,12,23,25
