leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,0,0,0,0,0,0,0,-2,0
0,-2,-1,1,1,-1,1,1,0,-1,-6,-2
0,-3,-2,2,1,-2,1,2,0,-2,-8,-2
-1,-3,-2,2,1,-2,1,2,0,-3,-10,-3
-1,-3,-1,2,0,-1,1,2,0,-3,-10,-3
-2,-3,0,2,0,-1,1,3,0,-3,-11,-3
-2,-2,0,2,0,-1,1,3,0,-4,-11,-2
-2,-2,0,2,0,-1,1,3,0,-4,-10,-2
-2,-2,0,2,0,-1,1,3,0,-4,-10,-1
-2,-2,0,2,0,-1,1,3,0,-4,-10,0
-2,-2,0,2,0,-1,1,3,0,-4,-9,0
-2,-1,0,2,0,-1,1,3,0,-3,-9,0
-2,-1,0,2,0,0,1,3,0,-3,-8,0
-2,-1,0,2,0,0,1,3,0,-3,-8,1
-2,-1,0,2,0,0,1,4,1,-3,-7,1
-2,-1,0,1,0,0,1,4,1,-3,-7,2
-2,-1,0,1,0,0,1,4,1,-3,-7,2
-2,-1,0,1,0,0,1,4,1,-3,-7,3
-2,0,1,1,0,0,1,4,1,-2,-7,3
-2,0,1,1,0,0,1,4,1,-2,-7,3
-2,0,1,1,0,0,1,4,1,-2,-7,3
-1,0,1,1,0,0,1,4,1,-2,-7,3
-1,0,1,1,0,0,1,3,1,-2,-7,3
0,0,1,0,0,0,1,3,1,-2,-7,4
0,0,0,0,1,0,1,5,3,-1,-7,4
0,0,0,0,1,0,2,9,5,0,-7,4
1,0,0,-1,2,0,4,15,11,2,-5,5
3,2,-1,-2,3,0,5,21,17,7,-1,7
6,4,-2,-5,5,1,4,23,23,14,6,12
10,7,-2,-9,7,2,0,18,24,21,16,17
14,11,-2,-12,9,3,-7,5,21,29,28,24
18,15,-2,-16,11,6,-16,-10,15,38,41,32
22,21,-1,-21,12,9,-23,-23,12,48,55,40
26,28,1,-27,13,15,-29,-34,10,61,71,49
29,36,6,-32,12,22,-33,-44,8,75,87,59
31,43,12,-36,10,28,-37,-56,1,83,99,66
31,47,16,-39,9,32,-44,-71,-15,82,102,70
29,48,18,-38,7,33,-52,-85,-36,71,94,68
24,45,20,-34,3,32,-58,-95,-57,52,77,62
16,40,23,-28,-2,32,-62,-102,-74,30,55,52
7,35,27,-20,-10,31,-63,-104,-85,9,32,42
-2,29,30,-13,-16,30,-61,-102,-91,-8,13,31
-9,24,32,-7,-21,29,-56,-96,-90,-20,-2,21
-13,20,33,-3,-23,27,-51,-88,-85,-27,-13,13
-15,17,33,-1,-24,26,-45,-78,-78,-31,-18,7
-16,15,32,0,-23,24,-39,-67,-69,-33,-22,3
-15,13,29,1,-22,21,-33,-57,-60,-33,-23,1
-15,11,26,1,-20,19,-28,-48,-52,-32,-24,-1
-14,10,24,2,-19,17,-24,-41,-44,-30,-24,-2
-13,9,21,2,-17,15,-21,-35,-38,-27,-23,-3
-12,7,18,2,-15,13,-18,-30,-32,-24,-22,-4
-10,6,16,2,-13,11,-15,-25,-27,-21,-20,-4
-9,4,13,2,-11,9,-12,-20,-21,-18,-19,-5
-7,3,10,2,-8,7,-8,-14,-15,-15,-17,-5
-6,3,9,1,-6,5,-5,-9,-9,-12,-14,-5
-5,3,7,1,-5,4,-2,-4,-4,-9,-12,-5
-4,3,6,1,-5,4,0,-1,0,-6,-11,-4
-3,3,5,1,-4,4,1,1,2,-5,-9,-4
-3,3,5,0,-4,4,2,2,3,-4,-8,-4
-2,3,4,0,-3,4,2,2,3,-3,-8,-4
-2,2,4,0,-3,3,2,3,4,-2,-8,-5
-2,2,4,0,-2,3,3,4,4,-2,-8,-5
-2,2,4,0,-2,3,3,4,5,-2,-8,-6
-2,2,4,0,-3,3,4,5,5,-2,-8,-6
-1,2,4,0,-3,3,4,5,6,-2,-8,-6
-1,2,4,-1,-3,3,4,6,6,-1,-8,-6
-1,3,4,-1,-3,3,4,6,7,-1,-9,-6
-1,3,4,-1,-3,3,4,6,7,-1,-9,-6
-1,3,4,-1,-2,3,4,6,7,-1,-9,-6
-1,3,4,-1,-2,4,4,6,7,-1,-9,-6
-1,3,4,-1,-2,4,5,6,7,-1,-9,-6
-1,3,4,-1,-2,4,5,6,7,-1,-9,-6
-1,3,4,-1,-2,4,5,5,7,-1,-8,-6
0,3,4,-1,-2,4,5,5,7,-1,-8,-6
0,3,4,-1,-2,4,5,4,7,-1,-7,-7
0,3,4,-1,-2,4,5,4,7,-1,-7,-7
0,3,4,-1,-2,4,5,4,7,-2,-7,-8
0,3,4,-1,-2,4,5,4,7,-2,-7,-8
0,3,4,-1,-2,4,5,5,7,-2,-6,-9
0,3,4,-1,-2,4,5,5,7,-2,-6,-9
0,3,4,-2,-2,4,5,6,7,-2,-6,-9
0,4,4,-2,-2,4,5,6,7,-2,-6,-9
0,4,4,-2,-2,4,5,7,7,-2,-6,-9
0,4,4,-2,-2,4,5,7,7,-2,-6,-9
0,4,4,-2,-1,4,5,8,7,-2,-6,-9
0,4,4,-2,-1,4,5,8,7,-2,-6,-8
0,4,4,-2,-1,4,5,8,7,-2,-6,-7
0,4,4,-2,-1,4,5,8,7,-2,-6,-6
0,4,4,-2,-1,4,5,8,7,-2,-5,-5
0,4,4,-2,-1,4,5,8,7,-2,-5,-4
0,4,4,-2,-1,4,5,7,6,-1,-5,-3
0,4,4,-2,-1,4,4,7,6,-1,-5,-3
0,4,4,-2,-1,4,4,6,6,0,-4,-2
0,4,4,-2,-1,4,4,6,6,0,-4,-1
0,4,4,-2,-1,4,4,5,6,0,-4,0
0,4,4,-2,-1,4,4,5,6,0,-3,0
0,4,4,-2,-1,4,4,5,6,0,-3,1
0,4,4,-2,-1,4,4,5,6,0,-2,2
0,4,4,-2,-1,4,4,5,6,1,-2,3
0,5,4,-3,-1,4,4,5,6,1,-1,4
0,5,4,-3,-1,4,4,5,6,2,-1,5
0,5,4,-3,-1,4,4,5,6,2,0,5
0,5,4,-3,-1,4,4,6,6,3,0,6
0,5,4,-3,-1,4,4,6,6,3,0,7
0,5,4,-3,-1,4,4,6,7,4,1,8
0,5,4,-3,-1,4,4,7,7,4,1,8
1,5,4,-3,-1,4,4,7,8,5,2,9
1,5,4,-3,-1,4,4,7,8,5,2,9
1,5,4,-3,-1,4,4,7,9,6,3,10
1,5,4,-3,-1,4,4,7,9,7,3,10
1,5,4,-3,-1,4,4,7,10,7,4,11
1,5,4,-3,-1,4,4,7,11,8,4,11
1,5,4,-4,-1,4,4,7,12,8,5,12
1,6,4,-4,-1,4,4,7,13,9,5,12
2,6,4,-4,-1,4,4,8,14,9,6,13
2,6,4,-4,-1,4,3,8,15,10,7,13
2,7,4,-4,0,5,3,8,16,11,8,13
2,7,4,-4,0,5,2,8,17,12,8,14
3,7,4,-5,0,5,2,9,18,13,9,14
3,7,4,-5,0,5,2,10,19,14,9,15
3,7,4,-5,0,5,2,10,20,15,10,15
3,7,4,-5,0,5,2,11,21,16,11,16
3,7,4,-5,0,5,3,11,22,17,12,16
3,7,4,-5,0,5,3,12,23,17,13,17
4,8,4,-5,0,5,3,12,24,18,13,17
4,8,4,-5,0,5,3,13,25,20,14,18
