leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-7,-8,-1,7,-3,-5,-2,-4,-4,-4,-4,-4
-18,-21,-3,20,-8,-12,-7,-10,-11,-11,-11,-10
-25,-28,-2,27,-11,-16,-9,-14,-15,-15,-15,-14
-29,-31,-1,30,-14,-17,-11,-17,-18,-18,-18,-16
-32,-33,-1,32,-15,-17,-12,-18,-20,-20,-19,-18
-33,-35,-2,34,-15,-18,-12,-19,-21,-21,-20,-19
-33,-36,-3,34,-14,-19,-12,-20,-22,-21,-21,-19
-32,-37,-4,34,-13,-20,-11,-20,-22,-22,-21,-19
-32,-38,-6,35,-13,-22,-11,-20,-22,-22,-21,-20
-32,-39,-7,35,-12,-23,-10,-19,-22,-22,-22,-20
-31,-39,-7,35,-12,-23,-10,-19,-22,-22,-22,-20
-30,-38,-8,34,-11,-23,-9,-18,-22,-22,-23,-20
-29,-38,-8,33,-10,-23,-8,-18,-22,-23,-24,-21
-29,-39,-9,34,-10,-24,-7,-17,-23,-24,-25,-22
-31,-40,-9,35,-10,-24,-6,-17,-23,-24,-25,-23
-31,-41,-9,36,-11,-24,-5,-16,-23,-25,-25,-24
-31,-41,-9,35,-11,-24,-5,-16,-23,-25,-25,-24
-30,-41,-9,35,-11,-25,-5,-16,-23,-25,-25,-24
-30,-40,-9,35,-11,-25,-5,-16,-23,-25,-25,-24
-31,-40,-8,35,-12,-24,-5,-16,-23,-25,-25,-24
-31,-39,-7,35,-12,-24,-5,-16,-23,-25,-25,-25
-31,-39,-7,35,-12,-23,-5,-16,-23,-25,-25,-25
-31,-38,-7,35,-11,-23,-5,-16,-23,-25,-25,-25
-31,-38,-7,35,-11,-23,-4,-16,-23,-25,-25,-25
-30,-38,-7,34,-11,-23,-4,-16,-23,-25,-25,-25
-29,-37,-7,32,-10,-22,-3,-15,-23,-25,-25,-24
-28,-36,-7,31,-10,-22,-3,-15,-23,-24,-25,-24
-27,-35,-7,30,-9,-21,-2,-15,-23,-24,-25,-24
-26,-34,-7,30,-9,-21,-2,-15,-23,-24,-25,-23
-26,-33,-7,29,-9,-20,-1,-15,-22,-24,-24,-23
-24,-31,-7,27,-8,-19,-1,-14,-21,-23,-23,-22
-22,-29,-7,25,-7,-18,-1,-14,-21,-22,-23,-21
-21,-29,-7,25,-7,-18,-1,-13,-20,-22,-23,-21
-22,-30,-7,26,-7,-18,-1,-13,-20,-22,-23,-21
-21,-29,-7,25,-7,-18,0,-12,-20,-21,-22,-21
-18,-26,-7,22,-5,-17,0,-11,-19,-20,-21,-20
-14,-22,-7,18,-4,-16,1,-10,-17,-19,-20,-19
-14,-21,-7,18,-3,-15,2,-10,-17,-19,-20,-19
-15,-22,-7,19,-4,-15,1,-10,-17,-19,-20,-19
-15,-22,-7,19,-4,-15,1,-10,-17,-19,-20,-19
-14,-22,-7,18,-3,-14,1,-10,-17,-19,-19,-19
-13,-21,-7,17,-2,-14,2,-10,-16,-18,-19,-18
-13,-21,-7,16,-2,-14,2,-10,-17,-18,-19,-18
-12,-20,-7,15,-2,-14,2,-9,-16,-18,-19,-18
-10,-18,-7,13,-1,-13,3,-9,-16,-17,-18,-18
-9,-16,-7,13,-1,-12,3,-8,-16,-17,-18,-18
-10,-16,-6,13,-2,-12,3,-8,-16,-17,-18,-18
-11,-16,-6,14,-3,-11,4,-7,-15,-17,-18,-18
