leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,-1,0,1,-1,-13,2,-1,5,4,1
1,0,-2,0,1,-1,-34,5,-4,12,9,3
1,0,-1,-1,0,0,-46,6,-7,14,11,3
0,2,1,-1,-1,2,-53,5,-10,15,11,3
0,2,2,-1,-1,2,-56,5,-13,14,9,2
1,2,1,-1,0,1,-58,4,-16,13,7,1
1,1,0,-1,0,1,-59,3,-19,12,4,0
0,2,2,-1,-1,1,-60,1,-22,10,1,-1
-1,1,3,0,-2,2,-60,0,-25,8,-1,-3
-3,0,3,1,-3,1,-60,-1,-27,6,-5,-5
-4,-1,2,2,-3,0,-59,-2,-29,4,-7,-6
-5,-3,1,4,-3,-1,-57,-3,-30,2,-9,-6
-5,-4,1,5,-3,-1,-56,-4,-32,1,-11,-7
-5,-4,1,5,-3,-1,-56,-5,-34,0,-13,-8
-5,-4,1,5,-3,-1,-55,-6,-36,-1,-15,-10
-5,-5,0,5,-3,-2,-55,-7,-37,-2,-17,-11
-6,-7,-1,6,-2,-4,-54,-8,-38,-3,-18,-11
-5,-9,-4,6,0,-6,-54,-9,-39,-4,-19,-12
-5,-8,-3,6,0,-5,-54,-10,-40,-5,-21,-13
-5,-7,-1,5,-1,-4,-54,-11,-41,-6,-23,-14
-5,-6,0,5,-2,-3,-53,-12,-41,-7,-24,-14
-6,-6,0,6,-3,-3,-52,-12,-41,-7,-24,-14
-8,-7,0,8,-4,-3,-52,-11,-41,-7,-24,-14
-9,-9,0,9,-4,-4,-51,-11,-41,-7,-25,-15
-9,-11,-2,9,-3,-6,-51,-11,-42,-7,-26,-15
-9,-12,-4,10,-2,-7,-51,-11,-42,-7,-27,-16
-9,-11,-2,10,-3,-6,-51,-12,-42,-8,-28,-17
-10,-9,0,9,-5,-4,-51,-12,-43,-8,-29,-18
-10,-8,1,9,-6,-2,-50,-12,-43,-9,-30,-18
-9,-8,1,8,-5,-2,-50,-13,-44,-10,-31,-19
-8,-8,0,8,-4,-3,-50,-13,-44,-11,-31,-20
-7,-9,-1,8,-3,-4,-50,-13,-45,-11,-31,-21
-8,-10,-1,9,-3,-5,-50,-13,-45,-11,-31,-21
-9,-10,-1,9,-4,-5,-50,-13,-45,-11,-32,-21
-10,-10,0,9,-4,-5,-50,-13,-45,-11,-32,-22
-10,-10,0,9,-4,-5,-50,-13,-45,-11,-33,-22
-9,-10,0,9,-4,-5,-50,-13,-45,-11,-33,-23
-9,-10,-1,9,-4,-5,-49,-13,-45,-10,-32,-23
-9,-11,-1,10,-4,-6,-48,-13,-44,-10,-32,-22
-10,-11,0,10,-5,-5,-48,-12,-44,-10,-31,-22
-10,-9,2,10,-7,-3,-48,-13,-45,-10,-32,-23
-11,-7,4,9,-8,-2,-48,-13,-44,-10,-31,-23
-11,-7,4,9,-7,-1,-49,-13,-44,-9,-31,-23
-9,-6,2,8,-6,-2,-49,-13,-44,-9,-30,-23
-8,-7,0,8,-4,-3,-49,-12,-43,-9,-30,-23
-9,-9,0,9,-4,-5,-48,-11,-42,-8,-29,-22
-9,-11,-1,10,-4,-6,-47,-10,-41,-6,-27,-21
-9,-12,-2,10,-4,-7,-47,-10,-41,-5,-26,-20
-8,-12,-2,10,-3,-7,-48,-10,-41,-5,-26,-21
-8,-12,-2,10,-3,-7,-48,-10,-41,-5,-25,-21
-8,-12,-2,9,-3,-7,-48,-10,-41,-5,-25,-20
-8,-11,-3,9,-2,-7,-49,-10,-41,-4,-24,-20
-7,-10,-3,8,-2,-6,-50,-10,-41,-4,-23,-20
-7,-11,-4,9,-2,-7,-50,-10,-40,-3,-22,-19
-7,-11,-4,9,-2,-7,-51,-10,-40,-3,-21,-19
-7,-10,-2,8,-3,-6,-52,-10,-41,-4,-21,-19
-7,-7,0,7,-4,-3,-53,-10,-41,-4,-22,-20
-8,-6,2,6,-5,-2,-53,-10,-41,-4,-21,-20
-9,-7,1,7,-4,-3,-53,-9,-41,-3,-21,-20
-9,-8,0,8,-4,-4,-53,-9,-41,-3,-20,-19
-9,-8,-1,8,-4,-5,-54,-9,-41,-2,-20,-19
-9,-8,0,8,-4,-5,-54,-9,-41,-2,-19,-19
-8,-8,0,8,-4,-5,-55,-9,-41,-2,-19,-19
-8,-8,0,8,-3,-5,-56,-10,-41,-2,-19,-20
-7,-8,-1,7,-3,-5,-57,-11,-42,-4,-20,-21
-7,-8,0,7,-3,-4,-57,-11,-42,-4,-21,-21
-7,-7,0,6,-3,-4,-58,-11,-41,-4,-20,-21
-7,-8,0,6,-2,-5,-59,-11,-41,-4,-20,-21
-6,-8,-2,6,-1,-6,-59,-11,-41,-4,-21,-21
-6,-9,-2,7,-1,-6,-60,-12,-41,-4,-21,-21
-6,-9,-2,7,-2,-5,-60,-12,-42,-4,-21,-22
-6,-9,-1,7,-3,-5,-60,-13,-42,-4,-22,-22
-7,-9,0,8,-4,-4,-61,-13,-42,-4,-22,-22
-8,-8,1,8,-5,-4,-61,-13,-42,-4,-23,-22
-8,-8,1,7,-5,-3,-62,-13,-41,-4,-23,-23
-7,-8,0,7,-4,-4,-63,-13,-42,-4,-24,-23
-6,-8,-2,7,-3,-5,-64,-14,-42,-5,-25,-24
-6,-8,-2,7,-2,-5,-65,-14,-42,-4,-26,-24
-7,-9,-2,7,-2,-6,-65,-14,-41,-3,-26,-23
-7,-9,-3,7,-2,-6,-66,-14,-41,-3,-27,-23
-6,-10,-3,7,-2,-7,-67,-14,-42,-3,-28,-23
-6,-10,-4,7,-1,-7,-67,-15,-42,-3,-29,-23
-7,-10,-4,8,-1,-8,-67,-15,-41,-3,-29,-23
-8,-11,-4,9,-2,-8,-68,-15,-41,-2,-30,-23
-9,-11,-3,10,-3,-8,-68,-14,-41,-2,-31,-24
-9,-10,-1,9,-4,-6,-69,-15,-41,-3,-32,-25
-9,-9,0,9,-5,-5,-70,-16,-42,-3,-34,-26
-9,-10,-2,9,-4,-6,-71,-16,-42,-3,-34,-26
-8,-10,-3,8,-3,-6,-71,-16,-42,-2,-35,-25
-7,-9,-2,7,-3,-5,-71,-16,-42,-2,-35,-25
-7,-9,-2,7,-3,-5,-71,-15,-41,-2,-36,-25
-7,-10,-3,8,-2,-7,-71,-15,-41,-2,-37,-26
-7,-11,-4,8,-2,-7,-72,-16,-42,-2,-39,-27
-7,-11,-4,9,-1,-8,-72,-16,-41,-1,-40,-27
-6,-11,-5,8,-1,-8,-72,-16,-41,-1,-40,-28
-6,-10,-4,7,-1,-7,-73,-16,-40,0,-41,-28
-6,-9,-3,7,-2,-6,-73,-15,-40,1,-41,-28
-7,-8,0,7,-3,-5,-72,-15,-39,2,-41,-28
-8,-7,1,7,-4,-3,-71,-15,-39,3,-40,-27
-6,-5,2,5,-4,-2,-70,-14,-38,4,-39,-26
-4,-2,2,3,-3,0,-71,-13,-37,5,-38,-25
-2,0,3,1,-3,1,-71,-13,-36,6,-39,-24
-2,1,4,0,-4,2,-72,-13,-35,7,-38,-23
-2,1,3,0,-3,2,-72,-12,-34,9,-36,-21
-1,0,2,0,-2,1,-73,-11,-32,11,-35,-19
0,0,0,0,0,0,-73,-10,-31,13,-33,-17
1,0,-1,-1,1,0,-74,-10,-31,14,-32,-16
2,0,-2,-1,2,0,-76,-10,-31,14,-33,-16
2,0,0,-1,1,0,-77,-11,-32,14,-33,-16
1,1,1,-1,0,1,-78,-10,-31,15,-33,-15
1,2,1,-1,0,2,-79,-10,-30,16,-32,-14
2,2,0,-2,1,2,-79,-10,-29,16,-31,-13
2,2,0,-2,1,1,-80,-10,-30,15,-32,-13
1,1,0,-1,1,1,-80,-12,-31,14,-33,-14
1,0,0,-1,1,0,-81,-14,-33,13,-34,-15
1,0,-1,-1,1,0,-82,-15,-34,12,-35,-16
2,-1,-2,-1,2,-1,-82,-16,-35,12,-35,-17
2,-1,-3,0,2,-2,-81,-17,-35,13,-35,-17
0,-3,-3,1,2,-3,-80,-17,-35,13,-35,-16
0,-5,-4,2,2,-4,-79,-17,-35,13,-35,-16
