leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-1,0,1,0,-1,4,0,-4,-4,-1,-2
-1,-2,-1,2,0,-2,10,-1,-11,-9,-3,-4
-1,-2,-1,2,0,-2,11,-3,-13,-11,-4,-5
0,-2,-1,1,0,-2,11,-5,-13,-10,-4,-5
1,0,-1,0,1,-1,11,-7,-10,-7,-3,-4
2,2,-1,-2,1,0,11,-8,-7,-4,-2,-3
4,4,0,-4,2,2,11,-9,-3,0,0,-1
5,6,0,-5,2,3,11,-9,0,2,3,1
6,6,0,-5,3,4,12,-9,2,4,6,3
6,6,0,-6,3,3,12,-9,4,6,8,5
7,5,-1,-6,4,2,13,-8,6,7,9,6
7,5,-2,-6,4,1,15,-7,7,8,9,6
7,4,-3,-6,5,0,15,-7,9,9,9,6
7,3,-4,-5,5,0,15,-6,10,10,8,6
7,3,-5,-5,6,-1,13,-6,12,11,8,6
8,2,-6,-5,7,-1,12,-6,13,12,9,6
8,2,-6,-5,8,-2,10,-5,14,12,10,5
9,2,-7,-5,8,-2,8,-5,15,13,11,4
9,1,-7,-5,8,-3,6,-5,16,13,11,3
9,1,-7,-5,8,-3,4,-4,17,14,11,2
9,0,-8,-5,8,-4,3,-4,17,14,10,1
9,0,-9,-5,9,-5,2,-3,18,14,9,0
9,0,-9,-4,9,-5,2,-3,19,14,9,0
9,-1,-10,-4,9,-6,1,-3,19,14,9,0
9,-1,-10,-4,9,-6,0,-3,20,15,9,1
9,-1,-10,-4,9,-6,-2,-2,20,15,10,1
9,-1,-10,-3,9,-6,-3,-2,21,16,10,2
9,-2,-10,-3,10,-6,-4,-2,21,16,11,3
9,-2,-11,-3,10,-6,-5,-1,22,17,11,4
9,-2,-11,-3,10,-7,-6,-1,23,17,11,5
9,-3,-11,-3,11,-7,-6,0,24,18,11,4
9,-3,-12,-3,11,-8,-6,0,24,18,11,3
10,-3,-13,-3,12,-8,-7,0,25,18,12,3
10,-3,-13,-3,12,-8,-8,0,25,19,12,3
10,-3,-14,-3,12,-8,-9,0,26,19,12,4
10,-4,-14,-3,12,-9,-10,0,26,19,12,4
10,-4,-14,-3,12,-9,-10,1,26,19,12,4
10,-4,-15,-3,13,-10,-11,1,27,19,12,4
11,-4,-15,-3,13,-10,-11,1,27,19,12,4
11,-4,-16,-3,13,-10,-11,1,28,20,12,3
11,-4,-16,-3,14,-11,-11,1,28,20,12,3
11,-5,-17,-3,14,-11,-12,1,29,21,12,2
11,-5,-17,-3,15,-11,-13,1,29,21,12,2
11,-5,-17,-3,15,-11,-14,1,29,21,13,2
12,-5,-17,-3,15,-11,-15,1,29,21,13,3
12,-5,-17,-3,15,-11,-15,1,29,21,13,4
