leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,1,0,0,0,0,-1,1,1,-2,-5,1
1,3,2,-2,0,2,-1,3,2,-7,-14,2
2,5,2,-3,0,4,-1,4,3,-10,-20,3
2,4,1,-3,0,2,-4,4,3,-11,-22,3
2,0,-2,-1,2,-1,-1,5,4,-11,-22,3
1,-4,-5,1,3,-5,10,6,5,-11,-22,3
0,-6,-7,3,4,-7,24,6,5,-11,-23,3
0,-7,-7,4,4,-8,34,6,5,-11,-23,3
0,-7,-7,4,4,-8,39,6,5,-11,-24,3
0,-6,-7,3,4,-6,32,5,5,-12,-24,3
-1,-6,-6,3,3,-5,21,4,5,-12,-25,3
-1,-7,-6,4,3,-6,13,4,5,-12,-25,3
-1,-7,-6,4,3,-6,9,4,5,-11,-25,3
-1,-6,-5,3,2,-5,6,4,5,-11,-25,3
-1,-4,-3,2,1,-4,3,4,5,-11,-26,3
-1,-4,-4,2,2,-4,1,4,5,-11,-26,3
-1,-6,-6,3,3,-6,0,4,5,-11,-26,3
-2,-8,-7,4,3,-7,-1,4,6,-10,-25,3
-2,-8,-7,4,3,-7,-2,4,6,-10,-25,3
-1,-7,-6,4,3,-7,-3,4,5,-10,-25,3
-1,-6,-6,3,3,-6,-3,4,5,-10,-25,3
-1,-6,-5,3,2,-6,-2,4,6,-10,-25,3
-2,-6,-5,4,2,-6,-2,4,6,-9,-24,3
-2,-7,-6,4,2,-7,-2,4,6,-8,-24,3
-2,-6,-6,4,2,-6,-2,4,6,-8,-24,3
-1,-5,-6,3,3,-5,-1,4,6,-8,-24,3
0,-4,-5,1,3,-4,-1,4,6,-8,-25,3
0,-3,-5,0,3,-3,-1,4,6,-8,-25,3
1,-3,-4,0,3,-3,-1,4,7,-8,-24,3
1,-3,-4,0,3,-3,0,4,7,-8,-24,3
1,-3,-4,0,3,-4,0,4,7,-7,-24,3
1,-3,-5,0,3,-4,0,4,7,-7,-24,3
1,-3,-5,0,3,-4,0,4,8,-6,-24,3
1,-2,-5,0,3,-3,0,4,8,-5,-24,3
1,0,-3,-1,3,-1,0,4,8,-5,-25,3
2,2,-1,-2,2,1,0,4,7,-5,-25,3
2,3,-1,-3,2,1,0,4,7,-5,-25,3
3,3,-1,-3,3,1,0,4,7,-5,-25,3
3,4,-1,-4,3,1,-1,4,7,-6,-26,3
4,5,0,-5,3,2,-2,3,6,-7,-27,3
4,4,-1,-5,3,1,-1,3,6,-6,-27,3
3,2,-3,-3,3,0,0,3,7,-5,-26,3
3,1,-3,-2,3,0,0,3,7,-5,-26,3
3,2,-2,-2,2,0,0,2,7,-6,-26,3
3,2,-1,-3,2,1,-1,2,7,-6,-26,3
3,3,-1,-3,2,1,-2,2,7,-6,-26,3
3,4,0,-4,2,2,-2,2,7,-6,-26,3
4,5,0,-5,2,2,-2,2,6,-6,-26,3
4,4,-1,-4,2,1,-1,2,6,-5,-26,3
3,3,-2,-3,2,0,-1,2,6,-4,-27,3
3,2,-2,-3,2,1,-1,2,6,-4,-27,3
2,3,0,-2,1,2,-1,2,5,-5,-28,3
1,3,1,-1,0,2,-1,2,5,-5,-28,3
-1,0,0,0,0,1,-1,2,5,-4,-28,3
-2,-1,0,1,0,0,-1,2,5,-4,-28,3
-2,-1,0,2,0,-1,-1,2,4,-4,-29,3
-3,-2,-1,2,0,-2,-1,1,4,-4,-29,3
-3,-3,-2,3,0,-3,-1,1,4,-3,-29,3
-2,-2,-2,2,0,-2,-1,1,4,-3,-30,3
-2,0,0,1,-1,0,-2,0,3,-4,-31,3
-2,1,2,0,-2,2,-4,0,2,-5,-32,3
-2,2,4,0,-3,3,-5,-1,1,-5,-33,3
-2,2,4,0,-3,3,-5,-1,1,-5,-33,3
-3,1,3,1,-3,2,-6,-1,1,-5,-32,3
-3,-1,1,2,-2,0,-6,-2,1,-5,-32,3
-3,-2,0,2,-2,-1,-6,-2,0,-5,-32,3
-2,-2,0,2,-1,-1,-7,-3,0,-5,-32,3
-3,-1,1,2,-2,0,-8,-3,0,-5,-32,3
-3,-1,3,2,-3,1,-8,-3,0,-5,-32,3
-3,-1,2,2,-2,1,-7,-3,0,-5,-32,3
-3,-1,2,2,-1,1,-7,-3,0,-5,-32,3
-3,0,3,1,-2,2,-7,-4,0,-5,-32,3
-2,0,1,0,-1,1,-7,-3,1,-5,-32,3
-2,-1,-1,1,0,0,-6,-2,1,-4,-32,3
-2,-2,-1,1,0,-1,-7,-2,1,-4,-32,3
-2,-2,-1,1,0,-1,-7,-1,1,-5,-33,3
-1,-1,0,1,0,0,-8,-1,0,-5,-33,3
-1,0,0,0,0,0,-8,0,0,-4,-33,3
0,0,0,0,0,0,-8,0,1,-4,-32,3
0,-1,-1,0,0,-1,-8,0,1,-4,-32,3
0,0,-1,0,0,0,-8,0,1,-3,-32,3
-1,1,1,0,-1,1,-9,0,0,-4,-33,3
-1,3,3,-1,-2,3,-9,-1,-1,-4,-34,3
-1,2,3,0,-1,2,-10,0,-1,-4,-34,3
-1,0,0,1,0,0,-9,0,0,-3,-33,3
-1,-4,-3,3,2,-3,-9,0,0,-3,-32,3
-1,-5,-4,3,2,-4,-9,0,0,-3,-33,3
-1,-3,-3,2,1,-3,-9,-1,0,-3,-34,3
-1,-1,0,1,0,-1,-10,-2,-1,-4,-35,3
-2,0,1,1,-1,0,-10,-2,-2,-4,-35,3
-2,0,1,1,-2,0,-10,-2,-2,-4,-35,3
-2,0,1,1,-1,0,-10,-2,-2,-4,-35,3
-2,0,1,1,-1,0,-11,-2,-3,-5,-36,3
-2,0,0,1,-1,0,-12,-2,-3,-5,-36,3
-2,-2,-1,2,0,-1,-12,-2,-3,-5,-36,3
-2,-3,-2,2,1,-2,-12,-2,-3,-5,-36,3
-2,-3,-2,2,0,-2,-12,-2,-3,-5,-36,3
-2,-2,-1,2,0,-1,-14,-2,-4,-5,-36,3
-1,-1,-1,1,0,-1,-17,-2,-4,-5,-36,3
-1,-1,-1,1,0,0,-20,-2,-4,-5,-36,3
-1,-1,-1,1,0,0,-21,-2,-4,-5,-36,3
-1,-1,-1,1,0,0,-19,-2,-5,-5,-37,3
-1,-2,-2,2,0,-1,-15,-2,-5,-5,-37,3
-1,-3,-3,2,0,-2,-12,-3,-5,-5,-37,3
-1,-3,-2,2,0,-2,-10,-4,-6,-5,-38,3
-1,-3,-3,2,1,-2,-9,-5,-6,-5,-39,3
-1,-5,-4,3,1,-4,-7,-5,-6,-5,-38,3
-2,-5,-4,4,1,-4,-6,-5,-5,-4,-38,3
-2,-3,-2,3,0,-2,-6,-5,-5,-5,-38,3
-3,-2,0,2,-1,-1,-7,-5,-6,-6,-39,3
-3,-3,-1,3,-1,-1,-7,-5,-6,-6,-39,3
-3,-4,-1,3,-1,-2,-6,-4,-5,-6,-39,3
-3,-5,-1,4,-1,-3,-5,-4,-5,-5,-39,3
-4,-6,-1,4,-1,-3,-1,-3,-5,-5,-40,3
-5,-7,-2,6,-1,-5,7,-3,-5,-5,-40,3
-5,-9,-4,7,0,-6,17,-3,-5,-4,-39,3
-6,-9,-4,8,-1,-6,23,-4,-6,-4,-40,3
-6,-9,-3,7,-1,-6,26,-5,-6,-5,-41,3
-6,-9,-4,7,-1,-6,27,-5,-7,-6,-41,3
-6,-10,-4,8,-1,-6,28,-5,-7,-6,-41,3
-6,-10,-4,8,-1,-7,29,-5,-7,-6,-41,3
-6,-9,-2,8,-1,-5,30,-5,-7,-6,-42,3
-5,-7,-1,6,-2,-4,29,-5,-7,-6,-42,3
-5,-6,-1,6,-1,-4,28,-5,-6,-5,-41,3
-5,-6,-2,6,-1,-4,27,-4,-6,-5,-41,3
-4,-6,-2,5,-1,-4,26,-4,-6,-5,-41,3
-4,-4,-1,3,-1,-2,26,-4,-6,-5,-41,3
-3,-1,0,2,-1,0,25,-5,-6,-5,-42,3
-3,-1,1,1,-1,0,24,-5,-7,-6,-42,3
-3,-2,0,2,-1,-1,23,-5,-7,-5,-42,3
-3,-3,-1,3,0,-2,24,-4,-7,-4,-42,3
-3,-4,-2,3,0,-3,25,-4,-7,-4,-42,3
-3,-4,-2,3,0,-3,25,-4,-7,-4,-43,3
-3,-4,-2,3,0,-3,25,-4,-7,-4,-43,3
-3,-6,-3,4,0,-4,26,-4,-6,-4,-42,3
-2,-6,-4,4,1,-5,27,-4,-6,-3,-42,3
-1,-5,-4,4,1,-4,26,-4,-6,-4,-43,3
0,-4,-4,3,2,-4,25,-4,-7,-4,-43,3
0,-4,-4,3,1,-3,24,-4,-8,-4,-44,3
-1,-4,-3,3,1,-3,23,-4,-8,-4,-44,3
-2,-4,-3,3,0,-3,23,-4,-8,-4,-45,3
-2,-3,-3,3,0,-2,23,-4,-8,-4,-45,3
-2,-3,-3,3,0,-2,22,-4,-8,-4,-45,3
-2,-3,-3,3,0,-3,22,-4,-9,-4,-45,3
-2,-4,-2,4,0,-3,21,-4,-9,-4,-45,3
-2,-3,-1,3,0,-2,20,-5,-10,-5,-45,3
-3,-2,0,3,-1,-1,19,-5,-10,-5,-46,3
-3,-2,0,3,-2,-1,18,-5,-10,-5,-46,3
-4,-3,0,3,-2,-1,19,-5,-9,-4,-46,3
-4,-2,0,3,-2,-1,20,-6,-10,-4,-46,3
-4,0,2,2,-2,1,20,-7,-11,-5,-47,3
-4,0,2,2,-3,1,20,-7,-11,-5,-47,3
-5,-2,1,3,-3,0,20,-7,-11,-5,-47,3
-5,-4,0,4,-2,-2,21,-6,-10,-4,-47,3
-5,-6,-2,5,-1,-4,21,-6,-10,-4,-47,3
-5,-8,-3,6,-1,-5,20,-6,-10,-4,-47,3
-5,-9,-4,7,-1,-6,19,-6,-11,-4,-48,3
-4,-9,-5,7,0,-7,18,-7,-11,-4,-48,3
-3,-8,-5,6,0,-7,18,-7,-11,-4,-47,3
-3,-8,-5,6,0,-6,19,-7,-11,-4,-47,3
-4,-7,-4,6,0,-5,19,-7,-11,-4,-48,3
-4,-7,-3,6,0,-4,19,-7,-10,-4,-48,3
-4,-7,-2,5,-1,-4,19,-7,-10,-4,-48,3
-4,-5,-1,4,-1,-3,19,-7,-9,-4,-49,3
-4,-4,-1,4,-1,-2,19,-6,-9,-4,-49,3
-4,-4,-1,4,-1,-3,19,-6,-9,-3,-48,3
-4,-5,-2,5,-1,-4,19,-6,-9,-3,-48,3
-4,-7,-3,6,0,-5,18,-7,-9,-4,-49,3
-4,-7,-4,6,0,-5,17,-7,-10,-4,-50,3
-4,-8,-5,6,1,-6,17,-8,-10,-4,-50,3
-4,-9,-5,6,1,-7,16,-8,-10,-4,-51,3
-4,-8,-5,6,1,-6,16,-9,-10,-4,-51,3
