leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
1,0,-1,0,1,0,0,-8,25,-2,3,-2
2,0,-2,-1,2,-1,2,-20,65,-4,10,-5
2,0,-1,-1,1,0,3,-25,90,-5,14,-6
0,-1,0,0,0,0,4,-29,104,-5,17,-6
-3,-4,0,3,-2,-2,4,-32,111,-6,18,-7
-4,-6,-1,5,-1,-4,4,-35,114,-8,17,-8
-2,-6,-3,4,0,-5,5,-37,116,-9,16,-9
-2,-5,-2,4,0,-4,6,-37,118,-9,17,-9
-7,-4,3,6,-5,-1,7,-35,121,-7,19,-7
-12,-6,7,10,-10,0,7,-33,122,-6,20,-6
-13,-9,4,11,-9,-3,6,-34,121,-6,19,-6
-8,-10,-1,9,-4,-6,4,-36,119,-8,17,-8
-6,-10,-4,8,-1,-6,3,-36,118,-8,16,-8
-10,-9,1,9,-5,-4,5,-34,119,-6,18,-6
-17,-8,9,13,-13,0,8,-31,121,-3,21,-3
-21,-7,14,15,-17,3,10,-30,122,-1,23,-1
-19,-4,14,12,-16,4,11,-28,123,0,24,0
-15,-1,14,8,-15,6,11,-26,124,2,25,1
-16,-2,15,9,-15,6,11,-25,124,3,25,2
-18,-5,14,12,-16,4,10,-25,123,3,25,1
-17,-8,9,13,-13,1,9,-26,121,2,23,0
-15,-10,4,13,-9,-2,7,-29,118,0,20,-2
-13,-11,2,13,-7,-4,6,-31,116,-1,19,-3
-10,-9,0,10,-5,-4,6,-31,115,-1,19,-3
-10,-8,1,9,-6,-4,7,-29,116,0,20,-2
-14,-10,5,12,-10,-3,7,-28,116,0,21,-1
-16,-10,6,12,-11,-3,6,-28,116,0,21,-1
-11,-8,3,9,-7,-3,6,-27,116,0,21,-1
-7,-7,1,7,-4,-3,6,-27,116,0,21,0
-7,-6,1,7,-4,-2,7,-26,116,1,22,0
-6,-5,1,6,-3,-1,7,-26,115,1,22,0
-6,-6,0,6,-3,-3,6,-28,113,0,21,0
-7,-8,-1,8,-2,-5,5,-29,111,0,20,-2
-9,-8,1,9,-5,-4,4,-28,111,0,20,-1
-13,-6,7,9,-10,0,5,-25,113,3,22,1
-13,-3,10,8,-11,3,6,-22,115,5,24,3
-8,0,8,4,-8,4,7,-21,116,7,25,4
-2,0,2,2,-2,1,6,-23,114,6,24,3
1,-3,-4,1,3,-3,4,-25,112,4,22,1
0,-4,-5,2,3,-4,4,-25,110,3,21,0
-2,-3,-2,3,0,-2,5,-24,110,4,22,2
-3,-2,0,3,-2,-1,6,-23,111,6,23,3
-3,-2,0,2,-2,-1,5,-23,110,6,23,4
0,-3,-3,2,1,-4,3,-24,109,6,22,3
3,-4,-7,1,5,-5,1,-25,107,6,21,3
3,-3,-6,0,5,-4,1,-24,107,7,22,4
0,0,-1,1,1,0,2,-22,109,9,25,7
-2,1,3,1,-3,3,4,-19,111,12,28,9
-2,3,5,0,-4,5,5,-18,111,13,29,11
-2,5,7,-2,-4,6,5,-17,112,14,30,12
-2,4,7,-1,-4,5,4,-17,112,14,30,12
-3,0,4,1,-3,2,2,-19,110,14,29,11
-4,-2,3,3,-3,0,0,-19,109,14,29,10
-4,2,7,1,-5,5,1,-16,112,17,32,14
1,11,10,-5,-4,11,3,-12,115,21,37,18
8,15,6,-11,1,11,3,-12,114,21,37,18
12,13,1,-12,5,8,1,-14,112,19,35,17
11,12,0,-12,5,6,0,-15,111,18,35,17
11,11,0,-11,4,5,0,-15,110,18,35,17
10,10,0,-10,4,4,-1,-15,110,18,35,17
6,8,3,-7,1,5,-2,-14,110,19,35,17
2,8,6,-4,-2,6,-2,-13,111,20,37,18
2,8,5,-4,-2,7,-3,-13,110,20,37,19
2,8,5,-4,-2,7,-3,-13,110,20,38,20
0,8,8,-4,-4,9,-3,-12,110,21,39,21
1,9,9,-5,-4,10,-3,-12,109,21,39,22
