leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
-1,-10,-9,6,4,-10,4,3,4,4,3,1
-2,-25,-22,14,9,-23,9,8,9,9,8,2
-3,-25,-22,14,9,-23,10,8,8,9,8,0
-2,-13,-11,8,4,-12,6,4,4,5,4,-5
0,1,2,0,-2,2,0,0,-1,0,0,-11
0,11,10,-5,-5,11,-3,-3,-4,-2,-3,-14
1,9,8,-5,-4,9,-3,-2,-3,0,-2,-13
0,-3,-3,2,1,-3,1,2,2,4,2,-9
-1,-20,-18,11,8,-19,8,8,8,10,8,-4
-2,-32,-29,18,12,-31,13,13,13,15,12,0
-3,-33,-30,18,13,-32,14,14,14,15,13,1
-2,-23,-20,13,8,-21,11,12,11,12,10,-2
-1,-7,-6,4,2,-6,5,7,5,7,5,-7
0,6,5,-2,-2,5,1,3,1,3,1,-11
1,9,7,-4,-3,8,0,1,0,3,0,-12
1,0,-1,0,1,-1,2,3,3,6,3,-9
1,-16,-16,8,8,-16,7,8,8,12,8,-4
1,-29,-29,14,14,-30,11,13,13,16,12,0
1,-34,-34,16,16,-34,13,15,14,16,13,1
1,-26,-27,13,13,-27,11,13,11,13,11,0
1,-11,-13,5,7,-12,6,9,6,8,6,-5
2,3,0,-2,1,2,1,5,2,4,2,-10
2,10,6,-5,-1,8,0,3,0,3,0,-12
2,5,2,-2,0,3,1,4,2,5,1,-10
1,-9,-10,5,5,-10,6,9,7,10,6,-6
0,-24,-24,12,10,-24,11,14,12,14,10,-1
0,-33,-31,17,13,-32,13,17,14,16,13,1
0,-30,-29,15,12,-29,13,16,13,15,12,0
0,-16,-17,8,8,-17,8,12,9,10,9,-3
1,-1,-3,0,3,-2,3,7,4,6,5,-7
2,8,5,-4,0,6,0,5,1,4,2,-9
1,7,5,-3,0,6,1,6,2,5,3,-9
1,-4,-5,2,4,-5,5,10,7,10,6,-6
1,-19,-20,9,10,-19,9,14,11,14,10,-2
2,-30,-30,14,14,-30,13,17,14,17,12,0
2,-31,-32,14,15,-31,13,18,14,16,12,0
2,-21,-23,9,12,-22,9,15,10,12,8,-3
3,-6,-10,1,7,-8,4,11,5,8,3,-7
2,5,2,-3,2,3,1,8,3,5,1,-10
0,8,7,-3,-1,7,1,8,3,5,1,-10
-1,0,1,1,0,0,3,11,6,9,4,-7
0,-15,-13,8,6,-14,7,15,10,13,9,-2
0,-27,-24,13,10,-26,11,18,14,16,12,1
0,-31,-28,15,12,-30,12,19,15,17,13,2
0,-24,-22,11,10,-23,10,18,13,15,11,0
0,-9,-9,4,4,-9,6,14,9,11,7,-4
0,3,2,-1,0,3,2,11,5,8,4,-8
1,9,7,-4,-1,8,0,9,3,6,2,-10
2,4,2,-2,1,3,1,9,4,7,2,-9
2,-9,-10,4,6,-9,5,13,8,11,5,-5
1,-22,-22,11,10,-22,9,16,12,13,8,-2
1,-29,-29,14,12,-29,11,18,14,15,10,0
1,-26,-26,12,11,-26,11,18,13,15,10,-1
0,-13,-13,6,6,-13,8,15,10,12,8,-3
0,1,0,0,1,0,5,13,7,10,6,-5
1,10,8,-4,-1,9,3,12,5,9,4,-7
1,8,7,-3,-1,8,2,12,5,9,4,-8
0,-3,-3,2,2,-3,5,14,8,11,6,-5
0,-17,-16,9,7,-17,9,18,12,15,10,-2
0,-27,-25,12,10,-26,11,20,14,17,13,1
0,-28,-26,13,10,-27,12,21,15,18,14,2
0,-18,-17,9,6,-18,10,20,13,16,13,1
-1,-4,-3,3,1,-4,6,17,10,13,10,-1
-1,6,6,-1,-1,6,4,15,8,11,7,-3
0,9,8,-3,-1,8,3,14,7,10,6,-4
0,1,0,0,1,0,4,15,8,11,8,-3
0,-13,-12,7,6,-13,8,18,11,14,10,-1
0,-24,-23,11,9,-23,10,19,13,15,11,0
0,-28,-27,13,10,-27,11,20,14,16,12,1
0,-22,-21,10,8,-21,10,20,13,15,12,0
0,-8,-9,3,4,-8,6,17,10,12,10,-2
1,4,1,-1,1,3,4,15,8,11,8,-4
1,9,6,-4,0,8,2,14,7,10,7,-5
2,5,2,-2,2,3,3,15,8,10,7,-5
2,-7,-10,3,6,-9,6,17,11,13,9,-3
2,-20,-21,8,10,-21,8,19,13,14,10,-1
2,-26,-27,10,11,-27,9,20,14,15,11,0
2,-23,-24,10,10,-24,9,20,14,15,11,0
2,-11,-12,4,6,-12,7,18,11,12,9,-2
2,1,0,0,2,0,4,16,9,10,7,-4
2,9,6,-3,0,8,3,15,7,9,6,-5
2,9,5,-3,1,7,2,15,7,9,6,-5
3,-1,-5,1,5,-3,4,17,9,12,8,-4
3,-14,-17,6,9,-16,6,19,12,14,9,-2
3,-23,-25,9,11,-24,8,20,13,15,10,-1
2,-24,-26,10,11,-25,9,21,13,15,11,-1
2,-16,-17,6,7,-16,8,20,12,14,10,-2
1,-3,-5,1,3,-4,6,19,10,12,8,-3
1,6,3,-2,1,5,5,18,9,10,7,-4
2,9,5,-3,1,7,4,17,8,9,6,-5
2,2,-2,-1,4,0,5,17,9,10,6,-4
2,-10,-14,4,8,-12,7,19,10,12,7,-3
2,-20,-22,7,10,-21,8,19,11,12,7,-2
2,-24,-25,9,10,-25,8,19,11,13,7,-2
2,-18,-20,6,8,-19,7,19,10,11,6,-2
3,-6,-8,1,5,-7,5,17,8,9,5,-4
3,5,0,-2,3,2,4,16,6,8,3,-5
4,10,4,-4,3,7,3,15,5,7,2,-6
5,6,0,-4,5,3,3,14,5,7,2,-6
5,-5,-11,0,9,-8,4,15,7,8,3,-5
3,-16,-20,5,9,-18,6,17,9,10,5,-3
2,-22,-23,8,9,-23,7,18,10,11,6,-2
2,-20,-20,8,8,-20,7,18,10,10,5,-2
2,-9,-11,4,5,-10,5,17,8,8,4,-3
2,1,-1,0,3,0,4,16,6,7,3,-4
1,8,4,-2,2,6,3,15,5,6,2,-4
1,7,3,-2,2,5,3,14,5,5,2,-5
1,-2,-5,1,5,-4,3,14,6,6,2,-4
2,-13,-15,5,7,-14,4,14,7,7,3,-4
2,-20,-22,6,9,-21,5,13,7,7,3,-3
3,-21,-22,7,9,-21,5,13,7,7,3,-3
3,-12,-14,4,7,-13,4,11,6,6,3,-4
3,-1,-4,0,4,-2,3,10,4,5,2,-4
3,7,3,-2,3,5,2,9,4,5,2,-4
2,9,5,-3,2,7,2,9,4,4,2,-4
2,2,-1,0,3,0,3,9,4,5,2,-4
2,-9,-12,3,6,-10,4,10,5,5,2,-4
2,-18,-19,5,7,-18,4,10,4,4,1,-5
2,-21,-21,7,7,-21,4,10,4,4,0,-5
1,-15,-15,5,4,-15,3,9,3,3,-1,-6
0,-3,-3,1,1,-3,3,7,2,2,-1,-5
1,7,5,-1,0,6,2,6,2,2,0,-4
1,12,9,-3,0,10,2,6,2,2,0,-4
2,9,5,-3,1,7,2,5,2,2,0,-3
1,-2,-5,1,3,-3,2,5,3,2,0,-3
1,-12,-13,4,4,-13,2,5,3,2,0,-4
1,-18,-18,5,5,-18,2,5,3,2,0,-4
2,-15,-15,4,5,-15,1,5,3,3,0,-3
2,-4,-6,0,3,-5,1,5,3,2,0,-3
2,6,2,-2,2,4,0,5,2,1,-1,-4
2,12,7,-3,2,10,0,4,2,1,-1,-4
2,11,7,-3,2,9,0,4,2,1,-2,-4
2,2,-1,0,3,0,0,3,2,1,-1,-4
2,-8,-10,2,4,-9,0,3,3,2,0,-3
2,-14,-16,3,5,-15,0,3,3,2,0,-3
3,-14,-17,3,6,-16,0,3,3,2,0,-2
3,-6,-10,0,5,-8,0,3,3,3,1,-2
3,4,0,-2,4,1,0,3,3,3,1,-1
4,10,5,-4,3,7,0,3,2,3,1,-1
4,12,6,-5,3,9,0,3,2,3,2,-1
5,6,0,-3,5,3,0,3,2,3,2,0
5,-3,-9,-1,6,-6,0,3,2,3,2,0
6,-10,-15,0,6,-13,0,2,2,3,2,0
6,-13,-18,0,6,-15,0,2,2,3,2,0
6,-8,-13,-1,5,-10,0,2,2,3,2,0
6,2,-3,-3,4,0,0,2,2,4,2,0
5,10,3,-4,4,6,0,2,2,4,2,0
5,13,6,-5,4,10,0,2,3,5,2,0
6,10,3,-5,5,7,0,2,3,5,2,0
6,1,-5,-3,6,-2,0,3,4,6,3,0
6,-7,-12,-2,6,-10,0,3,4,6,4,0
5,-13,-16,0,6,-15,0,3,4,6,4,0
5,-11,-15,0,6,-13,0,3,4,6,5,1
6,0,-6,-3,6,-3,0,4,4,7,5,1
6,8,2,-5,5,5,0,4,5,7,6,2
5,13,6,-5,4,9,0,4,5,7,6,2
5,12,6,-4,4,8,0,4,5,7,6,2
5,3,-2,-2,5,0,0,4,5,8,7,2
5,-5,-10,-1,5,-8,0,4,5,8,7,2
5,-11,-15,0,6,-13,0,4,6,9,7,2
5,-12,-16,0,5,-14,0,4,7,9,8,2
5,-5,-9,-1,5,-7,0,4,7,10,8,2
5,4,-1,-2,5,1,0,5,7,9,8,2
6,10,3,-3,5,6,0,5,7,9,7,2
5,11,5,-3,5,8,0,5,7,9,7,2
5,5,0,-2,5,2,0,5,7,9,7,3
4,-3,-8,0,5,-6,0,5,7,9,8,3
4,-9,-13,0,5,-11,0,5,7,10,9,4
