leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,4,4,-1,-2,4,5,7,-1,0,-1,0
-2,10,12,-3,-7,10,18,28,0,6,4,12
-3,14,17,-5,-10,15,26,48,2,15,18,32
-3,18,21,-7,-12,19,15,48,0,17,24,39
0,23,23,-11,-11,23,-16,24,-5,10,15,26
7,31,24,-19,-8,27,-61,-14,-12,0,-1,2
15,39,24,-27,-4,31,-105,-49,-16,-3,-13,-15
24,48,24,-36,0,35,-139,-68,-14,2,-12,-15
33,56,23,-45,5,39,-163,-72,-9,16,1,0
42,65,23,-53,10,43,-177,-60,0,36,26,30
52,73,21,-62,15,47,-184,-40,9,56,56,66
63,81,18,-72,22,49,-197,-26,16,71,80,93
76,88,13,-82,31,51,-222,-32,19,75,87,99
90,96,7,-93,41,51,-258,-57,16,69,78,83
105,104,0,-105,52,52,-293,-87,12,61,65,62
118,112,-5,-115,61,53,-314,-103,12,60,60,53
130,119,-10,-124,70,54,-320,-100,16,65,66,59
139,124,-15,-131,77,54,-309,-79,24,76,82,78
145,125,-19,-135,82,52,-281,-40,36,91,107,109
148,122,-25,-135,86,48,-250,-3,47,100,127,133
148,115,-32,-132,90,42,-230,10,48,93,125,131
145,107,-37,-127,91,35,-223,-5,38,72,102,101
138,98,-39,-119,89,30,-222,-37,20,43,68,58
125,87,-37,-106,81,25,-211,-61,2,20,40,24
108,74,-33,-91,70,21,-184,-64,-13,7,27,10
88,60,-27,-74,58,16,-145,-49,-23,2,26,15
69,46,-22,-58,46,12,-103,-24,-29,1,32,27
52,33,-18,-43,35,7,-70,-5,-34,-3,32,32
39,23,-15,-31,27,4,-52,1,-39,-11,24,24
29,16,-12,-23,20,2,-45,-5,-44,-23,8,5
21,11,-10,-17,15,1,-49,-23,-48,-36,-14,-22
15,8,-7,-12,10,1,-52,-39,-50,-44,-33,-44
8,5,-3,-7,5,1,-42,-35,-46,-40,-36,-45
2,2,0,-2,1,1,-23,-15,-38,-30,-27,-29
-3,0,2,2,-3,0,-5,5,-32,-22,-16,-13
-7,-2,4,4,-5,0,6,19,-29,-19,-9,-4
-9,-4,5,6,-7,0,13,27,-27,-18,-5,0
-10,-4,5,6,-8,0,11,25,-29,-22,-9,-5
-9,-4,5,6,-8,0,-1,6,-34,-32,-24,-26
-8,-4,5,5,-7,0,-17,-18,-39,-42,-42,-49
-9,-4,6,6,-8,0,-20,-26,-39,-42,-47,-55
-10,-4,7,7,-9,0,-10,-15,-36,-35,-39,-43
-12,-5,7,8,-10,0,3,1,-31,-27,-27,-26
-13,-5,8,8,-10,0,15,17,-28,-21,-16,-11
-13,-5,8,9,-11,1,23,29,-26,-18,-8,-1
-13,-5,9,9,-11,1,22,30,-27,-20,-7,-2
-13,-5,9,9,-11,2,11,14,-31,-29,-19,-19
-11,-4,8,8,-11,2,-6,-12,-36,-40,-37,-44
-11,-3,8,7,-10,2,-16,-28,-39,-44,-48,-58
-11,-3,9,7,-11,2,-9,-22,-36,-37,-42,-50
-12,-3,9,7,-11,2,6,-3,-31,-27,-28,-30
-13,-2,9,7,-11,2,16,11,-29,-22,-18,-15
-13,-2,10,7,-11,3,22,20,-28,-20,-12,-7
-13,-2,10,7,-12,3,24,25,-27,-20,-9,-5
-13,-2,11,7,-12,4,17,16,-30,-26,-16,-15
-12,-1,11,7,-12,4,2,-5,-34,-36,-31,-36
-11,-1,11,6,-11,5,-10,-25,-38,-42,-44,-54
-11,0,11,5,-11,5,-11,-30,-38,-41,-46,-56
-11,0,11,5,-11,5,-2,-19,-35,-34,-37,-43
-12,0,11,5,-11,5,12,1,-30,-25,-23,-23
-12,0,11,5,-11,5,23,18,-27,-19,-11,-7
-11,0,11,5,-11,5,27,25,-26,-17,-6,-1
-11,1,11,4,-11,6,20,18,-28,-22,-12,-10
-10,1,12,4,-11,6,4,-3,-33,-32,-27,-31
-9,2,12,3,-10,6,-10,-26,-37,-40,-42,-52
-9,2,12,3,-10,7,-16,-35,-38,-41,-48,-59
-9,2,12,3,-10,7,-10,-30,-36,-36,-43,-52
-9,2,12,3,-10,7,1,-14,-32,-27,-31,-35
-10,1,11,4,-10,6,14,5,-29,-19,-17,-16
-11,0,11,5,-11,5,23,20,-26,-15,-7,-3
-11,0,11,6,-11,5,24,23,-26,-16,-6,-2
-10,-1,10,5,-10,4,12,7,-29,-24,-17,-18
-9,-1,8,5,-9,3,-5,-18,-34,-34,-34,-43
-8,-1,7,4,-8,3,-17,-37,-37,-41,-47,-60
-7,-1,5,4,-7,2,-22,-45,-39,-42,-53,-67
-7,-1,5,3,-6,1,-19,-41,-38,-39,-50,-62
-7,-1,5,4,-6,1,-2,-17,-33,-28,-33,-39
-9,-2,5,5,-7,1,19,15,-26,-14,-11,-9
-10,-4,5,6,-7,0,29,31,-23,-9,0,5
-10,-5,4,7,-7,-1,21,21,-25,-16,-7,-6
-9,-6,3,7,-6,-1,2,-6,-31,-29,-27,-33
-8,-6,3,6,-6,-1,-12,-29,-35,-37,-42,-55
-8,-6,3,6,-5,-1,-16,-38,-36,-38,-48,-61
-8,-5,3,6,-5,-1,-12,-34,-35,-34,-45,-57
-9,-5,3,7,-5,-2,-1,-18,-32,-27,-33,-41
-10,-6,3,8,-6,-2,17,8,-27,-16,-15,-16
-11,-7,3,9,-7,-2,30,28,-23,-9,-1,2
-11,-8,3,9,-7,-2,27,24,-24,-13,-4,-3
-10,-8,3,9,-7,-2,11,0,-29,-24,-21,-26
-10,-8,3,8,-7,-2,-4,-23,-33,-33,-37,-49
-11,-8,3,9,-7,-3,-8,-30,-33,-33,-42,-55
-12,-9,3,10,-7,-3,-1,-23,-31,-28,-36,-46
-13,-9,3,10,-7,-3,10,-9,-28,-22,-26,-31
-12,-8,3,10,-7,-3,19,6,-27,-18,-17,-18
-12,-8,3,9,-7,-3,27,18,-25,-15,-10,-7
-12,-8,3,10,-7,-3,29,22,-24,-15,-8,-6
-12,-9,2,10,-7,-3,19,9,-26,-22,-18,-20
-12,-10,2,10,-7,-4,4,-15,-30,-31,-35,-44
-12,-11,2,11,-7,-4,-5,-31,-32,-36,-45,-59
-13,-11,2,11,-8,-4,-4,-33,-32,-35,-46,-59
-13,-11,2,11,-8,-4,3,-24,-31,-30,-40,-50
-13,-10,3,11,-8,-3,15,-6,-29,-23,-28,-33
-14,-10,3,12,-8,-3,30,15,-25,-16,-15,-14
-14,-11,3,12,-9,-3,37,26,-23,-13,-7,-5
-14,-11,3,12,-9,-3,31,18,-24,-18,-14,-15
-14,-11,3,12,-9,-3,15,-6,-28,-29,-31,-39
-14,-11,3,12,-9,-3,3,-27,-30,-35,-45,-58
-15,-11,3,12,-9,-3,0,-34,-30,-36,-50,-64
-15,-11,3,12,-9,-3,5,-29,-30,-32,-47,-58
-15,-11,3,12,-9,-4,17,-11,-28,-25,-35,-41
-16,-11,4,13,-9,-4,33,12,-24,-16,-20,-20
-16,-12,4,14,-10,-4,44,28,-22,-11,-10,-6
-17,-12,4,14,-10,-3,42,27,-21,-14,-12,-10
-17,-12,5,14,-11,-3,29,8,-24,-22,-25,-29
-17,-12,5,14,-11,-3,15,-15,-27,-30,-41,-51
-18,-12,5,14,-11,-3,9,-26,-28,-33,-48,-62
-18,-12,6,14,-12,-3,12,-24,-27,-31,-47,-59
-18,-12,6,14,-12,-2,22,-10,-25,-25,-38,-45
-18,-12,6,14,-12,-2,35,10,-23,-18,-24,-26
-18,-12,6,14,-12,-2,46,27,-20,-13,-14,-11
-18,-12,6,14,-12,-2,47,31,-19,-13,-12,-9
-18,-11,7,14,-12,-2,38,17,-21,-19,-21,-23
-18,-11,7,14,-12,-1,24,-4,-23,-26,-36,-44
-18,-11,7,14,-13,-1,17,-17,-23,-29,-44,-56
-19,-11,8,14,-13,-1,19,-16,-22,-26,-42,-53
-19,-11,8,14,-14,-1,28,-4,-20,-20,-34,-41
