leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
2,0,-3,0,2,-2,2,-1,-2,-1,0,-1
5,-1,-7,-1,7,-5,5,-4,-6,-4,-2,-4
7,-2,-10,-1,9,-7,7,-5,-9,-5,-3,-6
7,-4,-12,-1,10,-8,9,-6,-10,-5,-3,-7
7,-5,-13,0,10,-9,11,-5,-11,-6,-3,-7
6,-6,-13,1,10,-10,13,-4,-12,-6,-2,-7
5,-6,-12,1,9,-10,15,-1,-12,-6,0,-5
5,-6,-12,1,9,-10,17,0,-12,-6,1,-3
5,-6,-12,1,9,-10,16,0,-12,-6,1,-3
6,-6,-12,1,10,-10,15,-2,-12,-6,0,-4
6,-6,-13,1,10,-10,13,-4,-12,-6,-1,-5
6,-6,-13,1,10,-10,13,-5,-12,-6,-2,-6
7,-5,-13,0,10,-9,13,-5,-12,-6,-2,-6
7,-5,-13,0,10,-9,13,-5,-12,-6,-1,-6
6,-5,-13,0,10,-9,14,-3,-12,-6,0,-5
6,-6,-13,1,9,-9,15,-1,-12,-6,0,-4
6,-6,-13,1,9,-10,15,0,-12,-6,0,-4
6,-7,-14,1,10,-11,14,-2,-13,-6,0,-4
6,-8,-15,1,11,-11,14,-4,-13,-6,-1,-5
7,-8,-15,1,11,-11,14,-5,-12,-6,-1,-5
7,-8,-14,1,11,-11,14,-5,-12,-6,-1,-5
7,-8,-15,1,11,-11,14,-5,-12,-6,-1,-6
7,-8,-15,1,11,-11,14,-4,-12,-6,-1,-6
6,-8,-15,1,10,-11,15,-3,-11,-5,0,-5
6,-7,-14,1,10,-11,15,-2,-11,-5,1,-4
7,-7,-14,1,10,-11,15,-3,-11,-5,1,-4
7,-7,-15,1,11,-11,14,-4,-12,-5,0,-4
6,-8,-15,1,11,-12,13,-5,-12,-5,-1,-5
6,-8,-15,2,10,-12,13,-5,-12,-6,-1,-5
6,-8,-15,2,10,-12,13,-5,-12,-6,-2,-6
7,-7,-15,1,11,-12,14,-5,-12,-6,-1,-6
7,-7,-15,1,11,-12,14,-3,-12,-6,0,-5
6,-7,-14,1,10,-12,15,-2,-13,-6,0,-4
5,-8,-14,2,10,-12,15,-3,-12,-6,0,-4
6,-7,-14,1,11,-12,15,-4,-12,-5,0,-5
7,-7,-15,0,11,-12,15,-5,-12,-5,-1,-5
7,-8,-15,1,11,-12,15,-6,-12,-6,-1,-5
7,-8,-16,1,12,-13,15,-6,-13,-6,-1,-5
7,-9,-17,1,12,-14,14,-6,-14,-7,-2,-6
7,-9,-17,2,12,-14,15,-5,-14,-7,-1,-6
6,-10,-17,2,12,-15,16,-3,-13,-7,0,-5
6,-11,-18,3,12,-15,16,-2,-13,-7,0,-5
8,-11,-19,2,13,-16,15,-3,-13,-7,-1,-6
8,-11,-20,2,14,-16,15,-4,-13,-7,-2,-6
7,-11,-19,2,13,-15,15,-5,-12,-6,-1,-5
7,-11,-18,3,13,-15,15,-5,-12,-6,-1,-5
7,-11,-18,3,13,-15,14,-5,-12,-5,-1,-5
6,-11,-18,3,12,-16,14,-5,-11,-5,0,-5
5,-11,-17,3,12,-16,15,-4,-11,-4,0,-4
5,-11,-17,3,11,-15,16,-3,-10,-4,1,-4
6,-11,-18,3,12,-15,15,-3,-11,-5,1,-4
6,-11,-18,3,12,-16,14,-4,-12,-6,0,-5
6,-12,-18,4,12,-16,14,-5,-12,-6,-1,-6
6,-12,-18,4,12,-16,14,-5,-12,-6,0,-5
6,-12,-18,3,12,-16,15,-5,-12,-6,0,-5
7,-11,-19,3,13,-16,15,-4,-11,-5,0,-5
7,-11,-18,3,12,-16,15,-3,-10,-5,1,-4
6,-11,-17,3,12,-15,16,-2,-10,-5,1,-4
5,-11,-17,3,12,-15,15,-2,-11,-6,1,-4
6,-12,-18,3,12,-15,15,-3,-11,-6,0,-5
6,-12,-18,3,12,-15,15,-3,-11,-6,0,-5
5,-12,-17,4,12,-15,16,-3,-10,-5,0,-4
5,-13,-18,4,12,-16,16,-3,-9,-5,1,-3
5,-12,-18,4,12,-16,16,-2,-8,-5,1,-2
5,-11,-17,3,11,-15,16,-1,-8,-4,2,-2
5,-10,-16,3,10,-14,17,0,-7,-3,3,-1
4,-9,-15,3,9,-13,18,1,-6,-2,4,0
5,-9,-14,3,9,-12,18,0,-5,-1,4,0
6,-8,-14,2,10,-12,18,0,-5,-1,3,0
6,-8,-14,1,10,-11,18,0,-6,-1,3,1
6,-8,-14,1,10,-11,18,0,-5,0,4,2
7,-7,-13,0,10,-11,19,0,-4,0,4,2
7,-6,-13,0,10,-11,19,0,-3,1,5,3
7,-6,-13,0,10,-11,19,1,-3,1,6,3
7,-6,-13,0,10,-10,20,2,-3,0,6,4
7,-6,-13,0,10,-10,20,2,-4,0,5,4
7,-6,-13,0,10,-10,19,2,-4,0,5,3
6,-6,-13,0,10,-10,19,2,-4,0,5,3
6,-6,-13,0,10,-10,19,2,-4,0,5,3
7,-6,-13,0,10,-10,19,2,-3,0,4,3
7,-6,-14,0,10,-10,19,2,-3,0,4,3
7,-6,-14,0,10,-11,19,3,-3,0,4,4
6,-6,-14,0,10,-11,19,3,-3,0,5,4
