leadI,leadII,leadIII,leadaVR,leadaVL,leadaVF,leadV1,leadV2,leadV3,leadV4,leadV5,leadV6
0,-2,-2,1,1,-2,1,1,0,1,-1,0
0,-5,-5,2,2,-5,3,2,0,2,-4,0
-1,-5,-4,3,2,-5,3,1,0,2,-5,-1
-2,-6,-3,4,0,-5,3,0,-1,2,-6,-1
-4,-8,-4,6,0,-6,2,0,-2,1,-7,-2
-4,-10,-5,7,0,-8,3,0,-2,0,-8,-2
-4,-11,-7,8,1,-9,4,2,-2,0,-9,-2
-2,-12,-10,8,3,-11,6,3,-2,0,-10,-2
-1,-12,-11,7,5,-12,7,4,-1,1,-10,-2
0,-11,-11,6,6,-11,7,4,-1,1,-10,-2
0,-9,-9,5,5,-9,6,3,-1,2,-9,-1
-1,-6,-5,4,3,-6,5,2,-1,2,-8,-1
-1,-5,-3,4,1,-4,4,1,-1,2,-8,-1
-2,-5,-2,4,0,-3,4,1,-1,2,-8,-1
-2,-5,-3,5,0,-4,5,2,-1,2,-8,0
-1,-5,-5,4,2,-5,6,3,0,3,-8,0
1,-5,-6,3,4,-5,7,4,0,4,-7,1
1,-4,-5,2,3,-4,8,5,1,5,-6,2
0,-2,-2,1,1,-1,9,5,2,6,-5,2
-1,0,1,1,-1,1,9,5,2,6,-5,2
-2,2,5,1,-3,3,10,5,3,7,-5,2
-4,2,7,1,-5,4,10,5,3,7,-4,2
-4,2,6,2,-5,4,11,5,3,7,-4,2
-4,1,5,1,-5,3,12,5,4,7,-4,2
-3,2,4,0,-4,3,12,5,4,7,-4,2
-2,2,4,0,-3,3,12,4,4,7,-4,2
-3,3,6,0,-4,4,10,2,4,6,-4,2
-4,3,8,0,-6,5,7,0,2,5,-4,1
-5,3,9,1,-7,6,5,-1,2,4,-5,1
-5,3,10,1,-8,6,3,-2,1,4,-5,0
-6,3,10,1,-8,6,1,-3,1,3,-6,0
-6,2,8,2,-7,4,0,-3,0,3,-6,0
-5,1,6,2,-5,3,-2,-3,0,3,-6,0
-5,1,5,2,-5,3,-4,-3,0,3,-6,0
-5,1,6,2,-5,4,-6,-4,0,3,-6,0
-5,2,8,2,-6,5,-9,-5,0,3,-6,0
-5,3,9,2,-7,6,-12,-5,0,3,-6,0
-5,4,10,1,-7,7,-14,-6,0,3,-5,0
-5,4,10,0,-7,7,-15,-6,0,3,-5,0
-5,4,9,1,-6,6,-14,-5,0,3,-6,0
-4,3,7,1,-5,5,-12,-4,0,3,-6,0
-4,3,6,1,-5,5,-9,-3,0,3,-6,0
-4,4,6,1,-5,5,-7,-3,0,3,-6,0
-4,4,8,1,-5,6,-6,-2,0,3,-5,0
-4,4,9,0,-6,7,-6,-2,0,3,-5,0
-4,5,9,0,-6,7,-6,-2,1,3,-5,0
-3,5,10,0,-7,7,-6,-2,1,3,-5,0
-3,5,10,-1,-7,8,-5,-2,1,3,-5,0
-3,5,9,-1,-6,7,-5,-2,2,3,-5,0
-4,4,8,0,-6,6,-4,-2,2,3,-5,0
-4,4,8,0,-6,6,-4,-2,2,3,-5,0
-4,5,9,0,-6,6,-5,-2,1,3,-6,0
-4,5,10,0,-6,7,-5,-2,1,2,-6,-1
-4,6,10,0,-6,8,-5,-2,1,1,-6,-1
-4,6,10,0,-6,8,-5,-2,1,1,-6,-1
-4,5,10,0,-7,8,-4,-2,1,1,-6,-1
-4,5,10,0,-7,8,-4,-2,1,1,-6,-2
-4,5,9,0,-7,7,-4,-2,1,1,-6,-2
-4,5,9,0,-7,7,-4,-2,1,2,-6,-2
-4,5,9,0,-7,7,-4,-2,1,2,-6,-2
-5,5,10,0,-8,7,-3,-2,1,2,-6,-2
-5,5,10,0,-8,8,-3,-2,1,2,-6,-2
-5,5,10,0,-8,8,-3,-2,1,2,-6,-2
-5,5,10,0,-7,8,-3,-2,1,2,-5,-2
-5,5,10,0,-7,7,-3,-1,1,3,-5,-2
-4,5,9,0,-7,7,-2,-1,0,3,-5,-2
-3,4,8,0,-6,6,-2,-1,0,3,-5,-2
-3,3,7,0,-5,5,-2,-1,0,3,-5,-2
-4,2,7,1,-5,5,-2,-1,0,3,-5,-2
-4,2,7,2,-5,4,-2,-1,0,3,-5,-2
